date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,366.10058,2000.0409836065573,366.93327685952863,-0.9929117438244901,0.16021488429583997,0.12727977014327507,0.08783496469999363,1.4287833533115888
2000-02-15,2000,2,366.18413,2000.1256830601094,367.07775045234183,-0.9228360243233539,0.029215571981524135,0.07014412390662983,0.06140902681789839,1.35774965327132
2000-03-15,2000,3,366.51687999999996,2000.204918032787,367.2131553662134,-0.8236152630109547,0.12733989679747992,0.11046465043779108,0.030787599888753903,1.2863294774376264
2000-04-15,2000,4,367.04875,2000.2896174863388,367.3581681409879,-0.34964587294428495,0.040227731956349544,0.02035901374358673,-0.008470637148889182,1.2125551302169022
2000-05-15,2000,5,368.07606,2000.3715846994535,367.4987683270574,0.6025711452513989,-0.025279472308795903,0.04591791170338411,-0.052381293230610027,1.146937272649322
2000-06-15,2000,6,369.22542000000004,2000.4562841530055,367.6443292701601,1.2202054375579092,0.3608852922820347,0.23429698193643844,-0.10343005974476682,1.0871731333052441
2000-07-15,2000,7,368.7737,2000.5382513661202,367.7854599417081,1.191707536221678,-0.20346747792973474,-0.18777451359272845,-0.1574246571157687,1.0402631901093868
2000-08-15,2000,8,368.17402000000004,2000.622950819672,367.9315690531382,0.9547338345994111,-0.7122828877376151,-0.6242163302783297,-0.2170708533153629,1.004131122790907
2000-09-15,2000,9,368.17143,2000.707650273224,368.0779567419156,0.47094958676222703,-0.37747632867785796,-0.4582311430913819,-0.2793764216117438,0.9838074545726361
2000-10-15,2000,10,367.75618,2000.7896174863388,368.21988748992294,-0.0992263501190309,-0.36448113980395647,-0.2988354075891948,-0.3409517641065918,0.9795752832261008
2000-11-15,2000,11,367.63569,2000.8743169398906,368.3668233470277,-0.4798743840606314,-0.2512589629670856,-0.3368769037232937,-0.40451105148514443,0.9919785566718744
2000-12-15,2000,12,367.21979,2000.9562841530055,368.509284580514,-0.7999779116685066,-0.4895166688455106,-0.3771303874712544,-0.4645974670237365,1.0209082349594834
2001-01-15,2001,1,367.35271,2001.041095890411,368.6569643065638,-0.9929502597586781,-0.31130404680510537,-0.42227092093003193,-0.5237697127502088,1.0693792866300418
2001-02-15,2001,2,367.18903,2001.1260273972603,368.80513249136476,-0.9224294633809044,-0.6936730279838343,-0.5747175716651327,-0.5785296771264257,1.1316806776506012
2001-03-15,2001,3,367.52119,2001.2027397260274,368.93920257655924,-0.8281526731378119,-0.5898599034214271,-0.6346553968916169,-0.6231599695495902,1.204276791091107
2001-04-15,2001,4,367.91243,2001.2876712328766,369.087903866117,-0.36828069203573377,-0.8071931740813056,-0.7314521757936063,-0.6655427108781282,1.2998388863254018
2001-05-15,2001,5,368.99489,2001.3698630136987,369.23207503799813,0.5828808783299604,-0.8200659163280761,-0.848542872048256,-0.6987592947797907,1.4032204274608633
2001-06-15,2001,6,369.86699,2001.454794520548,369.3813275036603,1.2161887129007591,-0.7305262165610884,-0.791507912360089,-0.7238440255768523,1.5211654507135695
2001-07-15,2001,7,370.0151,2001.5369863013698,369.52603207177117,1.1943192274430474,-0.7052512992141828,-0.698584409426644,-0.7386111419272083,1.6426830227573879
2001-08-15,2001,8,369.98969,2001.6219178082192,369.6758357135383,0.958723753093131,-0.6448694666314054,-0.7312342190916183,-0.7432890562400871,1.7749075089704365
2001-09-15,2001,9,369.47432000000003,2001.7068493150684,369.8259194611941,0.4767440399481131,-0.8283435011421716,-0.7029083032029462,-0.7370211883485922,1.9066447022196824
2001-10-15,2001,10,369.38723999999996,2001.7890410958903,369.9714284957504,-0.09586176701616016,-0.48832672873425054,-0.6427104173793623,-0.7205987859298375,2.0338651120257416
2001-11-15,2001,11,368.76977999999997,2001.8739726027397,370.12206341951105,-0.4785713762899341,-0.8737120432211327,-0.6669017120777312,-0.6930558461107807,2.159965005516272
2001-12-15,2001,12,369.04762999999997,2001.9561643835616,370.26810585029745,-0.7995258080583442,-0.42095004223915566,-0.5156794930295518,-0.6568737835867751,2.2731093164899923
2002-01-15,2002,1,368.99818,2002.041095890411,370.41929195016263,-0.9929502597586781,-0.4281616904039538,-0.48244695383732505,-0.6103923001830367,2.379087897541053
