date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,383.22952000000004,2000.0409836065573,377.77730847187183,9.40545572498276,-3.9532441968545413,-1.8440652839404947,1.9355385225725854,-0.3848127194714059
2000-02-15,2000,2,389.38955,2000.1256830601094,378.016984365267,7.7407607896285535,3.6318048451044547,1.3277041092597415,1.656349222105689,-0.5260505416481094
2000-03-15,2000,3,383.13464,2000.204918032787,378.2407957696535,3.406637576529737,1.4872066538167132,3.162245412121422,1.389622714338202,-0.5377903564699177
2000-04-15,2000,4,383.62516,2000.2896174863388,378.4796132235679,-0.7170310568623713,5.862577833294438,4.657327795024514,1.1090098444991554,-0.4296109139130705
2000-05-15,2000,5,376.94073,2000.3715846994535,378.71030459180537,-6.301129890995947,4.531555299190529,5.002055258409712,0.851460323652816,-0.20445218633534726
2000-06-15,2000,6,370.86825,2000.4562841530055,378.9482492989156,-11.828216085648208,3.7482167867325984,4.038107440901001,0.6097681263486834,0.12686115220688934
2000-07-15,2000,7,368.24006,2000.5382513661202,379.17809607347095,-12.078363977748582,1.140327904277683,-0.11962460810673292,0.4059572926036594,0.5230604166528106
2000-08-15,2000,8,361.55235,2000.622950819672,379.4151680337757,-11.25922131813366,-6.603596715642084,-4.030710425739642,0.23273774145758352,0.9880882004112016
2000-09-15,2000,9,374.65079,2000.707650273224,379.65179646701637,-6.776566693252599,1.7755602262362231,0.817163688628284,0.09977501275477607,1.4579702926260287
2000-10-15,2000,10,384.76399,2000.7896174863388,379.8803694281496,5.169550553994562,-0.2859299821441823,-3.4001918625768326,0.009147200316590443,1.9080875872792087
2000-11-15,2000,11,378.58227999999997,2000.8743169398906,380.1161251145848,12.679011469459136,-14.212856584043948,-7.537264239975343,-0.046321922128129245,2.336593815636819
2000-12-15,2000,12,399.21099,2000.9562841530055,380.34385348203665,10.776977328026335,8.09015918993697,1.6781260577736816,-0.06752187677852817,2.6964218553882127
2001-01-15,2001,1,388.75209,2001.041095890411,380.5790475054704,9.405070554468194,-1.232028059938557,1.5764042345833786,-0.0601197042016679,3.0119667023665726
2001-02-15,2001,2,387.02808999999996,2001.1260273972603,380.8141280189775,7.725697386720981,-1.5117354056985164,-2.595939474452848,-0.028604189660427437,3.2535994017225818
2001-03-15,2001,3,382.12119,2001.2027397260274,381.0260754926543,3.526402492364258,-2.431287985018514,-1.115299514964363,0.0159594351386545,3.4318121255181584
2001-04-15,2001,4,383.12722,2001.2876712328766,381.2603072422881,-0.6181857038755468,2.4850984615874836,1.0018119334874314,0.08050790855185141,3.595063133917212
2001-05-15,2001,5,376.47341,2001.3698630136987,381.4865585150651,-6.160740977877178,1.1475924628120993,1.701422460066567,0.15524195001728458,3.7297894411057557
2001-06-15,2001,6,371.6702,2001.454794520548,381.71991272916887,-11.777310764463497,1.7275980352946476,2.5920794124435815,0.24473617549546134,3.8732938465883286
2001-07-15,2001,7,373.16387000000003,2001.5369863013698,381.94531477401296,-12.095394687073014,3.313949913060071,1.1627574842196964,0.3439335701679056,4.031094664374908
2001-08-15,2001,8,367.78589,2001.6219178082192,382.17779145258737,-11.271271065948984,-3.120630386638368,2.5270479664031313,0.46200170804598883,4.229434466042472
2001-09-15,2001,9,389.54406,2001.7068493150684,382.40982217048196,-6.863923501681021,13.998161331199071,10.114947731970403,0.5987691505700354,4.460217783510583
2001-10-15,2001,10,397.93208,2001.7890410958903,382.633943412543,5.083182959668708,10.214953627788304,6.861727145566192,0.7514261050843061,4.712968024237309
2001-11-15,2001,11,389.04298,2001.8739726027397,382.8650965949082,12.673353630424453,-6.495470225332667,-2.8113364238334952,0.9321105480871097,4.9830237074017685
2001-12-15,2001,12,390.71526,2001.9561643835616,383.088368609037,10.781150290146872,-3.1542588991838443,-3.221246129605788,1.1285239114736783,5.224874311983434
2002-01-15,2002,1,392.3653,2002.041095890411,383.3186442558722,9.405070554468194,-0.3584148103403777,-2.1814265817140495,1.3508458083043138,5.419100024830785
2002-02-15,2002,2,386.39014,2002.1260273972603,383.5484739420276,7.725697386720983,-4.88403132874862,-5.5158889576150045,1.5860468641508305,5.5117247114685135
2002-03-15,2002,3,377.22726,2002.2027397260274,383.7556787329352,3.526402492364262,-10.054821225299463,-6.325425892573264,1.8011091597362565,5.475339539334234
2002-04-15,2002,4,383.31954,2002.2876712328766,383.98465965521734,-0.6181857038755453,-0.04693395134177081,-2.61996742815694,2.029662488726899,5.267358554191535
2002-05-15,2002,5,378.69005,2002.3698630136987,384.20582948217015,-6.160740977877175,0.6449614957070366,1.2305795419965193,2.2265225493945877,4.869729119549326
2002-06-15,2002,6,376.19043999999997,2002.454794520548,384.4339328689223,-11.777310764463493,3.5338178955411763,4.321485976180725,2.3870464388446067,4.2475099737985005
2002-07-15,2002,7,379.30894,2002.5369863013698,384.65425346794217,-12.095394687073018,6.750081219130834,9.177179635812877,2.4841617019266096,3.442262474710942
2002-08-15,2002,8,393.06638,2002.6219178082192,384.88147931916495,-11.271271065948975,19.45617174678398,12.931002824429186,2.5070550417316326,2.41985019150768
2002-09-15,2002,9,382.41415,2002.7068493150684,385.1082592097079,-6.863923501681023,4.169814291973125,6.849191079720299,2.437164958898336,1.2549449404561508
2002-10-15,2002,10,385.50883999999996,2002.7890410958903,385.3272990059447,5.083182959668692,-4.901641965613464,-2.1568951242340404,2.27170019355475,0.037869210705049894
2002-11-15,2002,11,397.67125,2002.8739726027397,385.5532013609583,12.673353630424456,-0.5553049913827977,-3.1303722435069403,1.9945791678059663,-1.2392819410565188
2002-12-15,2002,12,395.87647000000004,2002.9561643835616,385.77139192926285,10.781150290146876,-0.6760722194096616,1.1356616057512952,1.6254430110657268,-2.4198026340225747
2003-01-15,2003,1,400.57735,2003.041095890411,385.9964167487464,9.405070554468196,5.17586269678543,3.9003433300699726,1.147466300690553,-3.5069559584072176
2003-02-15,2003,2,400.00756,2003.1260273972603,386.2209956075502,7.725697386720993,6.060867005728824,3.543443133620883,0.5862242840432828,-4.379098640897368
2003-03-15,2003,3,389.34463999999997,2003.2027397260274,386.4234577156886,3.526402492364262,-0.6052202080528559,1.6954337869830738,0.024996590837076837,-4.934887850316327
2003-04-15,2003,4,386.3911,2003.2876712328766,386.6471878106191,-0.6181857038755592,0.36209789325647534,-0.43761097053578624,-0.6334954980684984,-5.245143536743538
2003-05-15,2003,5,380.09707000000003,2003.3698630136987,386.8632761917477,-6.160740977877194,-0.6054652138704455,-0.2623219124536149,-1.2816632939662895,-5.2145541492843535
2003-06-15,2003,6,374.93458,2003.454794520548,387.0861287511481,-11.777310764463481,-0.3742379866846477,-0.5903509081690572,-1.9338835987207972,-4.837136877002491
2003-07-15,2003,7,371.63548,2003.5369863013698,387.30136790434386,-12.095394687073016,-3.5704932172708936,-5.6515002301761115,-2.5205981514276345,-4.153174045984153
2003-08-15,2003,8,360.90729,2003.6219178082192,387.52334292821496,-11.271271065948982,-15.344781862265961,-8.288994137936868,-3.055014359826089,-3.159093528987926
2003-09-15,2003,9,380.40199,2003.7068493150684,387.7448719914063,-6.863923501681031,-0.4789584897252439,-5.908006852725862,-3.4937377094015574,-1.9185434718699779
2003-10-15,2003,10,381.90751,2003.7890410958903,387.95883034181895,5.083182959668696,-11.134503301487655,-6.942228162541198,-3.810268304886847,-0.560686024400061
2003-11-15,2003,11,397.2119,2003.8739726027397,388.17948186948087,12.673353630424455,-3.6409354999053107,-6.827913388856359,-4.015537361292218,0.93728349164955
2003-12-15,2003,12,395.15533999999997,2003.9561643835616,388.39259099196124,10.781150290146886,-4.0184012821081865,-4.459738761335814,-4.090960821485112,2.405283195924521
2004-01-15,2004,1,392.03803,2004.0409836065573,388.61207472588745,9.405455724982756,-5.979500450870205,-3.2533160168986797,-4.044336427688108,3.8560887830446604
2004-02-15,2004,2,399.33887000000004,2004.1256830601094,388.8308046959672,7.7407607896285455,2.767304514404316,0.406662544898893,-3.8783785684246936,5.20882149859758
2004-03-15,2004,3,395.60415,2004.204918032787,389.03502152692977,3.40663757652974,3.1624908965404757,2.034949390573445,-3.6247374172397144,6.311298645484541
2004-04-15,2004,4,386.69162,2004.2896174863388,389.2528930575288,-0.7170310568623661,-1.8442420006664406,-1.0876686922587737,-3.2654158612867263,7.291036449145826
2004-05-15,2004,5,380.31942999999995,2004.3715846994535,389.46331417739657,-6.301129890995932,-2.842754286400691,-2.2787932099110435,-2.8457958015879967,8.042371563490851
2004-06-15,2004,6,377.2674,2004.4562841530055,389.6803129611914,-11.828216085648194,-0.5846968755432158,-0.09212404964057441,-2.356702718599138,8.597760433877605
2004-07-15,2004,7,378.38219,2004.5382513661202,389.8898894873771,-12.078363977748587,0.5706644903714846,-1.6910518638605367,-1.846191008378696,8.938507888321887
2004-08-15,2004,8,370.33448,2004.622950819672,390.10601552436657,-11.259221318133653,-8.51231420623293,-5.5766893824774115,-1.2971659314343924,9.10061138305962
2004-09-15,2004,9,378.54319,2004.707650273224,390.32169803429184,-6.776566693252619,-5.001941341039242,-4.636493187063991,-0.7410235350292851,9.097745619750478
2004-10-15,2004,10,393.98455,2004.7896174863388,390.53000074705545,5.169550553994535,-1.7150013010499947,-0.8351455384536166,-0.20840174903196385,8.962446326203814
2004-11-15,2004,11,408.58181,2004.8743169398906,390.74481051017534,12.67901146945913,5.157988020365565,1.688726436879051,0.32592528794452846,8.707421154900036
2004-12-15,2004,12,399.97525,2004.9562841530055,390.9522686292574,10.776977328026353,-1.7539959572837347,-1.4924730929087104,0.8187949254577802,8.368753751890328
2005-01-15,2005,1,395.16008,2005.041095890411,391.1664889619123,9.405070554468198,-5.411479516380496,-1.524415258605643,1.2969367019843503,7.946604295578192
2005-02-15,2005,2,409.31933,2005.1260273972603,391.38056616601284,7.725697386720996,10.213066447266158,5.862855494346718,1.7364211956327722,7.421190387742417
2005-03-15,2005,3,399.33051,2005.2027397260274,391.5735429086127,3.526402492364234,4.230564599023069,6.210976548590224,2.092471584551049,6.896308776979604
2005-04-15,2005,4,395.32788999999997,2005.2876712328766,391.7867713488399,-0.6181857038755556,4.1593043550356015,3.3873835045331475,2.4384922585286404,6.246122605218202
2005-05-15,2005,5,387.98735,2005.3698630136987,391.9926968383201,-6.160740977877188,2.1553941395570746,2.2108376592440777,2.7164643329613796,5.523791307683643
2005-06-15,2005,6,381.60688999999996,2005.454794520548,392.2050477430173,-11.7773107644635,1.1791530214461545,2.0686587067545474,2.938819217273533,4.688188731455694
2005-07-15,2005,7,382.55236,2005.5369863013698,392.4101240045647,-12.095394687073014,2.2376306825083248,1.0729141052805176,3.0823942670364204,3.789487192137742
2005-08-15,2005,8,381.91317999999995,2005.6219178082192,392.62159737373247,-11.271271065948985,0.5628536922164926,3.5317529074303593,3.1511515608520426,2.79339254686393
2005-09-15,2005,9,397.37637,2005.7068493150684,392.8326247822205,-6.863923501680976,11.407668719460503,7.920742132967973,3.1316167192584885,1.6994244499541011
2005-10-15,2005,10,397.02277999999995,2005.7890410958903,393.0364202409848,5.083182959668595,-1.0968232006534322,1.4635505727000577,3.02272046706139,0.6182981304244144
2005-11-15,2005,11,403.82032999999996,2005.8739726027397,393.24657011394333,12.673353630424456,-2.099593744367837,-3.341746533474918,2.817644829952144,-0.511967482646605
2005-12-15,2005,12,403.42426,2005.9561643835616,393.4495163447754,10.781150290146865,-0.8064066349222685,-0.18871372983380752,2.5281565031046966,-1.5688464361756056
2006-01-15,2006,1,407.70535,2006.041095890411,393.658788682204,9.405070554468196,4.641490763327852,4.610001023068264,2.1426281303952806,-2.5808888359289357
2006-02-15,2006,2,407.02477999999996,2006.1260273972603,393.8676150589528,7.725697386721008,5.4314675543261615,4.6370691747293336,1.675385890697214,-3.461331399529569
2006-03-15,2006,3,397.14988,2006.2027397260274,394.05584911878344,3.526402492364238,-0.43237161114768696,0.6571678843644122,1.1975062554305964,-4.065263538513674
2006-04-15,2006,4,394.83976,2006.2876712328766,394.26382673165904,-0.6181857038755632,1.194118972216529,0.20118596191429106,0.6224477599046168,-4.54271432579497
2006-05-15,2006,5,390.67267999999996,2006.3698630136987,394.464670775315,-6.160740977877183,2.3687502025621257,3.8280164233530627,0.0374720377601534,-4.756879442854151
2006-06-15,2006,6,386.8161,2006.454794520548,394.6717708526606,-11.777310764463488,3.921639911802913,1.5041778053901567,-0.5730891860519023,-4.700674152632404
2006-07-15,2006,7,375.1175,2006.5369863013698,394.8717656683838,-12.095394687073021,-7.65887098131077,-4.892746176520859,-1.1482275755436149,-4.381451300338641
2006-08-15,2006,8,387.01552000000004,2006.6219178082192,395.0779882101999,-11.271271065948978,3.20880285574907,2.302017817801925,-1.703037082315916,-3.786891059715323
2006-09-15,2006,9,395.44672,2006.7068493150684,395.2837647913363,-6.8639235016809765,7.026878710344704,4.845197542847245,-2.197663249569075,-2.9868884422412054
2006-10-15,2006,10,393.17823,2006.7890410958903,395.4824788042764,5.08318295966858,-7.387431763945017,-4.943846176014972,-2.6038803509368336,-2.02806473578838
2006-11-15,2006,11,403.43881,2006.8739726027397,395.6873778498833,12.673353630424446,-4.9219214803077875,-6.250592129148231,-2.934185883041039,-0.9220909020671202
2006-12-15,2006,12,401.46932999999996,2006.9561643835616,395.8852426348912,10.781150290146856,-5.197062925038097,-6.187455174353886,-3.162374565305413,0.19790710963510183
2007-01-15,2007,1,393.10212,2007.041095890411,396.0892641449681,9.405070554468189,-12.392214699436295,-10.022004877000995,-3.2994876955344807,1.3676653377660726
2007-02-15,2007,2,397.59502000000003,2007.1260273972603,396.2928396943653,7.725697386721,-6.423517081086231,-7.805901267214438,-3.341048293595179,2.417594366617774
2007-03-15,2007,3,394.82728,2007.2027397260274,396.47633107142667,3.5264024923642436,-5.1754535637909385,-5.2399606395323985,-3.305711795705463,3.2889345294911783
