date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,378.32066000000003,2000.0409836065573,372.7614738558734,4.056845923457988,1.5023402206686,1.0717380579032465,-0.057714330370686184,2.9230384498266115
2000-02-15,2000,2,377.22595,2000.1256830601094,372.9166162730047,4.751873094366936,-0.4425393673716371,-0.13623796065411398,0.03122509193605083,2.825468481804103
2000-03-15,2000,3,376.01715,2000.204918032787,373.0619383054967,4.484241165813502,-1.5290294713101957,-1.7141112869747417,0.10345971185262215,2.652857373517018
2000-04-15,2000,4,375.50871,2000.2896174863388,373.2174843716244,4.295092408907446,-2.003866780531837,-1.8212559071989745,0.1624094813848842,2.404858823001105
2000-05-15,2000,5,375.79259,2000.3715846994535,373.3682113919803,3.1539133484901263,-0.7295347404703989,-1.0314783431584829,0.19711984424765205,2.107673575123181
2000-06-15,2000,6,372.382,2000.4562841530055,373.5241678345885,-1.7461617741983988,0.603993939609893,1.1216657848523823,0.20500387724473512,1.760139119798592
2000-07-15,2000,7,370.32698,2000.5382513661202,373.67529199347365,-6.654375128516292,3.3060631350426206,2.5944847319112796,0.18374597106259216,1.4023480232142598
2000-08-15,2000,8,366.04705,2000.622950819672,373.83165881256156,-8.368921489456563,0.5843126768950242,1.3685585862405105,0.13002550016398118,1.0255167217825767
2000-09-15,2000,9,367.49634,2000.707650273224,373.98823418363156,-7.168897215260802,0.6770030316292264,0.38886319924927193,0.04544428497302988,0.6812390724611277
2000-10-15,2000,10,371.80938,2000.7896174863388,374.1399573055442,-2.7685252420295132,0.43794793648527275,1.2346838877703021,-0.0627639776128035,0.38693185484707293
2000-11-15,2000,11,380.00214,2000.8743169398906,374.29694305309397,2.354659259788838,3.350537687117196,1.5889328989699152,-0.19771857825071493,0.14859107179405115
2000-12-15,2000,12,376.57336000000004,2000.9562841530055,374.44906331353616,3.845979292069372,-1.7216826056055083,-0.799959418147921,-0.3442581090668,0.00018386221828441823
2001-01-15,2001,1,375.95996,2001.041095890411,374.6066682319165,4.057733229044603,-2.7044414609611067,-2.7247244174482717,-0.5050991194803487,-0.05762141565011946
2001-02-15,2001,2,377.09227999999996,2001.1260273972603,374.76470526526066,4.752939097259325,-2.4253643625200425,-2.134195561333172,-0.6668628844490172,-0.015803688238099828
2001-03-15,2001,3,378.91132999999996,2001.2027397260274,374.9076286305935,4.497722600770665,-0.4940212313641723,-0.6723599922711401,-0.806679117957799,0.11481353381071077
2001-04-15,2001,4,379.55114,2001.2876712328766,375.0660647633429,4.295708877876283,0.18936635878077368,-0.16859404137562706,-0.9457143210785262,0.35346089559510363
2001-05-15,2001,5,377.74452,2001.3698630136987,375.2195897119068,3.2139308557685116,-0.6890005676752935,-0.8141897797171396,-1.0580623607201005,0.663992393891133
2001-06-15,2001,6,372.58983,2001.454794520548,375.3784384728549,-1.640791662869974,-1.1478168099849313,-1.3645551514005092,-1.1443655707301446,1.050073161039624
2001-07-15,2001,7,366.25014,2001.5369863013698,375.53236273902996,-6.601756863880998,-2.6804658751489683,-1.8621723591666637,-1.1952605857849221,1.4652833026776269
