date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,389.54784,2000.0409836065573,385.5239472865182,4.743283555038357,-0.7193908415565602,-0.7739036731561555,-0.6093769614026314,1.1677144137625053
2000-02-15,2000,2,388.38343,2000.1256830601094,385.735720580925,5.3207341013682115,-2.673024682293203,-2.6544116650933915,-0.7200972157812089,1.2293603628232144
2000-03-15,2000,3,389.51867999999996,2000.204918032787,385.93348742111397,6.934473689023065,-3.349281110137042,-3.41878634584333,-0.8161998491326017,1.3463400960406013
2000-04-15,2000,4,389.43942999999996,2000.2896174863388,386.14452599193913,3.3405754788532285,-0.045671470792399305,0.39567030906692935,-0.9063019914866004,1.5129644369647393
2000-05-15,2000,5,389.23047,2000.3715846994535,386.348395430331,-1.800844800292701,4.6829193699617235,3.799289592231389,-0.9787224261701795,1.6991897937173315
2000-06-15,2000,6,381.92541,2000.4562841530055,386.5586870321826,-5.502682466989462,0.8694054348068789,1.6875433927946233,-1.0366281525796808,1.8953756356173974
2000-07-15,2000,7,376.53753,2000.5382513661202,386.7618335973737,-9.25881598952826,-0.9654876078454322,-1.6864140496452933,-1.077300672052104,2.0662520243951414
2000-08-15,2000,8,374.792,2000.622950819672,386.97137823025076,-9.010755966272852,-3.1686222639779658,-1.4558054291510416,-1.1055688935725243,2.204148890810245
2000-09-15,2000,9,385.29775,2000.707650273224,387.1805432559448,-4.09628597848393,2.213492722539115,-0.21583859193322041,-1.1244170000107374,2.278748445018824
2000-10-15,2000,10,380.7419,2000.7896174863388,387.38259958614475,-0.1624343198523131,-6.478265266292453,-5.673014377220227,-1.1390937097094138,2.280523072645211
2000-11-15,2000,11,380.42402999999996,2000.8743169398906,387.5910176428642,3.7204536123039316,-10.887441255168142,-9.200254221874104,-1.1570271334624636,2.2047061651180484
2000-12-15,2000,12,392.49446,2000.9562841530055,387.79235109986394,6.092945028175961,-1.3908361280398935,-1.8265817341836623,-1.183195240747807,2.056711150093299
2001-01-15,2001,1,399.01101,2001.041095890411,388.00029723979594,4.741324139640099,6.269388620563973,4.090087664279963,-1.2257013862465556,1.834745768017061
2001-02-15,2001,2,393.05832000000004,2001.1260273972603,388.2081556161737,5.330752257810843,-0.4805878739845184,0.8635832961325605,-1.2884873387828861,1.5808358423261275
2001-03-15,2001,3,393.52581000000004,2001.2027397260274,388.39557059504625,6.943629189191492,-1.8133897842376996,-2.8025141757788106,-1.363986314331271,1.3305795182545483
2001-04-15,2001,4,387.40851000000004,2001.2876712328766,388.6027025290285,3.4726197174510163,-4.666812246479481,-3.564783634576827,-1.4697551358876808,1.0684022403925248
2001-05-15,2001,5,385.60337000000004,2001.3698630136987,388.8027893679337,-1.7148491648347486,-1.48457020309894,-1.344435052365725,-1.5902126464566777,0.8790428235515171
2001-06-15,2001,6,386.44584,2001.454794520548,389.0091702343544,-5.434360403922189,2.8710301695678027,2.4557587548699757,-1.7271861639785584,0.7762097150698279
2001-07-15,2001,7,384.65468,2001.5369863013698,389.20853023368335,-9.215521488664484,4.6616712549811155,4.390621639000415,-1.8624424578703156,0.806899132987848
2001-08-15,2001,8,381.66967,2001.6219178082192,389.414160032543,-9.053321035407249,1.308831002864224,0.12455506944627359,-1.9925976332142454,1.0002633861525827
2001-09-15,2001,9,376.67352999999997,2001.7068493150684,389.6194081413298,-4.143512138733015,-8.802366002596841,-5.6182642262916715,-2.09840198198782,1.3706160309271997
