date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,378.5984,2000.0409836065573,372.275021885726,5.223676944759964,1.0997011695140486,0.6587802041793225,-0.5698109602923296,-0.1748489167227815
2000-02-15,2000,2,376.40551,2000.1256830601094,372.4362825512645,4.956668339537527,-0.9874408908020769,-0.571121984181957,-0.750095455190035,-0.2540637920287241
2000-03-15,2000,3,376.80374,2000.204918032787,372.5873107356439,4.6930453925584,-0.47661612820229493,-0.6330263682402801,-0.9205264125142776,-0.21792807842509665
2000-04-15,2000,4,376.35764,2000.2896174863388,372.7489379125718,3.391590796050743,0.2171112913774209,0.20632337085385188,-1.0950675919004311,-0.0693420487149261
2000-05-15,2000,5,374.40614,2000.3715846994535,372.9055316095568,1.4943593590606536,0.006249031382537851,-0.09183149881567942,-1.2475557973097011,0.19140303142579596
2000-06-15,2000,6,370.17319,2000.4562841530055,373.06753140639825,-2.3245391587556856,-0.569802247642599,-0.31473438229386375,-1.378057825683129,0.564181451929897
2000-07-15,2000,7,363.68368,2000.5382513661202,373.224485703299,-7.6340240453816754,-1.9067816579173495,-2.7077918988951524,-1.4711089382249156,1.0129433559782473
2000-08-15,2000,8,356.83473,2000.622950819672,373.38685812005303,-9.417608153050676,-7.134519967002404,-5.233035455691038,-1.5251311080940013,1.5522237924363353
2000-09-15,2000,9,365.79017999999996,2000.707650273224,373.5494199010255,-5.913844656925411,-1.845395244100132,-3.3023893777503304,-1.532444651913579,2.1146497153510118
2000-10-15,2000,10,369.86446,2000.7896174863388,373.7069180535371,-1.5146246646595993,-2.3278333888774796,-1.3574325412009784,-1.4938942872848315,2.6724658224360622
2000-11-15,2000,11,376.31782000000004,2000.8743169398906,373.86985245442213,2.389998426305115,0.0579691192727978,-1.2001695715002825,-1.4067573438217664,3.2187548816144806
2000-12-15,2000,12,376.18916,2000.9562841530055,374.02771120685,4.9060693778359825,-2.744620584685947,-1.9730691693607696,-1.2813799159231962,3.684473238120903
