date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,366.15989,2000.0409836065573,367.1525799967327,-1.1901401361552297,0.19745013942252854,0.15668338005929172,0.11631813291154458,1.3891947458005283
2000-02-15,2000,2,366.23879,2000.1256830601094,367.29616484021113,-1.0636833068059133,0.0063084665947599206,0.052245739649549705,0.08699048151385114,1.3076125382779833
2000-03-15,2000,3,366.57465,2000.204918032787,367.4307469518751,-0.9619002179112609,0.10580326603616186,0.10210177089766148,0.05278824333731791,1.225119132233906
2000-04-15,2000,4,367.28807,2000.2896174863388,367.5748893816095,-0.3109154586854822,0.02409607707596706,-0.03387058051163194,0.008707353297666032,1.1395633153317994
2000-05-15,2000,5,368.57472,2000.3715846994535,367.7146563520109,0.9789106057180369,-0.11884695772891973,0.011132770524909574,-0.04079114524506622,1.0632827463976189
2000-06-15,2000,6,370.21873999999997,2000.4562841530055,367.8593656611062,1.6963999193027512,0.6629744195910234,0.47520984547378475,-0.09850346814300792,0.9937654685200101
2000-07-15,2000,7,369.4515,2000.5382513661202,367.99968122443715,1.4916084556350584,-0.03978968007220374,-0.056820977081997626,-0.15965990514325767,0.9392706098040031
2000-08-15,2000,8,368.17297,2000.622950819672,368.1449574128927,1.0382206604659576,-1.0102080733586831,-0.8251669649329187,-0.227287234045491,0.897479203167616
2000-09-15,2000,9,368.21171,2000.707650273224,368.29052168758113,0.350181588594513,-0.4289932761756745,-0.5541088483644785,-0.29794522980722604,0.8742171598191122
2000-10-15,2000,10,367.76828,2000.7896174863388,368.43166463696986,-0.32584403094386266,-0.337540606025982,-0.262649810721598,-0.3677450500435384,0.8697099010258365
2000-11-15,2000,11,367.64707000000004,2000.8743169398906,368.57779579101845,-0.7030751095650045,-0.22765068145338319,-0.31814838224283903,-0.4397239851223844,0.8844429043284785
2000-12-15,2000,12,367.21377,2000.9562841530055,368.71948733333716,-1.030376002389944,-0.4753413309471739,-0.35557108983971375,-0.5076806988394651,0.9180296079221866
2001-01-15,2001,1,367.37768,2001.041095890411,368.8663800317056,-1.1900838143964443,-0.2986162173091884,-0.4232825898929491,-0.5745037608738812,0.9736368122743756
2001-02-15,2001,2,367.20964,2001.1260273972603,369.01376963171947,-1.0632149776338542,-0.7409146540856568,-0.6058514153891679,-0.6362591006545699,1.044459751084818
2001-03-15,2001,3,367.56124,2001.2027397260274,369.147144696977,-0.9673742979190535,-0.6185303990579882,-0.6777511950318171,-0.6865480686381034,1.1262587269721567
2001-04-15,2001,4,367.98714,2001.2876712328766,369.2950855986045,-0.3368714084811911,-0.9710741901232609,-0.8709903746292866,-0.7343138712183759,1.2330956602850445
2001-05-15,2001,5,369.32633,2001.3698630136987,369.4385300146012,0.9533226892617405,-1.065522703862996,-1.1276025159411915,-0.7718343353704995,1.3477680512919963
2001-06-15,2001,6,370.22206,2001.454794520548,369.5870409060326,1.693884153362501,-1.0588650593950888,-1.0800834873107306,-0.8003703182933464,1.4777995073750008
2001-07-15,2001,7,370.40738999999996,2001.5369863013698,369.7310369250649,1.4975632798170164,-0.8212102048819929,-0.8347905299187914,-0.8175135996079348,1.6110965395159205
2001-08-15,2001,8,370.29758,2001.6219178082192,369.88011780630063,1.044785700122831,-0.6273235064234655,-0.7291241935381549,-0.8236240074439252,1.7556964158043065
2001-09-15,2001,9,369.6121,2001.7068493150684,370.0294883544855,0.3576702720387797,-0.7750586265242987,-0.6444684963302052,-0.8177565877438155,1.8996095136150712
2001-10-15,2001,10,369.4105,2001.7890410958903,370.1743162994083,-0.32224626746069884,-0.4415700319476059,-0.6063438804082466,-0.8007432930629079,2.0387831829343477
2001-11-15,2001,11,368.70071,2001.8739726027397,370.32425683739746,-0.7018063157204903,-0.9217405216769521,-0.6873828468694683,-0.7715588159467188,2.1772884373335293
2001-12-15,2001,12,369.00854,2001.9561643835616,370.4696363853563,-1.0299141851622355,-0.4311822001940868,-0.5269127424659246,-0.7327986094025505,2.302457455680436
2002-01-15,2002,1,369.00412,2002.041095890411,370.6201469131494,-1.190083814396444,-0.4259430987530095,-0.48737295662374436,-0.6826148410249289,2.4209864971688937
2002-02-15,2002,2,368.89067,2002.1260273972603,370.77094710789163,-1.063214977633854,-0.8170621302577956,-0.6430668780953965,-0.6233764649123259,2.521741374768647
2002-03-15,2002,3,369.44431000000003,2002.2027397260274,370.90740271032325,-0.9673742979190532,-0.49571841240418735,-0.5480078598862974,-0.5633585856188006,2.5990590293968503
2002-04-15,2002,4,370.07735,2002.2876712328766,371.0587542066791,-0.33687140848119174,-0.6445327981978721,-0.5400657749737547,-0.4909146884854749,2.6666759757839387
2002-05-15,2002,5,371.45472,2002.3698630136987,371.2054991982194,0.9533226892617397,-0.7041018874811584,-0.8699638276203814,-0.41653620220603216,2.7111580729481544
2002-06-15,2002,6,371.98784,2002.454794520548,371.3574206843792,1.6938841533625013,-1.0634648377416624,-0.9280116547455464,-0.33692174718061096,2.7375461215634633
2002-07-15,2002,7,372.55965,2002.5369863013698,371.5047172789551,1.4975632798170166,-0.44263055877217994,-0.4229292284122721,-0.2588260643975673,2.744174240522769
2002-08-15,2002,8,373.04129,2002.6219178082192,371.6572087549193,1.0447857001228296,0.33929554495790626,0.0264246976934146,-0.17856712018880216,2.7339513107277775
2002-09-15,2002,9,372.15822000000003,2002.7068493150684,371.8099898978325,0.35767027203878093,-0.009440169871254511,0.09279656398621228,-0.10011691878690954,2.709053810569909
2002-10-15,2002,10,371.65359,2002.7890410958903,371.9581184182989,-0.3222462674606982,0.01771784916178376,0.06888405347933713,-0.02695023852459144,2.674291923597969
2002-11-15,2002,11,371.48286,2002.8739726027397,372.11146955101646,-0.7018063157204913,0.07319676470405057,0.09308257752195459,0.04503268254950399,2.6310881810840696
2002-12-15,2002,12,371.453,2002.9561643835616,372.2601496745189,-1.0299141851622338,0.2227645106432874,0.26175890358229026,0.11075650147682836,2.5857404410865836
2003-01-15,2003,1,371.6675,2003.041095890411,372.4140707970404,-1.1900838143964443,0.44351301735605375,0.4161081591142306,0.17443071410366429,2.538495221550445
2003-02-15,2003,2,371.88322,2003.1260273972603,372.56828158651103,-1.0632149776338544,0.3781533911227939,0.38869026483155267,0.2338857496100104,2.4935357803575915
2003-03-15,2003,3,372.15697,2003.2027397260274,372.7078177261167,-0.967374297919054,0.41652657180236474,0.3819948253453731,0.28417824876862596,2.4561494062359364
2003-04-15,2003,4,372.59571,2003.2876712328766,372.8625798172009,-0.33687140848118835,0.07000159128028827,0.41519998541599534,0.33640727912893453,2.418892273047538
2003-05-15,2003,5,374.63082,2003.3698630136987,373.01262538428483,0.9533226892617436,0.6648719264534293,0.4558470504388765,0.38381848849525113,2.386349046970018
2003-06-15,2003,6,375.62317,2003.454794520548,373.167957465173,1.6938841533625006,0.7613283814645229,0.5002445295214102,0.4298035844886954,2.3544454942710424
2003-07-15,2003,7,375.15312,2003.5369863013698,373.3185546352925,1.4975632798170166,0.33700208489045735,0.39028559809588614,0.4714369781368646,2.3228170213916743
2003-08-15,2003,8,374.69389,2003.6219178082192,373.47445670598506,1.0447857001228298,0.17464759389213214,0.2127446344886721,0.5113029408412331,2.286278679762629
2003-09-15,2003,9,374.27249,2003.7068493150684,373.6306484436267,0.35767027203878055,0.28417128433454764,0.21818587877862683,0.5474828176349433,2.2421622716922633
2003-10-15,2003,10,373.64339,2003.7890410958903,373.78207753963665,-0.3222462674606984,0.18355872782404958,0.27486796878525865,0.5782637350471305,2.190010599688037
2003-11-15,2003,11,373.50756,2003.8739726027397,373.93883926708264,-0.7018063157204919,0.2705270486378595,0.3805180460707902,0.604800719744901,2.123993761939152
2003-12-15,2003,12,373.84036000000003,2003.9561643835616,374.09081996612866,-1.0299141851622344,0.779454219033596,0.6305142631839544,0.624339810924198,2.0478900628425944
2004-01-15,2004,1,373.68773999999996,2004.0409836065573,374.2479434914703,-1.19014013615523,0.6299366446848467,0.6704640608505201,0.637200830515269,1.9584606375095635
2004-02-15,2004,2,373.80672000000004,2004.1256830601094,374.405133439603,-1.063683306805913,0.4652698672029487,0.4740577091582736,0.6417279670489506,1.8583565100501753
2004-03-15,2004,3,374.00072,2004.204918032787,374.55244290723385,-0.9619002179112606,0.4101773106773976,0.5828144185567794,0.637802946462557,1.7614572954546683
2004-04-15,2004,4,375.27664,2004.2896174863388,374.71019044162244,-0.31091545868548387,0.8773650170630276,0.8896283346462042,0.624927846922219,1.6592143567237905
2004-05-15,2004,5,376.85118,2004.3715846994535,374.86312364233436,0.9789106057180349,1.0091457519475853,0.9315650359595793,0.6041077890004658,1.5666563455879916
2004-06-15,2004,6,377.75954,2004.4562841530055,375.021438056084,1.6963999193027504,1.0417020246133006,1.0351714774255925,0.5749548063708971,1.4857429799661985
