date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,372.76774,2000.0409836065573,369.5968422801398,2.2074807224960358,0.9634169973641633,0.7772375920436048,0.08279939831413685,1.4457418292998643
2000-02-15,2000,2,372.86332000000004,2000.1256830601094,369.7506364147578,3.063236937225954,0.04944664801627141,0.14743154354476928,0.047466915003781196,1.3521239499445732
2000-03-15,2000,3,373.43823,2000.204918032787,369.89472724388077,3.9211604879552153,-0.3776577318359955,-0.3092344245320078,0.007157915515051627,1.2680346479976121
2000-04-15,2000,4,374.18571000000003,2000.2896174863388,370.04898936462934,4.191580653863765,-0.054860018493059215,-0.25680050491996553,-0.04310982149348774,1.1913877138312916
2000-05-15,2000,5,373.04897,2000.3715846994535,370.1985055069183,3.365943792986464,-0.5154792999047686,-0.2927009595365462,-0.09734132424620157,1.1361945438195518
2000-06-15,2000,6,371.70414,2000.4562841530055,370.3532434135672,1.0041322479417056,0.34676433849108435,0.07853414560491956,-0.15754130862040938,1.1005121661946804
2000-07-15,2000,7,367.42163,2000.5382513661202,370.50321999382373,-2.9452083288048234,-0.13638166501891646,-0.008573828460214372,-0.2178933564402996,1.0901238824196589
2000-08-15,2000,8,364.15173,2000.622950819672,370.65843368637206,-6.201297811086533,-0.30540587528554397,-0.09083358040300027,-0.28035208978894843,1.1045542694614878
2000-09-15,2000,9,365.21594,2000.707650273224,370.8138891717552,-5.771391625795796,0.17344245404058256,0.1023696093828903,-0.34077804854427995,1.1428643764622426
2000-10-15,2000,10,367.57634,2000.7896174863388,370.9645601830449,-3.1301323575082303,-0.258087825536677,-0.2703473350872514,-0.3955140227575953,1.2018821538076416
2000-11-15,2000,11,369.71238999999997,2000.8743169398906,371.12049145432746,-0.6142682101446763,-0.7938332441827924,-0.7881304449388722,-0.44639066820417383,1.2806162243385453
2000-12-15,2000,12,371.41598,2000.9562841530055,371.27162290358524,1.1025694640827437,-0.9582123676680112,-0.9984454551029671,-0.4890096075150723,1.3695374806484508
2001-01-15,2001,1,372.74032,2001.041095890411,371.4282374660006,2.208617857642801,-0.8965353236434339,-0.7720625417821338,-0.5251888162725891,1.4712163666118916
2001-02-15,2001,2,374.32357,2001.1260273972603,371.5853161444961,3.067043570937931,-0.32878971543402713,-0.634540787206447,-0.5530416281461612,1.570209920610893
2001-03-15,2001,3,374.56435,2001.2027397260274,371.7274026269889,3.901616666475552,-1.0646692934644761,-0.81955221085326,-0.5713050642454505,1.6594533632931232
2001-04-15,2001,4,375.65173,2001.2876712328766,371.8849440168699,4.197788226616192,-0.4310022434860912,-0.7316105396909052,-0.5838390952799841,1.7513672729405947
2001-05-15,2001,5,374.68557000000004,2001.3698630136987,372.03763490861843,3.395509542062378,-0.7475744506807587,-0.7478031953124855,-0.5894887536682063,1.825411972882058
2001-06-15,2001,6,372.58932999999996,2001.454794520548,372.1956546950166,1.0630847328097994,-0.6694094278263947,-0.8155155241479406,-0.5896750169514462,1.887904328544569
2001-07-15,2001,7,369.02144,2001.5369863013698,372.34880855113613,-2.8803998514502074,-0.44696869968595365,-0.17180231472468677,-0.5857534999325935,1.9321521903099317
2001-08-15,2001,8,366.72712,2001.6219178082192,372.50730673405195,-6.181755319157875,0.40156858510596294,0.34067367746223454,-0.5787160891107419,1.9632504695562327
2001-09-15,2001,9,366.25162,2001.7068493150684,372.66604803650887,-5.791315134631156,-0.6231129018777324,-0.13586533390076738,-0.5698927965365215,1.9808042121708898
2001-10-15,2001,10,369.31661,2001.7890410958903,372.8199001339756,-3.1496807720926134,-0.35360936188294545,-0.4686928911120276,-0.5605438297210981,1.989380448445549
2001-11-15,2001,11,372.04672,2001.8739726027397,372.9791198329501,-0.622899625334072,-0.309500207616054,-0.5537743136924291,-0.550588435473685,1.9941228383995535
2001-12-15,2001,12,373.24452,2001.9561643835616,373.1334348947883,1.1005468488613601,-0.989461743649656,-0.8959395963423731,-0.5407986819811299,1.9997169359038418
2002-01-15,2002,1,374.52353999999997,2002.041095890411,373.29313299028007,2.208617857642801,-0.9782108479229237,-0.8734486429711978,-0.5301963753932455,2.0121604988908732
2002-02-15,2002,2,376.09375,2002.1260273972603,373.4530742053129,3.0670435709379307,-0.4263677762507996,-0.5751116058716548,-0.5183453052322307,2.0352376028677512
2002-03-15,2002,3,376.97615,2002.2027397260274,373.5977462046782,3.9016166664755523,-0.523212871153703,-0.6402516079525071,-0.505682607127028,2.0693485754002454
2002-04-15,2002,4,377.14181,2002.2876712328766,373.7581501310965,4.197788226616192,-0.8141283577126615,-0.8350315388493641,-0.488142124537319,2.123481723801177
2002-05-15,2002,5,376.62056,2002.3698630136987,373.913611219494,3.3955095420623786,-0.6885607615563458,-0.8284800843157427,-0.46636538248361603,2.1923564424463327
2002-06-15,2002,6,374.71871,2002.454794520548,374.07449354242954,1.063084732809801,-0.41886827523933334,-0.5915519348463363,-0.43744361798945874,2.279343042984676
2002-07-15,2002,7,371.34322000000003,2002.5369863013698,374.2304175951981,-2.880399851450205,-0.006797743747881668,0.10387010164038202,-0.4021472866357385,2.3756911505760154
2002-08-15,2002,8,368.59367000000003,2002.6219178082192,374.3917783146513,-6.18175531915788,0.38364700450665623,0.7020502899401322,-0.3571861143871047,2.483551989548043
2002-09-15,2002,9,368.93992000000003,2002.7068493150684,374.55338215364554,-5.791315134631153,0.17785298098561952,0.4155396029813687,-0.3032130283468746,2.592655869490862
2002-10-15,2002,10,371.41747000000004,2002.7890410958903,374.71000444776126,-3.1496807720926157,-0.1428536756686185,-0.19356432487364827,-0.24252758814861863,2.694036296949915
2002-11-15,2002,11,373.79295,2002.8739726027397,374.87208668327315,-0.622899625334067,-0.4562370579390631,-0.5574449436120403,-0.17172844458082182,2.7872693331053675
2002-12-15,2002,12,375.32873,2002.9561643835616,375.02917194176035,1.100546848861354,-0.8009887906217159,-0.6011257549181437,-0.09659538500540066,2.8602005851374734
2003-01-15,2003,1,377.33662999999996,2003.041095890411,375.19173257378947,2.2086178576428,-0.06372043143232986,-0.44369697103519457,-0.013821139217441214,2.9127012125814438
2003-02-15,2003,2,377.74935,2003.1260273972603,375.3545363253596,3.067043570937927,-0.6722298962975515,-0.5693080885070572,0.07201546267947379,2.9374745082795313
2003-03-15,2003,3,378.47139,2003.2027397260274,375.5017938415973,3.901616666475549,-0.932020508072867,-0.7026359111146689,0.15014528484783796,2.9347614317628645
2003-04-15,2003,4,379.84972,2003.2876712328766,375.665060304553,4.19778822661619,-0.013128531169172675,-0.23954541300366827,0.23502319027522844,2.9036116557764133
2003-05-15,2003,5,379.75633,2003.3698630136987,375.82329158959953,3.395509542062375,0.5375288683380859,0.3312337534322296,0.31327182883973137,2.8466629846310183
2003-06-15,2003,6,378.05953999999997,2003.454794520548,375.9870364490724,1.0630847328098034,1.0094188181178083,0.6297382287551159,0.38793628227944055,2.7636384522985273
2003-07-15,2003,7,374.14333,2003.5369863013698,376.14573069849,-2.8803998514502034,0.8779991529601716,1.3507365000758114,0.45241846288411125,2.6644295260952298
2003-08-15,2003,8,372.43334,2003.6219178082192,376.30995395448053,-6.181755319157879,2.305141364677354,2.0487501377730837,0.5096440049044304,2.548507572019081
2003-09-15,2003,9,371.56124,2003.7068493150684,376.4744203300121,-5.791315134631158,0.8781348046190374,1.4228640351334434,0.5563917477793439,2.4243109431427907
2003-10-15,2003,10,373.94569,2003.7890410958903,376.6338128207769,-3.1496807720926157,0.46155795131573996,0.5533071143444204,0.591255624239011,2.303185458552236
2003-11-15,2003,11,376.67242999999996,2003.8739726027397,376.7987575928261,-0.6228996253340697,0.49657203250791326,0.41595086194257647,0.6167516656946077,2.182154804276507
2003-12-15,2003,12,378.62395,2003.9561643835616,376.95861304796233,1.1005468488613537,0.5647901031762785,0.23462210902408742,0.6317014269232004,2.0735316849362224
2004-01-15,2004,1,378.95737,2004.0409836065573,377.1238173580309,2.207480722496036,-0.37392808052692317,-0.05319462095064864,0.6380831034246626,1.9746279129998285
2004-02-15,2004,2,380.54501,2004.1256830601094,377.28903035424594,3.0632369372259527,0.19274270852810105,0.22746854803449423,0.6364197483522958,1.889597573063612
2004-03-15,2004,3,382.16138,2004.204918032787,377.4438033442177,3.9211604879552167,0.7964161678270898,0.42909804560872544,0.6287094111781357,1.825384759994801
2004-04-15,2004,4,381.95698,2004.2896174863388,377.60948432656335,4.191580653863766,0.15591501957288756,0.07333096420023821,0.6153119814809997,1.7726572360674924
2004-05-15,2004,5,380.82048,2004.3715846994535,377.7700509800752,3.3659437929864673,-0.3155147730616932,-0.06823836390810811,0.5984218779919388,1.735588505703198
2004-06-15,2004,6,379.83581000000004,2004.4562841530055,377.9362077483211,1.0041322479417203,0.8954700037372163,0.533001803265222,0.5781504801745996,1.7112070890518662
2004-07-15,2004,7,376.56742,2004.5382513661202,378.0972348398006,-2.9452083288048057,1.4153934890042592,1.3709600971334908,0.5568134563553144,1.699109734231121
2004-08-15,2004,8,373.58949,2004.622950819672,378.263867393946,-6.201297811086533,1.526920417140559,1.6227458669437738,0.5339473439359494,1.6972327277488337
2004-09-15,2004,9,373.07687999999996,2004.707650273224,378.4307417409261,-5.771391625795801,0.41752988486962295,0.6749174135502471,0.5110875563436252,1.7049767490626175
2004-10-15,2004,10,375.01406000000003,2004.7896174863388,378.5924632634388,-3.130132357508236,-0.4482709059305421,-0.043588005790923035,0.4897137962627198,1.7206938536676604
2004-11-15,2004,11,378.79602,2004.8743169398906,378.75981339631835,-0.6142682101446832,0.6504748138263494,0.3409976937055035,0.46908354613344727,1.7453783185918195
2004-12-15,2004,12,380.64321,2004.9562841530055,378.9219953567991,1.102569464082739,0.6186451791181753,0.6068806341579602,0.4512290963880332,1.7773784152411927
2005-01-15,2005,1,381.91699,2005.041095890411,379.09004391849805,2.2086178576428015,0.6183282238591232,0.5840364691359241,0.43559217762094704,1.8180541146153337
2005-02-15,2005,2,382.90667,2005.1260273972603,379.2585727431429,3.0670435709379262,0.581053685919187,0.542434469995726,0.42357832267435924,1.8700613802530457
2005-03-15,2005,3,383.5629,2005.2027397260274,379.4110012931255,3.901616666475553,0.25028204039898583,0.25784791359154724,0.4166382748826436,1.92272337546081
2005-04-15,2005,4,383.88982999999996,2005.2876712328766,379.5799928291558,4.19778822661619,0.11204894422797906,0.09404969553924047,0.413584219121617,1.987253161894617
2005-05-15,2005,5,383.63229,2005.3698630136987,379.74376450750043,3.3955095420623764,0.49301595043721136,0.5009705893403407,0.4159905821041434,2.0562602455667083
