date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,391.65479,2000.0409836065573,383.62442160758064,4.219015807541305,3.8113525848780228,1.607195717367972,0.37895870857522596,1.4711894008555269
2000-02-15,2000,2,382.05102,2000.1256830601094,383.7915937369094,4.663432376582349,-6.404006113491789,-3.737002469535355,0.3302276563616715,1.3279317377271422
2000-03-15,2000,3,388.12757999999997,2000.204918032787,383.9481291343184,4.01407569238251,0.1653751732990827,-1.5526736691151086,0.2740318200632714,1.2068630099845736
2000-04-15,2000,4,386.58641,2000.2896174863388,384.11561888910535,0.8435623386281255,1.6272287722665055,2.60008498332013,0.20428089058628984,1.109484748867725
2000-05-15,2000,5,385.91502,2000.3715846994535,384.2778619998104,-1.5555200962568978,3.192678096446514,2.5678596916529273,0.13084096277060553,1.066078893556658
2000-06-15,2000,6,381.2759,2000.4562841530055,384.4456746738141,-3.5483206941111414,0.3785460202970512,0.6187297131976948,0.05352523364587114,1.0820247050657925
2000-07-15,2000,7,377.22976,2000.5382513661202,384.6082302869865,-7.331128839893087,-0.04734144709340171,0.3087686315633391,-0.017319740370680847,1.168574594713695
2000-08-15,2000,8,378.8973,2000.622950819672,384.7763658802061,-8.503200670436192,2.624134790230073,2.472284049049904,-0.07990544833353397,1.3367096649023726
2000-09-15,2000,9,381.18413,2000.707650273224,384.944665579913,-3.5969826817465482,-0.163552898166472,-1.1945526572362724,-0.1253626579767797,1.574097329601585
2000-10-15,2000,10,379.46529,2000.7896174863388,385.10769250828207,1.9211670576008215,-7.563569565882915,-5.585791813261267,-0.14770801046125825,1.8711678769448636
2000-11-15,2000,11,390.47244,2000.8743169398906,385.27631512720484,4.493603720756714,0.7025211520384573,0.48963862350996123,-0.14294424236902614,2.225827892349419
2000-12-15,2000,12,397.9363,2000.9562841530055,385.43965455804175,4.638080619897198,7.858564822061055,5.113725758089231,-0.10897060358689714,2.5942705997166327
2001-01-15,2001,1,387.27382,2001.041095890411,385.60882417178885,4.219019064310376,-2.5540232360992263,-0.7695105413439478,-0.04150085064674158,2.9825774996059673
