date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,376.06631,2000.0409836065573,377.02473373998237,-0.9993082154758158,0.040884475493442096,-0.6306039232904368,1.8866749214838592,-0.31759272473906414
2000-02-15,2000,2,373.48995,2000.1256830601094,377.17848641208275,-1.418100483575552,-2.2704359285071973,-0.6374082714719407,1.6888756221260337,-0.7151391982898755
2000-03-15,2000,3,379.07826,2000.204918032787,377.32258580186044,-2.3931959012270445,4.148870099366604,2.3528385982322106,1.4747030046771101,-1.0471850456909249
2000-04-15,2000,4,377.12674,2000.2896174863388,377.47690768721594,0.9603325174176858,-1.3105002046336267,-0.08677137867215379,1.2193125698551626,-1.3182351652301636
2000-05-15,2000,5,384.81942999999995,2000.3715846994535,377.6265314634357,3.7114320188813057,3.481466517682975,3.959821595497658,0.9549259035843534,-1.4633296135710316
2000-06-15,2000,6,389.72861,2000.4562841530055,377.7814320489347,1.9373634843608896,10.009814466704427,7.437721749806883,0.6741865731634675,-1.4844095613166737
2000-07-15,2000,7,377.50011,2000.5382513661202,377.931615857551,0.8266761470065581,-1.2581820045575114,1.563298112389873,0.4063058471314207,-1.3630607218563415
2000-08-15,2000,8,379.81311,2000.622950819672,378.08709514319264,-0.466215426035385,2.192230282842729,0.020008710862782664,0.14588226055690257,-1.091353367467754
2000-09-15,2000,9,372.43313,2000.707650273224,378.24286852235,-2.2932100382467393,-3.516528484103276,-2.19866736863122,-0.08634804753381786,-0.6966403370820967
2000-10-15,2000,10,374.2339,2000.7896174863388,378.3938969699906,-0.2609082072303447,-3.8990887627602433,-3.260245044154942,-0.27510627081232997,-0.20384303753646205
2000-11-15,2000,11,381.48573,2000.8743169398906,378.5502490492907,1.1339489924957682,1.801531958213502,0.21937105705347903,-0.42425559768309995,0.37700009711086296
2000-12-15,2000,12,377.12633,2000.9562841530055,378.7018375293282,-0.8051652684294784,-0.7703422608987012,-0.27879762553783394,-0.5209462272123346,0.969738251242011
