date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,370.92197000000004,2000.0409836065573,368.97345868416704,0.7267910904057817,1.221720225427248,0.7876619649064196,0.21201962329604385,1.6983169113769065
2000-02-15,2000,2,369.81338,2000.1256830601094,369.1255429197694,1.3360520042888664,-0.6482149240582658,-0.17784732820433646,0.2008000464933275,1.6257842222450234
2000-03-15,2000,3,371.78758,2000.204918032787,369.26805239683637,2.3335787913162918,0.18594881184731094,-0.03799480688098811,0.18403821486606375,1.5464023978845332
2000-04-15,2000,4,372.65421000000003,2000.2896174863388,369.42064359496356,3.0124340176500786,0.2211323873863762,0.22631825568726072,0.15866178421651966,1.4584666488093845
2000-05-15,2000,5,372.40542999999997,2000.3715846994535,369.5685618892322,3.0725938884279524,-0.23572577766020686,-0.15042995612344612,0.12685372389756822,1.3738586467385674
2000-06-15,2000,6,372.09422,2000.4562841530055,369.72166849926055,2.167334634656212,0.20521686608327627,0.07195827198773941,0.08648755914219919,1.29037551659453
2000-07-15,2000,7,369.78233,2000.5382513661202,369.8700855792395,-0.1715682607916213,0.08381268155210364,0.12355068183376261,0.040831155404475794,1.2176292229185262
2000-08-15,2000,8,367.43225,2000.622950819672,370.0237076011681,-2.4569855041809685,-0.1344720969871105,-0.05861067794489827,-0.012524880689227302,1.1526850989746895
2000-09-15,2000,9,366.88425,2000.707650273224,370.17759155373517,-3.452399680456668,0.15905812672150432,0.23821923919678056,-0.07095118833154856,1.1040351093735354
2000-10-15,2000,10,367.32077999999996,2000.7896174863388,370.3267609006872,-3.6538685898204273,0.6478876891331993,0.5837574613919401,-0.13101827735027882,1.0727106925142886
2000-11-15,2000,11,368.12181,2000.8743169398906,370.48116026515453,-2.445393161802019,0.08604289664748421,0.1286620327739456,-0.195295260621549,1.0587308976242555
2000-12-15,2000,12,369.72639,2000.9562841530055,370.63082839781725,-0.3765052044931253,-0.5279331933241451,-0.5675457958983543,-0.25808475689404986,1.064138984434599
2001-01-15,2001,1,370.77445,2001.041095890411,370.7859487145063,0.7275087897553614,-0.7390075042616218,-0.6760105804316368,-0.3220241809946742,1.089512334254459
2001-02-15,2001,2,371.71494,2001.1260273972603,370.94155127115346,1.3396918958739852,-0.5663031670274563,-0.6199336912115427,-0.3834144829159527,1.1308991096604688
2001-03-15,2001,3,372.6212,2001.2027397260274,371.0823218861443,2.306848665153986,-0.7679705512983332,-0.7032488190827735,-0.43552901515693065,1.1840705684064325
2001-04-15,2001,4,373.70468,2001.2876712328766,371.2384256912621,3.004932231694346,-0.538677922956424,-0.6818323629228189,-0.4880043104676588,1.2569074454971116
2001-05-15,2001,5,373.76597000000004,2001.3698630136987,371.38974465102706,3.077257577336418,-0.7010322283634309,-0.6259996870156783,-0.532836566385356,1.3366990917511652
2001-06-15,2001,6,373.51571,2001.454794520548,371.5463666960891,2.1977953228147755,-0.2284520189038517,-0.5541886832792784,-0.5720985920406747,1.4270682633116558
2001-07-15,2001,7,370.89951,2001.5369863013698,371.69818717838024,-0.130526880499439,-0.6681502978807998,-0.4939056938681574,-0.6029160042190256,1.5185624340873154
2001-08-15,2001,8,368.83898,2001.6219178082192,371.8553274633869,-2.4374365843543213,-0.5789108790326054,-0.4992875795692271,-0.626932214714202,1.615993881452017
2001-09-15,2001,9,367.98269,2001.7068493150684,372.0127311162337,-3.446946184789768,-0.5830949314438953,-0.5153435205637606,-0.6430280671528408,1.7111040735518437
2001-10-15,2001,10,367.92961,2001.7890410958903,372.16530799315524,-3.656071232078514,-0.5796267610767245,-0.4335408145497013,-0.651236803468862,1.8018942887051406
2001-11-15,2001,11,369.2488,2001.8739726027397,372.32322988594666,-2.453609756515331,-0.6208201294313085,-0.5693805963956038,-0.6522327983857394,1.8922684027535808
2001-12-15,2001,12,371.34875,2001.9561643835616,372.47630828539485,-0.37908369773169737,-0.7484745876631678,-0.7535603512654347,-0.6463450244513638,1.9757252217658545
2002-01-15,2002,1,373.04129,2002.041095890411,372.6347484181305,0.7275087897553612,-0.32096720788587163,-0.561411981769254,-0.6334081889012282,2.0591910377090663
2002-02-15,2002,2,373.38689,2002.1260273972603,372.79345191870624,1.3396918958739847,-0.7462538145802569,-0.5130824086905363,-0.613855835298466,2.1374441950856844
2002-03-15,2002,3,374.70236,2002.2027397260274,372.9370233862777,2.3068486651539857,-0.5415120514317096,-0.6596122518299694,-0.5908060352217603,2.2072115845554743
2002-04-15,2002,4,375.51497,2002.2876712328766,373.09622813532405,3.0049322316943456,-0.5861903670183892,-0.7077781704747395,-0.5592778549766422,2.283136283748701
2002-05-15,2002,5,375.46642,2002.3698630136987,373.2505480085682,3.0772575773364177,-0.8613855859045998,-0.8006035863873535,-0.5230320215560482,2.3542419753064436
2002-06-15,2002,6,375.15002999999996,2002.454794520548,373.41027099755877,2.1977953228147755,-0.4580363203735942,-0.7643435086553723,-0.47970044676293355,2.4267562481976137
2002-07-15,2002,7,372.92298,2002.5369863013698,373.5650923933292,-0.13052688049943792,-0.5115855128298108,-0.37810495529481614,-0.43225692029085394,2.4949540037773734
2002-08-15,2002,8,371.10699,2002.6219178082192,373.72533362226443,-2.4374365843543266,-0.1809070379101172,-0.058340192917967215,-0.3776775550747402,2.562982006558799
2002-09-15,2002,9,370.42797,2002.7068493150684,373.8858382190397,-3.4469461847897684,-0.010922034249915669,0.038005094415211715,-0.31778960414419544,2.625969271069331
2002-10-15,2002,10,370.43015,2002.7890410958903,374.0414160094405,-3.656071232078513,0.04480522263799003,0.17900787301641685,-0.2552363342597346,2.6807286981946326
2002-11-15,2002,11,371.65058999999997,2002.8739726027397,374.2024388461605,-2.4536097565153256,-0.09823908964517614,-0.06979824939725177,-0.18649067070458614,2.7280612516735383
2002-12-15,2002,12,373.39426000000003,2002.9561643835616,374.35851815908796,-0.37908369773170353,-0.585174461356246,-0.5525614740440687,-0.11685843096626058,2.7621864390888633
2003-01-15,2003,1,374.88344,2003.041095890411,374.5200592357521,0.727508789755361,-0.3641280255074548,-0.4241552685058423,-0.042809705499621487,2.782839033958265
2003-02-15,2003,2,375.90455,2003.1260273972603,374.68186368025636,1.3396918958739819,-0.1170055761303388,-0.158850978122814,0.03199525728342678,2.785752080325148
2003-03-15,2003,3,376.80827999999997,2003.2027397260274,374.8282360004085,2.3068486651539857,-0.32680466556251986,-0.19087892422345476,0.09889233482903137,2.771843833130641
2003-04-15,2003,4,378.19665,2003.2876712328766,374.99054169338336,3.0049322316943465,0.20117607492227307,0.005644640341927243,0.17067228416578928,2.736908053005614
2003-05-15,2003,5,378.45588,2003.3698630136987,375.14786248010677,3.0772575773364172,0.23075994255680143,0.2584617791089272,0.23622569432012597,2.683204053520137
2003-06-15,2003,6,378.30681,2003.454794520548,375.3106864130259,2.1977953228147755,0.798328264159295,0.36780129653146787,0.2982350648464376,2.607929479146865
2003-07-15,2003,7,375.80621,2003.5369863013698,375.46850872227554,-0.13052688049943661,0.4682281582238943,0.6501770422920004,0.35116150224746434,2.5177246307872085
2003-08-15,2003,8,374.01725,2003.6219178082192,375.6318508951393,-2.437436584354325,0.8228356892150259,0.7796669558246663,0.39716511733860216,2.4097664119431452
2003-09-15,2003,9,372.67036,2003.7068493150684,375.79545643584316,-3.4469461847897676,0.3218497489466472,0.6181061827305143,0.43320206100230507,2.289730953469334
2003-10-15,2003,10,372.99842,2003.7890410958903,375.9540351397232,-3.656071232078515,0.7004560923552958,0.6979244190033,0.45780906156932133,2.16745446867578
2003-11-15,2003,11,374.07846,2003.8739726027397,376.1181589203717,-2.4536097565153256,0.413910836143657,0.5858377552202114,0.4723371913285632,2.0392305076499344
2003-12-15,2003,12,376.1666,2003.9561643835616,376.27723914677836,-0.37908369773170536,0.2684445509533475,0.13408646911864253,0.4758441232739301,1.9184196472670836
2004-01-15,2004,1,377.2699,2004.0409836065573,376.44166332822437,0.7267910904057824,0.10144558136988735,0.19302994448247546,0.46918065174412504,1.8032801423822735
2004-02-15,2004,2,378.57282000000004,2004.1256830601094,376.60611744944333,1.3360520042888666,0.630650546267816,0.5162497686329743,0.4530170866892149,1.7006303773378537
2004-03-15,2004,3,379.49235,2004.204918032787,376.76019875499037,2.3335787913162918,0.39857245369330485,0.36457872329128804,0.43042705968423434,1.6220011985337983
2004-04-15,2004,4,380.09434,2004.2896174863388,376.92515983873415,3.012434017650078,0.15674614361574868,0.18734991531135847,0.4000642824513534,1.5596197317890854
2004-05-15,2004,5,380.48517000000004,2004.3715846994535,377.0850489900511,3.0725938884279524,0.32752712152097274,0.2226556220704765,0.3662856544306692,1.5217068344506508
2004-06-15,2004,6,379.84594,2004.4562841530055,377.2505254856961,2.1673346346562194,0.4280798796476688,0.28795637974434385,0.32896219210971367,1.5087162357438082
2004-07-15,2004,7,377.87281,2004.5382513661202,377.41091342272335,-0.1715682607916092,0.6334648380682779,0.5722785364020524,0.29258095582946453,1.5211725710285824
