date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,368.95493,2000.0409836065573,367.81032857092123,1.2304663304028367,-0.08586490132410063,-0.13507778737402987,0.011695731750307914,1.7043997172172298
2000-02-15,2000,2,369.89644,2000.1256830601094,367.96014466392353,2.0108052668997494,-0.0745099308232966,0.029508371020483537,0.004054955438164143,1.6510937036852629
2000-03-15,2000,3,369.76824,2000.204918032787,368.1005291220907,1.257028029522613,0.41068284838672753,0.22681493445719525,-0.007783765296380807,1.592109043690796
2000-04-15,2000,4,367.92547,2000.2896174863388,368.2508453189632,-0.025176793675635842,-0.3001985252874988,-0.10098183201591837,-0.02606621974666723,1.5262135871791456
2000-05-15,2000,5,367.77472,2000.3715846994535,368.39655862509886,-0.6522351565806304,0.03039653148175603,-0.08140113146055228,-0.0492777607246353,1.4621184841239185
2000-06-15,2000,6,367.92501,2000.4562841530055,368.54738326090694,-0.5674099257054912,-0.054963335201478,-0.010081819252093283,-0.07903582714482127,1.3980806629932305
2000-07-15,2000,7,368.23651,2000.5382513661202,368.69358860472175,-0.34541507349610656,-0.11166353122564487,-0.1323668670577831,-0.11298472603448317,1.341282593895682
2000-08-15,2000,8,368.25432,2000.622950819672,368.8449216794646,-0.49232361493006227,-0.09827806453455423,-0.079438680151668,-0.15299690138715505,1.28922061660659
2000-09-15,2000,9,368.30053,2000.707650273224,368.99651314120774,-0.6778113880174895,-0.018171753190245,-0.04159728505049998,-0.1971968664552719,1.2484869035308819
2000-10-15,2000,10,368.39576,2000.7896174863388,369.14346057463706,-0.6876931261287073,-0.06000744850837236,-0.01778099751169293,-0.24305192392739627,1.2199843501200225
2000-11-15,2000,11,368.48502,2000.8743169398906,369.2955604753149,-0.7646900209243311,-0.04585045439057467,-0.13441503631003116,-0.2926131508565959,1.2037945047642773
2000-12-15,2000,12,368.59997999999996,2000.9562841530055,369.44299994642387,-0.24032112333071998,-0.602698823093192,-0.3276517872798195,-0.341534167189252,1.2023286712936865
2001-01-15,2001,1,370.70405,2001.041095890411,369.59581076642297,1.2324152346868484,-0.12417600110984495,-0.4778228767559085,-0.3918976186606642,1.216389075480611
2001-02-15,2001,2,370.8514,2001.1260273972603,369.7490970043853,2.010400646569573,-0.9080976509548577,-0.8316949646040257,-0.44076139499998135,1.2443856038736896
2001-03-15,2001,3,370.30631,2001.2027397260274,369.8877723980191,1.2901748239839343,-0.8716372220030166,-0.9440643915199871,-0.48257416978628953,1.2841747128199437
2001-04-15,2001,4,369.05974,2001.2876712328766,370.04155310310244,-0.0006832615332746997,-0.9811298415692136,-0.860410458489298,-0.5248511629119434,1.3428866658480891
2001-05-15,2001,5,368.79507,2001.3698630136987,370.19062050901505,-0.6473495786532032,-0.7482009303618611,-0.6994996573826029,-0.560809926919319,1.4123541752710578
2001-06-15,2001,6,369.31212999999997,2001.454794520548,370.34491244281674,-0.5724836418995268,-0.4602988009172577,-0.48860887679006737,-0.5916126010478706,1.496817076656575
2001-07-15,2001,7,369.80421,2001.5369863013698,370.49447458619824,-0.3464064415646517,-0.3438581446336002,-0.395627953843416,-0.6144529755127905,1.5891017073465776
2001-08-15,2001,8,369.83637000000004,2001.6219178082192,370.64927774871865,-0.4889961996756098,-0.32391154904297537,-0.29685888289316154,-0.6298389127907171,1.6950409771656405
2001-09-15,2001,9,369.91612000000003,2001.7068493150684,370.80434071599717,-0.6773304964877044,-0.21089021950945153,-0.21746384747825687,-0.6362358704070061,1.8065776814317585
2001-10-15,2001,10,370.05325,2001.7890410958903,370.9546490208079,-0.6873389556065935,-0.21406006520129495,-0.2658965456113265,-0.6334240793863728,1.9206353370491844
2001-11-15,2001,11,369.91219,2001.8739726027397,371.11022321680514,-0.7648842764966823,-0.4331489403084561,-0.43109292941460353,-0.620743709979422,2.040984428361906
2001-12-15,2001,12,370.06618,2001.9561643835616,371.2610262590852,-0.24191607430567502,-0.952930184779575,-0.6394599109501087,-0.5990393341224944,2.1570499004025647
2002-01-15,2002,1,372.07332,2002.041095890411,371.4171116838008,1.2324152346868475,-0.5762069184876282,-0.8448050807278378,-0.5668632606795541,2.275266567529847
2002-02-15,2002,2,372.72859,2002.1260273972603,371.5734569132744,2.0104006465695727,-0.8552675598439805,-0.9593845916153896,-0.5252336217794777,2.3847490344004934
2002-03-15,2002,3,372.20036,2002.2027397260274,371.7148952669829,1.290174823983936,-0.8047100909668643,-0.8370812265941936,-0.4801608796292953,2.477647720438747
2002-04-15,2002,4,371.12969,2002.2876712328766,371.8717349635776,-0.0006832615332742972,-0.7413617020443439,-0.6510308730117913,-0.4225151386505104,2.569812990825155
2002-05-15,2002,5,370.75739,2002.3698630136987,372.0237626838559,-0.647349578653203,-0.619023105202757,-0.4701980202121945,-0.3602156324548673,2.6435488786508428
2002-06-15,2002,6,371.39027999999996,2002.454794520548,372.1811136091689,-0.5724836418995268,-0.21834996726943245,-0.313436651112454,-0.2903526736306503,2.7035837742744775
2002-07-15,2002,7,371.75571,2002.5369863013698,372.3336360669162,-0.3464064415646519,-0.23151962535155235,-0.2507919123146394,-0.21891397532249357,2.7432833432409325
2002-08-15,2002,8,371.88525,2002.6219178082192,372.49149822094796,-0.48899619967561025,-0.1172520212723498,-0.02166007375137724,-0.14272148585774858,2.764760126901373
2002-09-15,2002,9,372.34911,2002.7068493150684,372.6496201797377,-0.6773304964877024,0.3768203167499564,0.27799180490302433,-0.06586129267196839,2.765266182756581
2002-10-15,2002,10,372.48663,2002.7890410958903,372.80288879891424,-0.6873389556065936,0.37108015669235783,0.35616763576973653,0.0075041773062594075,2.746337876635083
2002-11-15,2002,11,372.57367999999997,2002.8739726027397,372.9615219864228,-0.7648842764966824,0.3770422900738595,0.35471676267866314,0.08060918374309267,2.707591019651348
2002-12-15,2002,12,372.85051,2002.9561643835616,373.1152853430686,-0.24191607430567957,-0.022859268762942975,0.23868182490730305,0.14725607758754222,2.6530867438398094
2003-01-15,2003,1,374.58999,2003.041095890411,373.27442975929546,1.232415234686847,0.0831450060176735,-0.10653336657014734,0.21050528677079683,2.581593237580311
2003-02-15,2003,2,375.26636,2003.1260273972603,373.43383398028044,2.010400646569573,-0.17787462684998445,-0.1847408743900587,0.26686429461273065,2.4973711248527004
2003-03-15,2003,3,375.16066,2003.2027397260274,373.5780352940636,1.2901748239839348,0.29244988195245014,0.2237018217650757,0.31104793881013393,2.4130810132150975
2003-04-15,2003,4,374.51103,2003.2876712328766,373.7379339821695,-0.0006832615332774822,0.7737792793637368,0.5695708396319219,0.3519254980591313,2.3141157942082557
2003-05-15,2003,5,373.38992,2003.3698630136987,373.8929220168137,-0.6473495786532033,0.1443475618394814,0.5163839870863853,0.3831019233573443,2.2157607999869526
2003-06-15,2003,6,374.05072,2003.454794520548,374.053331933638,-0.5724836418995266,0.5698717082615303,0.39701063510483436,0.406577704238714,2.1148066935557055
2003-07-15,2003,7,374.11478,2003.5369863013698,374.208814705751,-0.3464064415646519,0.25237173581359684,0.36607674363267506,0.4210176281442273,2.020897146230405
2003-08-15,2003,8,374.46752000000004,2003.6219178082192,374.3697358512941,-0.4889961996756105,0.5867803483815806,0.4765042915952904,0.42785062793836914,1.9308117007169734
2003-09-15,2003,9,374.35917,2003.7068493150684,374.53091680159514,-0.6773304964877042,0.5055836948925503,0.48492809751098775,0.42714880022265334,1.8499021275114784
2003-10-15,2003,10,374.24406,2003.7890410958903,374.6871457351374,-0.6873389556065935,0.24425322046920428,0.4019593613707002,0.4201256306201344,1.7829036710310229
2003-11-15,2003,11,374.74194,2003.8739726027397,374.84883791415723,-0.7648842764966844,0.6579863623394431,0.5133000323957617,0.4073864072915967,1.7269063923768595
2003-12-15,2003,12,375.01592,2003.9561643835616,375.00556158516883,-0.2419160743056798,0.2522744891368234,0.4364642712564546,0.3908446553961653,1.686717263584675
2004-01-15,2004,1,376.45074,2004.0409836065573,375.16755038008506,1.230466330402838,0.05272328951207328,0.022773586115533817,0.3707129092151149,1.6607759327571368
2004-02-15,2004,2,377.33083999999997,2004.1256830601094,375.3295690075313,2.0108052668997494,-0.009534274431075573,-0.004569759725541189,0.34882891677847283,1.6510347824055471
2004-03-15,2004,3,377.42339,2004.204918032787,375.4813687398557,1.257028029522614,0.6849932306216715,0.37978845377472226,0.32797909698160765,1.6565570893614772
2004-04-15,2004,4,376.08307,2004.2896174863388,375.6438874711722,-0.025176793675634607,0.46435932250346923,0.5562807892832211,0.30655863903814407,1.67795961227697
2004-05-15,2004,5,375.4877,2004.3715846994535,375.80140968160845,-0.652235156580629,0.33852547497218666,0.5064221816625718,0.2879205628858017,1.7128531526464452
2004-06-15,2004,6,375.95367999999996,2004.4562841530055,375.9644368518605,-0.5674099257054924,0.5566530738449273,0.4742448494361611,0.2719760022007449,1.7626746773582314
2004-07-15,2004,7,376.10979,2004.5382513661202,376.12245109997593,-0.345415073496108,0.33275397352014124,0.3596573410598012,0.26082858030304124,1.822268708867511
2004-08-15,2004,8,376.13616,2004.622950819672,376.2859867091627,-0.49232361493006205,0.3424969057673479,0.23739711121947948,0.25455406641640366,1.892599988321439
