date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,373.69929,2000.0409836065573,372.86367880597857,1.2753703391404851,-0.4397591451190124,-0.47709941140834644,0.4512607398938826,4.3288358324902605
2000-02-15,2000,2,374.29095,2000.1256830601094,373.01792391506916,2.2685922749966716,-0.9955661900658015,-0.8988297036888184,0.6697557750002261,4.446037053058929
2000-03-15,2000,3,375.12037999999995,2000.204918032787,373.16244405934356,2.7573601448052822,-0.7994242041488633,-0.9584433434579296,0.8770581987463402,4.411167816552152
2000-04-15,2000,4,374.93109,2000.2896174863388,373.3171730518053,2.216338822036783,-0.6024218738421041,-0.4011817508069271,1.0892223387146487,4.228750932456282
2000-05-15,2000,5,376.22848,2000.3715846994535,373.46714882584627,1.5951625342331723,1.1661686399205564,1.1354449533860702,1.273498079440003,3.8984729600403956
2000-06-15,2000,6,375.78229,2000.4562841530055,373.6223697664028,0.8127442679129532,1.3471759656842437,0.9266268213908688,1.4289746088137463,3.4225968890342067
2000-07-15,2000,7,373.99324,2000.5382513661202,373.7728216192448,-0.4426378791801477,0.663056259935388,1.7010192024476396,1.5364988191878979,2.8493467777344197
2000-08-15,2000,8,378.62068999999997,2000.622950819672,373.9285345078953,-2.0829702188268167,6.775125710931491,5.521222348993547,1.5933971276194825,2.1631791281943578
2000-09-15,2000,9,375.8831,2000.707650273224,374.08449740295487,-3.7342973546237666,5.532899951668924,6.128191903027869,1.5905710427383042,1.452495160196914
2000-10-15,2000,10,374.53257,2000.7896174863388,374.2356672762836,-3.6725118706810624,3.969414594397449,3.4137147922835425,1.529991603894132,0.7549785204332136
2000-11-15,2000,11,372.50498999999996,2000.8743169398906,374.39212211943715,-1.3803908978731474,-0.5067412215640275,0.18473950986719956,1.408165157931819,0.08148807118893021
2000-12-15,2000,12,374.681,2000.9562841530055,374.5437680715674,0.49076450183654036,-0.3535325734039816,-0.21258966930940915,1.2396713614419923,-0.4809999961250888
2001-01-15,2001,1,377.4316,2001.041095890411,374.7009230890111,1.2763979097348017,1.4542790012541218,0.893925236436985,1.0209015227913483,-0.9444296343310714
2001-02-15,2001,2,377.13572999999997,2001.1260273972603,374.8585512385734,2.2727058272376497,0.004472934188925137,0.2396884325389692,0.7692787980151365,-1.2406115148513621
2001-03-15,2001,3,377.45966,2001.2027397260274,375.0011411159925,2.7593428951902195,-0.3008240111827263,-0.3465418868354391,0.5259416637980507,-1.3634044110376022
2001-04-15,2001,4,376.65918,2001.2876712328766,375.1592476950005,2.233233617701191,-0.7333013127017125,-1.069365932368612,0.2521133162779279,-1.3303551014989363
2001-05-15,2001,5,374.75453999999996,2001.3698630136987,375.3124934072956,1.6070909595909113,-2.1650443668865478,-1.1054189113131656,-0.003136814604602023,-1.1238803205647738
