date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,386.93202,2000.0409836065573,386.1497248732929,6.3151182662938465,-5.5328231395866965,-5.002259676477081,-2.048138497226887,5.57364241184928
2000-02-15,2000,2,385.59639,2000.1256830601094,386.2939663164458,4.134219863890318,-4.831796180336141,-5.306117512912465,-1.6895429296335465,6.275544343314994
2000-03-15,2000,3,385.11839,2000.204918032787,386.4292636075037,1.7281365888374434,-3.0390101963411666,-2.3446126867309545,-1.3059627143638863,6.800413401417241
2000-04-15,2000,4,387.42079,2000.2896174863388,386.5742784417851,-0.7700260347874062,1.616537593002306,0.6244735597003341,-0.8577714023050476,7.163653851591319
2000-05-15,2000,5,384.42967000000004,2000.3715846994535,386.71499583672573,-1.9185069071439687,-0.3668189295817115,0.5781638995549088,-0.40527374168590313,7.271387090151558
2000-06-15,2000,6,383.29267000000004,2000.4562841530055,386.8607969519885,-3.9963309381532857,0.42820398616481725,-0.5113636947504574,0.060864737351835174,7.1371492183772745
2000-07-15,2000,7,375.78031,2000.5382513661202,387.0022752640075,-7.650303622647941,-3.571661641359583,-3.1934249178644336,0.4906772686177874,6.759611043724767
2000-08-15,2000,8,375.94602000000003,2000.622950819672,387.1488626602509,-9.705124649555753,-1.4977180106951664,0.16598768714032985,0.8914751147299285,6.130112722066411
2000-09-15,2000,9,388.08564,2000.707650273224,387.2958496419113,-6.467183755610126,7.2569741136988455,3.9596992031328,1.2305242134445393,5.323054595684766
2000-10-15,2000,10,385.96516,2000.7896174863388,387.4384755665731,1.3308588026746664,-2.8041743692477326,0.24564781921907297,1.48708270741173,4.388746157968374
2000-11-15,2000,11,400.64583,2000.8743169398906,387.5862488292141,8.240295963255896,4.819285207529958,3.7030723346315995,1.6666022064109143,3.341595715299764
2000-12-15,2000,12,407.696,2000.9562841530055,387.72963567095474,8.937594478123081,11.028769850922231,9.652788354722247,1.7551888311549533,2.31080602864514
2001-01-15,2001,1,400.27004,2001.041095890411,387.8783924212953,6.311732400085213,6.079915178619501,5.370995962426093,1.7575118753158563,1.2677627240264555
2001-02-15,2001,2,389.25817,2001.1260273972603,388.02776073758486,4.125497462408575,-2.895088199993438,-0.3665032480937498,1.6762016080445505,0.36689625254626845
2001-03-15,2001,3,390.37905,2001.2027397260274,388.1630193922214,1.8027516856034431,0.4132789221752091,-1.5197722343903592,1.5416796612046255,-0.34149617822502
2001-04-15,2001,4,384.08325,2001.2876712328766,388.31315238262636,-0.7294774684858198,-3.500424914140524,-0.7272553052507078,1.334252303528615,-0.9589316280887554
2001-05-15,2001,5,390.70292,2001.3698630136987,388.45882491944064,-1.8960247317347667,4.140119812294131,1.4128593607535436,1.0932949542041683,-1.3320570527320716
2001-06-15,2001,6,384.27362,2001.454794520548,388.60974850511747,-3.939714574168089,-0.39641393094939303,0.6685924189237653,0.8197454022033526,-1.517363066375212
2001-07-15,2001,7,380.26681,2001.5369863013698,388.7561861341299,-7.595378165232754,-0.8939979688971107,-1.0860432630497598,0.5481979568821771,-1.4976038391564381
2001-08-15,2001,8,377.06102000000004,2001.6219178082192,388.907900315079,-9.707286443194437,-2.1395938718845287,-0.9499763433628345,0.27634584462720113,-1.3041095577080841
2001-09-15,2001,9,382.74992000000003,2001.7068493150684,389.0600162739527,-6.52603385252827,0.21593757857556284,1.0808793746234073,0.026670655371503926,-0.9755834799508898
2001-10-15,2001,10,394.44817,2001.7890410958903,389.20760781251056,1.2710214170234857,3.969540770465983,1.5326138484578564,-0.18484202784975423,-0.5665683028072489
2001-11-15,2001,11,395.08645,2001.8739726027397,389.36051436665656,8.224099147471083,-2.4981635141276115,-2.5636404103984773,-0.36612252749887375,-0.10098612378175618
2001-12-15,2001,12,392.23162,2001.9561643835616,389.5088709974129,8.940272322842484,-6.217523320255339,-4.832637779362869,-0.504313539326688,0.34685563405508524
2002-01-15,2002,1,393.69825,2002.041095890411,389.6625681468308,6.311732400085214,-2.2760505469159966,-1.7179386349870924,-0.6100583953667069,0.7710180932967823
2002-02-15,2002,2,397.65946,2002.1260273972603,389.8166670741732,4.125497462408576,3.7172954634182247,1.684698897298972,-0.6834973733826359,1.1119883076364125
2002-03-15,2002,3,393.54217,2002.2027397260274,389.95619853879293,1.8027516856034456,1.7832197756036408,1.5902097401950073,-0.7284512825142428,1.3429213575628058
2002-04-15,2002,4,387.86148,2002.2876712328766,390.1110621402508,-0.729477468485819,-1.5201046717650115,-0.6399425406578416,-0.7616507435601534,1.5018499631474256
2002-05-15,2002,5,386.49322,2002.3698630136987,390.2613126877614,-1.8960247317347656,-1.8720679560266262,-2.432398738134623,-0.7857122055154377,1.5546566585341843
2002-06-15,2002,6,382.8147,2002.454794520548,390.4169668844911,-3.9397145741680895,-3.662552310323008,-2.322917311053857,-0.8099771716555324,1.526256330308619
2002-07-15,2002,7,383.83596,2002.5369863013698,390.56798252419986,-7.595378165232752,0.8633556410329106,0.3637047743303583,-0.8388966168691354,1.4367442845252862
2002-08-15,2002,8,383.55766,2002.6219178082192,390.72442731620185,-9.707286443194434,2.540519126992592,3.568970783916825,-0.878581810630692,1.3094201622609023
2002-09-15,2002,9,390.15722,2002.7068493150684,390.88127388612844,-6.526033852528269,5.801979966399813,4.180011555772012,-0.9298793870418649,1.178088226833397
