date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000,1,374.86668,2000.0409836065573,370.6349704650474,3.110377664047381,1.1213318709051805,1.0338731234422767,0.4349549721203516,1.5565030260068593
2000-02-15,2000,2,375.56863,2000.1256830601094,370.7923118567403,3.700951809717757,1.075366333541922,1.115433764551824,0.4035408061705539,1.4162873438490489
2000-03-15,2000,3,375.28912,2000.204918032787,370.9397304269014,3.866115432824286,0.48327414027431814,0.38677223705451524,0.3630156774764828,1.2812230677744652
2000-04-15,2000,4,374.34386,2000.2896174863388,371.09755977141526,3.612734902062477,-0.36643467347772685,-0.18667720647130182,0.3078850553277448,1.1482720283856551
2000-05-15,2000,5,373.34067999999996,2000.3715846994535,371.25053788805866,2.152436992418794,-0.062294880477509196,-0.3678462164541543,0.2444619914996906,1.0389986482691973
2000-06-15,2000,6,370.24551,2000.4562841530055,371.4088633179414,-0.7566367344956403,-0.40671658344570005,0.06054145544300127,0.17011857981657386,0.9497520678650445
2000-07-15,2000,7,369.25257999999997,2000.5382513661202,371.56232151719934,-3.7746957853577143,1.4649542681583512,1.0099155162732814,0.0919713256482737,0.8917985048842167
2000-08-15,2000,8,366.50806,2000.622950819672,371.7211430324501,-5.433897812536653,0.2208147800865845,0.5920837397914056,0.007161846823407814,0.8616608004737704
2000-09-15,2000,9,367.20236,2000.707650273224,371.880216656659,-4.803233407523664,0.1253767508646888,0.17193712430719188,-0.07906926361425803,0.8630517163298128
2000-10-15,2000,10,369.48817,2000.7896174863388,372.0343989149423,-2.7634825380641046,0.2172536231218487,-0.0233328695118189,-0.16150541667661855,0.8923239630780604
2000-11-15,2000,11,370.75203999999997,2000.8743169398906,372.19396862451924,-0.39336883835693204,-1.0485597861623432,-0.7111291020685826,-0.24331176436379565,0.9471615842937177
2000-12-15,2000,12,373.39597000000003,2000.9562841530055,372.3486309654176,1.6499441660005902,-0.6026051314181586,-0.9077521481735289,-0.3175053218307653,1.0195578307014603
