date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2006-10-15,2006.0,10.0,386.1833682978718,2006.7890410958903,388.51230595229987,-0.2767665392447338,-2.0521711151832847,-1.9660077933875755,-0.6974254448309694,3.3009821923039704
2006-11-15,2006.0,11.0,392.0213837386017,2006.8739726027397,388.7358769703742,3.4126015830161007,-0.12709481478862017,0.17485891015820698,-0.6342842888116706,3.448180700081778
2006-12-15,2006.0,12.0,397.1169441654362,2006.9561643835616,388.95213371031235,7.822769135285794,0.3420413198380743,-2.228360181694086,-0.5617549859726978,3.5766552568991896
2007-01-15,2007.0,1.0,393.50007528735637,2007.041095890411,389.1754932881112,5.777348661844209,-1.4527666625990605,-0.45745366696132805,-0.4758068664780808,3.7094082270775908
2007-02-15,2007.0,2.0,393.30237538461535,2007.1260273972603,389.39874541265476,5.4087556862860895,-1.5051257143255157,-0.8625230772613008,-0.37790132489743655,3.8553754780827294
2007-03-15,2007.0,3.0,396.73376342857165,2007.2027397260274,389.60030013452325,6.183593205415148,0.9498700886332472,0.018848595325550832,-0.2799444071118842,3.9336107680331605
2007-04-15,2007.0,4.0,397.0804745068285,2007.2876712328766,389.8233477512594,3.1897118393725004,4.06741491619664,1.6400244884061408,-0.16755368382490587,3.9707502602041913
2007-05-15,2007.0,5.0,388.9593341555979,2007.3698630136987,390.0390979737747,-1.1469382523093627,0.06717443413259616,0.3438310249445635,-0.0557520532930198,3.9884355304860044
2007-06-15,2007.0,6.0,382.2847947630917,2007.454794520548,390.2619341502354,-8.854288677893365,0.877149290749685,-0.212707607514119,0.058420676750586154,3.93544190936091
2007-07-15,2007.0,7.0,374.3830657458559,2007.5369863013698,390.4774797531287,-14.12610370128687,-1.9683103059859377,2.425190388658166,0.16256466709853612,3.841049169056965
2007-08-15,2007.0,8.0,382.1014189655174,2007.6219178082192,390.7001044893145,-7.111982219181277,-1.486703304615844,-2.146307997885174,0.26185703044399133,3.741678607159492
2007-09-15,2007.0,9.0,390.22171358609796,2007.7068493150684,390.92262177224507,0.17006348146825112,-0.8709716676153789,-1.1285988810510048,0.3495530328644918,3.5207129005601168
2007-10-15,2007.0,10.0,391.702407020057,2007.7890410958903,391.13785876849624,-0.2767665392447396,0.8413147908055407,0.3022881487377731,0.4121042062953393,3.2666450188091014
2007-11-15,2007.0,11.0,393.3227813110184,2007.8739726027397,391.3601646111519,3.412601583016098,-1.4499848831496251,0.12017563236793194,0.4593104337409386,3.0746792237599374
2007-12-15,2007.0,12.0,400.26070248226995,2007.9561643835616,391.57519698778174,7.8227691352857915,0.8627363592024153,-0.49778963054751557,0.48732063177641294,2.822203622594701
2008-01-15,2008.0,1.0,396.02566035665257,2008.0409836065573,391.79699784078724,5.780943144387999,-1.5522806285226807,-0.8088270801485464,0.4912436824188262,2.4961239015901127
2008-02-15,2008.0,2.0,400.03258189780973,2008.1256830601094,392.01837855625746,5.402151092926521,2.61205224862573,2.08947609704569,0.4688862292973681,2.2260429877383565
2008-03-15,2008.0,3.0,401.86525216666683,2008.204918032787,392.22537989759064,6.156392628939503,3.483479640136693,2.9774661558594175,0.4309764454235392,2.0446155417383864
2008-04-15,2008.0,4.0,401.20876953937545,2008.2896174863388,392.44655377393644,3.0962562370592677,5.665959528379744,5.1446120364326475,0.37254901473659174,1.7680170344993251
2008-05-15,2008.0,5.0,390.97384618181866,2008.3715846994535,392.6604912576055,-1.260243981977119,-0.4264010938097158,0.5395694682457588,0.292009344483688,1.5241238021644592
2008-06-15,NaN,NaN,NaN,2008.4562841530055,392.88145484750936,-9.011439297484918,NaN,-0.2017923869362903,0.19410184242332207,1.3786181460072875
2008-07-15,NaN,NaN,NaN,2008.5382513661202,393.0951888281694,-14.116232469417866,NaN,0.722145613891712,0.08729976539586914,1.2311879740404235
2008-08-15,NaN,NaN,NaN,2008.622950819672,393.31594213163015,-6.982281326603387,NaN,-1.1351063143210354,-0.03587358373931693,1.0689804441493702
2008-09-15,NaN,NaN,NaN,2008.707650273224,393.5365885682109,0.18936361518635247,NaN,-3.75121639381382,-0.1717277431064872,0.9523970309782812
2008-10-15,2008.0,10.0,391.277036535859,2008.7896174863388,393.7500156263002,-0.2771715491023752,-2.1958075413388087,-0.17956698122549142,-0.3095637130690534,0.8904009713227061
2008-11-15,2008.0,11.0,396.9085038800704,2008.8743169398906,393.97045177643776,3.4389691107086113,-0.5009170070759978,-1.7796373045378573,-0.45755757324980095,0.8196065775390338
2008-12-15,2008.0,12.0,397.0143514705882,2008.9562841530055,394.1836753315187,7.823954636590163,-4.993278497520635,-4.166098599033717,-0.6056474244572883,0.7797562585299908
2009-01-15,NaN,NaN,NaN,2009.041095890411,394.40419307196095,5.777348661844211,NaN,-0.32660824913392617,-0.7598415997512689,0.7914554597199887
2009-02-15,2009.0,2.0,403.6399288713908,2009.1260273972603,394.6249148456672,5.408755686286086,3.6062583394374883,0.967704130957145,-0.9124291848541475,0.8071015968021293
2009-03-15,2009.0,3.0,400.83910666666674,2009.2027397260274,394.82418408936013,6.183593205415152,-0.1686706281085435,0.041158702308450756,-1.0476220180710243,0.8925604708738408
2009-04-15,NaN,NaN,NaN,2009.2876712328766,395.044701355259,3.1897118393724946,NaN,-0.6461090264511995,-1.1846499770472292,1.0683049347212352
2009-05-15,NaN,NaN,NaN,2009.3698630136987,395.2580028511576,-1.1469382523093792,NaN,-1.371827272736141,-1.3034113885650527,1.2365749231609393
2009-06-15,NaN,NaN,NaN,2009.454794520548,395.478308676781,-8.854288677893368,NaN,0.32517867409853807,-1.409103984650642,1.4815187725079808
2009-07-15,NaN,NaN,NaN,2009.5369863013698,395.69140555305756,-14.126103701286869,NaN,0.36450066699899253,-1.4856283852162733,1.8755570847409437
2009-08-15,NaN,NaN,NaN,2009.6219178082192,395.91149993840617,-7.111982219181249,NaN,-0.3900202908026813,-1.5264167996995752,2.3264399487384235
2009-09-15,NaN,NaN,NaN,2009.7068493150684,396.1314868704994,0.17006348146824957,NaN,-2.6637676424314805,-1.533110802402291,2.6862894357943325
2009-10-15,NaN,NaN,NaN,2009.7890410958903,396.34427514013385,-0.2767665392447405,NaN,-0.7402156263269717,-1.5060872614397454,3.220911453066008
2009-11-15,NaN,NaN,NaN,2009.8739726027397,396.5640506319523,3.412601583016125,NaN,-0.6941444862716821,-1.4232303970541125,3.860452271403049
2009-12-15,NaN,NaN,NaN,2009.9561643835616,396.77663428196536,7.822769135285784,NaN,-3.2267104379924945,-1.2994309780224853,4.313148263109101
2010-01-15,NaN,NaN,NaN,2010.041095890411,396.9961983335083,5.777348661844211,NaN,-0.8575899674936522,-1.1355098195201094,4.703665061744008
2010-02-15,2010.0,2.0,400.8898926267281,2010.1260273972603,397.2156549317959,5.408755686286096,-1.7345179913538686,-1.9174387701433488,-0.9359557259275562,5.218417703084287
2010-03-15,2010.0,3.0,396.2549838912129,2010.2027397260274,397.41378143640105,6.183593205415144,-7.342390750603329,-5.592535831412192,-0.717774994566696,5.536689131675544
2010-04-15,2010.0,4.0,395.8478073033703,2010.2876712328766,397.63303352688126,3.1897118393724853,-4.974938062883439,-4.21617316863194,-0.46367911891724134,5.634083017483427
2010-05-15,2010.0,5.0,396.61324461805555,2010.3698630136987,397.84511065947146,-1.146938252309366,-0.08492778910652987,-1.0974543541350954,-0.20788038682320575,5.7270609681178914
2010-06-15,2010.0,6.0,389.84748276595735,2010.454794520548,398.0641513096762,-8.85428867789335,0.6376201341744832,0.5849135232784874,0.055960855606542736,5.591418902581921
2010-07-15,2010.0,7.0,387.6806888208265,2010.5369863013698,398.27602382264445,-14.12610370128688,3.530768699468922,3.897380808708874,0.2916965797472244,5.29686525714499
2010-08-15,2010.0,8.0,389.20203103448273,2010.6219178082192,398.4948530325744,-7.111982219181265,-2.1808397789104106,1.2670459993473742,0.5100541364483888,5.006470585877283
2010-09-15,2010.0,9.0,404.9885161904762,2010.7068493150684,398.713574789249,0.1700634814682389,6.104877919759019,4.891069266956265,0.6962082872572068,4.421079114023342
2010-10-15,2010.0,10.0,396.35574380610393,2010.7890410958903,398.92513869557513,-0.27676653924472827,-2.2926283502264937,2.3339990622347386,0.8165744453447132,3.711321135444966
2010-11-15,2010.0,11.0,409.58608217821757,2010.8739726027397,399.14364901197484,3.412601583016113,7.02983158322661,1.909439712504991,0.8892838511725358,3.144773351341788
2010-12-15,2010.0,12.0,407.7476572202167,2010.9561643835616,399.3550082986796,7.822769135285795,0.5698797862513061,1.6640283000139107,0.9133284979661767,2.5792429529477654
2011-01-15,2011.0,1.0,409.2221036923074,2011.041095890411,399.57330717480386,5.777348661844205,3.871447855659369,3.3603215084949056,0.8838801272160595,1.81081842602583
2011-02-15,2011.0,2.0,403.76228727598567,2011.1260273972603,399.79149859767284,5.408755686286084,-1.4379670079732705,1.1753660310899932,0.7891909582251628,1.2105888713653923
2011-03-15,2011.0,3.0,406.30036744186054,2011.2027397260274,399.9884823631902,6.18359320541515,0.12829187325519342,-1.8366455861219606,0.6735206782784076,0.876561008658068
2011-04-15,2011.0,4.0,401.918187175043,2011.2876712328766,400.2064692782518,3.1897118393724977,-1.4779939425812927,-1.47890327211951,0.5162212820614513,0.6299121698045405
2011-05-15,2011.0,5.0,397.1224893646411,2011.3698630136987,400.4173220475336,-1.1469382523093732,-2.147894430583108,-2.0285341701012385,0.3364607964525703,-0.11793556914573444
2011-06-15,2011.0,6.0,390.9572962524651,2011.454794520548,400.63509752231977,-8.854288677893337,-0.8235125919613324,-0.8567606592831112,0.021469488277546134,-2.432521409950855
