date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2010-03-15,2010.0,3.0,398.1251875,2010.2027397260274,394.36987340905824,4.04214095527706,-0.28682686433529625,-0.23485751542392563,-0.1780951442161154,2.3091860989963973
2010-04-15,2010.0,4.0,396.5420166666667,2010.2876712328766,394.51807695783833,2.0604213629110757,-0.03648165408270643,-0.13312537950213255,-0.11780353770978991,2.5947689926810504
2010-05-15,2010.0,5.0,393.62840000000006,2010.3698630136987,394.66250881811817,-1.1861482785482802,0.15203946043016003,0.2583179139537606,-0.03874149440196106,2.8381793527095276
2010-06-15,2010.0,6.0,391.87543999999997,2010.454794520548,394.8127977805821,-3.7788692725562885,0.8415114919741313,0.6810736420283661,0.06142614388073753,3.0530278815064626
2010-07-15,2010.0,7.0,390.26963333333333,2010.5369863013698,394.95924778313633,-4.219180082691697,-0.47043436711129516,-0.18693652987229825,0.1725852463421802,3.2023588561427934
2010-08-15,2010.0,8.0,389.0469666666667,2010.6219178082192,395.1116221592846,-5.993714199239391,-0.07094129337849608,-0.06626634102087792,0.29576490354645557,3.2717148168263956
2010-09-15,2010.0,9.0,388.990525,2010.7068493150684,395.26505633582923,-6.377543546016431,0.10301221018721662,0.648652787264723,0.41968520246001617,3.2409372684080138
2010-10-15,2010.0,10.0,392.76882500000005,2010.7890410958903,395.41455009394537,-1.9923165328401522,-0.6534085611051523,-0.48565292574386376,0.5316805942416067,3.104369569658337
2010-11-15,2010.0,11.0,397.30904,2010.8739726027397,395.5700696841743,2.24233961336363,-0.5033692975379722,-0.7940464526962501,0.6299362627509595,2.853091385535539
2010-12-15,2010.0,12.0,399.58685,2010.9561643835616,395.7215815845652,4.038486954172319,-0.1732185387374443,-0.28514493264083285,0.6994088773494695,2.5082468987402056
2011-01-15,2011.0,1.0,401.2577,2011.041095890411,395.87918658847803,5.801140405249162,-0.42262699372719226,-0.7287833329668842,0.7362215830887067,2.053736031781
2011-02-15,2011.0,2.0,401.234125,2011.1260273972603,396.0378513927872,5.680343130868461,-0.4840695236556485,0.3876855717812191,0.7308272998782286,1.5580545441997318
2011-03-15,2011.0,3.0,403.82654,2011.2027397260274,396.1820724596637,4.042140955277062,3.602326585059302,3.1761315420054643,0.6880222001630045,1.070425634209497
2011-04-15,2011.0,4.0,402.49545,2011.2876712328766,396.34275430343763,2.0604213629110792,4.0922743336512895,4.142546770675892,0.5928868566667234,0.4702299164200888
2011-05-15,2011.0,5.0,397.07155,2011.3698630136987,396.4992619330664,-1.1861482785482789,1.7584363454818686,1.7324844505496344,0.4531655727845987,-0.03319104370909921
2011-06-15,2011.0,6.0,392.33006666666665,2011.454794520548,396.66202919052427,-3.778869272556287,-0.553093251301334,0.03379603323719493,0.26999047773824714,-0.43865981781908986
2011-07-15,2011.0,7.0,392.04136666666665,2011.5369863013698,396.82055496242737,-4.2191800826916985,-0.5600082130690112,-0.7040843919447752,0.06245933636148493,-0.7278410046682567
2011-08-15,2011.0,8.0,390.6189,2011.6219178082192,396.9854076335696,-5.993714199239391,-0.3727934343302195,-0.14918979100667684,-0.17144932623978093,-0.8743864485911624
2011-09-15,2011.0,9.0,391.3179,2011.7068493150684,397.15132010510814,-6.377543546016433,0.5441234409083222,1.465082895231376,-0.4122555022014467,-0.859287942614294
2011-10-15,2011.0,10.0,397.22403333333335,2011.7890410958903,397.31288963257316,-1.9923165328401522,1.9034602336003559,0.41536376676555165,-0.6381548232415071,-0.6802453678257061
2011-11-15,2011.0,11.0,397.88346666666666,2011.8739726027397,397.480887517796,2.242339613363629,-1.839760464492997,-1.3986190296917016,-0.8503808278230736,-0.3342946573092871
2011-12-15,2011.0,12.0,399.06105,2011.9561643835616,397.6444751875358,4.038486954172322,-2.621912141708094,-1.764758904195503,-1.0227423895035486,0.14181003583042517
