date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000.0,1.0,371.9980326283986,2000.0409836065573,369.5251492966891,1.7086127680306091,0.764270563678906,0.6832092067975282,0.44418321120781457,2.0080546012307883
2000-02-15,2000.0,2.0,373.23623592436934,2000.1256830601094,369.69581800936595,2.836637265599778,0.7037806494035976,0.79897660690159,0.43949902496109416,1.9104729570954142
2000-03-15,2000.0,3.0,373.9055203732507,2000.204918032787,369.85554037664474,3.287175991860282,0.7628040047456466,0.5976720833793934,0.4273831398890593,1.8145752624267846
2000-04-15,2000.0,4.0,373.11274010695166,2000.2896174863388,370.0263470698745,3.3215384526357425,-0.23514541555857704,-0.1758139671222807,0.4054986515637893,1.6980248988761495
2000-05-15,2000.0,5.0,372.385130125523,2000.3715846994535,370.1917117473045,2.6708384559182,-0.47742007769971906,-0.36271938555381666,0.3743058874466101,1.5766777379262877
2000-06-15,2000.0,6.0,371.9081096610169,2000.4562841530055,370.3626587207638,1.0574757410237527,0.4879751992293109,0.2824964223269717,0.3315917898273142,1.4498589631155665
2000-07-15,2000.0,7.0,370.0482017080747,2000.5382513661202,370.52815915325436,-0.9308033958253425,0.4508459506457143,0.5153001434169937,0.27994615460960404,1.3307838480215524
2000-08-15,2000.0,8.0,368.19255587668596,2000.622950819672,370.69924640694245,-3.109631238395671,0.6029407081391582,0.5681766834149471,0.2168515412164993,1.220976168933721
2000-09-15,2000.0,9.0,366.79654811912206,2000.707650273224,370.8704049505835,-4.627271083742476,0.5534142522810157,0.686741661878159,0.1449672954390735,1.1265727052127208
2000-10-15,2000.0,10.0,367.27957142857167,2000.7896174863388,371.0361101284112,-4.131408048740355,0.3748693489008019,0.403986146857676,0.06864454557143063,1.059003068754485
2000-11-15,2000.0,11.0,368.9153231329684,2000.8743169398906,371.207408952281,-2.008413030749546,-0.28367278856308076,0.06021115089652085,-0.014918052998666553,1.0172663132335416
2000-12-15,2000.0,12.0,371.97923178571455,2000.9562841530055,371.3732498851697,0.05082443361685504,0.5551574669279944,0.10916513259883232,-0.09805755526127768,1.0059121223893128
2001-01-15,2001.0,1.0,372.8913696917803,2001.041095890411,371.54491630892824,1.7105174266514018,-0.364064043799317,-0.22871756092757778,-0.1837968408521533,1.0253350512062882
2001-02-15,2001.0,2.0,374.009272173913,2001.1260273972603,371.7168967871615,2.8397891446459385,-0.5474137578943896,-0.4823950456212742,-0.2667124763750621,1.0781780462222148
2001-03-15,2001.0,3.0,375.0511327118642,2001.2027397260274,371.8722956047575,3.2808061281783636,-0.10196902107162487,-0.4477715878903723,-0.33676246898335194,1.149155517677098
2001-04-15,2001.0,4.0,374.5823831845238,2001.2876712328766,372.04441250834344,3.3266283480236774,-0.7886576718433389,-0.7127094562845855,-0.4072182255907819,1.2497318810996592
2001-05-15,2001.0,5.0,373.98977633802826,2001.3698630136987,372.21104550372115,2.694502955125434,-0.9157721208183034,-0.9490297317466343,-0.46640710971809085,1.3664218946520372
2001-06-15,2001.0,6.0,372.78234155844166,2001.454794520548,372.3833034572481,1.091389100569703,-0.6923509993761172,-0.9559101122986817,-0.5170828588259724,1.4988589678811772
2001-07-15,2001.0,7.0,370.4037001841622,2001.5369863013698,372.55007295256814,-0.8987748509812953,-1.2475979174246845,-0.9519139027595998,-0.5551368816938975,1.6330975089371575
2001-08-15,2001.0,8.0,369.0554968421053,2001.6219178082192,372.7224719560365,-3.08402117657799,-0.5829539373531816,-0.5314582061584474,-0.5829859265164146,1.7705120043515692
2001-09-15,2001.0,9.0,368.3382071762876,2001.7068493150684,372.8949426406218,-4.621157055834424,0.06442159150020643,0.0509194022936299,-0.5994045733077655,1.9028927349953901
2001-10-15,2001.0,10.0,368.6040236059477,2001.7890410958903,373.06191800470816,-4.142103699571687,-0.3157906991887671,-0.02216380189446454,-0.6050574799684227,2.0204163700656608
2001-11-15,2001.0,11.0,370.73253534482745,2001.8739726027397,373.2345297392349,-2.0178831735935145,-0.4841112208139293,-0.36173052427977836,-0.601390327000388,2.1284881743779813
2001-12-15,2001.0,12.0,373.277491691843,2001.9561643835616,373.4016416032641,0.0481657413719203,-0.1723156527930314,-0.4639642649713096,-0.5897271118021195,2.219184205062173
2002-01-15,2002.0,1.0,374.56198752166364,2002.041095890411,373.57439438773184,1.7105174266514014,-0.7229242927195969,-0.7351273659210733,-0.5705434049800715,2.2983720497481333
2002-02-15,2002.0,2.0,375.52684442344065,2002.1260273972603,373.7472188533166,2.839789144645938,-1.06016357452188,-0.9631506091901656,-0.5452565075127609,2.3648243864054317
2002-03-15,2002.0,3.0,376.43981910499133,2002.2027397260274,373.90337998206877,3.280806128178363,-0.7443670052558105,-0.7484980640472827,-0.5179989769249005,2.4160388669858586
2002-04-15,2002.0,4.0,377.21417839506216,2002.2876712328766,374.07634087300625,3.326628348023678,-0.18879082596777153,-0.5122135168784325,-0.48359758262944297,2.4660077870114883
2002-05-15,2002.0,5.0,376.40966960431643,2002.3698630136987,374.24379063033706,2.6945029551254343,-0.5286239811460405,-0.5394029259452395,-0.446513362250073,2.5107487432608337
2002-06-15,2002.0,6.0,375.07580299295756,2002.454794520548,374.4168925712155,1.0913891005697036,-0.4324786788276356,-0.49993818968886217,-0.40444579071316866,2.5560960447944847
2002-07-15,2002.0,7.0,373.2725220394739,2002.5369863013698,374.58447882848867,-0.8987748509812944,-0.4131819380334605,-0.2684910224333521,-0.360110999637584,2.6010567769230057
2002-08-15,2002.0,8.0,371.9263938671208,2002.6219178082192,374.7577218193085,-3.0840211765779952,0.2526932243903275,0.15796943993348123,-0.3103906202543385,2.6496670260196273
2002-09-15,2002.0,9.0,370.52968328025497,2002.7068493150684,374.9310364912453,-4.621157055834424,0.21980384484407978,0.4176092879811222,-0.2565625818351691,2.6991834484148036
2002-10-15,2002.0,10.0,370.8425551976571,2002.7890410958903,375.09882861728477,-4.142103699571689,-0.11416972005599746,0.171697640258742,-0.2005484235064614,2.7465942068129685
2002-11-15,2002.0,11.0,373.18625204301094,2002.8739726027397,375.27228433916304,-2.017883173593508,-0.06814912255856598,-0.24815772806221048,-0.13878219767502742,2.7912339051717283
2002-12-15,2002.0,12.0,374.8847566433568,2002.9561643835616,375.4402129651453,0.04816574137191275,-0.603622063160401,-0.49686654308271727,-0.0757983839880012,2.8260790120962103
2003-01-15,2003.0,1.0,376.83911513260557,2003.041095890411,375.6138097369645,1.7105174266514007,-0.4852120310103487,-0.5383846641377659,-0.008297699293848382,2.8484355160177866
2003-02-15,2003.0,2.0,378.3175236956518,2003.1260273972603,375.78747818990075,2.839789144645935,-0.3097436388948722,-0.32050460657876556,0.0602511757343791,2.852104375544617
2003-03-15,2003.0,3.0,379.29252960526316,2003.2027397260274,375.9444016298092,3.2808061281783636,0.06732184727559343,-0.13306110343205546,0.12161236267849063,2.835076474758062
2003-04-15,2003.0,4.0,379.13741336302877,2003.2876712328766,376.1182065080981,3.3266283480236765,-0.30742149309304523,-0.283800095163258,0.18690340701800778,2.7910875446127887
2003-05-15,2003.0,5.0,378.789705283019,2003.3698630136987,376.286473027382,2.6945029551254307,-0.19127069948842745,-0.1303281147174289,0.24536564674127703,2.720747303226758
2003-06-15,2003.0,6.0,378.2148151351352,2003.454794520548,376.46041895561194,1.0913891005697056,0.6630070789535694,0.5103746006203664,0.2984103542082721,2.6208518997561203
2003-07-15,2003.0,7.0,376.5962026223772,2003.5369863013698,376.62882197483816,-0.8987748509812935,0.8661554985202997,0.8364225177402318,0.3406151058708815,2.499135256365803
2003-08-15,2003.0,8.0,374.5767681564247,2003.6219178082192,376.8029089530095,-3.0840211765779952,0.8578803799932189,0.938603268265922,0.37257389573272803,2.3501276776630124
2003-09-15,2003.0,9.0,373.2248585009139,2003.7068493150684,376.97706761229784,-4.6211570558344235,0.8689479444504968,0.9530347608314287,0.39124366141521705,2.189619882630556
2003-10-15,2003.0,10.0,373.5450490131581,2003.7890410958903,377.14567650029034,-4.142103699571689,0.541476212439477,0.7015973612956259,0.39592278678077264,2.0249631888931017
2003-11-15,2003.0,11.0,375.79827597684516,2003.8739726027397,377.3199762095201,-2.0178831735935083,0.4961829409185725,0.3297866502284137,0.38635142889324925,1.8570191984379907
2003-12-15,2003.0,12.0,377.32810521885494,2003.9561643835616,377.4887215974555,0.048165741371912395,-0.20878211997245444,-0.07834272884207394,0.36397259009885374,1.7054008619840797
2004-01-15,2004.0,1.0,379.58435295566477,2004.0409836065573,377.6629316895816,1.7086127680306114,0.21280849805253865,0.22260392525168982,0.328294961364918,1.565941714812756
2004-02-15,2004.0,2.0,381.59385357967665,2004.1256830601094,377.836967127759,2.8366372655997765,0.9202491863178466,0.7337589047682513,0.2820920964028346,1.4582931732698317
