date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2001-12-15,2001.0,12.0,377.8582,2001.9561643835616,373.97183595493465,5.014334539157218,-1.1279704940918691,-1.0999954921142034,-1.4286218085522364,2.9555759727944335
2002-01-15,2002.0,1.0,377.8233,2002.041095890411,374.1493371500201,5.464402671983049,-1.7904398220031226,-1.9449847483406302,-1.350490251418421,3.0675503239504898
2002-02-15,2002.0,2.0,377.77835000000005,2002.1260273972603,374.3268876802638,6.878316473813113,-3.426854154076864,-3.223570910748549,-1.2620348154060252,3.199848432388181
2002-03-15,2002.0,3.0,379.14296,2002.2027397260274,374.4872983057507,6.7034375706586005,-2.0477758764092755,-2.2522354326723075,-1.172298630914156,3.3184933999575
2002-04-15,2002.0,4.0,378.77462499999996,2002.2876712328766,374.6649427319418,4.400888125290604,-0.29120585723239856,-0.394348680643418,-1.0625648045484013,3.4538277668649666
2002-05-15,2002.0,5.0,376.69245,2002.3698630136987,374.83690366641474,2.147836455589346,-0.2922901220040899,-0.6367299770969339,-0.9447944897117395,3.594753680173347
2002-06-15,2002.0,6.0,371.08003333333335,2002.454794520548,375.0146451714666,-2.8192511804537954,-1.115360657679446,-0.5250521479472354,-0.811072753013832,3.7417621026926495
2002-07-15,2002.0,7.0,367.968,2002.5369863013698,375.1867000532238,-9.235170023933216,2.0164699707094655,1.2673049758728894,-0.6696847115570677,3.8830208040291314
2002-08-15,2002.0,8.0,365.10742500000003,2002.6219178082192,375.36453863713695,-10.906656674104978,0.6495430369680548,1.9207476234635692,-0.5119597202021282,4.017554927030136
2002-09-15,2002.0,9.0,370.73505,2002.7068493150684,375.54242655620845,-7.435284943318576,2.6279083871100966,1.801358961365679,-0.34341646805307846,4.136573920263729
2002-10-15,NaN,NaN,NaN,2002.7890410958903,375.7146231289523,-2.409219143834743,NaN,-0.26461989578842804,-0.1718352692120675,4.222618450614759
2002-11-15,2002.0,11.0,375.2377333333334,2002.8739726027397,375.89260812688514,2.7873152292639083,-3.44219002281568,-2.8082879926523674,0.011179589786991073,4.271156760865891
2002-12-15,2002.0,12.0,379.02840000000003,2002.9561643835616,376.06489864691366,5.014334539157219,-2.050833186070861,-2.7055569406102222,0.19025877471051444,4.269630309351129
2003-01-15,2003.0,1.0,380.02075,2003.041095890411,376.2429807237073,5.4644026719830485,-1.6866333956903645,-0.5883287619384987,0.37267109998930437,4.209394716842205
2003-02-15,2003.0,2.0,385.90274999999997,2003.1260273972603,376.4211121356592,6.878316473813112,2.60332139052764,0.645817795483822,0.5469731284078421,4.075242032141651
2003-03-15,2003.0,3.0,381.915,2003.2027397260274,376.5820474284955,6.703437570658604,-1.3704849991540868,-0.43591008190685443,0.6920240629730188,3.8961319293347065
2003-04-15,NaN,NaN,NaN,2003.2876712328766,376.76027273639477,4.4008881252906065,NaN,-0.6913767074910311,0.8341643853785286,3.6331975862691532
2003-05-15,2003.0,5.0,379.0642666666667,2003.3698630136987,376.9327958144563,2.147836455589347,-0.016365603378972082,0.7370875332958917,0.9474351020331255,3.3137367641157565
2003-06-15,2003.0,6.0,379.2324,2003.454794520548,377.11111820121647,-2.8192511804537923,4.940532979237332,3.0686937645706394,1.0347183510060063,2.9308987654711744
2003-07-15,NaN,NaN,NaN,2003.5369863013698,377.2837352265622,-9.235170023933215,NaN,4.169392782124021,1.0863219740939485,2.521942130068819
2003-08-15,2003.0,8.0,368.625,2003.6219178082192,377.4621546921836,-10.906656674104974,2.0695019819213485,2.507450341540334,1.1035189829543128,2.0820407655572675
2003-09-15,2003.0,9.0,369.9678666666667,2003.7068493150684,377.64062349296336,-7.435284943318576,-0.23747188297812727,0.9364486256415603,1.083047124032646,1.6404332235695718
2003-10-15,NaN,NaN,NaN,2003.7890410958903,377.8133822092958,-2.4092191438347457,NaN,1.175791814055458,1.028322659408957,1.2383055219584453
2003-11-15,2003.0,11.0,383.40414999999996,2003.8739726027397,377.99194808893685,2.7873152292639194,2.6248866817991825,0.6490757563213378,0.9389011127452704,0.8697762972814411
2003-12-15,2003.0,12.0,381.14090000000004,2003.9561643835616,378.16480075255396,5.0143345391572165,-2.038235291711146,0.25223253090410935,0.8249648920606205,0.5763328377602299
