date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2007-06-15,2007,6,376.0554363636365,2007.454794520548,387.91224829684785,-7.190908536357912,-4.665903396853423,-4.161161491147482,0.581512661393333,4.226032702388669
2007-07-15,2007,7,371.88315326409503,2007.5369863013698,388.3559982435619,-15.310087025090386,-1.1627579543764455,-0.7921758919724766,0.4658717810889925,3.765633473589046
2007-08-15,2007,8,382.14376183310543,2007.6219178082192,388.7806698504146,-12.478346842394325,5.841438825085163,4.413393559748727,0.3425254548577641,3.338290228183252
2007-09-15,2007,9,386.6157359722216,2007.7068493150684,389.1709162065339,-4.117699545538699,1.5625193112264242,3.0458433846840762,0.21944923079610135,2.9619306744328893
2007-10-15,2007,10,393.5322344086022,2007.7890410958903,389.51579654656626,0.651570300149513,3.364867561886456,1.8774483502444355,0.10434969589198317,2.632480256272495
2007-11-15,2007,11,392.12501752873555,2007.8739726027397,389.838302893181,3.7415761143297432,-1.4548614787751717,-0.38165692327066836,-0.007756542173581238,2.332359429643361
2007-12-15,2007,12,395.1289822966504,2007.9561643835616,390.1176283853048,5.7585492383936066,-0.7471953270479617,-1.0691139417606337,-0.10584698092969802,2.0806918980624807
2008-01-15,2008,1,396.99983987603326,2008.0409836065573,390.372080634011,6.279816325549492,0.3479429164727321,0.3977304822938095,-0.19389000701823988,1.8496157050450384
2008-02-15,2008,2,398.3967920481926,2008.1256830601094,390.5919119837139,7.172608937621303,0.6322711268574039,0.23255796839555387,-0.2655483391600342,1.6546729845490518
2008-03-15,2008,3,397.34242330827084,2008.204918032787,390.76656531638076,7.481459662249073,-0.9056016703589762,-0.8017260551840195,-0.3157456766990663,1.4862896744652785
2008-04-15,2008,4,395.16468937409047,2008.2896174863388,390.9201307468625,6.194865148719694,-1.9503065214917683,-2.3574501528437963,-0.3507608404004827,1.317159556178361
2008-05-15,2008,5,390.73453985915484,2008.3715846994535,391.03614389674453,2.2346535166295034,-2.536257554219219,-1.726332467295265,-0.36522506282869927,1.1582089019717532
2008-06-15,2008,6,386.3439285298397,2008.4562841530055,391.12233897601897,-7.386944405399073,2.6085339592197556,1.1863698789556452,-0.3606281539253473,0.9852596726838536
2008-07-15,2008,7,375.33698603667165,2008.5382513661202,391.17315501182907,-15.360359933363448,-0.47580904179397976,1.1762825981597302,-0.33802019978833187,0.801055523895207
2008-08-15,2008,8,377.7167354092523,2008.622950819672,391.1919797398957,-12.382960452626945,-1.0922838780164739,-1.1798885423292518,-0.2981637406200548,0.5796176338850989
2008-09-15,2008,9,384.63859433656955,2008.707650273224,391.176567076365,-4.051231212592815,-2.486741527202639,-2.383255976403234,-0.2441729395566199,0.3253364758836397
2008-10-15,2008,10,390.38224825268867,2008.7896174863388,391.12905303849294,0.6745692954213663,-1.421374081225622,-1.2002543129749483,-0.18156679077509352,0.033429426840681925
2008-11-15,2008,11,395.93173570412506,2008.8743169398906,391.04627002375474,3.753267463303281,1.132198217067014,0.22096172891730248,-0.11050078290833198,-0.316352550329925
2008-12-15,2008,12,396.88713965053773,2008.9562841530055,390.9335588718105,5.760050416868586,0.19353036185867722,0.48648748760973604,-0.039176293644686666,-0.7037239955877015
2009-01-15,2009,1,397.84360907821224,2009.041095890411,390.78318372757604,6.280489916096821,0.7799354345393681,0.03238548125665375,0.03244804430039494,-1.1618586052263251
2009-02-15,2009,2,395.9090896706585,2009.1260273972603,390.59819524887865,7.176614796088914,-1.8657203743090918,-0.4008244960126035,0.09793812352910436,-1.6551018678712304
2009-03-15,2009,3,399.4467418312389,2009.2027397260274,390.4015196436608,7.493508081735449,1.5517141058426773,0.716637853657403,0.14922217701837326,-2.148871103242101
2009-04-15,2009,4,398.69794014869854,2009.2876712328766,390.15101213937623,6.243869429002491,2.303058580319828,1.5392915238794558,0.1922573091201798,-2.7351147983269826
2009-05-15,2009,5,393.3569280056575,2009.3698630136987,389.8758080983715,2.371190289391519,1.1099296178944655,1.6565602255116119,0.21886105427665825,-3.322415619379694
2009-06-15,2009,6,386.91744589928066,2009.454794520548,389.55756058458155,-7.190908536357903,4.550793851056994,2.482697550565149,0.22819093113872668,-3.9507004910907115
2009-07-15,2009,7,372.5175425000002,2009.5369863013698,389.2168016956691,-15.310087025090384,-1.3891721705784903,1.3682273877190028,0.21909545049277313,-4.566301127560106
2009-08-15,2009,8,374.51209080622374,2009.6219178082192,388.83081417237264,-12.478346842394313,-1.8403765237545713,-1.2162292492724305,0.19003289093052445,-5.203965569180877
2009-09-15,2009,9,382.7931298270894,2009.7068493150684,388.41040139834496,-4.117699545538706,-1.4995720257168728,-1.8410082746246417,0.14169855522231956,-5.835834205107558
2009-10-15,2009,10,388.2123717013887,2009.7890410958903,387.97077290275087,0.6515703001495143,-0.40997150151167716,-0.8426685327075916,0.08069894256345833,-6.293248127924169
2009-11-15,2009,11,391.1493673913044,2009.8739726027397,387.48262011921645,3.7415761143297503,-0.07482884224179998,-0.3079120007927827,0.026039077010352685,-6.432662656694248
