date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000.0,1.0,373.923989932886,2000.0409836065573,370.94543688951904,2.8080366369556775,0.17051640641125232,0.19856629117526836,0.16997133373172346,3.226601086738735
2000-02-15,2000.0,2.0,375.62654594594574,2000.1256830601094,371.11876527945225,4.50967518825955,-0.0018945217660757407,-0.13450143022532757,0.2668437475944643,3.142774135140266
2000-03-15,2000.0,3.0,376.4183604651162,2000.204918032787,371.2809618860312,6.087285203110945,-0.9498866240259076,-0.6718970514453986,0.34859927038871774,3.005418751150308
2000-04-15,2000.0,4.0,377.6795955465587,2000.2896174863388,371.4543986549911,6.020544613970009,0.20465227759757454,-0.08420816696826705,0.4208821504570892,2.7810333162556615
2000-05-15,2000.0,5.0,374.1653654069768,2000.3715846994535,371.62229400495767,2.60688794973999,-0.06381654772087586,-0.3963181556612767,0.46967311292172553,2.5000195535668075
2000-06-15,2000.0,6.0,369.1394033557047,2000.4562841530055,371.7958409592623,-2.1095832670028556,-0.5468543365547589,0.5469091580244481,0.49379744013151594,2.1559849862199787
2000-07-15,2000.0,7.0,370.8685189873418,2000.5382513661202,371.9638429402072,-5.081236476472199,3.985912523606828,2.4076729070558827,0.4874835551774481,1.7891044073086821
2000-08-15,2000.0,8.0,365.4326252252252,2000.622950819672,372.13750007985567,-7.036802357682838,0.33192750305238405,1.5734973497251303,0.449135312758699,1.4040552253834395
2000-09-15,2000.0,9.0,367.04132968750014,2000.707650273224,372.3112132153353,-6.76268802044716,1.4928044926120378,1.0822788556914702,0.3780490141858195,1.022204887343005
2000-10-15,2000.0,10.0,369.51218260869535,2000.7896174863388,372.4793760167721,-3.1327692161565044,0.16557580807977956,0.5910360110018473,0.2797407513284611,0.6927611943842029
2000-11-15,2000.0,11.0,373.3544271505374,2000.8743169398906,372.6531993375956,0.5343665325805463,0.16686128036127457,-0.06166960136607713,0.15230924721561223,0.4115596260128711
2000-12-15,2000.0,12.0,374.89333431372563,2000.9562841530055,372.82146877001117,1.808999834515503,0.26286570919899077,0.01617019634039707,0.008954063655494338,0.21192397022819376
2001-01-15,2001.0,1.0,375.39309443037985,2001.041095890411,372.9956328924512,2.8098984265709395,-0.41243688864233263,-0.0027063335118668874,-0.15271243873405638,0.09733079376982312
2001-02-15,2001.0,2.0,378.0535119266054,2001.1260273972603,373.1700992293691,4.517248253932282,0.366164443304001,-0.0012523728170776849,-0.3203470812771343,0.08218763930111415
2001-03-15,2001.0,3.0,378.89454819277086,2001.2027397260274,373.32773012092684,6.054667862361528,-0.4878497905175436,-0.3981305249282059,-0.46937534144484516,0.15362957506282704
2001-04-15,2001.0,4.0,379.0737079710148,2001.2876712328766,373.50230361531476,6.060731181977098,-0.48932682627702206,-0.943304171948796,-0.6245176207581267,0.3203980793833866
