REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_ams_surface-insitu_45_9998-9999_monthly.txt
REM03  STATION: Amsterdam Island
REM04  CATEGORY: GAW Global
REM05  COUNTRY/TERRITORY: France
REM06  SUBMITTED BY: LSCE
REM07  LATITUDE:   37 48' S
REM08  LONGITUDE:  77 32' E
REM09  ALTITUDE:       70 m
REM10  RATIO: 1.000000 0.000000  1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: January 1981 - December 2010
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(1981-01-01 - 2005-12-31)  NDIR(2006-01-01 - 2010-12-01)
REM15  SAMPLING TYPE: surface-insitu
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X1993(1981-01-01 - 2005-12-31)  WMO CO2 X2002(2006-01-01 - 2010-12-01)
REM18  TABLENAME: AMS137S045iy
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-09-17
REM21
REM22  COMMENT: Dataset was made using the former WDCGG data file
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
1981 01  338.381 -99    19   0.660 -99  1.000000  0.000000
1981 02  338.565 -99    11   0.537 -99  1.000000  0.000000
1981 03  338.287 -99    13   0.733 -99  1.000000  0.000000
1981 04  338.282 -99    17   0.283 -99  1.000000  0.000000
1981 05  338.430 -99    18   0.338 -99  1.000000  0.000000
1981 06  338.281 -99    22   0.408 -99  1.000000  0.000000
1981 07  338.451 -99    24   0.264 -99  1.000000  0.000000
1981 08  338.984 -99    26   0.327 -99  1.000000  0.000000
1981 09  338.791 -99    28   0.520 -99  1.000000  0.000000
1981 10  338.816 -99    25   0.270 -99  1.000000  0.000000
1981 11  338.967 -99    12   0.373 -99  1.000000  0.000000
1981 12  338.946 -99    13   0.234 -99  1.000000  0.000000
1982 01 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
1982 02 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
1982 03 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
1982 04 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
1982 05  338.982 -99    14   0.188 -99  1.000000  0.000000
1982 06  339.045 -99    11   0.308 -99  1.000000  0.000000
1982 07  339.442 -99    21   0.509 -99  1.000000  0.000000
1982 08  340.022 -99    17   0.208 -99  1.000000  0.000000
1982 09  339.965 -99    17   0.258 -99  1.000000  0.000000
1982 10  339.863 -99    16   0.347 -99  1.000000  0.000000
1982 11  339.681 -99    14   0.371 -99  1.000000  0.000000
1982 12  339.576 -99    12   0.398 -99  1.000000  0.000000
1983 01  339.935 -99     9   0.150 -99  1.000000  0.000000
1983 02  340.253 -99     7   0.234 -99  1.000000  0.000000
1983 03  340.222 -99     2   0.144 -99  1.000000  0.000000
1983 04  340.573 -99    10   0.166 -99  1.000000  0.000000
