REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_cgr_surface-insitu_37_9999-9999_monthly.txt
REM03  STATION: Capo Granitola
REM04  CATEGORY: GAW Regional
REM05  COUNTRY/TERRITORY: Italy
REM06  SUBMITTED BY: ISAC
REM07  LATITUDE:   37 40' N
REM08  LONGITUDE:  12 39' E
REM09  ALTITUDE:        5 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: January 2015 - December 2017
REM13  UNIT: ppm
REM14  ANALYSIS: CRDS(2015-01-01 - 2017-12-01)
REM15  SAMPLING TYPE: surface-insitu
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(2015-01-01 - 2017-12-01)
REM18  TABLENAME: CGR637N037iz
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-07-30
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
2015 01 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2015 02 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2015 03 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2015 04  403.700 -99     3   0.900 -99  1.000000  0.000000
2015 05  402.100 -99     4   1.400 -99  1.000000  0.000000
2015 06  398.200 -99     4   0.800 -99  1.000000  0.000000
2015 07  395.500 -99     5   1.500 -99  1.000000  0.000000
2015 08  394.500 -99     4   3.100 -99  1.000000  0.000000
2015 09  394.700 -99     5   0.900 -99  1.000000  0.000000
2015 10  403.600 -99     3   2.500 -99  1.000000  0.000000
2015 11  402.600 -99     2   1.000 -99  1.000000  0.000000
2015 12  404.900 -99     5   2.200 -99  1.000000  0.000000
2016 01  405.400 -99     4   1.600 -99  1.000000  0.000000
2016 02  404.600 -99     4   0.300 -99  1.000000  0.000000
2016 03  406.600 -99     5   0.600 -99  1.000000  0.000000
2016 04  406.200 -99     4   0.500 -99  1.000000  0.000000
2016 05  403.400 -99     4   1.100 -99  1.000000  0.000000
2016 06  400.700 -99     3   0.600 -99  1.000000  0.000000
2016 07 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2016 08 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2016 09  400.400 -99     1 -999999 -99  1.000000  0.000000
2016 10  402.100 -99     4   1.500 -99  1.000000  0.000000
2016 11  404.300 -99     2   0.300 -99  1.000000  0.000000
2016 12  407.000 -99     4   0.500 -99  1.000000  0.000000
2017 01  411.300 -99     4   0.800 -99  1.000000  0.000000
2017 02  411.300 -99     4   0.900 -99  1.000000  0.000000
2017 03  412.600 -99     4   0.800 -99  1.000000  0.000000
2017 04  411.400 -99     5   1.000 -99  1.000000  0.000000
2017 05  409.000 -99     4   1.400 -99  1.000000  0.000000
2017 06  406.400 -99     4   2.000 -99  1.000000  0.000000
2017 07  402.400 -99     5   2.300 -99  1.000000  0.000000
2017 08  403.200 -99     3   2.700 -99  1.000000  0.000000
2017 09  402.200 -99     5   2.500 -99  1.000000  0.000000
2017 10  407.300 -99     4   1.700 -99  1.000000  0.000000
2017 11  409.900 -99     4   0.500 -99  1.000000  0.000000
2017 12  411.200 -99     5   1.700 -99  1.000000  0.000000
