REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_cya_surface-flask_16_9999-9999_monthly.txt
REM03  STATION: Casey
REM04  CATEGORY: GAW Regional
REM05  COUNTRY/TERRITORY: Australia
REM06  SUBMITTED BY: CSIRO
REM07  LATITUDE:   66 17' S
REM08  LONGITUDE: 110 31' E
REM09  ALTITUDE:       51 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: June 1997 - December 2017
REM13  UNIT: ppm
REM14  ANALYSIS: Gas chromatography (FID)(1997-06-01 - 2017-12-01)
REM15  SAMPLING TYPE: surface-flask
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(1997-06-01 - 2017-12-01)
REM18  TABLENAME: CYA766S016fz
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-10-18
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
1997 06  361.209 -99     2   0.120 -99  1.000000  0.000000
1997 07  361.525 -99     6   0.183 -99  1.000000  0.000000
1997 08  361.911 -99     4   0.122 -99  1.000000  0.000000
1997 09  362.334 -99     2   0.329 -99  1.000000  0.000000
1997 10  362.498 -99     3   0.075 -99  1.000000  0.000000
1997 11  362.302 -99     2   0.063 -99  1.000000  0.000000
1997 12  362.461 -99     5   0.251 -99  1.000000  0.000000
1998 01  362.758 -99     4   0.045 -99  1.000000  0.000000
1998 02  362.795 -99     2   0.048 -99  1.000000  0.000000
1998 03  363.019 -99     4   0.211 -99  1.000000  0.000000
1998 04  363.341 -99     4   0.077 -99  1.000000  0.000000
1998 05  363.465 -99     4   0.070 -99  1.000000  0.000000
1998 06  363.802 -99     3   0.166 -99  1.000000  0.000000
1998 07  364.407 -99     8   0.247 -99  1.000000  0.000000
1998 08  364.910 -99     6   0.217 -99  1.000000  0.000000
1998 09  365.186 -99     6   0.167 -99  1.000000  0.000000
1998 10  365.276 -99     8   0.083 -99  1.000000  0.000000
1998 11  365.178 -99     4   0.045 -99  1.000000  0.000000
1998 12  365.081 -99     8   0.174 -99  1.000000  0.000000
1999 01  365.007 -99     6   0.089 -99  1.000000  0.000000
1999 02  364.882 -99     4   0.166 -99  1.000000  0.000000
1999 03  364.907 -99     6   0.190 -99  1.000000  0.000000
1999 04  364.944 -99     0   0.024 -99  1.000000  0.000000
1999 05  365.295 -99     2   0.202 -99  1.000000  0.000000
1999 06  366.021 -99     5   0.211 -99  1.000000  0.000000
1999 07  366.373 -99     4   0.164 -99  1.000000  0.000000
1999 08  366.511 -99     2   0.186 -99  1.000000  0.000000
1999 09  366.594 -99     5   0.098 -99  1.000000  0.000000
1999 10  366.649 -99     4   0.155 -99  1.000000  0.000000
1999 11  366.906 -99     2   0.227 -99  1.000000  0.000000
1999 12  366.835 -99     1   0.089 -99  1.000000  0.000000
2000 01  366.552 -99     4   0.218 -99  1.000000  0.000000
2000 02  366.532 -99     2   0.347 -99  1.000000  0.000000
2000 03  366.742 -99     2   0.172 -99  1.000000  0.000000
2000 04  366.880 -99     5   0.131 -99  1.000000  0.000000
2000 05 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2000 06 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2000 07 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2000 08 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2000 09 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2000 10 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2000 11 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2000 12 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 01 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 02 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 03 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 04 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 05 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 06 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 07 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 08 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 09 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 10 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 11 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2001 12 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2002 01  369.532 -99     1   0.027 -99  1.000000  0.000000
2002 02  369.816 -99     1   0.130 -99  1.000000  0.000000
2002 03  370.163 -99     1   0.051 -99  1.000000  0.000000
2002 04  370.083 -99     0   0.071 -99  1.000000  0.000000
2002 05  369.947 -99     0   0.034 -99  1.000000  0.000000
2002 06  370.352 -99     6   0.291 -99  1.000000  0.000000
2002 07  371.051 -99     2   0.213 -99  1.000000  0.000000
2002 08  371.573 -99     4   0.345 -99  1.000000  0.000000
2002 09  371.996 -99     4   0.165 -99  1.000000  0.000000
2002 10  372.165 -99     2   0.253 -99  1.000000  0.000000
2002 11  372.132 -99     4   0.068 -99  1.000000  0.000000
2002 12  371.987 -99     2   0.138 -99  1.000000  0.000000
2003 01  372.011 -99     4   0.101 -99  1.000000  0.000000
2003 02  372.186 -99     4   0.122 -99  1.000000  0.000000
2003 03  372.261 -99     3   0.110 -99  1.000000  0.000000
2003 04  372.386 -99     6   0.079 -99  1.000000  0.000000
2003 05  372.616 -99     5   0.272 -99  1.000000  0.000000
2003 06  373.008 -99     6   0.198 -99  1.000000  0.000000
2003 07  373.578 -99     4   0.216 -99  1.000000  0.000000
2003 08  374.108 -99     6   0.296 -99  1.000000  0.000000
2003 09  374.259 -99     5   0.136 -99  1.000000  0.000000
2003 10  374.042 -99     6   0.249 -99  1.000000  0.000000
2003 11  373.670 -99     4   0.189 -99  1.000000  0.000000
2003 12  373.713 -99     4   0.324 -99  1.000000  0.000000
2004 01  373.968 -99     2   0.231 -99  1.000000  0.000000
2004 02  373.931 -99     4   0.175 -99  1.000000  0.000000
2004 03  374.026 -99     2   0.065 -99  1.000000  0.000000
2004 04  374.185 -99     4   0.197 -99  1.000000  0.000000
2004 05  374.377 -99     4   0.237 -99  1.000000  0.000000
2004 06  374.893 -99     3   0.172 -99  1.000000  0.000000
2004 07  375.382 -99     4   0.128 -99  1.000000  0.000000
2004 08  375.784 -99     4   0.182 -99  1.000000  0.000000
2004 09  376.031 -99     4   0.179 -99  1.000000  0.000000
2004 10  375.973 -99     5   0.113 -99  1.000000  0.000000
2004 11  375.888 -99     4   0.111 -99  1.000000  0.000000
2004 12  375.721 -99     1   0.086 -99  1.000000  0.000000
2005 01  375.368 -99     5   0.170 -99  1.000000  0.000000
2005 02  375.235 -99     4   0.062 -99  1.000000  0.000000
2005 03  375.532 -99     4   0.136 -99  1.000000  0.000000
2005 04  375.861 -99     4   0.162 -99  1.000000  0.000000
2005 05  376.149 -99     4   0.221 -99  1.000000  0.000000
2005 06  376.756 -99     4   0.241 -99  1.000000  0.000000
2005 07  377.392 -99     4   0.157 -99  1.000000  0.000000
2005 08  377.723 -99     4   0.087 -99  1.000000  0.000000
2005 09  377.863 -99     4   0.135 -99  1.000000  0.000000
2005 10  377.916 -99     2   0.123 -99  1.000000  0.000000
2005 11  377.963 -99     2   0.020 -99  1.000000  0.000000
2005 12  377.948 -99     4   0.108 -99  1.000000  0.000000
2006 01  377.772 -99     4   0.110 -99  1.000000  0.000000
2006 02  377.638 -99     3   0.232 -99  1.000000  0.000000
2006 03  377.747 -99     2   0.230 -99  1.000000  0.000000
2006 04  378.018 -99     4   0.146 -99  1.000000  0.000000
2006 05  378.235 -99     4   0.157 -99  1.000000  0.000000
2006 06  378.598 -99     4   0.245 -99  1.000000  0.000000
2006 07  379.163 -99     2   0.151 -99  1.000000  0.000000
2006 08  379.375 -99     4   0.067 -99  1.000000  0.000000
2006 09  379.349 -99     4   0.204 -99  1.000000  0.000000
2006 10  379.573 -99     4   0.125 -99  1.000000  0.000000
2006 11  379.660 -99     4   0.181 -99  1.000000  0.000000
2006 12  379.356 -99     6   0.204 -99  1.000000  0.000000
2007 01  379.127 -99     4   0.211 -99  1.000000  0.000000
2007 02  379.176 -99     4   0.049 -99  1.000000  0.000000
2007 03  379.486 -99     3   0.150 -99  1.000000  0.000000
2007 04  379.959 -99     4   0.179 -99  1.000000  0.000000
2007 05  380.176 -99     3   0.298 -99  1.000000  0.000000
2007 06  380.403 -99     2   0.123 -99  1.000000  0.000000
2007 07  381.016 -99     4   0.252 -99  1.000000  0.000000
2007 08  381.706 -99     3   0.216 -99  1.000000  0.000000
2007 09  382.001 -99     0   0.025 -99  1.000000  0.000000
2007 10  381.927 -99     2   0.177 -99  1.000000  0.000000
2007 11  381.776 -99     2   0.225 -99  1.000000  0.000000
2007 12  381.808 -99     2   0.183 -99  1.000000  0.000000
2008 01  381.825 -99     3   0.045 -99  1.000000  0.000000
2008 02  381.677 -99     1   0.032 -99  1.000000  0.000000
2008 03  381.820 -99     1   0.112 -99  1.000000  0.000000
2008 04  382.129 -99     1   0.039 -99  1.000000  0.000000
2008 05  382.030 -99     0   0.048 -99  1.000000  0.000000
2008 06  382.244 -99     4   0.206 -99  1.000000  0.000000
2008 07  383.008 -99     2   0.321 -99  1.000000  0.000000
2008 08  383.554 -99     2   0.116 -99  1.000000  0.000000
