REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_jfj_surface-insitu_42_9999-9999_monthly.txt
REM03  STATION: Jungfraujoch
REM04  CATEGORY: GAW Global
REM05  COUNTRY/TERRITORY: Switzerland
REM06  SUBMITTED BY: KUP
REM07  LATITUDE:   46 33' N
REM08  LONGITUDE:   7 59' E
REM09  ALTITUDE:     3580 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: December 2004 - December 2017
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(2004-12-01 - 2016-12-01)
REM15  SAMPLING TYPE: surface-insitu
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(2004-12-01 - 2016-12-01)
REM18  TABLENAME: JFJ646N042iz
REM19  CALCULATION: wdcgg
REM20  REGISTRATION: 2018-06-14
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
2004 12  380.090 -99    19   1.620 -99  1.000000  0.000000
2005 01  381.180 -99    29   2.270 -99  1.000000  0.000000
2005 02  384.990 -99    28   4.100 -99  1.000000  0.000000
2005 03  383.250 -99    30   2.160 -99  1.000000  0.000000
2005 04  384.170 -99    23   1.760 -99  1.000000  0.000000
2005 05  381.990 -99    29   1.150 -99  1.000000  0.000000
2005 06  380.330 -99    30   1.110 -99  1.000000  0.000000
2005 07  375.370 -99    22   2.690 -99  1.000000  0.000000
2005 08  373.770 -99    30   1.450 -99  1.000000  0.000000
2005 09  376.520 -99    30   1.040 -99  1.000000  0.000000
2005 10  378.150 -99    31   0.910 -99  1.000000  0.000000
2005 11  383.200 -99     9   1.240 -99  1.000000  0.000000
2005 12  382.870 -99    31   2.450 -99  1.000000  0.000000
2006 01  383.440 -99    31   1.990 -99  1.000000  0.000000
2006 02  385.010 -99    28   2.630 -99  1.000000  0.000000
2006 03  386.330 -99    31   2.070 -99  1.000000  0.000000
2006 04  385.960 -99    29   1.980 -99  1.000000  0.000000
2006 05 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2006 06 -9999999 -99 -9999 -999999 -99  1.000000  0.000000
2006 07  378.880 -99    28   1.810 -99  1.000000  0.000000
2006 08  376.390 -99    30   1.650 -99  1.000000  0.000000
2006 09  379.000 -99    20   1.240 -99  1.000000  0.000000
2006 10  380.710 -99    27   1.690 -99  1.000000  0.000000
2006 11  382.570 -99    30   1.970 -99  1.000000  0.000000
