REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_kyz_surface-flask_46_9999-9999_monthly.txt
REM03  STATION: Kyzylcha
REM04  CATEGORY: GAW Regional
REM05  COUNTRY/TERRITORY: Uzbekistan
REM06  SUBMITTED BY: MGO
REM07  LATITUDE:   40 52' N
REM08  LONGITUDE:  66 09' E
REM09  ALTITUDE:      340 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: January 1990 - August 1991
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(1990-01-01 - 1991-08-01)
REM15  SAMPLING TYPE: surface-flask
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X1987(1990-01-01 - 1991-08-01)
REM18  TABLENAME: KYZ240N046fz
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-06-29
REM21
REM22  COMMENT: Dataset was made using the former WDCGG data file
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
1990 01  360.300 -99 -9999   0.900 -99  1.000000  0.000000
1990 02  359.700 -99 -9999   1.400 -99  1.000000  0.000000
1990 03  361.500 -99 -9999 -999999 -99  1.000000  0.000000
1990 04  354.100 -99 -9999   4.900 -99  1.000000  0.000000
1990 05  361.500 -99 -9999   7.800 -99  1.000000  0.000000
1990 06  349.400 -99 -9999   0.700 -99  1.000000  0.000000
1990 07  349.700 -99 -9999   0.600 -99  1.000000  0.000000
1990 08  350.600 -99 -9999   0.300 -99  1.000000  0.000000
1990 09  349.600 -99 -9999   0.900 -99  1.000000  0.000000
1990 10  367.200 -99 -9999   3.900 -99  1.000000  0.000000
1990 11  362.100 -99 -9999   1.000 -99  1.000000  0.000000
1990 12  362.300 -99 -9999   1.700 -99  1.000000  0.000000
1991 01  363.500 -99 -9999   2.400 -99  1.000000  0.000000
1991 02  368.000 -99 -9999   4.200 -99  1.000000  0.000000
1991 03  365.800 -99 -9999   4.600 -99  1.000000  0.000000
1991 04  360.800 -99 -9999   4.100 -99  1.000000  0.000000
1991 05  365.800 -99 -9999   5.300 -99  1.000000  0.000000
1991 06  356.600 -99 -9999   1.500 -99  1.000000  0.000000
1991 07  353.800 -99 -9999   2.300 -99  1.000000  0.000000
1991 08  352.000 -99 -9999   1.700 -99  1.000000  0.000000
