REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_smo_surface-flask_2_3001-9999_monthly.txt
REM03  STATION: Samoa (Cape Matatula)
REM04  CATEGORY: GAW Global
REM05  COUNTRY/TERRITORY: United States of America
REM06  SUBMITTED BY: NOAA
REM07  LATITUDE:   14 15' S
REM08  LONGITUDE: 170 34' W
REM09  ALTITUDE:       77 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: August 1973 - December 2017
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(1973-08-01 - 2017-12-01)
REM15  SAMPLING TYPE: surface-flask
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(1973-08-01 - 2017-12-01)
REM18  TABLENAME: SMO514S002f1
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-09-25
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
1973 08  330.120 -99 -9999 -999999 -99  1.000000  0.000000
1973 09  330.200 -99 -9999 -999999 -99  1.000000  0.000000
1973 10  330.090 -99 -9999 -999999 -99  1.000000  0.000000
1973 11  330.080 -99 -9999 -999999 -99  1.000000  0.000000
1973 12  330.290 -99 -9999 -999999 -99  1.000000  0.000000
1974 01  330.620 -99 -9999 -999999 -99  1.000000  0.000000
1974 02  331.160 -99 -9999 -999999 -99  1.000000  0.000000
1974 03  331.320 -99 -9999 -999999 -99  1.000000  0.000000
1974 04  331.070 -99 -9999 -999999 -99  1.000000  0.000000
1974 05  331.370 -99 -9999 -999999 -99  1.000000  0.000000
1974 06  331.140 -99 -9999 -999999 -99  1.000000  0.000000
1974 07  330.520 -99 -9999 -999999 -99  1.000000  0.000000
1974 08  330.620 -99 -9999 -999999 -99  1.000000  0.000000
1974 09  330.770 -99 -9999 -999999 -99  1.000000  0.000000
1974 10  331.050 -99 -9999 -999999 -99  1.000000  0.000000
1974 11  330.460 -99 -9999 -999999 -99  1.000000  0.000000
1974 12  329.980 -99 -9999 -999999 -99  1.000000  0.000000
1975 01  330.650 -99 -9999 -999999 -99  1.000000  0.000000
1975 02  330.650 -99 -9999 -999999 -99  1.000000  0.000000
1975 03  330.200 -99 -9999 -999999 -99  1.000000  0.000000
1975 04  329.630 -99 -9999 -999999 -99  1.000000  0.000000
1975 05  329.660 -99 -9999 -999999 -99  1.000000  0.000000
1975 06  330.600 -99 -9999 -999999 -99  1.000000  0.000000
1975 07  330.830 -99 -9999 -999999 -99  1.000000  0.000000
1975 08  330.910 -99 -9999 -999999 -99  1.000000  0.000000
1975 09  331.790 -99 -9999 -999999 -99  1.000000  0.000000
1975 10  331.640 -99 -9999 -999999 -99  1.000000  0.000000
1975 11  330.880 -99 -9999 -999999 -99  1.000000  0.000000
1975 12  330.560 -99 -9999 -999999 -99  1.000000  0.000000
1976 01  332.470 -99    28   0.850 ...  1.000000  0.000000
1976 02  331.890 -99    22   0.380 ...  1.000000  0.000000
1976 03  331.330 -99    29   0.500 ...  1.000000  0.000000
1976 04  331.140 -99    24   0.520 ...  1.000000  0.000000
1976 05  330.930 -99    15   0.640 ...  1.000000  0.000000
1976 06  331.130 -99    21   0.410 ...  1.000000  0.000000
1976 07  330.970 -99    26   0.350 ...  1.000000  0.000000
1976 08  331.130 -99    30   0.210 ...  1.000000  0.000000
1976 09  331.260 -99    22   0.130 ...  1.000000  0.000000
1976 10  331.500 -99    21   0.290 ...  1.000000  0.000000
1976 11  331.950 -99    20   0.310 ...  1.000000  0.000000
1976 12  331.640 -99    15   0.260 ...  1.000000  0.000000
1977 01  331.740 -99    28   0.280 ...  1.000000  0.000000
1977 02  331.980 -99    26   0.350 ...  1.000000  0.000000
1977 03  332.040 -99    24   0.770 ...  1.000000  0.000000
1977 04  332.320 -99    20   0.980 ...  1.000000  0.000000
1977 05  332.910 -99    13   1.130 ...  1.000000  0.000000
1977 06  333.640 -99    27   0.570 ...  1.000000  0.000000
1977 07  333.210 -99    29   0.330 ...  1.000000  0.000000
1977 08  333.020 -99    29   0.290 ...  1.000000  0.000000
1977 09  332.860 -99    10   0.330 ...  1.000000  0.000000
1977 10  333.100 -99    11   0.660 ...  1.000000  0.000000
1977 11 -9999999 -99 -9999 -999999 *..  1.000000  0.000000
1977 12 -9999999 -99 -9999 -999999 *..  1.000000  0.000000
1978 01 -9999999 -99 -9999 -999999 *..  1.000000  0.000000
1978 02  334.540 -99    12   0.910 ...  1.000000  0.000000
1978 03  335.140 -99    27   0.690 ...  1.000000  0.000000
1978 04  335.360 -99    23   0.680 ...  1.000000  0.000000
1978 05  335.010 -99    27   0.730 ...  1.000000  0.000000
1978 06  335.090 -99    21   0.620 ...  1.000000  0.000000
1978 07  334.940 -99    28   0.400 ...  1.000000  0.000000
1978 08  335.520 -99    24   0.300 ...  1.000000  0.000000
1978 09  335.430 -99    14   0.280 ...  1.000000  0.000000
1978 10 -9999999 -99 -9999 -999999 *..  1.000000  0.000000
