REM01  EXPLANATORY 25-LINE FOR THE MONTHLY DATA
REM02  FILENAME: co2_spo_surface-flask_2_3001-9999_monthly.txt
REM03  STATION: South Pole
REM04  CATEGORY: GAW Global
REM05  COUNTRY/TERRITORY: United States of America
REM06  SUBMITTED BY: NOAA
REM07  LATITUDE:   90 00' S
REM08  LONGITUDE:  24 48' W
REM09  ALTITUDE:     2841 m
REM10  RATIO: 1.000000 0.000000
REM11  PARAMETER: CO2
REM12  COVERING PERIOD: July 1975 - December 2017
REM13  UNIT: ppm
REM14  ANALYSIS: NDIR(1975-07-01 - 2017-12-01)
REM15  SAMPLING TYPE: surface-flask
REM16  CLASSIFICATION: Background observation
REM17  CALIBRATION: WMO CO2 X2007(1975-07-01 - 2017-12-01)
REM18  TABLENAME: SPO789S002f1
REM19  CALCULATION: contributor
REM20  REGISTRATION: 2018-09-25
REM21
REM22  COMMENT: Dataset was made from entire historical data provided from contributor from 2018 new WDCGG website open onward
REM23
REM24 M      CO2   V    ND      SD   F   RATIO_A   RATIO_B
REM25        ppm
1975 07  329.390 -99 -9999 -999999 -99  1.000000  0.000000
1975 08  329.860 -99 -9999 -999999 -99  1.000000  0.000000
1975 09  330.050 -99 -9999 -999999 -99  1.000000  0.000000
1975 10  330.270 -99 -9999 -999999 -99  1.000000  0.000000
1975 11  330.470 -99 -9999 -999999 -99  1.000000  0.000000
1975 12  330.080 -99 -9999 -999999 -99  1.000000  0.000000
1976 01  329.460 -99 -9999 -999999 -99  1.000000  0.000000
1976 02  329.220 -99 -9999 -999999 -99  1.000000  0.000000
1976 03  329.180 -99 -9999 -999999 -99  1.000000  0.000000
1976 04  329.370 -99 -9999 -999999 -99  1.000000  0.000000
1976 05  329.610 -99 -9999 -999999 -99  1.000000  0.000000
1976 06  329.780 -99 -9999 -999999 -99  1.000000  0.000000
1976 07  330.160 -99 -9999 -999999 -99  1.000000  0.000000
1976 08  330.690 -99 -9999 -999999 -99  1.000000  0.000000
1976 09  331.160 -99 -9999 -999999 -99  1.000000  0.000000
1976 10  331.520 -99 -9999 -999999 -99  1.000000  0.000000
1976 11  331.480 -99 -9999 -999999 -99  1.000000  0.000000
1976 12  331.070 -99 -9999 -999999 -99  1.000000  0.000000
1977 01  330.850 -99 -9999 -999999 -99  1.000000  0.000000
1977 02  330.860 -99 -9999 -999999 -99  1.000000  0.000000
1977 03  330.710 -99 -9999 -999999 -99  1.000000  0.000000
1977 04  330.520 -99 -9999 -999999 -99  1.000000  0.000000
1977 05  330.660 -99 -9999 -999999 -99  1.000000  0.000000
1977 06  331.000 -99 -9999 -999999 -99  1.000000  0.000000
1977 07  331.550 -99 -9999 -999999 -99  1.000000  0.000000
1977 08  332.480 -99 -9999 -999999 -99  1.000000  0.000000
1977 09  333.000 -99 -9999 -999999 -99  1.000000  0.000000
1977 10  332.810 -99 -9999 -999999 -99  1.000000  0.000000
1977 11  332.480 -99 -9999 -999999 -99  1.000000  0.000000
1977 12  332.380 -99 -9999 -999999 -99  1.000000  0.000000
1978 01  332.460 -99 -9999 -999999 -99  1.000000  0.000000
1978 02  332.340 -99 -9999 -999999 -99  1.000000  0.000000
1978 03  332.270 -99 -9999 -999999 -99  1.000000  0.000000
1978 04  332.600 -99 -9999 -999999 -99  1.000000  0.000000
1978 05  333.140 -99 -9999 -999999 -99  1.000000  0.000000
1978 06  333.480 -99 -9999 -999999 -99  1.000000  0.000000
1978 07  333.850 -99 -9999 -999999 -99  1.000000  0.000000
1978 08  334.380 -99 -9999 -999999 -99  1.000000  0.000000
1978 09  334.840 -99 -9999 -999999 -99  1.000000  0.000000
1978 10  335.330 -99 -9999 -999999 -99  1.000000  0.000000
1978 11  335.280 -99 -9999 -999999 -99  1.000000  0.000000
1978 12  334.810 -99 -9999 -999999 -99  1.000000  0.000000
1979 01  334.360 -99 -9999 -999999 -99  1.000000  0.000000
1979 02  333.890 -99 -9999 -999999 -99  1.000000  0.000000
1979 03  333.640 -99 -9999 -999999 -99  1.000000  0.000000
1979 04  333.820 -99 -9999 -999999 -99  1.000000  0.000000
1979 05  334.210 -99 -9999 -999999 -99  1.000000  0.000000
1979 06  334.430 -99 -9999 -999999 -99  1.000000  0.000000
1979 07  334.980 -99 -9999 -999999 -99  1.000000  0.000000
1979 08  335.560 -99 -9999 -999999 -99  1.000000  0.000000
1979 09  335.600 -99 -9999 -999999 -99  1.000000  0.000000
1979 10  335.590 -99 -9999 -999999 -99  1.000000  0.000000
1979 11  335.640 -99 -9999 -999999 -99  1.000000  0.000000
1979 12  335.800 -99 -9999 -999999 -99  1.000000  0.000000
1980 01  336.140 -99    31   0.100 ...  1.000000  0.000000
1980 02  335.950 -99    29   0.100 ...  1.000000  0.000000
1980 03  336.020 -99    31   0.080 ...  1.000000  0.000000
1980 04  336.220 -99    30   0.090 ...  1.000000  0.000000
1980 05  336.580 -99    31   0.080 ...  1.000000  0.000000
1980 06  336.930 -99    30   0.230 ...  1.000000  0.000000
1980 07  337.370 -99    31   0.060 ...  1.000000  0.000000
1980 08  337.650 -99    31   0.090 ...  1.000000  0.000000
1980 09  337.890 -99    30   0.080 ...  1.000000  0.000000
1980 10  338.080 -99    31   0.060 ...  1.000000  0.000000
1980 11  338.030 -99    30   0.060 ...  1.000000  0.000000
1980 12  338.090 -99    26   0.090 ...  1.000000  0.000000
1981 01  337.850 -99    31   0.200 ...  1.000000  0.000000
1981 02  337.800 -99    27   0.080 ...  1.000000  0.000000
1981 03  337.890 -99    31   0.060 ...  1.000000  0.000000
1981 04  337.910 -99    30   0.040 ...  1.000000  0.000000
1981 05  338.060 -99    31   0.080 ...  1.000000  0.000000
1981 06  338.330 -99    30   0.120 ...  1.000000  0.000000
1981 07  338.750 -99    31   0.140 ...  1.000000  0.000000
1981 08  338.950 -99    31   0.090 ...  1.000000  0.000000
1981 09  339.230 -99    30   0.150 ...  1.000000  0.000000
1981 10  339.100 -99    28   0.100 ...  1.000000  0.000000
1981 11  338.910 -99    28   0.070 ...  1.000000  0.000000
1981 12  338.590 -99    22   0.260 ...  1.000000  0.000000
1982 01  339.210 -99    13   0.050 ...  1.000000  0.000000
1982 02  339.170 -99    28   0.040 ...  1.000000  0.000000
1982 03  339.120 -99    31   0.050 ...  1.000000  0.000000
1982 04  339.310 -99    30   0.090 ...  1.000000  0.000000
1982 05  339.620 -99    31   0.070 ...  1.000000  0.000000
1982 06  339.650 -99    22   0.050 ...  1.000000  0.000000
1982 07  340.040 -99    11   0.080 ...  1.000000  0.000000
1982 08  340.360 -99    31   0.150 ...  1.000000  0.000000
1982 09  340.660 -99    30   0.050 ...  1.000000  0.000000
1982 10  340.630 -99    30   0.090 ...  1.000000  0.000000
1982 11  340.420 -99    30   0.120 ...  1.000000  0.000000
1982 12  340.040 -99    31   0.190 ...  1.000000  0.000000
1983 01  339.780 -99    31   0.060 ...  1.000000  0.000000
1983 02  339.710 -99    28   0.060 ...  1.000000  0.000000
1983 03  339.790 -99    31   0.060 ...  1.000000  0.000000
1983 04  340.160 -99    28   0.120 ...  1.000000  0.000000
1983 05 -9999999 -99 -9999 -999999 *..  1.000000  0.000000
1983 06  341.030 -99    13   0.050 ...  1.000000  0.000000
1983 07  341.280 -99    31   0.160 ...  1.000000  0.000000
1983 08  341.950 -99    31   0.160 ...  1.000000  0.000000
1983 09  342.120 -99    30   0.060 ...  1.000000  0.000000
1983 10  342.240 -99    31   0.080 ...  1.000000  0.000000
1983 11  342.310 -99    30   0.060 ...  1.000000  0.000000
1983 12  342.210 -99    26   0.070 ...  1.000000  0.000000
1984 01  342.050 -99    29   0.130 ...  1.000000  0.000000
1984 02  342.000 -99    29   0.060 ...  1.000000  0.000000
