date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
1990-08-15,1990.0,8.0,345.96,1990.6219178082192,355.9528753626388,-8.294331143507062,-1.6985442191317475,-1.5679210744067404,0.21263502348142538,2.288261759107851
1990-09-15,1990.0,9.0,347.83,1990.7068493150684,356.1036202932654,-7.152797406873868,-1.1208228863915792,-0.6671461680742823,0.2564128914253274,2.2865390833864634
1990-10-15,1990.0,10.0,355.4,1990.7890410958903,356.24944244948796,-1.9337034037774865,1.0842609542895048,0.5052918717844932,0.2972993867068112,2.251181787928623
1990-11-15,1990.0,11.0,358.55,1990.8739726027397,356.40006330838827,0.6536729979910073,1.4962636936207332,0.751290289601684,0.3351292644675823,2.181031325496
1990-12-15,1990.0,12.0,358.05,1990.9561643835616,356.5457653951978,1.2032512674134705,0.30098333738874317,1.1792506376339134,0.36502069878196153,2.0890252936654683
1991-01-15,1991.0,1.0,360.81,1991.041095890411,356.6962621823713,2.6592076961930973,1.454530121435596,0.5687713250401885,0.38736061627872687,1.9787388469617144
1991-02-15,1991.0,2.0,360.33,1991.1260273972603,356.8466959166996,3.333433802710776,0.14987028058959595,0.5368944514237342,0.40020896342491596,1.8686022484374663
1991-03-15,1991.0,3.0,361.1,1991.2027397260274,356.982517352441,4.23984894122834,-0.12236629366930174,0.04641793095095181,0.40420541614867034,1.7772811288932138
1991-04-15,1991.0,4.0,362.69,1991.2876712328766,357.132831082968,5.639282950986706,-0.08211403395466732,-0.709680701715115,0.40119123639175314,1.6979423815355585
1991-05-15,1991.0,5.0,360.74,1991.3698630136987,357.278235948772,4.04336399807449,-0.5815999468464952,0.05906672224205067,0.3934836380599904,1.6589374697646977
1991-06-15,1991.0,6.0,361.42,1991.454794520548,357.42842560757225,0.12851936199821018,3.863055030429564,2.9392773482933876,0.38431095744891763,1.6736793512835764
1991-07-15,1991.0,7.0,354.72,1991.5369863013698,357.5737104039629,-4.1829836947519565,1.3292732907891036,1.4737147783176852,0.379170014595843,1.7434926729406044
1991-08-15,1991.0,8.0,348.21,1991.6219178082192,357.72377599103675,-8.294331143507058,-1.2194448475297008,0.37497894534283205,0.38184274364130033,1.8611982983685234
1991-09-15,1991.0,9.0,351.76,1991.7068493150684,357.8737785252655,-7.152797406873872,1.0390188816083423,0.7130541258429162,0.3963789249882552,2.0187576724933356
