date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
1984-06-15,1984.0,6.0,347.59,1984.4562841530055,345.11909072445474,1.7325808890726133,0.7383283864726309,0.6239275836129536,0.23902648569747953,1.1500854177791326
1984-07-15,1984.0,7.0,344.71,1984.5382513661202,345.2236982080608,-0.7654422998451464,0.25174409178430324,0.32421089561745475,0.22473834490676836,1.052009680903741
1984-08-15,1984.0,8.0,341.99,1984.622950819672,345.3320356831277,-3.439969387658107,0.09793370453041916,0.11046207766361249,0.20083734841904288,0.939968840697432
1984-09-15,1984.0,9.0,340.99,1984.707650273224,345.44062021837726,-4.487479408460044,0.0368591900827937,0.036008774006404565,0.16678214252789303,0.8185813148719547
1984-10-15,1984.0,10.0,341.85,1984.7896174863388,345.54593726088376,-3.4403313666696995,-0.25560589421405666,-0.10405115624871542,0.12374717593161222,0.7029896956579071
1984-11-15,1984.0,11.0,344.28,1984.8743169398906,345.65500794681446,-1.507747600746573,0.13273965393210574,0.05828004386154362,0.06941934408371253,0.5897725635278109
1984-12-15,1984.0,12.0,345.96,1984.9562841530055,345.7607954577226,0.018796049766470268,0.1804084925108782,0.15462909705848915,0.007806900423759089,0.49186402867567114
1985-01-15,1985.0,1.0,347.15,1985.041095890411,345.8704976949497,1.0965070328814277,0.1829952721688528,0.19568229924504976,-0.06372125811071783,0.4113928354409081
1985-02-15,1985.0,2.0,348.1,1985.1260273972603,345.9806030921225,1.9068238402557507,0.2125730676217472,0.07529202967168658,-0.14155014681728062,0.353015729823693
1985-03-15,1985.0,3.0,348.19,1985.2027397260274,346.08026664695046,2.600850405072643,-0.49111705202312805,-0.32683044932286975,-0.21532566510620654,0.32684754771561464
1985-04-15,1985.0,4.0,348.93,1985.2876712328766,346.1908448354679,3.2409145430036714,-0.5017593784715473,-0.5550609553170034,-0.2982604715825232,0.32904713377067996
1985-05-15,1985.0,5.0,349.05,1985.3698630136987,346.2980925105673,3.151127792045296,-0.3992203026126049,-0.46536238073377945,-0.37737946657296106,0.36037072694897043
1985-06-15,1985.0,6.0,348.08,1985.454794520548,346.4091595172546,1.7691743976673904,-0.09833391492196597,-0.35362980614286244,-0.4553430412527746,0.4246957036695418
1985-07-15,1985.0,7.0,345.4,1985.5369863013698,346.51688024219544,-0.7222054597491017,-0.3946747824463728,-0.37608222385915724,-0.5246388753645874,0.5139588941462154
1985-08-15,1985.0,8.0,342.79,1985.6219178082192,346.62843606705286,-3.4139514265442767,-0.4244846405085809,-0.2098847169827991,-0.587826252545085,0.6288054628643094
1985-09-15,1985.0,9.0,342.09,1985.7068493150684,346.74024030770124,-4.488626778422043,-0.16161352927923645,-0.09073932400366402,-0.6406258903825233,0.7635124893678289
1985-10-15,1985.0,10.0,342.74,1985.7890410958903,346.84867448486256,-3.4524453743475374,-0.656229110515028,-0.6646419891941946,-0.6805812135747829,0.9031284165835107
1985-11-15,1985.0,11.0,343.74,1985.8739726027397,346.9609675436811,-1.515291046867922,-1.7056764968131688,-1.439214532995834,-0.709931958835682,1.0508455352789412
