date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
1991-06-15,1991,6,356.6,1991.454794520548,354.6175859609029,1.0506335633189412,0.9317804757781687,0.9653255012461273,1.713002388285929,0.9649555953193557
1991-07-15,1991,7,351.54,1991.5369863013698,354.7460898284097,-4.317945732013852,1.1118559036041802,1.153505011588095,1.6559467116259725,0.7730123108015098
1991-08-15,1991,8,348.31,1991.6219178082192,354.8790983280523,-9.113167458605654,2.544069130553339,2.573087587964494,1.5800341431666993,0.5708590527477297
1991-09-15,1991,9,349.79,1991.7068493150684,355.0123316233155,-8.113903503985519,2.8915718806700283,2.844363989793976,1.4867675616486054,0.37205458131789704
1991-10-15,1991,10,353.41,1991.7890410958903,355.1414811057173,-3.5351443838537002,1.8036632781364688,1.820859068941047,1.3804973581470108,0.1846225049635714
1991-11-15,1991,11,356.67,1991.8739726027397,355.2751567407512,0.3971516633929284,0.9976915958558834,0.9453256609002096,1.254741644006856,0.007427592786543112
1991-12-15,1991,12,358.82,1991.9561643835616,355.4047342938985,2.7398152207240205,0.6754504853774392,0.6915874419404417,1.1196184836052225,-0.13958499170791097
1992-01-15,1992,1,360.12,1992.0409836065573,355.5386748093901,3.6672129606953834,0.9141122299145081,0.8098310491796497,0.9683260982016577,-0.2630102760634297
1992-02-15,1992,2,360.04,1992.1256830601094,355.67264992042743,3.8316968539911724,0.5356532255814273,0.5167933447411883,0.8082224246486476,-0.34762819004818746
1992-03-15,1992,3,360.26,1992.204918032787,355.79818387440463,4.627250468677591,-0.16543434308221094,0.0035690589166961217,0.6531244068004298,-0.39340717925670454
1992-04-15,1992,4,361.39,1992.2896174863388,355.9325916994567,5.109374347525819,0.3480339530174774,0.10422680324592193,0.4846128974820658,-0.4049898039381081
1992-05-15,1992,5,360.5,1992.3715846994535,356.0628766555951,4.013679689369797,0.4234436550351006,0.42744894333327466,0.321985638336173,-0.37814581820067406
1992-06-15,1992,6,358.29,1992.4562841530055,356.19772440656277,0.9741059347485,1.118169658688771,0.8270755326335006,0.15749817390735643,-0.3167229700499299
1992-07-15,1992,7,353.01,1992.5382513661202,356.32843509745794,-4.41026182352531,1.0918267260673815,0.9034157631006678,0.0042724808479306375,-0.22759775533583243
1992-08-15,1992,8,346.54,1992.622950819672,356.46372277434057,-9.140627517828095,-0.7830952565124676,0.010483053354846561,-0.14543957963581988,-0.109575135538553
1992-09-15,1992,9,347.25,1992.707650273224,356.59923402013135,-8.077717238833909,-1.2715167812974641,-0.7257997955663313,-0.2846180801180367,0.02510414119312927
1992-10-15,1992,10,353.06,1992.7896174863388,356.73058680279075,-3.502798878066776,-0.16778792472399573,-0.46829015850795486,-0.40811824570369026,0.16894755859898825
1992-11-15,1992,11,357.36,1992.8743169398906,356.86653797449645,0.4096647925471597,0.08379723295638541,-0.39339152520688003,-0.5231794276319306,0.32390158736719127
1992-12-15,1992,12,358.47,1992.9562841530055,356.998316491913,2.742255170751191,-1.2705716626641674,-1.1901879431406996,-0.6222521923878617,0.4748653344154797
1993-01-15,1993,1,359.14,1993.041095890411,357.1348885480365,3.6675160379164176,-1.6624045859529133,-1.5961857562866726,-0.7119140031243205,0.630340193503433
1993-02-15,1993,2,359.72,1993.1260273972603,357.27187810561213,3.8335396969532134,-1.385417802565314,-1.2098692819794223,-0.7890882985885241,0.7758265775617941
1993-03-15,1993,3,361.18,1993.2027397260274,357.39580382586064,4.600976032479219,-0.816779858339828,-0.8280076937215313,-0.8486436345774564,0.9032180124424574
1993-04-15,1993,4,362.6,1993.2876712328766,357.5332212202634,5.11582785510809,-0.04904907537144254,-0.4969911756575698,-0.9035324920203607,1.0368082891059072
1993-05-15,1993,5,361.23,1993.3698630136987,357.66641983086504,4.052747344457015,-0.4891671753220521,-0.6805862820921789,-0.9466445714186875,1.154818886484696
1993-06-15,1993,6,357.9,1993.454794520548,357.8042795650382,1.0506335633189448,-0.954913128357191,-0.9528514503132328,-0.9814999565356288,1.2685110577752152
1993-07-15,1993,7,353.44,1993.5369863013698,357.937906246385,-4.317945732013852,-0.17996051437114602,-0.2739883435036745,-1.006681968892508,1.3694712938518876
1993-08-15,1993,8,348.68,1993.6219178082192,358.0762083203289,-9.113167458605657,-0.2830408617232365,0.38113933321074,-1.024494695616113,1.4661880947704735
1993-09-15,1993,9,349.44,1993.7068493150684,358.2147351898934,-8.11390350398552,-0.6608316859079082,-0.28511267965188836,-1.0347194358968181,1.5537333197108993
1993-10-15,1993,10,353.69,1993.7890410958903,358.3490074861351,-3.535144383853705,-1.1238631022814047,-1.3610703461146159,-1.0380617766662112,1.6311292266629764
1993-11-15,1993,11,356.94,1993.8739726027397,358.4879766954704,0.3971516633929349,-1.9451283588633714,-1.9941114142765741,-1.0353810415715543,1.7028997872713956
1993-12-15,1993,12,359.1,1993.9561643835616,358.6226770624577,2.7398152207240147,-2.2624922831817003,-2.2733135652366627,-1.0275531094801522,1.7640763588959611
1994-01-15,1994,1,360.55,1994.041095890411,358.76208861156334,3.667516037916417,-1.8796046494797451,-1.8884016274708415,-1.0147424427046872,1.8190002036683974
1994-02-15,1994,2,361.6,1994.1260273972603,358.9017249562896,3.8335396969532125,-1.135264653242814,-1.0424315318205117,-0.9978665984122586,1.8652187414377277
1994-03-15,1994,3,363.09,1994.2027397260274,359.0280413229968,4.600976032479215,-0.5390173554760054,-0.7651609125109644,-0.9797046790778268,1.9007067309330978
1994-04-15,1994,4,363.66,1994.2876712328766,359.1681055045502,5.11582785510809,-0.623933359658281,-0.873341752570127,-0.9568687497301767,1.9343718364435913
1994-05-15,1994,5,362.48,1994.3698630136987,359.3038655220719,4.05274734445701,-0.8766128665288875,-1.051621709729261,-0.9324387615031924,1.9632901504051783
1994-06-15,1994,6,359.51,1994.454794520548,359.4443720433956,1.0506335633189483,-0.9850056067145943,-1.1294861986597198,-0.9049530199990272,1.9928557923419747
1994-07-15,1994,7,354.92,1994.5369863013698,359.5805601316624,-4.3179457320138495,-0.34261439964853935,-0.421172644588637,-0.8760765252569627,2.024550711041658
1994-08-15,1994,8,350.4,1994.6219178082192,359.721508992757,-9.113167458605657,-0.2083415341513728,0.4019602514215421,-0.8434467342977428,2.0644745809381058
1994-09-15,1994,9,351.15,1994.7068493150684,359.86268264947216,-8.113903503985524,-0.5987791454866738,0.022158330922366076,-0.8071971016318571,2.115845348138895
1994-10-15,1994,10,356.0,1994.7890410958903,359.99951635263386,-3.535144383853706,-0.4643719687801422,-0.6880221883932336,-0.76762113443624,2.1790846946286093
1994-11-15,1994,11,359.81,1994.8739726027397,360.14113234911986,0.39715166339293084,-0.7282840125128018,-0.9742905891590112,-0.7208284222245993,2.2606819229658117
1994-12-15,1994,12,361.78,1994.9561643835616,360.27839412302706,2.739815220724015,-1.238209343751123,-1.1024410088303966,-0.6684813660447162,2.3554551619159634
1995-01-15,1995,1,363.54,1995.041095890411,360.4204524592834,3.667516037916417,-0.547968497199804,-0.7828394203123139,-0.6058450135929547,2.466868712114307
1995-02-15,1995,2,364.06,1995.1260273972603,360.5627355911604,3.8335396969532116,-0.3362752881135975,-0.4334564972325552,-0.5334361622445272,2.590889530500041
