yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1995,9,357.23,361.5475,-4.5417,357.0059,0.2241,0.9393,1995-09-15,1995.7068493150684
1995,10,358.36,361.6268,-3.6598,357.967,0.393,0.9578,1995-10-15,1995.7890410958903
1995,11,360.21,361.7072,-1.809,359.8982,0.3118,0.9727,1995-11-15,1995.8739726027397
1995,12,361.42,361.7889,-0.0488,361.7402,-0.3201,0.993,1995-12-15,1995.9561643835616
1996,1,362.56,361.8727,1.2185,363.0912,-0.5312,1.0195,1996-01-15,1996.0409836065573
1996,2,363.92,361.9589,2.0519,364.0107,-0.0907,1.047,1996-02-15,1996.1256830601094
1996,3,364.6,362.0472,2.6762,364.7234,-0.1234,1.0697,1996-03-15,1996.204918032787
1996,4,364.97,362.1371,3.2084,365.3455,-0.3755,1.0867,1996-04-15,1996.2896174863388
1996,5,365.25,362.2283,3.223,365.4513,-0.2013,1.103,1996-05-15,1996.3715846994535
1996,6,364.5,362.321,1.9143,364.2352,0.2648,1.1221,1996-06-15,1996.4562841530055
1996,7,361.94,362.4153,-0.767,361.6483,0.2917,1.1428,1996-07-15,1996.5382513661202
1996,8,359.48,362.5114,-3.4659,359.0456,0.4344,1.1638,1996-08-15,1996.622950819672
1996,9,358.42,362.6093,-4.5417,358.0676,0.3524,1.186,1996-09-15,1996.707650273224
1996,10,359.09,362.7091,-3.6598,359.0493,0.0407,1.2167,1996-10-15,1996.7896174863388
1996,11,360.82,362.8121,-1.809,361.0031,-0.1831,1.2572,1996-11-15,1996.8743169398906
1996,12,362.36,362.9186,-0.0488,362.8699,-0.5099,1.3041,1996-12-15,1996.9562841530055
1997,1,363.95,363.0294,1.2185,364.2479,-0.2979,1.3636,1997-01-15,1997.041095890411
1997,2,365.1,363.1459,2.0519,365.1978,-0.0978,1.4409,1997-02-15,1997.1260273972603
1997,3,365.85,363.2696,2.6762,365.9457,-0.0957,1.5419,1997-03-15,1997.2027397260274
1997,4,366.27,363.4029,3.2084,366.6113,-0.3413,1.6714,1997-04-15,1997.2876712328766
1997,5,366.55,363.5481,3.223,366.7711,-0.2211,1.8166,1997-05-15,1997.3698630136987
1997,6,365.93,363.7057,1.9143,365.6199,0.3101,1.9693,1997-06-15,1997.454794520548
1997,7,363.42,363.8763,-0.767,363.1093,0.3107,2.1326,1997-07-15,1997.5369863013698
1997,8,360.59,364.0611,-3.4659,360.5952,-0.0052,2.3053,1997-08-15,1997.6219178082192
1997,9,359.37,364.2606,-4.5417,359.7189,-0.3489,2.4809,1997-09-15,1997.7068493150684
1997,10,360.31,364.4746,-3.6598,360.8147,-0.5047,2.6499,1997-10-15,1997.7890410958903
1997,11,362.74,364.7022,-1.809,362.8932,-0.1533,2.8026,1997-11-15,1997.8739726027397
1997,12,364.83,364.9417,-0.0488,364.8929,-0.0629,2.9268,1997-12-15,1997.9561643835616
1998,1,365.87,365.19,1.2185,366.4085,-0.5385,3.0174,1998-01-15,1998.041095890411
1998,2,367.3,365.4446,2.0519,367.4965,-0.1965,3.0734,1998-02-15,1998.1260273972603
1998,3,368.53,365.7022,2.6762,368.3784,0.1516,3.0879,1998-03-15,1998.2027397260274
1998,4,369.27,365.9592,3.2084,369.1676,0.1024,3.0542,1998-04-15,1998.2876712328766
1998,5,369.7,366.2113,3.223,369.4342,0.2658,2.9665,1998-05-15,1998.3698630136987
1998,6,368.46,366.4536,1.9143,368.3679,0.0921,2.825,1998-06-15,1998.454794520548
1998,7,365.76,366.6821,-0.767,365.9151,-0.1551,2.642,1998-07-15,1998.5369863013698
1998,8,363.85,366.894,-3.4659,363.4281,0.4219,2.43,1998-08-15,1998.6219178082192
1998,9,363.26,367.0871,-4.5417,362.5454,0.7146,2.2018,1998-09-15,1998.7068493150684
1998,10,364.36,367.261,-3.6598,363.6011,0.7589,1.979,1998-10-15,1998.7890410958903
1998,11,366.04,367.4169,-1.809,365.608,0.432,1.7785,1998-11-15,1998.8739726027397
1998,12,367.47,367.5574,-0.0488,367.5086,-0.0386,1.6146,1998-12-15,1998.9561643835616
1999,1,368.62,367.686,1.2185,368.9045,-0.2845,1.498,1999-01-15,1999.041095890411
1999,2,369.49,367.807,2.0519,369.8589,-0.3689,1.4231,1999-02-15,1999.1260273972603
1999,3,370.69,367.9232,2.6762,370.5994,0.0906,1.3832,1999-03-15,1999.2027397260274
1999,4,371.37,368.0376,3.2084,371.2459,0.1241,1.3788,1999-04-15,1999.2876712328766
1999,5,371.17,368.153,3.223,371.376,-0.206,1.4024,1999-05-15,1999.3698630136987
1999,6,370.01,368.2713,1.9143,370.1855,-0.1755,1.4403,1999-06-15,1999.454794520548
1999,7,367.28,368.3931,-0.767,367.6261,-0.3461,1.4852,1999-07-15,1999.5369863013698
1999,8,364.84,368.5188,-3.4659,365.0529,-0.213,1.5302,1999-08-15,1999.6219178082192
1999,9,364.21,368.6481,-4.5417,364.1064,0.1035,1.5679,1999-09-15,1999.7068493150684
1999,10,365.17,368.7802,-3.6598,365.1203,0.0497,1.5987,1999-10-15,1999.7890410958903
1999,11,367.63,368.9146,-1.809,367.1056,0.5244,1.6208,1999-11-15,1999.8739726027397
1999,12,369.35,369.0503,-0.0488,369.0015,0.3485,1.6269,1999-12-15,1999.9561643835616
2000,1,370.19,369.1857,1.2185,370.4042,-0.2142,1.6192,2000-01-15,2000.0409836065573
2000,2,371.43,369.3202,2.0519,371.372,0.058,1.6057,2000-02-15,2000.1256830601094
2000,3,372.09,369.4533,2.6762,372.1295,-0.0395,1.5932,2000-03-15,2000.204918032787
2000,4,372.41,369.5857,3.2084,372.7941,-0.3841,1.5853,2000-04-15,2000.2896174863388
2000,5,372.7,369.7175,3.223,372.9405,-0.2405,1.5773,2000-05-15,2000.3715846994535
2000,6,371.83,369.8486,1.9143,371.7628,0.0672,1.5624,2000-06-15,2000.4562841530055
2000,7,369.35,369.9779,-0.767,369.2109,0.1391,1.5469,2000-07-15,2000.5382513661202
2000,8,366.61,370.1064,-3.4659,366.6405,-0.0305,1.5381,2000-08-15,2000.622950819672
2000,9,365.93,370.2343,-4.5417,365.6926,0.2374,1.5335,2000-09-15,2000.707650273224
2000,10,366.62,370.362,-3.6598,366.7021,-0.0821,1.5353,2000-10-15,2000.7896174863388
