yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1979,3,339.37,336.5224,2.4271,338.9495,0.4205,1.3043,1979-03-15,1979.2027397260274
1979,4,340.65,336.6363,3.1524,339.7887,0.8613,1.4224,1979-04-15,1979.2876712328766
1979,5,340.6,336.7595,3.3691,340.1286,0.4714,1.5485,1979-05-15,1979.3698630136987
1979,6,338.81,336.8944,2.2196,339.114,-0.304,1.7007,1979-06-15,1979.454794520548
1979,7,334.66,337.0429,-0.3417,336.7013,-2.0412,1.8677,1979-07-15,1979.5369863013698
1979,8,332.47,337.2057,-2.9375,334.2682,-1.7982,2.033,1979-08-15,1979.6219178082192
1979,9,333.34,337.3817,-4.0381,333.3436,-0.0036,2.1819,1979-09-15,1979.7068493150684
1979,10,334.75,337.5693,-3.4497,334.1197,0.6303,2.309,1979-10-15,1979.7890410958903
1979,11,336.24,337.7666,-2.0554,335.7112,0.5288,2.4088,1979-11-15,1979.8739726027397
1979,12,337.67,337.9708,-0.6086,337.3622,0.3078,2.4756,1979-12-15,1979.9561643835616
1980,1,339.057,338.1792,0.6389,338.8181,0.2389,2.5078,1980-01-15,1980.0409836065573
1980,2,340.178,338.3888,1.6238,340.0126,0.1654,2.5111,1980-02-15,1980.1256830601094
1980,3,341.1018,338.5977,2.4271,341.0248,0.077,2.4847,1980-03-15,1980.204918032787
1980,4,341.924,338.8029,3.1524,341.9553,-0.0313,2.4197,1980-04-15,1980.2896174863388
1980,5,342.3051,339.001,3.3691,342.3701,-0.065,2.3245,1980-05-15,1980.3715846994535
1980,6,341.4433,339.1903,2.2196,341.4099,0.0334,2.2126,1980-06-15,1980.4562841530055
1980,7,339.1563,339.3698,-0.3417,339.0281,0.1282,2.0848,1980-07-15,1980.5382513661202
1980,8,336.6558,339.5378,-2.9375,336.6003,0.0555,1.9459,1980-08-15,1980.622950819672
1980,9,335.53,339.6941,-4.0381,335.6559,-0.126,1.8071,1980-09-15,1980.707650273224
1980,10,335.93,339.839,-3.4497,336.3893,-0.4593,1.6778,1980-10-15,1980.7896174863388
1980,11,338.18,339.9737,-2.0554,337.9183,0.2617,1.5568,1980-11-15,1980.8743169398906
1980,12,340.08,340.0984,-0.6086,339.4898,0.5902,1.4291,1980-12-15,1980.9562841530055
1981,1,341.2,340.2119,0.6389,340.8508,0.3492,1.2902,1981-01-15,1981.041095890411
1981,2,342.3,340.3134,1.6238,341.9373,0.3627,1.147,1981-02-15,1981.1260273972603
1981,3,343.29,340.403,2.4271,342.8302,0.4599,1.0056,1981-03-15,1981.2027397260274
1981,4,343.97,340.481,3.1524,343.6334,0.3366,0.8719,1981-04-15,1981.2876712328766
1981,5,343.33,340.5484,3.3691,343.9175,-0.5875,0.7551,1981-05-15,1981.3698630136987
1981,6,342.23,340.6069,2.2196,342.8265,-0.5965,0.6542,1981-06-15,1981.454794520548
1981,7,340.87,340.6574,-0.3417,340.3158,0.5542,0.5568,1981-07-15,1981.5369863013698
1981,8,338.1,340.6997,-2.9375,337.7622,0.3378,0.462,1981-08-15,1981.6219178082192
1981,9,336.46,340.7344,-4.0381,336.6963,-0.2363,0.3759,1981-09-15,1981.7068493150684
1981,10,337.09,340.7624,-3.4497,337.3127,-0.2227,0.3041,1981-10-15,1981.7890410958903
1981,11,338.52,340.7851,-2.0554,338.7297,-0.2097,0.2507,1981-11-15,1981.8739726027397
1981,12,340.12,340.8041,-0.6086,340.1956,-0.0756,0.2144,1981-12-15,1981.9561643835616
1982,1,342.16,340.8208,0.6389,341.4598,0.7002,0.2051,1982-01-15,1982.041095890411
1982,2,343.13,340.8383,1.6238,342.4621,0.6679,0.228,1982-02-15,1982.1260273972603
1982,3,343.33,340.8588,2.4271,343.2859,0.044,0.2655,1982-03-15,1982.2027397260274
1982,4,343.77,340.8826,3.1524,344.0349,-0.265,0.3192,1982-04-15,1982.2876712328766
1982,5,343.95,340.912,3.3691,344.2811,-0.3311,0.4048,1982-05-15,1982.3698630136987
1982,6,343.23,340.95,2.2196,343.1696,0.0604,0.5142,1982-06-15,1982.454794520548
1982,7,340.61,340.9977,-0.3417,340.6561,-0.0461,0.6478,1982-07-15,1982.5369863013698
1982,8,337.08,341.058,-2.9375,338.1205,-1.0405,0.8256,1982-08-15,1982.6219178082192
1982,9,336.22,341.1353,-4.0381,337.0972,-0.8772,1.0278,1982-09-15,1982.7068493150684
1982,10,337.73,341.2293,-3.4497,337.7796,-0.0496,1.205,1982-10-15,1982.7890410958903
1982,11,339.59,341.3362,-2.0554,339.2808,0.3092,1.3434,1982-11-15,1982.8739726027397
1982,12,341.22,341.4532,-0.6086,340.8446,0.3754,1.452,1982-12-15,1982.9561643835616
1983,1,342.16,341.5782,0.6389,342.2171,-0.0571,1.5242,1983-01-15,1983.041095890411
1983,2,343.19,341.7072,1.6238,343.3311,-0.1411,1.5553,1983-02-15,1983.1260273972603
1983,3,344.81,341.8374,2.4271,344.2645,0.5455,1.5569,1983-03-15,1983.2027397260274
1983,4,345.0,341.9667,3.1524,345.1191,-0.1191,1.5421,1983-04-15,1983.2876712328766
1983,5,344.35,342.0944,3.3691,345.4635,-1.1135,1.5225,1983-05-15,1983.3698630136987
1983,6,344.87,342.2205,2.2196,344.4401,0.4299,1.509,1983-06-15,1983.454794520548
1983,7,342.64,342.3459,-0.3417,342.0042,0.6358,1.5002,1983-07-15,1983.5369863013698
1983,8,339.34,342.4705,-2.9375,339.533,-0.193,1.4921,1983-08-15,1983.6219178082192
1983,9,339.86,342.5946,-4.0381,338.5565,1.3035,1.476,1983-09-15,1983.7068493150684
1983,10,340.08,342.7165,-3.4497,339.2668,0.8131,1.4438,1983-10-15,1983.7890410958903
1983,11,339.12,342.8352,-2.0554,340.7798,-1.6598,1.4121,1983-11-15,1983.8739726027397
1983,12,340.89,342.9519,-0.6086,342.3433,-1.4533,1.3863,1983-12-15,1983.9561643835616
1984,1,343.62,343.0663,0.6389,343.7052,-0.0852,1.3451,1984-01-15,1984.0409836065573
1984,2,344.75,343.1761,1.6238,344.7999,-0.0499,1.2817,1984-02-15,1984.1256830601094
1984,3,345.76,343.2799,2.4271,345.707,0.053,1.2068,1984-03-15,1984.204918032787
1984,4,347.31,343.3772,3.1524,346.5296,0.7804,1.1389,1984-04-15,1984.2896174863388
1984,5,348.08,343.4697,3.3691,346.8388,1.2412,1.0979,1984-05-15,1984.3715846994535
1984,6,346.99,343.5602,2.2196,345.7798,1.2102,1.0898,1984-06-15,1984.4562841530055
1984,7,343.58,343.6513,-0.3417,343.3097,0.2703,1.1281,1984-07-15,1984.5382513661202
1984,8,340.16,343.7482,-2.9375,340.8107,-0.6507,1.2237,1984-08-15,1984.622950819672
1984,9,338.72,343.8553,-4.0381,339.8172,-1.0972,1.359,1984-09-15,1984.707650273224
1984,10,339.73,343.9747,-3.4497,340.525,-0.795,1.5238,1984-10-15,1984.7896174863388
1984,11,341.12,344.1093,-2.0554,342.0539,-0.9339,1.7173,1984-11-15,1984.8743169398906
1984,12,343.44,344.2609,-0.6086,343.6523,-0.2123,1.9091,1984-12-15,1984.9562841530055
1985,1,345.65,344.4274,0.6389,345.0664,0.5836,2.0782,1985-01-15,1985.041095890411
1985,2,346.01,344.6073,1.6238,346.2311,-0.2211,2.2346,1985-02-15,1985.1260273972603
1985,3,346.52,344.7999,2.4271,347.227,-0.707,2.3553,1985-03-15,1985.2027397260274
1985,4,347.84,344.9998,3.1524,348.1522,-0.3122,2.4018,1985-04-15,1985.2876712328766
1985,5,348.69,345.2002,3.3691,348.5693,0.1207,2.3712,1985-05-15,1985.3698630136987
1985,6,348.33,345.3951,2.2196,347.6146,0.7154,2.2758,1985-06-15,1985.454794520548
1985,7,345.94,345.5795,-0.3417,345.2378,0.7022,2.122,1985-07-15,1985.5369863013698
1985,8,343.4,345.7487,-2.9375,342.8112,0.5888,1.9222,1985-08-15,1985.6219178082192
1985,9,342.39,345.8998,-4.0381,341.8617,0.5283,1.7051,1985-09-15,1985.7068493150684
1985,10,342.53,346.0329,-3.4497,342.5832,-0.0532,1.5088,1985-10-15,1985.7890410958903
1985,11,344.35,346.1513,-2.0554,344.0959,0.2541,1.357,1985-11-15,1985.8739726027397
1985,12,346.03,346.2591,-0.6086,345.6505,0.3795,1.2545,1985-12-15,1985.9561643835616
1986,1,346.55,346.3604,0.6389,346.9993,-0.4493,1.2045,1986-01-15,1986.041095890411
1986,2,347.52,346.4598,1.6238,348.0836,-0.5636,1.209,1986-02-15,1986.1260273972603
