yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1979,12,339.92,338.7642,1.3308,340.095,-0.175,0.7266,1979-12-15,1979.9561643835616
1980,1,340.51,338.824,1.9212,340.7453,-0.2353,0.7167,1980-01-15,1980.0409836065573
1980,2,341.79,338.8836,2.4732,341.3568,0.4332,0.7148,1980-02-15,1980.1256830601094
1980,3,342.45,338.9432,3.3072,342.2504,0.1996,0.7176,1980-03-15,1980.204918032787
1980,4,342.26,339.0032,3.9238,342.927,-0.667,0.7214,1980-04-15,1980.2896174863388
1980,5,341.98,339.0634,3.4432,342.5066,-0.5266,0.7202,1980-05-15,1980.3715846994535
1980,6,340.53,339.1232,1.1248,340.248,0.282,0.7174,1980-06-15,1980.4562841530055
1980,7,337.23,339.183,-2.5943,336.5887,0.6414,0.717,1980-07-15,1980.5382513661202
1980,8,334.28,339.2427,-5.6019,333.6408,0.6392,0.7181,1980-08-15,1980.622950819672
1980,9,333.73,339.3027,-5.7628,333.5399,0.1901,0.7139,1980-09-15,1980.707650273224
1980,10,335.96,339.3617,-3.2507,336.111,-0.151,0.6971,1980-10-15,1980.7896174863388
1980,11,338.73,339.4189,-0.3145,339.1044,-0.3744,0.6713,1980-11-15,1980.8743169398906
1980,12,340.2,339.4736,1.3308,340.8044,-0.6044,0.637,1980-12-15,1980.9562841530055
1981,1,340.53,339.525,1.9212,341.4463,-0.9163,0.6037,1981-01-15,1981.041095890411
1981,2,342.06,339.5742,2.4732,342.0475,0.0125,0.5934,1981-02-15,1981.1260273972603
1981,3,343.78,339.6239,3.3072,342.9311,0.8489,0.618,1981-03-15,1981.2027397260274
1981,4,344.36,339.6772,3.9238,343.601,0.759,0.6797,1981-04-15,1981.2876712328766
1981,5,343.7,339.7372,3.4432,343.1804,0.5196,0.7646,1981-05-15,1981.3698630136987
1981,6,340.54,339.8047,1.1248,340.9294,-0.3894,0.8366,1981-06-15,1981.454794520548
1981,7,336.98,339.8766,-2.5943,337.2823,-0.3023,0.8833,1981-07-15,1981.5369863013698
1981,8,334.45,339.9519,-5.6019,334.3499,0.1001,0.9153,1981-08-15,1981.6219178082192
1981,9,334.11,340.0292,-5.7628,334.2664,-0.1564,0.9395,1981-09-15,1981.7068493150684
1981,10,336.31,340.1085,-3.2507,336.8577,-0.5477,0.9661,1981-10-15,1981.7890410958903
1981,11,338.97,340.1902,-0.3145,339.8757,-0.9057,1.0078,1981-11-15,1981.8739726027397
1981,12,341.03,340.2764,1.3308,341.6072,-0.5773,1.0836,1981-12-15,1981.9561643835616
1982,1,342.18,340.3708,1.9212,342.2921,-0.1121,1.1942,1982-01-15,1982.041095890411
1982,2,343.35,340.4755,2.4732,342.9487,0.4013,1.3255,1982-02-15,1982.1260273972603
1982,3,345.16,340.5917,3.3072,343.8989,1.2611,1.467,1982-03-15,1982.2027397260274
1982,4,346.21,340.72,3.9238,344.6438,1.5662,1.6058,1982-04-15,1982.2876712328766
1982,5,344.84,340.8594,3.4432,344.3026,0.5374,1.7377,1982-05-15,1982.3698630136987
1982,6,341.87,341.0096,1.1248,342.1344,-0.2644,1.8673,1982-06-15,1982.454794520548
1982,7,336.48,341.1706,-2.5943,338.5763,-2.0963,1.9898,1982-07-15,1982.5369863013698
1982,8,332.45,341.3412,-5.6019,335.7393,-3.2893,2.0975,1982-08-15,1982.6219178082192
1982,9,334.84,341.5202,-5.7628,335.7574,-0.9174,2.196,1982-09-15,1982.7068493150684
1982,10,339.23,341.7072,-3.2507,338.4565,0.7735,2.2778,1982-10-15,1982.7890410958903
1982,11,343.27,341.8998,-0.3145,341.5853,1.6847,2.3264,1982-11-15,1982.8739726027397
1982,12,344.73,342.0949,1.3308,343.4258,1.3042,2.3546,1982-12-15,1982.9561643835616
1983,1,345.37,342.2922,1.9212,344.2135,1.1565,2.3769,1983-01-15,1983.041095890411
1983,2,345.58,342.4911,2.4732,344.9643,0.6157,2.3747,1983-02-15,1983.1260273972603
1983,3,345.05,342.688,3.3072,345.9952,-0.9452,2.3364,1983-03-15,1983.2027397260274
1983,4,345.64,342.8805,3.9238,346.8043,-1.1643,2.2705,1983-04-15,1983.2876712328766
1983,5,345.57,343.0664,3.4432,346.5096,-0.9396,2.1683,1983-05-15,1983.3698630136987
1983,6,343.98,343.2419,1.1248,344.3667,-0.3867,2.025,1983-06-15,1983.454794520548
1983,7,342.1,343.4039,-2.5943,340.8096,1.2904,1.8583,1983-07-15,1983.5369863013698
1983,8,338.96,343.5516,-5.6019,337.9497,1.0103,1.6902,1983-08-15,1983.6219178082192
1983,9,337.55,343.6856,-5.7628,337.9228,-0.3728,1.5339,1983-09-15,1983.7068493150684
1983,10,340.44,343.8073,-3.2507,340.5565,-0.1165,1.4062,1983-10-15,1983.7890410958903
1983,11,343.83,343.92,-0.3145,343.6055,0.2245,1.3127,1983-11-15,1983.8739726027397
1983,12,345.0,344.026,1.3308,345.3568,-0.3569,1.2197,1983-12-15,1983.9561643835616
1984,1,346.6,344.1233,1.9212,346.0445,0.5555,1.114,1984-01-15,1984.0409836065573
1984,2,348.19,344.2117,2.4732,346.6849,1.5051,1.0237,1984-02-15,1984.1256830601094
1984,3,347.7,344.2939,3.3072,347.6011,0.0989,0.9664,1984-03-15,1984.204918032787
