yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1971,5,332.34,327.2319,5.2343,332.4662,-0.1262,2.4252,1971-05-15,1971.3698630136987
1971,6,330.29,327.4321,2.1758,329.6079,0.6821,2.3943,1971-06-15,1971.454794520548
1971,7,323.78,327.631,-4.8707,322.7603,1.0198,2.3923,1971-07-15,1971.5369863013698
1971,8,317.71,327.8308,-10.3872,317.4435,0.2664,2.4205,1971-08-15,1971.6219178082192
1971,9,318.74,328.0344,-9.4051,318.6292,0.1107,2.4686,1971-09-15,1971.7068493150684
1971,10,322.79,328.2422,-4.0619,324.1804,-1.3904,2.5221,1971-10-15,1971.7890410958903
1971,11,327.23,328.4547,0.4102,328.8649,-1.6349,2.5732,1971-11-15,1971.8739726027397
1971,12,331.04,328.6711,2.621,331.2921,-0.252,2.6039,1971-12-15,1971.9561643835616
1972,1,333.48,328.8887,4.0231,332.9118,0.5682,2.6071,1972-01-15,1972.0409836065573
1972,2,334.18,329.1056,4.7428,333.8484,0.3316,2.5884,1972-02-15,1972.1256830601094
1972,3,334.12,329.3201,4.6083,333.9284,0.1916,2.5428,1972-03-15,1972.204918032787
1972,4,334.51,329.5294,4.9094,334.4388,0.0712,2.4653,1972-04-15,1972.2896174863388
1972,5,335.57,329.731,5.2343,334.9652,0.6048,2.3659,1972-05-15,1972.3715846994535
1972,6,333.53,329.9237,2.1758,332.0995,1.4304,2.2579,1972-06-15,1972.4562841530055
1972,7,324.89,330.1073,-4.8707,325.2366,-0.3466,2.1601,1972-07-15,1972.5382513661202
1972,8,318.78,330.2837,-10.3872,319.8965,-1.1165,2.098,1972-08-15,1972.622950819672
1972,9,321.86,330.457,-9.4051,321.0518,0.8081,2.0781,1972-09-15,1972.707650273224
1972,10,327.08,330.6301,-4.0619,326.5682,0.5118,2.0861,1972-10-15,1972.7896174863388
1972,11,330.51,330.8047,0.4102,331.2148,-0.7048,2.1293,1972-11-15,1972.8743169398906
1972,12,333.37,330.985,2.621,333.6059,-0.2359,2.2037,1972-12-15,1972.9562841530055
1973,1,334.67,331.1719,4.0231,335.195,-0.525,2.2919,1973-01-15,1973.041095890411
1973,2,335.35,331.3669,4.7428,336.1097,-0.7597,2.3826,1973-02-15,1973.1260273972603
1973,3,336.45,331.569,4.6083,336.1773,0.2727,2.4291,1973-03-15,1973.2027397260274
1973,4,336.94,331.7718,4.9094,336.6812,0.2588,2.3965,1973-04-15,1973.2876712328766
1973,5,336.54,331.9684,5.2343,337.2027,-0.6627,2.3225,1973-05-15,1973.3698630136987
1973,6,334.28,332.1589,2.1758,334.3347,-0.0547,2.2386,1973-06-15,1973.454794520548
1973,7,327.83,332.3416,-4.8707,327.4709,0.3591,2.1403,1973-07-15,1973.5369863013698
1973,8,322.73,332.5156,-10.3872,322.1284,0.6016,2.037,1973-08-15,1973.6219178082192
1973,9,324.72,332.6811,-9.4051,323.2759,1.4441,1.9202,1973-09-15,1973.7068493150684
1973,10,329.88,332.8356,-4.0619,328.7738,1.1062,1.7986,1973-10-15,1973.7890410958903
1973,11,333.61,332.9808,0.4102,333.391,0.219,1.6961,1973-11-15,1973.8739726027397
1973,12,334.6,333.1183,2.621,335.7393,-1.1393,1.5903,1973-12-15,1973.9561643835616
1974,1,337.51,333.2459,4.0231,337.269,0.241,1.4658,1974-01-15,1974.041095890411
1974,2,336.87,333.3626,4.7428,338.1054,-1.2354,1.338,1974-02-15,1974.1260273972603
1974,3,337.47,333.4689,4.6083,338.0772,-0.6072,1.2025,1974-03-15,1974.2027397260274
1974,4,337.88,333.563,4.9094,338.4725,-0.5925,1.0519,1974-04-15,1974.2876712328766
1974,5,337.7,333.6442,5.2343,338.8784,-1.1784,0.8866,1974-05-15,1974.3698630136987
1974,6,336.79,333.7108,2.1758,335.8866,0.9034,0.7094,1974-06-15,1974.454794520548
1974,7,332.44,333.7624,-4.8707,328.8917,3.5483,0.5316,1974-07-15,1974.5369863013698
1974,8,324.29,333.7994,-10.3872,323.4122,0.8779,0.3578,1974-08-15,1974.6219178082192
1974,9,325.16,333.8221,-9.4051,324.4169,0.7431,0.1893,1974-09-15,1974.7068493150684
1974,10,329.72,333.8309,-4.0619,329.7691,-0.0491,0.0322,1974-10-15,1974.7890410958903
1974,11,332.95,333.8274,0.4102,334.2376,-1.2876,-0.1069,1974-11-15,1974.8739726027397
1974,12,336.04,333.8131,2.621,336.4341,-0.3941,-0.2417,1974-12-15,1974.9561643835616
1975,1,337.63,333.7871,4.0231,337.8102,-0.1803,-0.3743,1975-01-15,1975.041095890411
1975,2,337.83,333.7507,4.7428,338.4935,-0.6636,-0.4839,1975-02-15,1975.1260273972603
1975,3,338.01,333.7065,4.6083,338.3148,-0.3048,-0.5797,1975-03-15,1975.2027397260274
1975,4,338.61,333.6541,4.9094,338.5636,0.0464,-0.6839,1975-04-15,1975.2876712328766
1975,5,338.92,333.5925,5.2343,338.8268,0.0933,-0.7654,1975-05-15,1975.3698630136987
