yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2011,10,397.59,397.26,-2.0531,395.2069,2.3831,-5.9407,2011-10-15,2011.7890410958903
2011,11,395.89,396.7952,0.9084,397.7036,-1.8136,-5.3022,2011-11-15,2011.8739726027397
2011,12,398.03,396.3763,2.7323,399.1086,-1.0786,-4.675,2011-12-15,2011.9561643835616
2012,1,399.2,396.0161,4.5007,400.5168,-1.3168,-3.9051,2012-01-15,2012.0409836065573
2012,2,398.74,395.7255,5.0848,400.8102,-2.0703,-3.019,2012-02-15,2012.1256830601094
2012,3,400.04,395.5129,4.9681,400.4809,-0.4409,-2.042,2012-03-15,2012.204918032787
2012,4,400.28,395.3851,5.7094,401.0945,-0.8145,-1.0113,2012-04-15,2012.2896174863388
2012,5,399.74,395.3443,5.1317,400.476,-0.736,0.0244,2012-05-15,2012.3715846994535
2012,6,395.66,395.3892,-0.3485,395.0407,0.6193,1.0195,2012-06-15,2012.4562841530055
2012,7,384.53,395.5143,-8.157,387.3573,-2.8273,1.9206,2012-07-15,2012.5382513661202
2012,8,382.86,395.7093,-11.1248,384.5845,-1.7245,2.668,2012-08-15,2012.622950819672
2012,9,387.85,395.9589,-7.3518,388.6071,-0.7571,3.2263,2012-09-15,2012.707650273224
2012,10,393.26,396.247,-2.0531,394.1939,-0.9339,3.6052,2012-10-15,2012.7896174863388
2012,11,398.28,396.5598,0.9084,397.4681,0.8118,3.7954,2012-11-15,2012.8743169398906
2012,12,400.77,396.8796,2.7323,399.6119,1.1581,3.7903,2012-12-15,2012.9562841530055
2013,1,402.5943,397.1915,4.5007,401.6922,0.9021,3.6112,2013-01-15,2013.041095890411
2013,2,403.569,397.4814,5.0848,402.5662,1.0028,3.3173,2013-02-15,2013.1260273972603
2013,3,403.1107,397.7444,4.9681,402.7124,0.3982,2.9617,2013-03-15,2013.2027397260274
2013,4,404.0501,397.9751,5.7094,403.6844,0.3657,2.5664,2013-04-15,2013.2876712328766
2013,5,404.2959,398.1721,5.1317,403.3038,0.9921,2.1572,2013-05-15,2013.3698630136987
2013,6,398.2,398.3346,-0.3485,397.9861,0.2139,1.7816,2013-06-15,2013.454794520548
2013,7,390.73,398.4691,-8.157,390.3121,0.4179,1.4826,2013-07-15,2013.5369863013698
2013,8,387.49,398.5817,-11.1248,387.4569,0.0331,1.24,2013-08-15,2013.6219178082192
2013,9,390.45,398.6757,-7.3518,391.3239,-0.8739,1.0457,2013-09-15,2013.7068493150684
2013,10,395.43,398.756,-2.0531,396.7029,-1.2729,0.954,2013-10-15,2013.7890410958903
2013,11,400.32,398.8347,0.9084,399.7431,0.5769,0.9719,2013-11-15,2013.8739726027397
2013,12,403.12,398.918,2.7323,401.6503,1.4697,1.0519,2013-12-15,2013.9561643835616
2014,1,402.27,399.01,4.5007,403.5107,-1.2408,1.1849,2014-01-15,2014.041095890411
2014,2,404.03,399.1154,5.0848,404.2002,-0.1702,1.3506,2014-02-15,2014.1260273972603
2014,3,404.48,399.2351,4.9681,404.2032,0.2768,1.5093,2014-03-15,2014.2027397260274
2014,4,404.8268,399.367,5.7094,405.0764,-0.2495,1.676,2014-04-15,2014.2876712328766
2014,5,404.48,399.5145,5.1317,404.6461,-0.1661,1.8673,2014-05-15,2014.3698630136987
2014,6,399.01,399.6782,-0.3485,399.3297,-0.3197,2.0603,2014-06-15,2014.454794520548
2014,7,390.73,399.8578,-8.157,391.7009,-0.9709,2.2522,2014-07-15,2014.5369863013698
2014,8,391.67,400.0536,-11.1248,388.9288,2.7412,2.4578,2014-08-15,2014.6219178082192
2014,9,391.31,400.2675,-7.3518,392.9156,-1.6057,2.692,2014-09-15,2014.7068493150684
2014,10,395.71,400.5023,-2.0531,398.4492,-2.7392,2.9354,2014-10-15,2014.7890410958903
2014,11,401.93,400.7567,0.9084,401.6651,0.2649,3.1588,2014-11-15,2014.8739726027397
2014,12,405.42,401.0287,2.7323,403.761,1.659,3.3512,2014-12-15,2014.9561643835616
2015,1,405.58,401.3152,4.5007,405.8159,-0.236,3.5024,2015-01-15,2015.041095890411
2015,2,406.63,401.6125,5.0848,406.6972,-0.0672,3.5814,2015-02-15,2015.1260273972603
2015,3,406.85,401.9121,4.9681,406.8802,-0.0302,3.5566,2015-03-15,2015.2027397260274
2015,4,407.22,402.2052,5.7094,407.9146,-0.6946,3.4598,2015-04-15,2015.2876712328766
2015,5,406.26,402.4888,5.1317,407.6205,-1.3604,3.3007,2015-05-15,2015.3698630136987
2015,6,404.4,402.7553,-0.3485,402.4068,1.9932,3.0608,2015-06-15,2015.454794520548
2015,7,394.7147,402.9989,-8.157,394.8419,-0.1272,2.7761,2015-07-15,2015.5369863013698
2015,8,391.5807,403.218,-11.1248,392.0932,-0.5125,2.4653,2015-08-15,2015.6219178082192
2015,9,397.5299,403.4098,-7.3518,396.058,1.4719,2.1323,2015-09-15,2015.7068493150684
2015,10,404.0304,403.5734,-2.0531,401.5203,2.5101,1.7981,2015-10-15,2015.7890410958903
2015,11,405.5227,403.7095,0.9084,404.6178,0.9049,1.4716,2015-11-15,2015.8739726027397
2015,12,405.7062,403.8187,2.7323,406.551,-0.8448,1.2127,2015-12-15,2015.9561643835616
2016,1,407.5979,403.9116,4.5007,408.4123,-0.8144,1.0864,2016-01-15,2016.0409836065573
2016,2,408.64,403.9997,5.0848,409.0845,-0.4445,1.0688,2016-02-15,2016.1256830601094
2016,3,409.07,404.0897,4.9681,409.0578,0.0122,1.1433,2016-03-15,2016.204918032787
2016,4,409.36,404.1903,5.7094,409.8996,-0.5396,1.3306,2016-04-15,2016.2896174863388
2016,5,408.85,404.3115,5.1317,409.4432,-0.5932,1.6265,2016-05-15,2016.3715846994535
2016,6,404.79,404.4614,-0.3485,404.1129,0.6772,2.0056,2016-06-15,2016.4562841530055
2016,7,395.87,404.6458,-8.157,396.4888,-0.6188,2.4554,2016-07-15,2016.5382513661202
2016,8,393.41,404.8706,-11.1248,393.7458,-0.3358,2.9734,2016-08-15,2016.622950819672
2016,9,398.06,405.1413,-7.3518,397.7895,0.2705,3.5032,2016-09-15,2016.707650273224
2016,10,401.54,405.4545,-2.0531,403.4014,-1.8614,3.9937,2016-10-15,2016.7896174863388
2016,11,405.2298,405.8069,0.9084,406.7153,-1.4855,4.4317,2016-11-15,2016.8743169398906
2016,12,407.6108,406.1931,2.7323,408.9254,-1.3146,4.775,2016-12-15,2016.9562841530055
2017,1,411.7,406.6028,4.5007,411.1035,0.5965,4.9913,2017-01-15,2017.041095890411
2017,2,412.9,407.025,5.0848,412.1097,0.7903,5.0892,2017-02-15,2017.1260273972603
2017,3,413.51,407.451,4.9681,412.419,1.091,5.0874,2017-03-15,2017.2027397260274
2017,4,413.42,407.8729,5.7094,413.5822,-0.1622,4.986,2017-04-15,2017.2876712328766
2017,5,413.7308,408.282,5.1317,413.4137,0.3171,4.7805,2017-05-15,2017.3698630136987
2017,6,407.7,408.6696,-0.3485,408.3211,-0.6211,4.4828,2017-06-15,2017.454794520548
2017,7,401.02,409.0291,-8.157,400.8721,0.1479,4.1204,2017-07-15,2017.5369863013698
2017,8,398.75,409.3564,-11.1248,398.2315,0.5185,3.7209,2017-08-15,2017.6219178082192
2017,9,404.0219,409.6493,-7.3518,402.2974,1.7245,3.3023,2017-09-15,2017.7068493150684
2017,10,409.8451,409.9067,-2.0531,407.8537,1.9914,2.8976,2017-10-15,2017.7890410958903
2017,11,410.66,410.1322,0.9084,411.0406,-0.3806,2.5367,2017-11-15,2017.8739726027397
2017,12,412.17,410.3295,2.7323,413.0618,-0.8918,2.1605,2017-12-15,2017.9561643835616
