yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2007,8,371.8,385.0898,-13.8657,371.2241,0.5759,0.6286,2007-08-15,2007.6219178082192
2007,9,375.33,385.1474,-9.1301,376.0173,-0.6873,0.7575,2007-09-15,2007.7068493150684
2007,10,385.32,385.2161,-0.2637,384.9524,0.3676,0.9047,2007-10-15,2007.7890410958903
2007,11,388.74,385.2982,5.787,391.0851,-2.3452,1.0873,2007-11-15,2007.8739726027397
2007,12,391.31,385.3973,6.5973,391.9946,-0.6846,1.2962,2007-12-15,2007.9561643835616
2008,1,392.46,385.5142,5.5578,391.072,1.388,1.5295,2008-01-15,2008.0409836065573
2008,2,391.44,385.6522,5.7559,391.4081,0.0319,1.8083,2008-02-15,2008.1256830601094
2008,3,392.18,385.8156,6.4992,392.3148,-0.1348,2.1255,2008-03-15,2008.204918032787
2008,4,392.2,386.0064,5.7426,391.7491,0.451,2.456,2008-04-15,2008.2896174863388
2008,5,388.32,386.2249,2.3228,388.5477,-0.2277,2.7735,2008-05-15,2008.3715846994535
2008,6,383.04,386.4687,-3.9664,382.5023,0.5377,3.059,2008-06-15,2008.4562841530055
2008,7,374.41,386.7347,-11.0367,375.698,-1.288,3.31,2008-07-15,2008.5382513661202
2008,8,372.08,387.0204,-13.8657,373.1546,-1.0746,3.5195,2008-08-15,2008.622950819672
2008,9,375.83,387.3213,-9.1301,378.1912,-2.3612,3.6755,2008-09-15,2008.707650273224
2008,10,386.18,387.6329,-0.2637,387.3692,-1.1892,3.7396,2008-10-15,2008.7896174863388
2008,11,396.08,387.9446,5.787,393.7316,2.3484,3.6861,2008-11-15,2008.8743169398906
2008,12,395.82,388.2473,6.5973,394.8446,0.9754,3.5213,2008-12-15,2008.9562841530055
2009,1,395.02,388.5315,5.5578,394.0893,0.9307,3.2384,2009-01-15,2009.041095890411
2009,2,394.13,388.787,5.7559,394.5429,-0.4129,2.851,2009-02-15,2009.1260273972603
2009,3,397.07,389.0066,6.4992,395.5058,1.5642,2.3672,2009-03-15,2009.2027397260274
2009,4,396.54,389.1815,5.7426,394.9242,1.6158,1.7983,2009-04-15,2009.2876712328766
2009,5,391.47,389.3063,2.3228,391.6292,-0.1592,1.2129,2009-05-15,2009.3698630136987
2009,6,384.8827,389.3837,-3.9664,385.4173,-0.5346,0.6735,2009-06-15,2009.454794520548
2009,7,377.8531,389.4186,-11.0367,378.3819,-0.5288,0.2188,2009-07-15,2009.5369863013698
2009,8,376.4811,389.4202,-13.8657,375.5544,0.9267,-0.0969,2009-08-15,2009.6219178082192
2009,9,382.1913,389.4024,-9.1301,380.2723,1.919,-0.2587,2009-09-15,2009.7068493150684
2009,10,390.1303,389.377,-0.2637,389.1133,1.017,-0.2858,2009-10-15,2009.7890410958903
2009,11,395.42,389.3548,5.787,395.1418,0.2782,-0.1555,2009-11-15,2009.8739726027397
2009,12,393.63,389.3511,6.5973,395.9484,-2.3184,0.1571,2009-12-15,2009.9561643835616
2010,1,394.65,389.381,5.5578,394.9388,-0.2888,0.6035,2010-01-15,2010.041095890411
2010,2,393.45,389.4517,5.7559,395.2076,-1.7576,1.1111,2010-02-15,2010.1260273972603
2010,3,395.1,389.5662,6.4992,396.0653,-0.9653,1.663,2010-03-15,2010.2027397260274
2010,4,393.4,389.7289,5.7426,395.4715,-2.0715,2.2474,2010-04-15,2010.2876712328766
2010,5,391.68,389.9407,2.3228,392.2635,-0.5836,2.838,2010-05-15,2010.3698630136987
2010,6,386.57,390.2019,-3.9664,386.2355,0.3345,3.3975,2010-06-15,2010.454794520548
2010,7,380.47,390.507,-11.0367,379.4703,0.9997,3.8919,2010-07-15,2010.5369863013698
2010,8,376.97,390.8505,-13.8657,376.9848,-0.0148,4.3271,2010-08-15,2010.6219178082192
2010,9,382.9756,391.2282,-9.1301,382.0981,0.8775,4.7003,2010-09-15,2010.7068493150684
2010,10,391.21,391.6339,-0.2637,391.3702,-0.1602,4.9995,2010-10-15,2010.7890410958903
2010,11,395.64,392.0614,5.787,397.8484,-2.2084,5.2141,2010-11-15,2010.8739726027397
2010,12,396.84,392.5029,6.5973,399.1002,-2.2602,5.3432,2010-12-15,2010.9561643835616
2011,1,401.13,392.952,5.5578,398.5098,2.6202,5.415,2011-01-15,2011.041095890411
2011,2,399.95,393.4054,5.7559,399.1613,0.7887,5.4558,2011-02-15,2011.1260273972603
2011,3,399.51,393.8613,6.4992,400.3604,-0.8504,5.4941,2011-03-15,2011.2027397260274
2011,4,400.16,394.3211,5.7426,400.0637,0.0963,5.5464,2011-04-15,2011.2876712328766
