yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1984,3,345.99,345.0466,1.1701,346.2166,-0.2266,0.6242,1984-03-15,1984.204918032787
1984,4,346.84,345.0958,1.367,346.4628,0.3772,0.581,1984-04-15,1984.2896174863388
1984,5,346.72,345.1434,1.1181,346.2615,0.4585,0.5722,1984-05-15,1984.3715846994535
1984,6,345.7,345.1911,0.6286,345.8197,-0.1197,0.5856,1984-06-15,1984.4562841530055
1984,7,345.24,345.241,0.0819,345.3229,-0.0829,0.6231,1984-07-15,1984.5382513661202
1984,8,344.69,345.295,-0.5629,344.7321,-0.0421,0.6808,1984-08-15,1984.622950819672
1984,9,343.96,345.3545,-1.2168,344.1377,-0.1777,0.7509,1984-09-15,1984.707650273224
1984,10,343.63,345.4201,-1.5002,343.9199,-0.2899,0.8306,1984-10-15,1984.7896174863388
1984,11,344.21,345.4929,-1.2045,344.2884,-0.0784,0.9183,1984-11-15,1984.8743169398906
1984,12,345.04,345.5732,-0.5819,344.9913,0.0487,1.0058,1984-12-15,1984.9562841530055
1985,1,345.51,345.6605,0.0513,345.7118,-0.2018,1.0798,1985-01-15,1985.041095890411
1985,2,346.0,345.7531,0.6493,346.4025,-0.4025,1.1382,1985-02-15,1985.1260273972603
1985,3,346.85,345.8502,1.1701,347.0203,-0.1703,1.1818,1985-03-15,1985.2027397260274
1985,4,347.24,345.9501,1.367,347.3171,-0.0771,1.2063,1985-04-15,1985.2876712328766
1985,5,347.25,346.0513,1.1181,347.1693,0.0806,1.2162,1985-05-15,1985.3698630136987
1985,6,347.28,346.1528,0.6286,346.7814,0.4986,1.2155,1985-06-15,1985.454794520548
1985,7,346.85,346.2538,0.0819,346.3358,0.5142,1.1984,1985-07-15,1985.5369863013698
1985,8,345.97,346.3525,-0.5629,345.7897,0.1803,1.1677,1985-08-15,1985.6219178082192
1985,9,345.23,346.4485,-1.2168,345.2317,-0.0016,1.1369,1985-09-15,1985.7068493150684
1985,10,344.68,346.542,-1.5002,345.0418,-0.3618,1.1054,1985-10-15,1985.7890410958903
1985,11,345.1,346.6327,-1.2045,345.4282,-0.3281,1.0618,1985-11-15,1985.8739726027397
1985,12,346.29,346.719,-0.5819,346.1371,0.1529,1.0043,1985-12-15,1985.9561643835616
1986,1,346.93,346.8001,0.0513,346.8513,0.0786,0.9368,1986-01-15,1986.041095890411
1986,2,347.2,346.8751,0.6493,347.5244,-0.3244,0.865,1986-02-15,1986.1260273972603
1986,3,347.92,346.9442,1.1701,348.1143,-0.1943,0.8013,1986-03-15,1986.2027397260274
1986,4,348.79,347.0087,1.367,348.3757,0.4143,0.7612,1986-04-15,1986.2876712328766
1986,5,348.43,347.0711,1.1181,348.1892,0.2408,0.754,1986-05-15,1986.3698630136987
1986,6,348.01,347.1343,0.6286,347.7629,0.2471,0.7808,1986-06-15,1986.454794520548
1986,7,347.77,347.2012,0.0819,347.2832,0.4868,0.8491,1986-07-15,1986.5369863013698
1986,8,346.63,347.2758,-0.5629,346.713,-0.083,0.9635,1986-08-15,1986.6219178082192
1986,9,346.0,347.3618,-1.2168,346.145,-0.145,1.1136,1986-09-15,1986.7068493150684
1986,10,346.07,347.4615,-1.5002,345.9612,0.1088,1.2936,1986-10-15,1986.7890410958903
1986,11,346.08,347.5774,-1.2045,346.3729,-0.2929,1.5029,1986-11-15,1986.8739726027397
1986,12,346.01,347.7119,-0.5819,347.1301,-1.1201,1.7331,1986-12-15,1986.9561643835616
1987,1,346.79,347.8663,0.0513,347.9175,-1.1275,1.9713,1987-01-15,1987.041095890411
1987,2,348.03,348.0405,0.6493,348.6898,-0.6598,2.1989,1987-02-15,1987.1260273972603
1987,3,349.09,348.2328,1.1701,349.4028,-0.3128,2.3979,1987-03-15,1987.2027397260274
1987,4,350.12,348.4402,1.367,349.8072,0.3128,2.5585,1987-04-15,1987.2876712328766
1987,5,350.52,348.6592,1.1181,349.7773,0.7427,2.6783,1987-05-15,1987.3698630136987
1987,6,349.95,348.8865,0.6286,349.5151,0.4349,2.7495,1987-06-15,1987.454794520548
1987,7,349.19,349.1174,0.0819,349.1994,-0.0094,2.7636,1987-07-15,1987.5369863013698
1987,8,348.92,349.3471,-0.5629,348.7843,0.1357,2.7314,1987-08-15,1987.6219178082192
1987,9,348.68,349.5727,-1.2168,348.3559,0.3241,2.6693,1987-09-15,1987.7068493150684
1987,10,348.23,349.792,-1.5002,348.2918,-0.0618,2.5854,1987-10-15,1987.7890410958903
1987,11,348.39,350.0036,-1.2045,348.799,-0.409,2.4979,1987-11-15,1987.8739726027397
1987,12,349.57,350.2083,-0.5819,349.6265,-0.0565,2.424,1987-12-15,1987.9561643835616
1988,1,350.61,350.4076,0.0513,350.4588,0.1512,2.3725,1988-01-15,1988.0409836065573
1988,2,351.33,350.6038,0.6493,351.2531,0.0769,2.3562,1988-02-15,1988.1256830601094
1988,3,351.97,350.8003,1.1701,351.9703,-0.0003,2.3749,1988-03-15,1988.204918032787
1988,4,352.3,350.9996,1.367,352.3666,-0.0666,2.4137,1988-04-15,1988.2896174863388
1988,5,352.48,351.2025,1.1181,352.3206,0.1594,2.4565,1988-05-15,1988.3715846994535
1988,6,352.17,351.409,0.6286,352.0376,0.1324,2.4933,1988-06-15,1988.4562841530055
1988,7,351.5,351.6181,0.0819,351.7,-0.2,2.5124,1988-07-15,1988.5382513661202
1988,8,350.77,351.8277,-0.5629,351.2649,-0.4949,2.5031,1988-08-15,1988.622950819672
1988,9,350.65,352.0353,-1.2168,350.8185,-0.1685,2.4659,1988-09-15,1988.707650273224
1988,10,350.93,352.2387,-1.5002,350.7385,0.1915,2.3998,1988-10-15,1988.7896174863388
1988,11,351.2,352.4352,-1.2045,351.2307,-0.0307,2.3005,1988-11-15,1988.8743169398906
1988,12,352.07,352.6221,-0.5819,352.0403,0.0297,2.174,1988-12-15,1988.9562841530055
1989,1,353.25,352.7976,0.0513,352.8488,0.4012,2.0347,1989-01-15,1989.041095890411
1989,2,354.15,352.9612,0.6493,353.6106,0.5394,1.8854,1989-02-15,1989.1260273972603
1989,3,355.03,353.1118,1.1701,354.2819,0.7481,1.7183,1989-03-15,1989.2027397260274
1989,4,354.96,353.2476,1.367,354.6146,0.3454,1.5397,1989-04-15,1989.2876712328766
1989,5,353.97,353.3684,1.1181,354.4865,-0.5165,1.3641,1989-05-15,1989.3698630136987
1989,6,353.8,353.475,0.6286,354.1036,-0.3036,1.2026,1989-06-15,1989.454794520548
1989,7,353.99,353.5689,0.0819,353.6508,0.3392,1.0677,1989-07-15,1989.5369863013698
1989,8,353.38,353.6529,-0.5629,353.0901,0.2899,0.9662,1989-08-15,1989.6219178082192
1989,9,352.55,353.7299,-1.2168,352.5131,0.0369,0.9016,1989-09-15,1989.7068493150684
1989,10,352.33,353.8032,-1.5002,352.303,0.027,0.8747,1989-10-15,1989.7890410958903
1989,11,352.5,353.8757,-1.2045,352.6712,-0.1712,0.884,1989-11-15,1989.8739726027397
1989,12,353.02,353.9505,-0.5819,353.3687,-0.3487,0.9214,1989-12-15,1989.9561643835616
1990,1,354.14,354.0293,0.0513,354.0805,0.0595,0.9734,1990-01-15,1990.041095890411
1990,2,355.35,354.1128,0.6493,354.7621,0.5879,1.0347,1990-02-15,1990.1260273972603
1990,3,355.5,354.2017,1.1701,355.3718,0.1282,1.0948,1990-03-15,1990.2027397260274
1990,4,354.82,354.2952,1.367,355.6622,-0.8422,1.1442,1990-04-15,1990.2876712328766
1990,5,354.85,354.3924,1.1181,355.5105,-0.6605,1.1832,1990-05-15,1990.3698630136987
1990,6,355.19,354.4924,0.6286,355.121,0.069,1.2079,1990-06-15,1990.454794520548
1990,7,354.78,354.5938,0.0819,354.6757,0.1043,1.216,1990-07-15,1990.5369863013698
1990,8,354.38,354.6951,-0.5629,354.1322,0.2478,1.2127,1990-08-15,1990.6219178082192
1990,9,354.02,354.7959,-1.2168,353.5791,0.4409,1.2003,1990-09-15,1990.7068493150684
1990,10,353.64,354.8951,-1.5002,353.3949,0.2451,1.1744,1990-10-15,1990.7890410958903
1990,11,353.76,354.9916,-1.2045,353.7871,-0.0271,1.1378,1990-11-15,1990.8739726027397
1990,12,354.44,355.0848,-0.5819,354.5029,-0.0629,1.0979,1990-12-15,1990.9561643835616
1991,1,355.23,355.1746,0.0513,355.2259,0.0042,1.0551,1991-01-15,1991.041095890411
1991,2,355.82,355.2606,0.6493,355.9099,-0.0899,1.0122,1991-02-15,1991.1260273972603
1991,3,356.57,355.3433,1.1701,356.5134,0.0566,0.9846,1991-03-15,1991.2027397260274
1991,4,356.68,355.4247,1.367,356.7917,-0.1117,0.9803,1991-04-15,1991.2876712328766
1991,5,356.35,355.5067,1.1181,356.6248,-0.2748,0.9941,1991-05-15,1991.3698630136987
1991,6,356.52,355.5904,0.6286,356.219,0.301,1.0248,1991-06-15,1991.454794520548
1991,7,356.07,355.6775,0.0819,355.7594,0.3106,1.0774,1991-07-15,1991.5369863013698
1991,8,355.01,355.77,-0.5629,355.2071,-0.1971,1.1435,1991-08-15,1991.6219178082192
1991,9,354.21,355.8681,-1.2168,354.6513,-0.4413,1.2028,1991-09-15,1991.7068493150684
1991,10,354.39,355.9704,-1.5002,354.4702,-0.0802,1.2427,1991-10-15,1991.7890410958903
1991,11,355.14,356.0752,-1.2045,354.8707,0.2694,1.259,1991-11-15,1991.8739726027397
1991,12,355.49,356.1803,-0.5819,355.5984,-0.1084,1.2469,1991-12-15,1991.9561643835616
1992,1,356.28,356.283,0.0513,356.3343,-0.0543,1.199,1992-01-15,1992.0409836065573
1992,2,356.74,356.3801,0.6493,357.0294,-0.2894,1.118,1992-02-15,1992.1256830601094
1992,3,357.08,356.4694,1.1701,357.6394,-0.5594,1.0234,1992-03-15,1992.204918032787
1992,4,358.33,356.5507,1.367,357.9177,0.4123,0.928,1992-04-15,1992.2896174863388
1992,5,358.85,356.624,1.1181,357.7421,1.1079,0.835,1992-05-15,1992.3715846994535
1992,6,357.97,356.6898,0.6286,357.3184,0.6516,0.7524,1992-06-15,1992.4562841530055
1992,7,356.93,356.7494,0.0819,356.8314,0.0986,0.6945,1992-07-15,1992.5382513661202
1992,8,356.12,356.8056,-0.5629,356.2427,-0.1227,0.6702,1992-08-15,1992.622950819672
1992,9,355.55,356.8611,-1.2168,355.6443,-0.0943,0.6757,1992-09-15,1992.707650273224
1992,10,355.35,356.9182,-1.5002,355.418,-0.068,0.709,1992-10-15,1992.7896174863388
1992,11,355.36,356.9793,-1.2045,355.7747,-0.4148,0.7764,1992-11-15,1992.8743169398906
1992,12,356.08,357.0476,-0.5819,356.4657,-0.3857,0.8793,1992-12-15,1992.9562841530055
1993,1,357.04,357.1258,0.0513,357.1771,-0.1371,1.0029,1993-01-15,1993.041095890411
1993,2,357.26,357.2147,0.6493,357.864,-0.604,1.123,1993-02-15,1993.1260273972603
1993,3,357.59,357.313,1.1701,358.4831,-0.8931,1.2307,1993-03-15,1993.2027397260274
1993,4,359.15,357.4198,1.367,358.7868,0.3632,1.3204,1993-04-15,1993.2876712328766
1993,5,359.64,357.5331,1.1181,358.6511,0.9889,1.3819,1993-05-15,1993.3698630136987
1993,6,358.35,357.6501,0.6286,358.2787,0.0712,1.4101,1993-06-15,1993.454794520548
1993,7,357.72,357.7681,0.0819,357.85,-0.13,1.3954,1993-07-15,1993.5369863013698
1993,8,357.51,357.8827,-0.5629,357.3199,0.1902,1.3359,1993-08-15,1993.6219178082192
1993,9,356.9,357.9907,-1.2168,356.7739,0.1261,1.2464,1993-09-15,1993.7068493150684
1993,10,356.47,358.0905,-1.5002,356.5902,-0.1203,1.1448,1993-10-15,1993.7890410958903
1993,11,356.85,358.1815,-1.2045,356.977,-0.127,1.0459,1993-11-15,1993.8739726027397
1993,12,357.86,358.2648,-0.5819,357.6829,0.1771,0.9591,1993-12-15,1993.9561643835616
1994,1,358.79,358.3414,0.0513,358.3926,0.3974,0.8915,1994-01-15,1994.041095890411
1994,2,359.41,358.4134,0.6493,359.0627,0.3473,0.8538,1994-02-15,1994.1260273972603
1994,3,359.48,358.4837,1.1701,359.6537,-0.1737,0.8513,1994-03-15,1994.2027397260274
1994,4,359.56,358.5552,1.367,359.9222,-0.3622,0.8868,1994-04-15,1994.2876712328766
1994,5,359.75,358.6315,1.1181,359.7495,0.0004,0.9624,1994-05-15,1994.3698630136987
1994,6,359.32,358.7156,0.6286,359.3442,-0.0242,1.0752,1994-06-15,1994.454794520548
1994,7,358.67,358.8107,0.0819,358.8926,-0.2226,1.2092,1994-07-15,1994.5369863013698
1994,8,358.14,358.9172,-0.5629,358.3543,-0.2143,1.3495,1994-08-15,1994.6219178082192
1994,9,357.6562,359.0356,-1.2168,357.8188,-0.1626,1.4982,1994-09-15,1994.7068493150684
1994,10,357.476,359.1669,-1.5002,357.6667,-0.1907,1.652,1994-10-15,1994.7890410958903
1994,11,357.8664,359.3109,-1.2045,358.1064,-0.24,1.7985,1994-11-15,1994.8739726027397
1994,12,358.6999,359.4666,-0.5819,358.8847,-0.1849,1.9296,1994-12-15,1994.9561643835616
1995,1,359.5841,359.6325,0.0513,359.6838,-0.0997,2.0429,1995-01-15,1995.041095890411
1995,2,360.3505,359.8071,0.6493,360.4564,-0.1059,2.129,1995-02-15,1995.1260273972603
1995,3,361.0572,359.9873,1.1701,361.1574,-0.1002,2.1744,1995-03-15,1995.2027397260274
1995,4,361.5956,360.1695,1.367,361.5365,0.0591,2.178,1995-04-15,1995.2876712328766
1995,5,361.7122,360.3503,1.1181,361.4684,0.2438,2.1533,1995-05-15,1995.3698630136987
1995,6,361.3992,360.5284,0.6286,361.157,0.2422,2.118,1995-06-15,1995.454794520548
1995,7,360.9001,360.7033,0.0819,360.7853,0.1148,2.0848,1995-07-15,1995.5369863013698
1995,8,360.3701,360.8759,-0.5629,360.313,0.0571,2.0587,1995-08-15,1995.6219178082192
1995,9,359.8863,361.0464,-1.2168,359.8297,0.0567,2.0444,1995-09-15,1995.7068493150684
1995,10,359.7061,361.2166,-1.5002,359.7164,-0.0103,2.0517,1995-10-15,1995.7890410958903
1995,11,360.0965,361.3884,-1.2045,360.1839,-0.0874,2.0815,1995-11-15,1995.8739726027397
1995,12,360.93,361.5635,-0.5819,360.9816,-0.0516,2.1323,1995-12-15,1995.9561643835616
1996,1,361.86,361.7438,0.0513,361.795,0.0649,2.2006,1996-01-15,1996.0409836065573
1996,2,362.64,361.9303,0.6493,362.5796,0.0604,2.2791,1996-02-15,1996.1256830601094
1996,3,363.04,362.1236,1.1701,363.2937,-0.2537,2.3621,1996-03-15,1996.204918032787
1996,4,363.01,362.3239,1.367,363.6909,-0.6809,2.4412,1996-04-15,1996.2896174863388
1996,5,362.93,362.5305,1.1181,363.6486,-0.7186,2.5096,1996-05-15,1996.3715846994535
1996,6,363.38,362.7422,0.6286,363.3708,0.0092,2.5598,1996-06-15,1996.4562841530055
1996,7,363.57,362.9571,0.0819,363.0391,0.531,2.5853,1996-07-15,1996.5382513661202
1996,8,363.0005,363.1731,-0.5629,362.6102,0.3903,2.5823,1996-08-15,1996.622950819672
1996,9,362.4772,363.3875,-1.2168,362.1707,0.3065,2.5488,1996-09-15,1996.707650273224
1996,10,362.2574,363.5979,-1.5002,362.0977,0.1597,2.4904,1996-10-15,1996.7896174863388
1996,11,362.6083,363.8026,-1.2045,362.5981,0.0103,2.4104,1996-11-15,1996.8743169398906
1996,12,363.4023,363.9996,-0.5819,363.4178,-0.0154,2.3143,1996-12-15,1996.9562841530055
1997,1,364.2469,364.1883,0.0513,364.2396,0.0073,2.2094,1997-01-15,1997.041095890411
1997,2,364.9738,364.3679,0.6493,365.0172,-0.0434,2.1013,1997-02-15,1997.1260273972603
1997,3,365.641,364.5385,1.1701,365.7086,-0.0676,1.9979,1997-03-15,1997.2027397260274
1997,4,366.1399,364.7008,1.367,366.0678,0.0721,1.9061,1997-04-15,1997.2876712328766
1997,5,366.2169,364.8562,1.1181,365.9743,0.2426,1.832,1997-05-15,1997.3698630136987
1997,6,365.8644,365.0062,0.6286,365.6348,0.2296,1.7798,1997-06-15,1997.454794520548
1997,7,365.3259,365.1528,0.0819,365.2348,0.0911,1.752,1997-07-15,1997.5369863013698
1997,8,364.7563,365.2982,-0.5629,364.7353,0.021,1.745,1997-08-15,1997.6219178082192
1997,9,364.233,365.4437,-1.2168,364.2269,0.0061,1.7494,1997-09-15,1997.7068493150684
1997,10,364.0132,365.5897,-1.5002,364.0895,-0.0763,1.7523,1997-10-15,1997.7890410958903
1997,11,364.3642,365.7357,-1.2045,364.5312,-0.167,1.7518,1997-11-15,1997.8739726027397
1997,12,365.1581,365.8817,-0.5819,365.2998,-0.1417,1.7474,1997-12-15,1997.9561643835616
1998,1,366.0028,366.0269,0.0513,366.0782,-0.0754,1.7417,1998-01-15,1998.041095890411
1998,2,366.7296,366.172,0.6493,366.8213,-0.0917,1.7461,1998-02-15,1998.1260273972603
1998,3,367.3968,366.318,1.1701,367.488,-0.0912,1.7562,1998-03-15,1998.2027397260274
1998,4,367.8958,366.4647,1.367,367.8317,0.0641,1.7587,1998-04-15,1998.2876712328766
1998,5,367.9728,366.6111,1.1181,367.7292,0.2436,1.7536,1998-05-15,1998.3698630136987
1998,6,367.6203,366.7569,0.6286,367.3855,0.2348,1.7419,1998-06-15,1998.454794520548
1998,7,367.0817,366.9014,0.0819,366.9833,0.0984,1.7194,1998-07-15,1998.5369863013698
1998,8,366.5122,367.0435,-0.5629,366.4806,0.0316,1.6838,1998-08-15,1998.6219178082192
1998,9,365.9889,367.182,-1.2168,365.9652,0.0237,1.6392,1998-09-15,1998.7068493150684
1998,10,365.7691,367.3167,-1.5002,365.8165,-0.0474,1.5934,1998-10-15,1998.7890410958903
1998,11,366.12,367.4476,-1.2045,366.2431,-0.1231,1.5489,1998-11-15,1998.8739726027397
1998,12,366.73,367.5748,-0.5819,366.993,-0.2629,1.5064,1998-12-15,1998.9561643835616
1999,1,367.5,367.6987,0.0513,367.7499,-0.2499,1.4672,1999-01-15,1999.041095890411
1999,2,368.5,367.8194,0.6493,368.4687,0.0313,1.4436,1999-02-15,1999.1260273972603
1999,3,369.9,367.9393,1.1701,369.1093,0.7907,1.4517,1999-03-15,1999.2027397260274
1999,4,370.17,368.0613,1.367,369.4283,0.7417,1.4874,1999-04-15,1999.2876712328766
1999,5,368.81,368.1872,1.1181,369.3052,-0.4952,1.5399,1999-05-15,1999.3698630136987
