yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1993,2,359.962,356.7056,4.27,360.9755,-1.0135,3.7181,1993-02-15,1993.1260273972603
1993,3,361.444,356.9881,4.4392,361.4273,0.0167,3.1624,1993-03-15,1993.2027397260274
1993,4,362.51,357.2326,2.9266,360.1592,2.3508,2.7488,1993-04-15,1993.2876712328766
1993,5,360.706,357.4462,0.9455,358.3918,2.3142,2.4373,1993-05-15,1993.3698630136987
1993,6,357.95,357.6389,-1.1847,356.4542,1.4959,2.2595,1993-06-15,1993.454794520548
1993,7,357.071,357.8228,-2.9693,354.8536,2.2175,2.2198,1993-07-15,1993.5369863013698
1993,8,356.387,358.0088,-3.3303,354.6785,1.7085,2.2906,1993-08-15,1993.6219178082192
1993,9,355.034,358.2046,-2.439,355.7656,-0.7316,2.4188,1993-09-15,1993.7068493150684
1993,10,352.965,358.412,-1.866,356.5459,-3.5809,2.5323,1993-10-15,1993.7890410958903
1993,11,350.227,358.6266,-1.8852,356.7415,-6.5145,2.5743,1993-11-15,1993.8739726027397
1993,12,352.993,358.841,-0.8156,358.0255,-5.0324,2.5126,1993-12-15,1993.9561643835616
1994,1,361.898,359.0454,1.9087,360.9541,0.9439,2.3339,1994-01-15,1994.041095890411
1994,2,367.858,359.23,4.27,363.4999,4.3581,2.0345,1994-02-15,1994.1260273972603
1994,3,367.657,359.3845,4.4392,363.8237,3.8333,1.6353,1994-03-15,1994.2027397260274
1994,4,364.218,359.5025,2.9266,362.4291,1.7888,1.19,1994-04-15,1994.2876712328766
1994,5,362.275,359.5828,0.9455,360.5284,1.7467,0.7531,1994-05-15,1994.3698630136987
1994,6,360.401,359.6281,-1.1847,358.4434,1.9576,0.3695,1994-06-15,1994.454794520548
1994,7,358.288,359.6444,-2.9693,356.6752,1.6128,0.0698,1994-07-15,1994.5369863013698
1994,8,357.358,359.6397,-3.3303,356.3094,1.0486,-0.0991,1994-08-15,1994.6219178082192
1994,9,356.527,359.6279,-2.439,357.1889,-0.6619,-0.0828,1994-09-15,1994.7068493150684
1994,10,355.411,359.6259,-1.866,357.7599,-2.3488,0.1368,1994-10-15,1994.7890410958903
1994,11,354.1,359.6507,-1.8852,357.7655,-3.6655,0.57,1994-11-15,1994.8739726027397
1994,12,355.111,359.7209,-0.8156,358.9053,-3.7943,1.1966,1994-12-15,1994.9561643835616
1995,1,359.828,359.8501,1.9087,361.7588,-1.9308,1.9541,1995-01-15,1995.041095890411
1995,2,364.143,360.0466,4.27,364.3165,-0.1735,2.7892,1995-02-15,1995.1260273972603
1995,3,365.072,360.315,4.4392,364.7542,0.3177,3.5986,1995-03-15,1995.2027397260274
1995,4,363.91,360.6463,2.9266,363.5729,0.3371,4.2241,1995-04-15,1995.2876712328766
1995,5,363.607,361.019,0.9455,361.9645,1.6425,4.591,1995-05-15,1995.3698630136987
1995,6,361.569,361.4115,-1.1847,360.2268,1.3422,4.7146,1995-06-15,1995.454794520548
1995,7,358.779,361.8048,-2.9693,358.8355,-0.0565,4.6276,1995-07-15,1995.5369863013698
1995,8,358.912,362.1828,-3.3303,358.8525,0.0595,4.3625,1995-08-15,1995.6219178082192
1995,9,359.497,362.5319,-2.439,360.0929,-0.5958,3.9774,1995-09-15,1995.7068493150684
1995,10,361.034,362.8457,-1.866,360.9796,0.0544,3.5292,1995-10-15,1995.7890410958903
1995,11,361.514,363.1201,-1.8852,361.2349,0.2791,3.0368,1995-11-15,1995.8739726027397
1995,12,363.816,363.3518,-0.8156,362.5363,1.2798,2.5378,1995-12-15,1995.9561643835616
1996,1,367.111,363.543,1.9087,365.4517,1.6593,2.081,1996-01-15,1996.0409836065573
1996,2,367.268,363.6986,4.27,367.9686,-0.7006,1.6928,1996-02-15,1996.1256830601094
1996,3,368.249,363.8252,4.4392,368.2644,-0.0154,1.3826,1996-03-15,1996.204918032787
1996,4,368.13,363.9291,2.9266,366.8557,1.2743,1.14,1996-04-15,1996.2896174863388
1996,5,364.425,364.0152,0.9455,364.9607,-0.5357,0.9483,1996-05-15,1996.3715846994535
1996,6,362.036,364.0871,-1.1847,362.9024,-0.8664,0.8033,1996-06-15,1996.4562841530055
1996,7,361.669,364.149,-2.9693,361.1798,0.4892,0.7158,1996-07-15,1996.5382513661202
