yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1997,6,361.209,361.1486,-0.1305,361.0181,0.191,2.6763,1997-06-15,1997.454794520548
1997,7,361.525,361.3754,0.2573,361.6328,-0.1077,2.751,1997-07-15,1997.5369863013698
1997,8,361.911,361.6071,0.5872,362.1943,-0.2833,2.8068,1997-08-15,1997.6219178082192
1997,9,362.334,361.8432,0.6647,362.5079,-0.1739,2.855,1997-09-15,1997.7068493150684
1997,10,362.498,362.0829,0.5347,362.6176,-0.1196,2.889,1997-10-15,1997.7890410958903
1997,11,362.302,362.3247,0.3232,362.6479,-0.3459,2.905,1997-11-15,1997.8739726027397
1997,12,362.461,362.5671,0.0396,362.6067,-0.1457,2.9008,1997-12-15,1997.9561643835616
1998,1,362.758,362.8082,-0.2979,362.5103,0.2477,2.8742,1998-01-15,1998.041095890411
1998,2,362.795,363.0461,-0.5368,362.5093,0.2857,2.8248,1998-02-15,1998.1260273972603
1998,3,363.019,363.279,-0.5737,362.7052,0.3138,2.7515,1998-03-15,1998.2027397260274
1998,4,363.341,363.5047,-0.4941,363.0106,0.3304,2.6589,1998-04-15,1998.2876712328766
1998,5,363.465,363.7221,-0.3735,363.3486,0.1164,2.5563,1998-05-15,1998.3698630136987
1998,6,363.802,363.9308,-0.1305,363.8002,0.0018,2.4481,1998-06-15,1998.454794520548
1998,7,364.407,364.1301,0.2573,364.3875,0.0195,2.3362,1998-07-15,1998.5369863013698
1998,8,364.91,364.3201,0.5872,364.9073,0.0027,2.2207,1998-08-15,1998.6219178082192
1998,9,365.186,364.5002,0.6647,365.1649,0.0211,2.1059,1998-09-15,1998.7068493150684
1998,10,365.276,364.6711,0.5347,365.2058,0.0702,2.0013,1998-10-15,1998.7890410958903
1998,11,365.178,364.8338,0.3232,365.157,0.021,1.9107,1998-11-15,1998.8739726027397
1998,12,365.081,364.9896,0.0396,365.0292,0.0518,1.8336,1998-12-15,1998.9561643835616
1999,1,365.007,365.1394,-0.2979,364.8415,0.1655,1.771,1999-01-15,1999.041095890411
1999,2,364.882,365.2847,-0.5368,364.7479,0.1341,1.725,1999-02-15,1999.1260273972603
1999,3,364.907,365.4269,-0.5737,364.8531,0.0539,1.6952,1999-03-15,1999.2027397260274
