yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1992,4,365.2,360.3949,4.4824,364.8773,0.3228,-1.0811,1992-04-15,1992.2896174863388
1992,5,363.02,360.3166,2.8778,363.1944,-0.1744,-0.8135,1992-05-15,1992.3715846994535
1992,6,360.49,360.2593,0.2959,360.5552,-0.0652,-0.5431,1992-06-15,1992.4562841530055
1992,7,356.75,360.2261,-2.5907,357.6354,-0.8854,-0.2479,1992-07-15,1992.5382513661202
1992,8,354.93,360.218,-4.9864,355.2316,-0.3016,0.0564,1992-08-15,1992.622950819672
1992,9,353.51,360.2355,-5.3458,354.8896,-1.3796,0.3523,1992-09-15,1992.707650273224
1992,10,356.93,360.2767,-3.185,357.0917,-0.1617,0.6125,1992-10-15,1992.7896174863388
1992,11,359.51,360.3376,-0.4612,359.8764,-0.3664,0.837,1992-11-15,1992.8743169398906
1992,12,361.68,360.4162,0.8234,361.2396,0.4404,1.0226,1992-12-15,1992.9562841530055
1993,1,361.97,360.508,1.2933,361.8013,0.1687,1.1559,1993-01-15,1993.041095890411
1993,2,362.86,360.6089,2.5697,363.1786,-0.3186,1.244,1993-02-15,1993.1260273972603
1993,3,363.84,360.7153,4.2266,364.9419,-1.1019,1.313,1993-03-15,1993.2027397260274
1993,4,365.95,360.8277,4.4824,365.3101,0.64,1.3713,1993-04-15,1993.2876712328766
1993,5,365.67,360.9439,2.8778,363.8217,1.8483,1.4551,1993-05-15,1993.3698630136987
1993,6,363.2,361.0702,0.2959,361.3661,1.8339,1.6198,1993-06-15,1993.454794520548
1993,7,356.26,361.2138,-2.5907,358.6232,-2.3632,1.8409,1993-07-15,1993.5369863013698
1993,8,356.09,361.377,-4.9864,356.3907,-0.3007,2.111,1993-08-15,1993.6219178082192
1993,9,355.62,361.5657,-5.3458,356.2198,-0.5999,2.4348,1993-09-15,1993.7068493150684
1993,10,358.09,361.7828,-3.185,358.5979,-0.5079,2.7806,1993-10-15,1993.7890410958903
1993,11,360.48,362.0291,-0.4612,361.5679,-1.0879,3.1179,1993-11-15,1993.8739726027397
1993,12,362.16,362.3025,0.8234,363.1259,-0.9659,3.4135,1993-12-15,1993.9561643835616
1994,1,364.38,362.598,1.2933,363.8913,0.4887,3.6248,1994-01-15,1994.041095890411
1994,2,364.24,362.9066,2.5697,365.4763,-1.2363,3.7086,1994-02-15,1994.1260273972603
1994,3,366.96,363.2161,4.2266,367.4427,-0.4827,3.6566,1994-03-15,1994.2027397260274
1994,4,368.04,363.5161,4.4824,367.9984,0.0416,3.4759,1994-04-15,1994.2876712328766
1994,5,367.92,363.7954,2.8778,366.6733,1.2467,3.2186,1994-05-15,1994.3698630136987
1994,6,364.4,364.0525,0.2959,364.3484,0.0516,2.9053,1994-06-15,1994.454794520548
1994,7,365.82,364.2797,-2.5907,361.689,4.131,2.5179,1994-07-15,1994.5369863013698
1994,8,360.77,364.4721,-4.9864,359.4858,1.2842,2.1141,1994-08-15,1994.6219178082192
1994,9,357.96,364.632,-5.3458,359.2862,-1.3262,1.7417,1994-09-15,1994.7068493150684
1994,10,362.44,364.7624,-3.185,361.5775,0.8625,1.4429,1994-10-15,1994.7890410958903
1994,11,364.03,364.8725,-0.4612,364.4113,-0.3813,1.2305,1994-11-15,1994.8739726027397
1994,12,365.07,364.9675,0.8234,365.7909,-0.7209,1.0984,1994-12-15,1994.9561643835616
1995,1,366.2,365.0556,1.2933,366.3488,-0.1488,1.062,1995-01-15,1995.041095890411
1995,2,366.48,365.1445,2.5697,367.7142,-1.2342,1.095,1995-02-15,1995.1260273972603
1995,3,368.72,365.2381,4.2266,369.4646,-0.7446,1.1862,1995-03-15,1995.2027397260274
1995,4,368.54,365.3422,4.4824,369.8246,-1.2845,1.3107,1995-04-15,1995.2876712328766
1995,5,369.42,365.4565,2.8778,368.3344,1.0857,1.5218,1995-05-15,1995.3698630136987
1995,6,366.26,365.5958,0.2959,365.8917,0.3683,1.7908,1995-06-15,1995.454794520548
1995,7,366.15,365.755,-2.5907,363.1643,2.9857,2.0305,1995-07-15,1995.5369863013698
1995,8,358.06,365.9342,-4.9864,360.9479,-2.8879,2.2513,1995-08-15,1995.6219178082192
1995,9,361.09,366.1302,-5.3458,360.7844,0.3056,2.4348,1995-09-15,1995.7068493150684
