yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1993,6,358.728,357.8352,0.801,358.6362,0.0918,0.9086,1993-06-15,1993.454794520548
1993,7,354.724,357.9099,-4.5807,353.3292,1.3948,0.9119,1993-07-15,1993.5369863013698
1993,8,349.725,357.9872,-8.2538,349.7334,-0.0084,0.9626,1993-08-15,1993.6219178082192
1993,9,350.864,358.0703,-6.5655,351.5049,-0.6409,1.0611,1993-09-15,1993.7068493150684
1993,10,357.288,358.164,-2.0339,356.1301,1.1579,1.2057,1993-10-15,1993.7890410958903
1993,11,359.104,358.2713,0.8617,359.133,-0.029,1.3901,1993-11-15,1993.8739726027397
1993,12,358.112,358.3957,1.8456,360.2413,-2.1293,1.6176,1993-12-15,1993.9561643835616
1994,1,360.218,358.5409,2.9506,361.4915,-1.2735,1.8873,1994-01-15,1994.041095890411
1994,2,362.31,358.7102,3.9771,362.6873,-0.3773,2.1839,1994-02-15,1994.1260273972603
1994,3,362.646,358.9049,3.9189,362.8238,-0.1778,2.4622,1994-03-15,1994.2027397260274
1994,4,362.365,359.1206,3.664,362.7846,-0.4196,2.6722,1994-04-15,1994.2876712328766
1994,5,362.695,359.3503,3.415,362.7653,-0.0703,2.8039,1994-05-15,1994.3698630136987
1994,6,361.151,359.5879,0.801,360.3889,0.7621,2.8546,1994-06-15,1994.454794520548
1994,7,356.629,359.826,-4.5807,355.2453,1.3837,2.8077,1994-07-15,1994.5369863013698
1994,8,352.562,360.0559,-8.2538,351.8021,0.7599,2.6691,1994-08-15,1994.6219178082192
1994,9,352.691,360.2709,-6.5655,353.7054,-1.0144,2.4534,1994-09-15,1994.7068493150684
1994,10,357.516,360.4648,-2.0339,358.4309,-0.9149,2.1667,1994-10-15,1994.7890410958903
1994,11,361.567,360.632,0.8617,361.4937,0.0733,1.851,1994-11-15,1994.8739726027397
1994,12,362.754,360.7733,1.8456,362.6189,0.1351,1.5522,1994-12-15,1994.9561643835616
1995,1,365.094,360.8907,2.9506,363.8413,1.2527,1.2664,1995-01-15,1995.041095890411
1995,2,366.905,360.9843,3.9771,364.9614,1.9436,1.0137,1995-02-15,1995.1260273972603
1995,3,366.565,361.0596,3.9189,364.9785,1.5865,0.8416,1995-03-15,1995.2027397260274
1995,4,364.712,361.1246,3.664,364.7886,-0.0766,0.7614,1995-04-15,1995.2876712328766
1995,5,362.209,361.1865,3.415,364.6016,-2.3925,0.7776,1995-05-15,1995.3698630136987
1995,6,360.769,361.2542,0.801,362.0552,-1.2862,0.8998,1995-06-15,1995.454794520548
1995,7,357.184,361.3365,-4.5807,356.7558,0.4282,1.1032,1995-07-15,1995.5369863013698
1995,8,352.818,361.4381,-8.2538,353.1843,-0.3663,1.3411,1995-08-15,1995.6219178082192
1995,9,354.518,361.56,-6.5655,354.9945,-0.4765,1.5797,1995-09-15,1995.7068493150684
1995,10,359.814,361.7014,-2.0339,359.6675,0.1465,1.7889,1995-10-15,1995.7890410958903
1995,11,362.397,361.8582,0.8617,362.7198,-0.3228,1.9594,1995-11-15,1995.8739726027397
1995,12,363.728,362.0279,1.8456,363.8735,-0.1455,2.1017,1995-12-15,1995.9561643835616
1996,1,365.748,362.2084,2.9506,365.1591,0.5889,2.194,1996-01-15,1996.0409836065573
1996,2,365.705,362.3936,3.9771,366.3706,-0.6657,2.209,1996-02-15,1996.1256830601094
1996,3,365.384,362.5766,3.9189,366.4955,-1.1115,2.1577,1996-03-15,1996.204918032787
1996,4,366.544,362.7532,3.664,366.4172,0.1268,2.0537,1996-04-15,1996.2896174863388
1996,5,367.023,362.9189,3.415,366.3339,0.6891,1.903,1996-05-15,1996.3715846994535
1996,6,365.429,363.0704,0.801,363.8714,1.5576,1.7243,1996-06-15,1996.4562841530055
1996,7,361.044,363.2063,-4.5807,358.6255,2.4185,1.5449,1996-07-15,1996.5382513661202
1996,8,355.842,363.3279,-8.2538,355.0741,0.7679,1.3954,1996-08-15,1996.622950819672
1996,9,355.094,363.4388,-6.5655,356.8734,-1.7794,1.274,1996-09-15,1996.707650273224
1996,10,359.836,363.5402,-2.0339,361.5063,-1.6703,1.1587,1996-10-15,1996.7896174863388
1996,11,363.835,363.632,0.8617,364.4936,-0.6586,1.0602,1996-11-15,1996.8743169398906
1996,12,365.158,363.7169,1.8456,365.5625,-0.4045,0.9932,1996-12-15,1996.9562841530055
1997,1,367.443,363.7975,2.9506,366.7481,0.6949,0.9476,1997-01-15,1997.041095890411
1997,2,368.479,363.8748,3.9771,367.8519,0.6271,0.9229,1997-02-15,1997.1260273972603
1997,3,367.609,363.9513,3.9189,367.8702,-0.2612,0.9291,1997-03-15,1997.2027397260274
1997,4,368.257,364.0297,3.664,367.6937,0.5633,0.963,1997-04-15,1997.2876712328766
1997,5,368.734,364.1118,3.415,367.5268,1.2072,1.0382,1997-05-15,1997.3698630136987
1997,6,365.35,364.2027,0.801,365.0037,0.3463,1.1651,1997-06-15,1997.454794520548
1997,7,359.107,364.306,-4.5807,359.7253,-0.6182,1.3184,1997-07-15,1997.5369863013698
1997,8,355.223,364.4224,-8.2538,356.1687,-0.9457,1.485,1997-08-15,1997.6219178082192
1997,9,357.112,364.5535,-6.5655,357.988,-0.876,1.6708,1997-09-15,1997.7068493150684
1997,10,362.182,364.7009,-2.0339,362.667,-0.485,1.8734,1997-10-15,1997.7890410958903
1997,11,365.63,364.8657,0.8617,365.7274,-0.0974,2.1004,1997-11-15,1997.8739726027397
1997,12,366.651,365.051,1.8456,366.8965,-0.2456,2.3718,1997-12-15,1997.9561643835616
1998,1,368.116,365.261,2.9506,368.2116,-0.0956,2.6658,1998-01-15,1998.041095890411
1998,2,369.333,365.4953,3.9771,369.4723,-0.1393,2.9423,1998-02-15,1998.1260273972603
1998,3,369.014,365.7514,3.9189,369.6703,-0.6562,3.1884,1998-03-15,1998.2027397260274
1998,4,369.669,366.0267,3.664,369.6907,-0.0217,3.3915,1998-04-15,1998.2876712328766
1998,5,370.03,366.3166,3.415,369.7317,0.2983,3.5424,1998-05-15,1998.3698630136987
1998,6,367.523,366.6171,0.801,367.4181,0.1049,3.6396,1998-06-15,1998.454794520548
1998,7,362.801,366.9232,-4.5807,362.3425,0.4585,3.657,1998-07-15,1998.5369863013698
1998,8,358.663,367.2266,-8.2538,358.9728,-0.3098,3.5773,1998-08-15,1998.6219178082192
1998,9,360.183,367.5194,-6.5655,360.954,-0.771,3.4224,1998-09-15,1998.7068493150684
1998,10,366.018,367.797,-2.0339,365.7631,0.2549,3.2113,1998-10-15,1998.7890410958903
1998,11,369.528,368.0547,0.8617,368.9163,0.6117,2.9462,1998-11-15,1998.8739726027397
1998,12,370.187,368.288,1.8456,370.1336,0.0534,2.6343,1998-12-15,1998.9561643835616
1999,1,371.813,368.4937,2.9506,371.4443,0.3687,2.2925,1999-01-15,1999.041095890411
1999,2,373.205,368.6701,3.9771,372.6471,0.5579,1.9444,1999-02-15,1999.1260273972603
1999,3,372.945,368.8178,3.9189,372.7367,0.2083,1.6137,1999-03-15,1999.2027397260274
1999,4,373.43,368.939,3.664,372.603,0.827,1.3127,1999-04-15,1999.2876712328766
1999,5,373.828,369.0366,3.415,372.4516,1.3764,1.0768,1999-05-15,1999.3698630136987
1999,6,370.569,369.1185,0.801,369.9195,0.6495,0.9639,1999-06-15,1999.454794520548
