yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1979,3,339.35,337.3156,1.8217,339.1373,0.2127,1.7611,1979-03-15,1979.2027397260274
1979,4,339.81,337.4645,2.4937,339.9582,-0.1482,1.7996,1979-04-15,1979.2876712328766
1979,5,340.06,337.6155,2.8133,340.4288,-0.3688,1.8303,1979-05-15,1979.3698630136987
1979,6,339.73,337.7695,2.2217,339.9912,-0.2612,1.8768,1979-06-15,1979.454794520548
1979,7,338.48,337.9283,0.4948,338.4231,0.0569,1.9504,1979-07-15,1979.5369863013698
1979,8,336.97,338.0946,-1.7041,336.3905,0.5795,2.0457,1979-08-15,1979.6219178082192
1979,9,335.41,338.2693,-3.1787,335.0905,0.3195,2.1524,1979-09-15,1979.7068493150684
1979,10,334.58,338.4533,-3.2379,335.2155,-0.6355,2.2626,1979-10-15,1979.7890410958903
1979,11,335.85,338.6464,-2.2004,336.446,-0.596,2.3547,1979-11-15,1979.8739726027397
1979,12,338.0,338.8458,-0.8647,337.9811,0.0189,2.4188,1979-12-15,1979.9561643835616
1980,1,339.47,339.0495,0.2494,339.2989,0.1711,2.4595,1980-01-15,1980.0409836065573
1980,2,340.37,339.2557,1.0913,340.347,0.023,2.4721,1980-02-15,1980.1256830601094
1980,3,340.87,339.4615,1.8217,341.2833,-0.4133,2.4472,1980-03-15,1980.204918032787
1980,4,341.68,339.6636,2.4937,342.1573,-0.4773,2.3791,1980-04-15,1980.2896174863388
1980,5,342.72,339.8581,2.8133,342.6713,0.0487,2.2711,1980-05-15,1980.3715846994535
1980,6,342.6,340.0421,2.2217,342.2638,0.3362,2.1312,1980-06-15,1980.4562841530055
1980,7,341.28,340.2133,0.4948,340.708,0.5719,1.9664,1980-07-15,1980.5382513661202
1980,8,339.86,340.3698,-1.7041,338.6657,1.1943,1.79,1980-08-15,1980.622950819672
1980,9,338.18,340.5116,-3.1787,337.3329,0.8471,1.6188,1980-09-15,1980.707650273224
1980,10,337.27,340.6396,-3.2379,337.4017,-0.1317,1.4583,1980-10-15,1980.7896174863388
1980,11,338.43,340.7546,-2.2004,338.5542,-0.1242,1.3061,1980-11-15,1980.8743169398906
1980,12,339.33,340.8573,-0.8647,339.9926,-0.6626,1.1724,1980-12-15,1980.9562841530055
1981,1,340.41,340.95,0.2494,341.1994,-0.7894,1.0759,1981-01-15,1981.041095890411
1981,2,342.54,341.0366,1.0913,342.1279,0.4121,1.0095,1981-02-15,1981.1260273972603
1981,3,343.6,341.1183,1.8217,342.94,0.66,0.9527,1981-03-15,1981.2027397260274
1981,4,343.7,341.1954,2.4937,343.6891,0.0109,0.8958,1981-04-15,1981.2876712328766
1981,5,343.75,341.2676,2.8133,344.0808,-0.3308,0.8357,1981-05-15,1981.3698630136987
1981,6,343.42,341.3347,2.2217,343.5564,-0.1364,0.7665,1981-06-15,1981.454794520548
1981,7,342.06,341.3953,0.4948,341.8901,0.1699,0.6683,1981-07-15,1981.5369863013698
1981,8,339.91,341.4461,-1.7041,339.7419,0.1681,0.5297,1981-08-15,1981.6219178082192
1981,9,338.26,341.4836,-3.1787,338.3049,-0.0449,0.3569,1981-09-15,1981.7068493150684
1981,10,338.76,341.5056,-3.2379,338.2677,0.4923,0.1604,1981-10-15,1981.7890410958903
1981,11,340.08,341.5103,-2.2004,339.3099,0.7701,-0.0511,1981-11-15,1981.8739726027397
1981,12,340.53,341.497,-0.8647,340.6323,-0.1023,-0.2587,1981-12-15,1981.9561643835616
1982,1,341.74,341.4672,0.2494,341.7166,0.0234,-0.4327,1982-01-15,1982.041095890411
1982,2,343.12,341.4249,1.0913,342.5162,0.6038,-0.5552,1982-02-15,1982.1260273972603
1982,3,343.4,341.3747,1.8217,343.1964,0.2036,-0.6092,1982-03-15,1982.2027397260274
1982,4,343.6,341.3234,2.4937,343.8171,-0.2171,-0.577,1982-04-15,1982.2876712328766
1982,5,344.14,341.2785,2.8133,344.0918,0.0482,-0.4607,1982-05-15,1982.3698630136987
1982,6,343.34,341.2466,2.2217,343.4683,-0.1283,-0.2554,1982-06-15,1982.454794520548
1982,7,341.62,341.236,0.4948,341.7307,-0.1108,0.0375,1982-07-15,1982.5369863013698
1982,8,338.71,341.2529,-1.7041,339.5487,-0.8388,0.4025,1982-08-15,1982.6219178082192
1982,9,336.82,341.303,-3.1787,338.1243,-1.3043,0.8159,1982-09-15,1982.7068493150684
1982,10,337.91,341.3889,-3.2379,338.151,-0.241,1.2422,1982-10-15,1982.7890410958903
1982,11,339.11,341.5101,-2.2004,339.3097,-0.1997,1.647,1982-11-15,1982.8739726027397
1982,12,340.42,341.6634,-0.8647,340.7986,-0.3786,2.0023,1982-12-15,1982.9561643835616
1983,1,341.51,341.8438,0.2494,342.0931,-0.5831,2.2786,1983-01-15,1983.041095890411
1983,2,342.58,342.0431,1.0913,343.1344,-0.5544,2.4496,1983-02-15,1983.1260273972603
1983,3,343.77,342.252,1.8217,344.0738,-0.3038,2.5206,1983-03-15,1983.2027397260274
1983,4,344.97,342.4632,2.4937,344.9569,0.0131,2.4994,1983-04-15,1983.2876712328766
1983,5,346.08,342.6686,2.8133,345.4819,0.5981,2.3914,1983-05-15,1983.3698630136987
