yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1993,10,358.54,361.2692,-3.4217,357.8475,0.6925,-1.8272,1993-10-15,1993.7890410958903
1993,11,358.61,361.1316,-1.1429,359.9887,-1.3787,-1.5132,1993-11-15,1993.8739726027397
1993,12,361.11,361.017,0.654,361.671,-0.561,-1.2286,1993-12-15,1993.9561643835616
1994,1,361.94,360.9268,1.6389,362.5658,-0.6258,-0.9305,1994-01-15,1994.041095890411
1994,2,362.93,360.8619,2.4745,363.3363,-0.4063,-0.6352,1994-02-15,1994.1260273972603
1994,3,363.67,360.821,3.1646,363.9856,-0.3156,-0.3512,1994-03-15,1994.2027397260274
1994,4,363.61,360.8033,3.0961,363.8995,-0.2895,-0.084,1994-04-15,1994.2876712328766
1994,5,363.58,360.807,2.1787,362.9857,0.5943,0.1597,1994-05-15,1994.3698630136987
1994,6,360.72,360.83,0.7072,361.5372,-0.8172,0.3842,1994-06-15,1994.454794520548
1994,7,359.81,360.871,-1.3134,359.5576,0.2524,0.5834,1994-07-15,1994.5369863013698
1994,8,358.0,360.9272,-3.5102,357.417,0.583,0.7579,1994-08-15,1994.6219178082192
1994,9,355.53,360.9973,-4.5259,356.4715,-0.9415,0.9296,1994-09-15,1994.7068493150684
1994,10,358.54,361.0821,-3.4217,357.6605,0.8795,1.1041,1994-10-15,1994.7890410958903
1994,11,359.36,361.1813,-1.1429,360.0384,-0.6784,1.2779,1994-11-15,1994.8739726027397
1994,12,361.93,361.2951,0.654,361.9491,-0.0191,1.4592,1994-12-15,1994.9561643835616
1995,1,362.65,361.4245,1.6389,363.0635,-0.4135,1.6397,1995-01-15,1995.041095890411
1995,2,363.83,361.5684,2.4745,364.0428,-0.2129,1.8226,1995-02-15,1995.1260273972603
1995,3,364.43,361.7283,3.1646,364.8929,-0.4629,2.0142,1995-03-15,1995.2027397260274
1995,4,364.61,361.9041,3.0961,365.0002,-0.3902,2.1989,1995-04-15,1995.2876712328766
1995,5,364.25,362.0948,2.1787,364.2735,-0.0235,2.363,1995-05-15,1995.3698630136987
1995,6,362.79,362.2979,0.7072,363.0052,-0.2151,2.4926,1995-06-15,1995.454794520548
1995,7,361.3,362.5102,-1.3134,361.1968,0.1032,2.5757,1995-07-15,1995.5369863013698
1995,8,359.45,362.7272,-3.5102,359.217,0.233,2.5975,1995-08-15,1995.6219178082192
1995,9,357.68,362.9431,-4.5259,358.4173,-0.7373,2.5589,1995-09-15,1995.7068493150684
1995,10,360.36,363.1537,-3.4217,359.732,0.628,2.4573,1995-10-15,1995.7890410958903
