yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2011,1,405.3,393.5573,10.6829,404.2401,1.0599,-6.9088,2011-01-15,2011.041095890411
2011,2,400.8,393.0022,9.0567,402.0589,-1.2589,-6.3367,2011-02-15,2011.1260273972603
2011,3,401.2,392.5011,7.1448,399.646,1.554,-5.6144,2011-03-15,2011.2027397260274
2011,4,396.2,392.0665,3.6825,395.749,0.4511,-4.6758,2011-04-15,2011.2876712328766
2011,5,390.1,391.7218,-2.6351,389.0868,1.0132,-3.5015,2011-05-15,2011.3698630136987
2011,6,377.8,391.4829,-8.6486,382.8343,-5.0343,-2.1381,2011-06-15,2011.454794520548
2011,7,376.3,391.3655,-10.787,380.5785,-4.2785,-0.676,2011-07-15,2011.5369863013698
2011,8,379.3,391.3702,-9.9056,381.4647,-2.1647,0.8267,2011-08-15,2011.6219178082192
2011,9,381.4,391.5033,-7.8896,383.6136,-2.2136,2.2866,2011-09-15,2011.7068493150684
2011,10,389.8,391.7513,-3.5784,388.1729,1.6271,3.5693,2011-10-15,2011.7890410958903
2011,11,390.3,392.0981,3.4839,395.5821,-5.2821,4.6954,2011-11-15,2011.8739726027397
2011,12,398.2,392.5339,9.3934,401.9272,-3.7272,5.6153,2011-12-15,2011.9561643835616
2012,1,408.0,393.034,10.6829,403.7169,4.2831,6.213,2012-01-15,2012.0409836065573
2012,2,404.6,393.5694,9.0567,402.626,1.974,6.5129,2012-02-15,2012.1256830601094
2012,3,404.2,394.1195,7.1448,401.2643,2.9357,6.5436,2012-03-15,2012.204918032787
2012,4,398.4,394.66,3.6825,398.3425,0.0575,6.4074,2012-04-15,2012.2896174863388
2012,5,388.9,395.1874,-2.6351,392.5524,-3.6524,6.1996,2012-05-15,2012.3715846994535
2012,6,391.4,395.6932,-8.6486,387.0446,4.3553,6.0516,2012-06-15,2012.4562841530055
2012,7,385.4,396.196,-10.787,385.4091,-0.0091,5.9656,2012-07-15,2012.5382513661202
2012,8,388.0,396.6875,-9.9056,386.782,1.2181,5.8918,2012-08-15,2012.622950819672
2012,9,385.9,397.178,-7.8896,389.2884,-3.3884,5.9275,2012-09-15,2012.707650273224
2012,10,396.9,397.6754,-3.5784,394.097,2.803,6.0302,2012-10-15,2012.7896174863388
2012,11,396.7,398.183,3.4839,401.6669,-4.9669,6.115,2012-11-15,2012.8743169398906
2012,12,408.2552,398.6946,9.3934,408.088,0.1672,6.0379,2012-12-15,2012.9562841530055
2013,1,414.1,399.1893,10.6829,409.8722,4.2278,5.7982,2013-01-15,2013.041095890411
2013,2,403.5,399.6609,9.0567,408.7176,-5.2176,5.3912,2013-02-15,2013.1260273972603
2013,3,403.6,400.0879,7.1448,407.2327,-3.6327,4.7172,2013-03-15,2013.2027397260274
2013,4,406.4,400.4471,3.6825,404.1296,2.2704,3.7255,2013-04-15,2013.2876712328766
2013,5,398.6,400.7088,-2.6351,398.0737,0.5263,2.4593,2013-05-15,2013.3698630136987
2013,6,402.1,400.857,-8.6486,392.2084,9.8916,1.0452,2013-06-15,2013.454794520548
2013,7,391.5,400.883,-10.787,390.096,1.404,-0.4122,2013-07-15,2013.5369863013698
2013,8,402.4,400.7883,-9.9056,390.8828,11.5172,-1.7618,2013-08-15,2013.6219178082192
