yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1993,3,369.31,363.9021,6.4847,370.3867,-1.0768,-3.7002,1993-03-15,1993.2027397260274
1993,4,363.06,363.5791,0.0871,363.6662,-0.6062,-4.0012,1993-04-15,1993.2876712328766
1993,5,354.68,363.2352,-6.3079,356.9274,-2.2474,-4.216,1993-05-15,1993.3698630136987
1993,6,350.93,362.8764,-10.6867,352.1898,-1.2598,-4.3154,1993-06-15,1993.454794520548
1993,7,354.08,362.516,-13.3232,349.1928,4.8872,-4.2687,1993-07-15,1993.5369863013698
1993,8,353.93,362.165,-13.6251,348.5399,5.3901,-4.0549,1993-08-15,1993.6219178082192
1993,9,354.35,361.8402,-8.9692,352.8709,1.4791,-3.5885,1993-09-15,1993.7068493150684
1993,10,362.27,361.5669,0.4206,361.9875,0.2825,-2.8588,1993-10-15,1993.7890410958903
1993,11,369.46,361.3637,9.3002,370.6638,-1.2039,-1.9653,1993-11-15,1993.8739726027397
1993,12,367.53,361.2393,13.1712,374.4106,-6.8806,-1.0164,1993-12-15,1993.9561643835616
1994,1,368.73,361.1943,12.8155,374.0098,-5.2797,-0.1007,1994-01-15,1994.041095890411
1994,2,369.21,361.2226,10.6328,371.8554,-2.6454,0.7429,1994-02-15,1994.1260273972603
1994,3,365.03,361.3181,6.4847,367.8028,-2.7728,1.4916,1994-03-15,1994.2027397260274
1994,4,361.87,361.4712,0.0871,361.5583,0.3117,2.0793,1994-04-15,1994.2876712328766
1994,5,356.31,361.6647,-6.3079,355.3568,0.9532,2.4796,1994-05-15,1994.3698630136987
1994,6,352.19,361.8844,-10.6867,351.1978,0.9922,2.729,1994-06-15,1994.454794520548
1994,7,352.32,362.1195,-13.3232,348.7963,3.5237,2.8288,1994-07-15,1994.5369863013698
1994,8,351.91,362.3559,-13.6251,348.7308,3.1792,2.8361,1994-08-15,1994.6219178082192
1994,9,353.24,362.5922,-8.9692,353.623,-0.383,2.8824,1994-09-15,1994.7068493150684
1994,10,365.96,362.8363,0.4206,363.2569,2.7031,3.0262,1994-10-15,1994.7890410958903
1994,11,377.02,363.0966,9.3002,372.3967,4.6233,3.3212,1994-11-15,1994.8739726027397
1994,12,373.74,363.3898,13.1712,376.5611,-2.8211,3.8439,1994-12-15,1994.9561643835616
1995,1,369.94,363.7372,12.8155,376.5527,-6.6127,4.6111,1995-01-15,1995.041095890411
1995,2,368.85,364.1584,10.6328,374.7912,-5.9412,5.5865,1995-02-15,1995.1260273972603
1995,3,368.24,364.6683,6.4847,371.153,-2.913,6.7086,1995-03-15,1995.2027397260274
1995,4,366.42,365.2765,0.0871,365.3636,1.0564,7.8563,1995-04-15,1995.2876712328766
1995,5,359.58,365.9777,-6.3079,359.6698,-0.0899,8.8246,1995-05-15,1995.3698630136987
1995,6,353.83,366.7472,-10.6867,356.0605,-2.2306,9.401,1995-06-15,1995.454794520548
1995,7,354.5,367.5445,-13.3232,354.2213,0.2786,9.459,1995-07-15,1995.5369863013698
1995,8,354.58,368.3237,-13.6251,354.6986,-0.1186,9.0,1995-08-15,1995.6219178082192
1995,9,358.5,369.0445,-8.9692,360.0753,-1.5753,8.0081,1995-09-15,1995.7068493150684
1995,10,374.29,369.6584,0.4206,370.079,4.211,6.475,1995-10-15,1995.7890410958903
1995,11,386.09,370.1237,9.3002,379.4238,6.6662,4.6434,1995-11-15,1995.8739726027397
1995,12,388.03,370.4323,13.1712,383.6035,4.4264,2.7999,1995-12-15,1995.9561643835616
1996,1,385.83,370.5903,12.8155,383.4058,2.4242,1.0025,1996-01-15,1996.0409836065573
1996,2,382.0,370.5994,10.6328,381.2322,0.7678,-0.6672,1996-02-15,1996.1256830601094
1996,3,378.97,370.4791,6.4847,376.9638,2.0062,-1.9768,1996-03-15,1996.204918032787
1996,4,372.24,370.2699,0.0871,370.3571,1.8829,-2.7878,1996-04-15,1996.2896174863388
1996,5,364.41,370.0145,-6.3079,363.7066,0.7034,-3.1163,1996-05-15,1996.3715846994535
1996,6,359.4,369.7505,-10.6867,359.0639,0.3361,-3.0615,1996-06-15,1996.4562841530055
1996,7,351.27,369.5042,-13.3232,356.1811,-4.9111,-2.761,1996-07-15,1996.5382513661202
1996,8,348.45,369.2904,-13.6251,355.6653,-7.2152,-2.3198,1996-08-15,1996.622950819672
1996,9,358.68,369.1176,-8.9692,360.1484,-1.4684,-1.8069,1996-09-15,1996.707650273224
1996,10,369.48,368.9892,0.4206,369.4098,0.0702,-1.3063,1996-10-15,1996.7896174863388
1996,11,372.54,368.8999,9.3002,378.2,-5.66,-0.9181,1996-11-15,1996.8743169398906
1996,12,383.28,368.8362,13.1712,382.0074,1.2725,-0.7112,1996-12-15,1996.9562841530055
1997,1,393.04,368.7814,12.8155,381.5968,11.4432,-0.7421,1997-01-15,1997.041095890411
1997,2,382.05,368.7125,10.6328,379.3454,2.7046,-1.0287,1997-02-15,1997.1260273972603
1997,3,370.89,368.6099,6.4847,375.0946,-4.2046,-1.4636,1997-03-15,1997.2027397260274
1997,4,370.22,368.4686,0.0871,368.5557,1.6643,-1.894,1997-04-15,1997.2876712328766
1997,5,364.41,368.2943,-6.3079,361.9864,2.4236,-2.2471,1997-05-15,1997.3698630136987
1997,6,358.5,368.0941,-10.6867,357.4074,1.0926,-2.4653,1997-06-15,1997.454794520548
1997,7,354.49,367.8834,-13.3232,354.5602,-0.0702,-2.4346,1997-07-15,1997.5369863013698
1997,8,351.19,367.6883,-13.6251,354.0632,-2.8732,-2.103,1997-08-15,1997.6219178082192
1997,9,355.16,367.5329,-8.9692,358.5636,-3.4036,-1.5363,1997-09-15,1997.7068493150684
