yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2004,12,380.09,378.3987,1.5768,379.9756,0.1144,4.1902,2004-12-15,2004.9562841530055
2005,1,381.18,378.7415,2.7193,381.4608,-0.2808,4.0172,2005-01-15,2005.041095890411
2005,2,384.99,379.0683,4.0181,383.0864,1.9036,3.8123,2005-02-15,2005.1260273972603
2005,3,383.25,379.3769,4.6411,384.018,-0.768,3.5859,2005-03-15,2005.2027397260274
2005,4,384.17,379.6659,4.025,383.6909,0.4791,3.3474,2005-04-15,2005.2876712328766
2005,5,381.99,379.9348,2.2034,382.1381,-0.1481,3.1126,2005-05-15,2005.3698630136987
2005,6,380.33,380.1847,-0.829,379.3557,0.9743,2.8887,2005-06-15,2005.454794520548
2005,7,375.37,380.4162,-4.4016,376.0146,-0.6446,2.6909,2005-07-15,2005.5369863013698
2005,8,373.77,380.6332,-6.4483,374.1849,-0.4149,2.5388,2005-08-15,2005.6219178082192
2005,9,376.52,380.8393,-5.3889,375.4504,1.0696,2.4219,2005-09-15,2005.7068493150684
2005,10,378.15,381.0368,-2.3427,378.6941,-0.5441,2.3324,2005-10-15,2005.7890410958903
2005,11,383.2,381.2281,0.2268,381.4548,1.7452,2.2645,2005-11-15,2005.8739726027397
2005,12,382.87,381.4142,1.5768,382.9911,-0.1211,2.2015,2005-12-15,2005.9561643835616
2006,1,383.44,381.595,2.7193,384.3143,-0.8743,2.146,2006-01-15,2006.041095890411
2006,2,385.01,381.7719,4.0181,385.79,-0.78,2.0912,2006-02-15,2006.1260273972603
2006,3,386.33,381.9435,4.6411,386.5846,-0.2546,2.0273,2006-03-15,2006.2027397260274
2006,4,385.96,382.1098,4.025,386.1348,-0.1748,1.9536,2006-04-15,2006.2876712328766
2006,5,384.6045,382.2691,2.2034,384.4725,0.132,1.855,2006-05-15,2006.3698630136987
2006,6,381.9954,382.419,-0.829,381.59,0.4054,1.7558,2006-06-15,2006.454794520548
2006,7,378.88,382.5617,-4.4016,378.1601,0.7199,1.6553,2006-07-15,2006.5369863013698
2006,8,376.39,382.6949,-6.4483,376.2466,0.1434,1.5487,2006-08-15,2006.6219178082192
2006,9,379.0,382.8199,-5.3889,377.4309,1.5691,1.4703,2006-09-15,2006.7068493150684
2006,10,380.71,382.9399,-2.3427,380.5972,0.1128,1.4434,2006-10-15,2006.7890410958903
2006,11,382.57,383.0604,0.2268,383.2872,-0.7172,1.4795,2006-11-15,2006.8739726027397
2006,12,384.19,383.1865,1.5768,384.7633,-0.5733,1.5533,2006-12-15,2006.9561643835616
2007,1,385.32,383.3193,2.7193,386.0386,-0.7186,1.6589,2007-01-15,2007.041095890411
2007,2,386.9,383.463,4.0181,387.4811,-0.5811,1.8054,2007-02-15,2007.1260273972603
2007,3,388.99,383.6202,4.6411,388.2613,0.7287,1.9927,2007-03-15,2007.2027397260274
