yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1972,12,330.33,330.2106,0.2716,330.4822,-0.1522,1.0897,1972-12-15,1972.9562841530055
1973,1,330.79,330.3051,1.1645,331.4697,-0.6797,1.1627,1973-01-15,1973.041095890411
1973,2,331.53,330.4044,2.0512,332.4555,-0.9256,1.1975,1973-02-15,1973.1260273972603
1973,3,332.6,330.5047,2.8059,333.3106,-0.7106,1.1893,1973-03-15,1973.2027397260274
1973,4,334.01,330.6026,2.9647,333.5673,0.4427,1.1365,1973-04-15,1973.2876712328766
1973,5,334.31,330.6942,2.5277,333.2219,1.0881,1.043,1973-05-15,1973.3698630136987
1973,6,332.69,330.7764,1.4117,332.1881,0.5019,0.9185,1973-06-15,1973.454794520548
1973,7,330.66,330.8472,-0.7429,330.1043,0.5557,0.7747,1973-07-15,1973.5369863013698
1973,8,328.11,330.9055,-3.3129,327.5926,0.5174,0.6246,1973-08-15,1973.6219178082192
1973,9,326.92,330.9513,-4.4892,326.4621,0.4579,0.4819,1973-09-15,1973.7068493150684
1973,10,327.85,330.9858,-3.3864,327.5995,0.2505,0.3583,1973-10-15,1973.7890410958903
1973,11,329.16,331.011,-1.266,329.7451,-0.5851,0.2635,1973-11-15,1973.8739726027397
1973,12,330.48,331.0298,0.2716,331.3014,-0.8214,0.204,1973-12-15,1973.9561643835616
1974,1,332.13,331.045,1.1645,332.2096,-0.0796,0.1826,1974-01-15,1974.041095890411
1974,2,333.2,331.0602,2.0512,333.1114,0.0886,0.1976,1974-02-15,1974.1260273972603
1974,3,333.8,331.078,2.8059,333.8839,-0.0839,0.2437,1974-03-15,1974.2027397260274
1974,4,334.0037,331.1008,2.9647,334.0655,-0.0618,0.3153,1974-04-15,1974.2876712328766
1974,5,333.6159,331.1305,2.5277,333.6582,-0.0423,0.4039,1974-05-15,1974.3698630136987
1974,6,332.565,331.1681,1.4117,332.5798,-0.0148,0.4951,1974-06-15,1974.454794520548
1974,7,330.5,331.213,-0.7429,330.4702,0.0299,0.5696,1974-07-15,1974.5369863013698
1974,8,328.0118,331.2631,-3.3129,327.9501,0.0617,0.6178,1974-08-15,1974.6219178082192
1974,9,326.8637,331.316,-4.4892,326.8268,0.0369,0.6467,1974-09-15,1974.7068493150684
1974,10,327.9563,331.3708,-3.3864,327.9845,-0.0282,0.6612,1974-10-15,1974.7890410958903
1974,11,330.096,331.4262,-1.266,330.1602,-0.0642,0.6617,1974-11-15,1974.8739726027397
1974,12,331.7115,331.4811,0.2716,331.7528,-0.0413,0.6559,1974-12-15,1974.9561643835616
1975,1,332.6982,331.5355,1.1645,332.7,-0.0018,0.6478,1975-01-15,1975.041095890411
1975,2,333.6521,331.5891,2.0512,333.6403,0.0118,0.6432,1975-02-15,1975.1260273972603
