yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1994,12,373.34,366.1476,5.1825,371.3301,2.0099,-7.2951,1994-12-15,1994.9561643835616
1995,1,370.85,365.5787,5.4492,371.0279,-0.1779,-6.4605,1995-01-15,1995.041095890411
1995,2,369.04,365.0709,6.1374,371.2083,-2.1683,-5.6944,1995-02-15,1995.1260273972603
1995,3,369.02,364.6296,6.6028,371.2325,-2.2125,-4.8636,1995-03-15,1995.2027397260274
1995,4,366.89,364.2603,6.0715,370.3318,-3.4418,-3.9875,1995-04-15,1995.2876712328766
1995,5,363.45,363.965,2.7466,366.7116,-3.2616,-3.0974,1995-05-15,1995.3698630136987
1995,6,356.77,363.744,-4.4861,359.258,-2.488,-2.2145,1995-06-15,1995.454794520548
1995,7,352.95,363.5959,-12.004,351.592,1.358,-1.3846,1995-07-15,1995.5369863013698
1995,8,354.44,363.5132,-13.3886,350.1246,4.3154,-0.6758,1995-08-15,1995.6219178082192
1995,9,357.99,363.4833,-7.2993,356.184,1.806,-0.1377,1995-09-15,1995.7068493150684
1995,10,363.8,363.4903,0.4832,363.9735,-0.1735,0.2142,1995-10-15,1995.7890410958903
1995,11,366.01,363.519,4.5047,368.0237,-2.0137,0.401,1995-11-15,1995.8739726027397
1995,12,366.5,363.5571,5.1825,368.7397,-2.2396,0.4501,1995-12-15,1995.9561643835616
1996,1,368.82,363.594,5.4492,369.0432,-0.2232,0.3893,1996-01-15,1996.0409836065573
1996,2,369.48,363.622,6.1374,369.7594,-0.2794,0.2457,1996-02-15,1996.1256830601094
1996,3,369.07,363.635,6.6028,370.2378,-1.1678,0.041,1996-03-15,1996.204918032787
1996,4,370.63,363.6288,6.0715,369.7004,0.9296,-0.1263,1996-04-15,1996.2896174863388
1996,5,368.85,363.6139,2.7466,366.3605,2.4895,-0.1489,1996-05-15,1996.3715846994535
1996,6,360.92,363.604,-4.4861,359.118,1.802,-0.0271,1996-06-15,1996.4562841530055
1996,7,353.5,363.6094,-12.004,351.6054,1.8945,0.2366,1996-07-15,1996.5382513661202
1996,8,351.07,363.6435,-13.3886,350.2549,0.8152,0.6398,1996-08-15,1996.622950819672
1996,9,353.97,363.716,-7.2993,356.4167,-2.4467,1.1364,1996-09-15,1996.707650273224
1996,10,360.84,363.8329,0.4832,364.3161,-3.4761,1.66,1996-10-15,1996.7896174863388
1996,11,365.32,363.9927,4.5047,368.4974,-3.1774,2.1359,1996-11-15,1996.8743169398906
1996,12,368.54,364.1888,5.1825,369.3714,-0.8314,2.5532,1996-12-15,1996.9562841530055
1997,1,370.21,364.4182,5.4492,369.8674,0.3425,2.9214,1997-01-15,1997.041095890411
1997,2,370.63,364.6758,6.1374,370.8132,-0.1832,3.1972,1997-02-15,1997.1260273972603
1997,3,371.08,364.9511,6.6028,371.554,-0.474,3.3107,1997-03-15,1997.2027397260274
1997,4,370.18,365.2275,6.0715,371.2991,-1.1191,3.2413,1997-04-15,1997.2876712328766
1997,5,369.15,365.4913,2.7466,368.2379,0.9121,3.0478,1997-05-15,1997.3698630136987
1997,6,365.7,365.7355,-4.4861,361.2495,4.4506,2.7794,1997-06-15,1997.454794520548
1997,7,356.1,365.9546,-12.004,353.9506,2.1494,2.4725,1997-07-15,1997.5369863013698
1997,8,352.29,366.1476,-13.3886,352.759,-0.469,2.174,1997-08-15,1997.6219178082192
1997,9,360.13,366.3169,-7.2993,359.0176,1.1124,1.9156,1997-09-15,1997.7068493150684
1997,10,366.93,366.4669,0.4832,366.9501,-0.0201,1.7271,1997-10-15,1997.7890410958903
1997,11,370.61,366.6047,4.5047,371.1094,-0.4994,1.6487,1997-11-15,1997.8739726027397
1997,12,371.03,366.7416,5.1825,371.9242,-0.8942,1.7175,1997-12-15,1997.9561643835616
1998,1,370.5,366.891,5.4492,372.3402,-1.8402,1.921,1998-01-15,1998.041095890411
1998,2,372.51,367.0618,6.1374,373.1992,-0.6892,2.2018,1998-02-15,1998.1260273972603
1998,3,372.85,367.258,6.6028,373.8608,-1.0108,2.4906,1998-03-15,1998.2027397260274
1998,4,370.75,367.4769,6.0715,373.5484,-2.7984,2.7391,1998-04-15,1998.2876712328766
1998,5,368.2,367.7145,2.7466,370.461,-2.261,2.9251,1998-05-15,1998.3698630136987
1998,6,366.53,367.9644,-4.4861,363.4784,3.0516,3.0064,1998-06-15,1998.454794520548
1998,7,359.73,368.2155,-12.004,356.2116,3.5184,2.9747,1998-07-15,1998.5369863013698
1998,8,356.2,368.4602,-13.3886,355.0716,1.1284,2.8376,1998-08-15,1998.6219178082192
1998,9,363.69,368.6885,-7.2993,361.3892,2.3008,2.5865,1998-09-15,1998.7068493150684
1998,10,369.05,368.8913,0.4832,369.3745,-0.3245,2.3038,1998-10-15,1998.7890410958903
1998,11,371.06,369.0724,4.5047,373.5771,-2.5171,2.0847,1998-11-15,1998.8739726027397
1998,12,373.55,369.2387,5.1825,374.4213,-0.8713,1.9345,1998-12-15,1998.9561643835616
1999,1,375.36,369.3949,5.4492,374.8441,0.5159,1.8792,1999-01-15,1999.041095890411
1999,2,375.89,369.5519,6.1374,375.6894,0.2007,1.9521,1999-02-15,1999.1260273972603
1999,3,376.36,369.7202,6.6028,376.3231,0.0369,2.1264,1999-03-15,1999.2027397260274
1999,4,375.93,369.9063,6.0715,375.9779,-0.0479,2.3657,1999-04-15,1999.2876712328766
1999,5,372.68,370.1145,2.7466,372.8611,-0.1811,2.6603,1999-05-15,1999.3698630136987
1999,6,366.02,370.3497,-4.4861,365.8637,0.1563,2.9958,1999-06-15,1999.454794520548
1999,7,357.02,370.6138,-12.004,358.6098,-1.5899,3.2928,1999-07-15,1999.5369863013698
1999,8,354.93,370.8985,-13.3886,357.5099,-2.5799,3.488,1999-08-15,1999.6219178082192
1999,9,364.19,371.1951,-7.2993,363.8958,0.2942,3.5462,1999-09-15,1999.7068493150684
1999,10,372.08,371.4896,0.4832,371.9728,0.1072,3.4237,1999-10-15,1999.7890410958903
1999,11,377.11,371.7657,4.5047,376.2704,0.8396,3.1512,1999-11-15,1999.8739726027397
1999,12,379.85,372.0148,5.1825,377.1973,2.6527,2.7949,1999-12-15,1999.9561643835616
2000,1,378.15,372.2316,5.4492,377.6808,0.4692,2.4163,2000-01-15,2000.0409836065573
2000,2,378.74,372.4175,6.1374,378.5549,0.1851,2.0773,2000-02-15,2000.1256830601094
2000,3,380.61,372.5778,6.6028,379.1806,1.4294,1.7791,2000-03-15,2000.204918032787
2000,4,378.86,372.714,6.0715,378.7855,0.0745,1.4826,2000-04-15,2000.2896174863388
2000,5,374.39,372.8249,2.7466,375.5714,-1.1814,1.2283,2000-05-15,2000.3715846994535
2000,6,368.47,372.9187,-4.4861,368.4326,0.0374,1.0986,2000-06-15,2000.4562841530055
2000,7,363.97,373.008,-12.004,361.004,2.966,1.0712,2000-07-15,2000.5382513661202
2000,8,359.3,373.0972,-13.3886,359.7086,-0.4086,1.1102,2000-08-15,2000.622950819672
2000,9,361.64,373.193,-7.2993,365.8937,-4.2537,1.216,2000-09-15,2000.707650273224
2000,10,373.98,373.2999,0.4832,373.7831,0.1969,1.3462,2000-10-15,2000.7896174863388
2000,11,377.98,373.4174,4.5047,377.9221,0.058,1.4637,2000-11-15,2000.8743169398906
2000,12,375.89,373.5439,5.1825,378.7264,-2.8364,1.5201,2000-12-15,2000.9562841530055
2001,1,379.92,373.6707,5.4492,379.1199,0.8001,1.4756,2001-01-15,2001.041095890411
2001,2,382.81,373.7898,6.1374,379.9272,2.8828,1.3625,2001-02-15,2001.1260273972603
2001,3,382.2,373.8978,6.6028,380.5007,1.6994,1.2155,2001-03-15,2001.2027397260274
2001,4,380.71,373.9924,6.0715,380.0639,0.6461,1.056,2001-04-15,2001.2876712328766
2001,5,375.31,374.0738,2.7466,376.8204,-1.5104,0.9064,2001-05-15,2001.3698630136987
2001,6,367.87,374.1434,-4.4861,369.6574,-1.7874,0.7905,2001-06-15,2001.454794520548
2001,7,365.38,374.2056,-12.004,362.2016,3.1784,0.7606,2001-07-15,2001.5369863013698
2001,8,363.27,374.2702,-13.3886,360.8816,2.3884,0.8443,2001-08-15,2001.6219178082192
2001,9,364.36,374.3463,-7.2993,367.047,-2.687,1.0106,2001-09-15,2001.7068493150684
2001,10,374.91,374.4386,0.4832,374.9218,-0.0119,1.2372,2001-10-15,2001.7890410958903
2001,11,378.28,374.5525,4.5047,379.0572,-0.7772,1.5359,2001-11-15,2001.8739726027397
2001,12,376.82,374.6946,5.1825,379.8771,-3.0571,1.9058,2001-12-15,2001.9561643835616
2002,1,379.21,374.8701,5.4492,380.3193,-1.1093,2.2991,2002-01-15,2002.041095890411
2002,2,380.2,375.0778,6.1374,381.2152,-1.0152,2.6636,2002-02-15,2002.1260273972603
2002,3,381.66,375.3141,6.6028,381.9169,-0.2569,2.9784,2002-03-15,2002.2027397260274
2002,4,384.59,375.5742,6.0715,381.6457,2.9443,3.273,2002-04-15,2002.2876712328766
2002,5,379.83,375.8596,2.7466,378.6061,1.2239,3.6281,2002-05-15,2002.3698630136987
2002,6,370.23,376.1789,-4.4861,371.6928,-1.4628,4.06,2002-06-15,2002.454794520548
2002,7,363.94,376.5362,-12.004,364.5323,-0.5923,4.543,2002-07-15,2002.5369863013698
2002,8,364.6,376.936,-13.3886,363.5474,1.0526,5.087,2002-08-15,2002.6219178082192
2002,9,370.75,377.3841,-7.2993,370.0848,0.6652,5.6554,2002-09-15,2002.7068493150684
2002,10,376.87,377.8786,0.4832,378.3618,-1.4918,6.1362,2002-10-15,2002.7890410958903
2002,11,380.82,378.4068,4.5047,382.9114,-2.0914,6.4611,2002-11-15,2002.8739726027397
2002,12,383.9,378.9554,5.1825,384.138,-0.238,6.6414,2002-12-15,2002.9561643835616
2003,1,382.48,379.5137,5.4492,384.9629,-2.4829,6.6378,2003-01-15,2003.041095890411
2003,2,384.23,380.0617,6.1374,386.1992,-1.9691,6.3911,2003-02-15,2003.1260273972603
2003,3,387.59,380.5789,6.6028,387.1817,0.4083,5.9042,2003-03-15,2003.2027397260274
