yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1980,4,344.42,340.4345,4.5452,344.9797,-0.5597,1.9318,1980-04-15,1980.2896174863388
1980,5,344.04,340.5878,4.8336,345.4214,-1.3814,1.7697,1980-05-15,1980.3715846994535
1980,6,343.21,340.7294,2.5422,343.2716,-0.0616,1.6172,1980-06-15,1980.4562841530055
1980,7,338.81,340.8573,-3.5117,337.3456,1.4644,1.4561,1980-07-15,1980.5382513661202
1980,8,333.51,340.9721,-9.1026,331.8695,1.6405,1.3176,1980-08-15,1980.622950819672
1980,9,333.3,341.0769,-9.2831,331.7938,1.5062,1.2116,1980-09-15,1980.707650273224
1980,10,337.01,341.174,-4.8455,336.3286,0.6814,1.1354,1980-10-15,1980.7896174863388
1980,11,340.2,341.2661,-0.3181,340.948,-0.748,1.0915,1980-11-15,1980.8743169398906
1980,12,342.77,341.356,2.2736,343.6295,-0.8595,1.0781,1980-12-15,1980.9562841530055
1981,1,344.24,341.4458,3.8119,345.2578,-1.0178,1.0898,1981-01-15,1981.041095890411
1981,2,345.0,341.5376,4.5871,346.1247,-1.1247,1.1193,1981-02-15,1981.1260273972603
1981,3,345.67,341.6324,4.4674,346.0998,-0.4298,1.1539,1981-03-15,1981.2027397260274
1981,4,346.04,341.7299,4.5452,346.2751,-0.2351,1.1834,1981-04-15,1981.2876712328766
1981,5,346.85,341.8296,4.8336,346.6632,0.1868,1.2048,1981-05-15,1981.3698630136987
1981,6,345.8,341.9307,2.5422,344.4729,1.3271,1.2142,1981-06-15,1981.454794520548
1981,7,338.72,342.032,-3.5117,338.5203,0.1997,1.2129,1981-07-15,1981.5369863013698
1981,8,332.74,342.1329,-9.1026,333.0303,-0.2903,1.2012,1981-08-15,1981.6219178082192
1981,9,334.02,342.2322,-9.2831,332.949,1.0709,1.1554,1981-09-15,1981.7068493150684
1981,10,338.5,342.3254,-4.8455,337.48,1.02,1.0562,1981-10-15,1981.7890410958903
1981,11,341.49,342.4082,-0.3181,342.0901,-0.6001,0.9186,1981-11-15,1981.8739726027397
1981,12,344.17,342.4785,2.2736,344.7521,-0.5821,0.7643,1981-12-15,1981.9561643835616
1982,1,346.06,342.5356,3.8119,346.3475,-0.2875,0.614,1982-01-15,1982.041095890411
1982,2,346.83,342.5809,4.5871,347.168,-0.338,0.494,1982-02-15,1982.1260273972603
1982,3,347.02,342.6179,4.4674,347.0853,-0.0653,0.4078,1982-03-15,1982.2027397260274
1982,4,347.18,342.6488,4.5452,347.1941,-0.0141,0.3495,1982-04-15,1982.2876712328766
1982,5,347.52,342.6762,4.8336,347.5098,0.0102,0.3294,1982-05-15,1982.3698630136987
1982,6,345.81,342.7037,2.5422,345.2459,0.5641,0.34,1982-06-15,1982.454794520548
1982,7,340.05,342.7328,-3.5117,339.2212,0.8288,0.3741,1982-07-15,1982.5369863013698
1982,8,334.17,342.7661,-9.1026,333.6635,0.5065,0.4362,1982-08-15,1982.6219178082192
1982,9,333.79,342.8055,-9.2831,333.5224,0.2676,0.5193,1982-09-15,1982.7068493150684
1982,10,337.37,342.8526,-4.8455,338.0072,-0.6372,0.6356,1982-10-15,1982.7890410958903
1982,11,341.36,342.9115,-0.3181,342.5934,-1.2334,0.7991,1982-11-15,1982.8739726027397
1982,12,344.75,342.9858,2.2736,345.2594,-0.5094,0.9955,1982-12-15,1982.9561643835616
1983,1,346.74,343.0774,3.8119,346.8893,-0.1493,1.214,1983-01-15,1983.041095890411
1983,2,347.24,343.1881,4.5871,347.7752,-0.5353,1.4561,1983-02-15,1983.1260273972603
