yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1991,6,356.6,356.2777,0.9423,357.22,-0.62,0.8899,1991-06-15,1991.454794520548
1991,7,351.54,356.3431,-4.6528,351.6904,-0.1504,0.7103,1991-07-15,1991.5369863013698
1991,8,348.31,356.3961,-8.8475,347.5486,0.7614,0.559,1991-08-15,1991.6219178082192
1991,9,349.79,356.4363,-8.1913,348.245,1.545,0.4111,1991-09-15,1991.7068493150684
1991,10,353.41,356.4646,-3.7341,352.7305,0.6795,0.2717,1991-10-15,1991.7890410958903
1991,11,356.67,356.4816,0.5703,357.0519,-0.3819,0.1401,1991-11-15,1991.8739726027397
1991,12,358.82,356.488,2.6828,359.1708,-0.3508,0.015,1991-12-15,1991.9561643835616
1992,1,360.12,356.4841,3.47,359.9541,0.1659,-0.102,1992-01-15,1992.0409836065573
1992,2,360.04,356.471,4.0396,360.5105,-0.4705,-0.1932,1992-02-15,1992.1256830601094
1992,3,360.26,356.4519,4.5662,361.0181,-0.7581,-0.2474,1992-03-15,1992.204918032787
1992,4,361.39,356.4297,4.9169,361.3467,0.0433,-0.2708,1992-04-15,1992.2896174863388
1992,5,360.5,356.4068,4.2376,360.6444,-0.1444,-0.2549,1992-05-15,1992.3715846994535
1992,6,358.29,356.3873,0.9423,357.3296,0.9604,-0.1935,1992-06-15,1992.4562841530055
1992,7,353.01,356.3745,-4.6528,351.7217,1.2883,-0.0897,1992-07-15,1992.5382513661202
1992,8,346.54,356.3723,-8.8475,347.5248,-0.9848,0.0557,1992-08-15,1992.622950819672
1992,9,347.25,356.3838,-8.1913,348.1925,-0.9425,0.2303,1992-09-15,1992.707650273224
1992,10,353.06,356.4107,-3.7341,352.6766,0.3834,0.41,1992-10-15,1992.7896174863388
1992,11,357.36,356.4521,0.5703,357.0224,0.3376,0.5685,1992-11-15,1992.8743169398906
1992,12,358.47,356.5055,2.6828,359.1883,-0.7183,0.6927,1992-12-15,1992.9562841530055
1993,1,359.14,356.5676,3.47,360.0375,-0.8975,0.7894,1993-01-15,1993.041095890411
1993,2,359.72,356.637,4.0396,360.6766,-0.9566,0.8796,1993-02-15,1993.1260273972603
1993,3,361.18,356.7142,4.5662,361.2804,-0.1004,0.9613,1993-03-15,1993.2027397260274
1993,4,362.6,356.7972,4.9169,361.7142,0.8858,1.019,1993-04-15,1993.2876712328766
1993,5,361.23,356.884,4.2376,361.1216,0.1084,1.0659,1993-05-15,1993.3698630136987
1993,6,357.9,356.9749,0.9423,357.9172,-0.0172,1.1177,1993-06-15,1993.454794520548
1993,7,353.44,357.0703,-4.6528,352.4175,1.0225,1.1711,1993-07-15,1993.5369863013698
1993,8,348.68,357.1701,-8.8475,348.3226,0.3574,1.2343,1993-08-15,1993.6219178082192
1993,9,349.44,357.276,-8.1913,349.0847,0.3553,1.3118,1993-09-15,1993.7068493150684
1993,10,353.69,357.3887,-3.7341,353.6546,0.0354,1.3934,1993-10-15,1993.7890410958903
1993,11,356.94,357.5082,0.5703,358.0785,-1.1385,1.5005,1993-11-15,1993.8739726027397
1993,12,359.1,357.6388,2.6828,360.3216,-1.2216,1.6415,1993-12-15,1993.9561643835616
1994,1,360.55,357.7818,3.47,361.2518,-0.7018,1.7811,1994-01-15,1994.041095890411
1994,2,361.6,357.9356,4.0396,361.9752,-0.3752,1.9091,1994-02-15,1994.1260273972603
1994,3,363.09,358.1,4.5662,362.6662,0.4238,2.0323,1994-03-15,1994.2027397260274
1994,4,363.66,358.2744,4.9169,363.1913,0.4687,2.1295,1994-04-15,1994.2876712328766
1994,5,362.48,358.4549,4.2376,362.6926,-0.2126,2.1837,1994-05-15,1994.3698630136987
1994,6,359.51,358.6383,0.9423,359.5806,-0.0706,2.1995,1994-06-15,1994.454794520548
1994,7,354.92,358.8215,-4.6528,354.1687,0.7513,2.1925,1994-07-15,1994.5369863013698
1994,8,350.4,359.0037,-8.8475,350.1562,0.2437,2.1821,1994-08-15,1994.6219178082192
1994,9,351.15,359.1852,-8.1913,350.9939,0.1561,2.1722,1994-09-15,1994.7068493150684
1994,10,356.0,359.3658,-3.7341,355.6316,0.3684,2.1632,1994-10-15,1994.7890410958903
1994,11,359.81,359.5457,0.5703,360.116,-0.306,2.165,1994-11-15,1994.8739726027397
1994,12,361.78,359.7266,2.6828,362.4094,-0.6294,2.1859,1994-12-15,1994.9561643835616
1995,1,363.54,359.91,3.47,363.38,0.16,2.2397,1995-01-15,1995.041095890411
1995,2,364.06,360.0999,4.0396,364.1394,-0.0794,2.3368,1995-02-15,1995.1260273972603
1995,3,364.41,360.2995,4.5662,364.8657,-0.4557,2.4507,1995-03-15,1995.2027397260274
1995,4,365.54,360.5083,4.9169,365.4253,0.1147,2.5554,1995-04-15,1995.2876712328766
1995,5,364.21,360.7254,4.2376,364.963,-0.753,2.6532,1995-05-15,1995.3698630136987
1995,6,360.71,360.9505,0.9423,361.8928,-1.1828,2.7358,1995-06-15,1995.454794520548
1995,7,356.77,361.1814,-4.6528,356.5286,0.2414,2.7907,1995-07-15,1995.5369863013698
1995,8,353.81,361.4156,-8.8475,352.5682,1.2418,2.8173,1995-08-15,1995.6219178082192
