yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2003,12,373.33,375.0335,-1.9922,373.0414,0.2886,-1.3579,2003-12-15,2003.9561643835616
2004,1,376.03,374.9209,1.1415,376.0624,-0.0324,-1.3121,2004-01-15,2004.0409836065573
2004,2,378.95,374.8148,2.8111,377.6259,1.3241,-1.1797,2004-02-15,2004.1256830601094
2004,3,376.84,374.7243,1.5168,376.2411,0.5989,-0.9565,2004-03-15,2004.204918032787
2004,4,373.83,374.6554,0.1943,374.8497,-1.0197,-0.6564,2004-04-15,2004.2896174863388
2004,5,374.09,374.6149,0.4563,375.0712,-0.9812,-0.2913,2004-05-15,2004.3715846994535
2004,6,373.07,374.6068,0.4237,375.0306,-1.9606,0.1128,2004-06-15,2004.4562841530055
2004,7,373.27,374.6337,-0.579,374.0547,-0.7847,0.54,2004-07-15,2004.5382513661202
2004,8,374.47,374.6968,-0.6801,374.0167,0.4533,0.976,2004-08-15,2004.622950819672
2004,9,374.35,374.7963,0.0516,374.848,-0.4979,1.4022,2004-09-15,2004.707650273224
2004,10,373.96,374.9305,-0.7568,374.1737,-0.2137,1.8168,2004-10-15,2004.7896174863388
2004,11,371.8802,375.0991,-2.5872,372.5119,-0.6317,2.2075,2004-11-15,2004.8743169398906
2004,12,372.8401,375.2985,-1.9922,373.3063,-0.4662,2.5499,2004-12-15,2004.9562841530055
2005,1,376.4536,375.5241,1.1415,376.6656,-0.212,2.8475,2005-01-15,2005.041095890411
2005,2,378.01,375.773,2.8111,378.5841,-0.5741,3.0965,2005-02-15,2005.1260273972603
2005,3,379.29,376.0402,1.5168,377.557,1.733,3.2723,2005-03-15,2005.2027397260274
2005,4,377.81,376.3184,0.1943,376.5128,1.2973,3.377,2005-04-15,2005.2876712328766
2005,5,376.15,376.603,0.4563,377.0594,-0.9093,3.4125,2005-05-15,2005.3698630136987
2005,6,376.76,376.8872,0.4237,377.3109,-0.5509,3.3803,2005-06-15,2005.454794520548
2005,7,375.4,377.1664,-0.579,376.5875,-1.1875,3.3073,2005-07-15,2005.5369863013698
2005,8,375.91,377.4384,-0.6801,376.7583,-0.8483,3.202,2005-08-15,2005.6219178082192
2005,9,377.8785,377.7001,0.0516,377.7517,0.1268,3.0612,2005-09-15,2005.7068493150684
2005,10,377.7431,377.9486,-0.7568,377.1917,0.5514,2.8771,2005-10-15,2005.7890410958903
2005,11,376.4668,378.1796,-2.5872,375.5923,0.8745,2.6462,2005-11-15,2005.8739726027397
2005,12,378.23,378.3896,-1.9922,376.3975,1.8325,2.3915,2005-12-15,2005.9561643835616
2006,1,379.67,378.5782,1.1415,379.7197,-0.0496,2.1266,2006-01-15,2006.041095890411
2006,2,381.99,378.744,2.8111,381.5551,0.4349,1.8605,2006-02-15,2006.1260273972603
2006,3,381.45,378.8883,1.5168,380.4051,1.0449,1.6185,2006-03-15,2006.2027397260274
2006,4,378.54,379.0138,0.1943,379.2081,-0.6681,1.4191,2006-04-15,2006.2876712328766
2006,5,378.57,379.1248,0.4563,379.5811,-1.0111,1.2772,2006-05-15,2006.3698630136987
2006,6,380.02,379.2267,0.4237,379.6504,0.3696,1.1863,2006-06-15,2006.454794520548
2006,7,378.6,379.3225,-0.579,378.7436,-0.1435,1.1525,2006-07-15,2006.5369863013698
2006,8,378.7074,379.4187,-0.6801,378.7386,-0.0312,1.2039,2006-08-15,2006.6219178082192
2006,9,379.819,379.5232,0.0516,379.5748,0.2442,1.3273,2006-09-15,2006.7068493150684
2006,10,378.8265,379.64,-0.7568,378.8831,-0.0566,1.4952,2006-10-15,2006.7890410958903
2006,11,376.6931,379.7724,-2.5872,377.1851,-0.492,1.6868,2006-11-15,2006.8739726027397
2006,12,377.5994,379.9211,-1.9922,377.9289,-0.3295,1.8721,2006-12-15,2006.9561643835616
2007,1,381.1592,380.0844,1.1415,381.2259,-0.0666,2.0237,2007-01-15,2007.041095890411
2007,2,382.6621,380.2584,2.8111,383.0694,-0.4073,2.1249,2007-02-15,2007.1260273972603
2007,3,381.2425,380.4385,1.5168,381.9554,-0.7128,2.1746,2007-03-15,2007.2027397260274
2007,4,380.6768,380.6208,0.1943,380.8151,-0.1383,2.1973,2007-04-15,2007.2876712328766
2007,5,381.9202,380.8047,0.4563,381.2611,0.6591,2.2024,2007-05-15,2007.3698630136987
2007,6,382.0422,380.9879,0.4237,381.4116,0.6306,2.1817,2007-06-15,2007.454794520548
2007,7,380.7605,381.1684,-0.579,380.5894,0.1711,2.1619,2007-07-15,2007.5369863013698
2007,8,380.868,381.3482,-0.6801,380.6681,0.2,2.1597,2007-08-15,2007.6219178082192
2007,9,381.9795,381.5283,0.0516,381.58,0.3995,2.148,2007-09-15,2007.7068493150684
2007,10,380.987,381.7062,-0.7568,380.9493,0.0377,2.1238,2007-10-15,2007.7890410958903
2007,11,378.8537,381.8823,-2.5872,379.295,-0.4413,2.1079,2007-11-15,2007.8739726027397
2007,12,379.7599,382.0575,-1.9922,380.0653,-0.3055,2.0912,2007-12-15,2007.9561643835616
2008,1,383.3197,382.2308,1.1415,383.3723,-0.0526,2.0543,2008-01-15,2008.0409836065573
2008,2,384.8226,382.3999,2.8111,385.2109,-0.3883,1.9916,2008-02-15,2008.1256830601094
2008,3,383.403,382.5628,1.5168,384.0796,-0.6766,1.9096,2008-03-15,2008.204918032787
2008,4,382.8374,382.7181,0.1943,382.9125,-0.0751,1.8232,2008-04-15,2008.2896174863388
2008,5,384.0807,382.8666,0.4563,383.323,0.7577,1.7569,2008-05-15,2008.3715846994535
2008,6,384.2027,383.011,0.4237,383.4347,0.768,1.7225,2008-06-15,2008.4562841530055
2008,7,382.921,383.1537,-0.579,382.5748,0.3462,1.713,2008-07-15,2008.5382513661202
2008,8,383.0285,383.2964,-0.6801,382.6163,0.4122,1.7254,2008-08-15,2008.622950819672
2008,9,384.14,383.4413,0.0516,383.4929,0.6471,1.7651,2008-09-15,2008.707650273224
2008,10,382.6,383.5906,-0.7568,382.8338,-0.2338,1.8268,2008-10-15,2008.7896174863388
2008,11,380.09,383.7458,-2.5872,381.1585,-1.0685,1.8972,2008-11-15,2008.8743169398906
2008,12,381.99,383.9068,-1.9922,381.9147,0.0753,1.9666,2008-12-15,2008.9562841530055
2009,1,385.38,384.0735,1.1415,385.215,0.165,2.0316,2009-01-15,2009.041095890411
2009,2,385.58,384.2454,2.8111,387.0565,-1.4765,2.0793,2009-02-15,2009.1260273972603
2009,3,384.1,384.4201,1.5168,385.9369,-1.8369,2.0988,2009-03-15,2009.2027397260274
