yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2010,9,388.91,388.7795,0.0582,388.8377,0.0723,1.9649,2010-09-15,2010.7068493150684
2010,10,389.59,388.9391,0.096,389.0351,0.5549,1.8706,2010-10-15,2010.7890410958903
2010,11,389.81,389.0912,0.2295,389.3208,0.4892,1.7856,2010-11-15,2010.8739726027397
2010,12,389.6,389.2367,0.2163,389.453,0.147,1.7119,2010-12-15,2010.9561643835616
2011,1,389.18,389.3766,-0.1127,389.2639,-0.0839,1.6483,2011-01-15,2011.041095890411
2011,2,388.96,389.5114,-0.5022,389.0092,-0.0492,1.6018,2011-02-15,2011.1260273972603
2011,3,389.18,389.6435,-0.539,389.1046,0.0754,1.5919,2011-03-15,2011.2027397260274
2011,4,388.96,389.7767,-0.2043,389.5725,-0.6125,1.6265,2011-04-15,2011.2876712328766
2011,5,389.48,389.9146,0.1429,390.0575,-0.5775,1.7054,2011-05-15,2011.3698630136987
2011,6,390.35,390.061,0.2644,390.3254,0.0246,1.8237,2011-06-15,2011.454794520548
2011,7,390.36,390.2186,0.221,390.4395,-0.0795,1.9713,2011-07-15,2011.5369863013698
2011,8,391.13,390.3895,0.1298,390.5193,0.6107,2.1387,2011-08-15,2011.6219178082192
2011,9,391.09,390.575,0.0582,390.6332,0.4568,2.3123,2011-09-15,2011.7068493150684
2011,10,390.56,390.7749,0.096,390.8709,-0.3109,2.4813,2011-10-15,2011.7890410958903
2011,11,390.64,390.9886,0.2295,391.2181,-0.5781,2.6351,2011-11-15,2011.8739726027397
2011,12,390.67,391.2141,0.2163,391.4304,-0.7604,2.7572,2011-12-15,2011.9561643835616
2012,1,390.88,391.4481,-0.1127,391.3354,-0.4554,2.8343,2012-01-15,2012.0409836065573
2012,2,390.73,391.6865,-0.5022,391.1842,-0.4542,2.8698,2012-02-15,2012.1256830601094
2012,3,390.94,391.9264,-0.539,391.3874,-0.4474,2.8764,2012-03-15,2012.204918032787
2012,4,392.76,392.1659,-0.2043,391.9616,0.7984,2.8521,2012-04-15,2012.2896174863388
2012,5,393.61,392.4017,0.1429,392.5446,1.0653,2.7907,2012-05-15,2012.3715846994535
2012,6,393.46,392.631,0.2644,392.8954,0.5646,2.6993,2012-06-15,2012.4562841530055
2012,7,393.46,392.8516,0.221,393.0726,0.3874,2.5915,2012-07-15,2012.5382513661202
2012,8,393.02,393.0629,0.1298,393.1927,-0.1727,2.478,2012-08-15,2012.622950819672
2012,9,393.17,393.2646,0.0582,393.3228,-0.1528,2.3606,2012-09-15,2012.707650273224
2012,10,393.41,393.4563,0.096,393.5523,-0.1423,2.2456,2012-10-15,2012.7896174863388
2012,11,393.68,393.6389,0.2295,393.8684,-0.1884,2.1436,2012-11-15,2012.8743169398906
2012,12,394.18,393.8136,0.2163,394.0299,0.15,2.0695,2012-12-15,2012.9562841530055
2013,1,393.78,393.9838,-0.1127,393.8711,-0.0911,2.0391,2013-01-15,2013.041095890411
2013,2,393.29,394.1534,-0.5022,393.6512,-0.3612,2.0473,2013-02-15,2013.1260273972603
2013,3,393.98,394.325,-0.539,393.786,0.194,2.0742,2013-03-15,2013.2027397260274
2013,4,395.01,394.4991,-0.2043,394.2949,0.7151,2.1112,2013-04-15,2013.2876712328766
2013,5,395.01,394.6769,0.1429,394.8198,0.1902,2.1581,2013-05-15,2013.3698630136987
2013,6,394.52,394.8588,0.2644,395.1232,-0.6032,2.2061,2013-06-15,2013.454794520548
2013,7,394.8,395.0446,0.221,395.2655,-0.4655,2.2397,2013-07-15,2013.5369863013698
2013,8,395.31,395.2321,0.1298,395.3619,-0.0519,2.2498,2013-08-15,2013.6219178082192
2013,9,395.43,395.4195,0.0582,395.4777,-0.0477,2.2454,2013-09-15,2013.7068493150684
2013,10,395.73,395.6064,0.096,395.7023,0.0277,2.2377,2013-10-15,2013.7890410958903
2013,11,395.96,395.7925,0.2295,396.022,-0.062,2.228,2013-11-15,2013.8739726027397
2013,12,396.25,395.9777,0.2163,396.194,0.056,2.2095,2013-12-15,2013.9561643835616
2014,1,396.69,396.1607,-0.1127,396.0481,0.6419,2.1755,2014-01-15,2014.041095890411
2014,2,396.48,396.3403,-0.5022,395.838,0.642,2.1339,2014-02-15,2014.1260273972603
2014,3,395.94,396.5164,-0.539,395.9774,-0.0374,2.0993,2014-03-15,2014.2027397260274
2014,4,395.66,396.6902,-0.2043,396.4859,-0.8259,2.0815,2014-04-15,2014.2876712328766
2014,5,396.36,396.8633,0.1429,397.0062,-0.6463,2.0823,2014-05-15,2014.3698630136987
2014,6,397.86,397.0372,0.2644,397.3016,0.5584,2.0925,2014-06-15,2014.454794520548
2014,7,397.73,397.2121,0.221,397.433,0.297,2.1077,2014-07-15,2014.5369863013698
2014,8,397.52,397.3885,0.1298,397.5182,0.0018,2.1379,2014-08-15,2014.6219178082192
2014,9,397.63,397.5684,0.0582,397.6266,0.0034,2.1881,2014-09-15,2014.7068493150684
2014,10,397.63,397.7532,0.096,397.8492,-0.2191,2.2537,2014-10-15,2014.7890410958903
2014,11,398.26,397.944,0.2295,398.1736,0.0865,2.3245,2014-11-15,2014.8739726027397
2014,12,398.44,398.1406,0.2163,398.3569,0.0831,2.3974,2014-12-15,2014.9561643835616
2015,1,397.7,398.3436,-0.1127,398.2309,-0.5309,2.4816,2015-01-15,2015.041095890411
2015,2,397.19,398.5542,-0.5022,398.052,-0.862,2.575,2015-02-15,2015.1260273972603
2015,3,398.03,398.7727,-0.539,398.2338,-0.2038,2.6596,2015-03-15,2015.2027397260274
2015,4,399.45,398.9975,-0.2043,398.7932,0.6568,2.7239,2015-04-15,2015.2876712328766
2015,5,400.29,399.2267,0.1429,399.3696,0.9204,2.777,2015-05-15,2015.3698630136987
2015,6,399.86,399.4603,0.2644,399.7247,0.1353,2.8288,2015-06-15,2015.454794520548
2015,7,399.33,399.6982,0.221,399.9192,-0.5892,2.8835,2015-07-15,2015.5369863013698
