yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1997,1,360.84,361.0843,-0.4608,360.6235,0.2165,2.1218,1997-01-15,1997.041095890411
1997,2,360.39,361.2666,-0.786,360.4806,-0.0906,2.2355,1997-02-15,1997.1260273972603
1997,3,359.63,361.4569,-0.7246,360.7323,-1.1023,2.3318,1997-03-15,1997.2027397260274
1997,4,360.39,361.6553,-0.5804,361.0748,-0.6848,2.4309,1997-04-15,1997.2876712328766
1997,5,361.5,361.862,-0.3556,361.5064,-0.0064,2.5362,1997-05-15,1997.3698630136987
1997,6,362.75,362.078,0.2974,362.3754,0.3746,2.6484,1997-06-15,1997.454794520548
1997,7,364.25,362.3034,1.0657,363.3691,0.8808,2.7534,1997-07-15,1997.5369863013698
1997,8,363.85,362.5369,1.1143,363.6511,0.1989,2.8389,1997-08-15,1997.6219178082192
1997,9,362.93,362.7766,0.4479,363.2245,-0.2945,2.9022,1997-09-15,1997.7068493150684
1997,10,363.01,363.0206,-0.0245,362.9961,0.0139,2.9372,1997-10-15,1997.7890410958903
1997,11,362.71,363.2661,0.0274,363.2935,-0.5835,2.9383,1997-11-15,1997.8739726027397
1997,12,363.1111,363.5103,-0.0207,363.4896,-0.3784,2.907,1997-12-15,1997.9561643835616
1998,1,363.1371,363.7506,-0.4608,363.2898,-0.1527,2.8442,1998-01-15,1998.041095890411
1998,2,363.2057,363.9843,-0.786,363.1983,0.0074,2.7504,1998-02-15,1998.1260273972603
1998,3,363.6189,364.209,-0.7246,363.4845,0.1344,2.6303,1998-03-15,1998.2027397260274
1998,4,364.1584,364.4227,-0.5804,363.8423,0.3161,2.4825,1998-04-15,1998.2876712328766
1998,5,364.7963,364.6228,-0.3556,364.2672,0.5291,2.3128,1998-05-15,1998.3698630136987
1998,6,365.8026,364.8082,0.2974,365.1056,0.697,2.1361,1998-06-15,1998.454794520548
1998,7,366.9,364.9788,1.0657,366.0445,0.8555,1.9541,1998-07-15,1998.5369863013698
1998,8,366.46,365.1339,1.1143,366.2481,0.2119,1.771,1998-08-15,1998.6219178082192
1998,9,365.05,365.274,0.4479,365.7218,-0.6718,1.6077,1998-09-15,1998.7068493150684
1998,10,365.11,365.4018,-0.0245,365.3773,-0.2673,1.4817,1998-10-15,1998.7890410958903
1998,11,365.6,365.5209,0.0274,365.5483,0.0517,1.405,1998-11-15,1998.8739726027397
1998,12,365.54,365.636,-0.0207,365.6152,-0.0752,1.3801,1998-12-15,1998.9561643835616
1999,1,365.38,365.7509,-0.4608,365.2901,0.0899,1.3978,1999-01-15,1999.041095890411
1999,2,365.32,365.8689,-0.786,365.0829,0.2371,1.4628,1999-02-15,1999.1260273972603
1999,3,365.37,365.9947,-0.7246,365.2702,0.0998,1.572,1999-03-15,1999.2027397260274
1999,4,365.52,366.1309,-0.5804,365.5505,-0.0305,1.6948,1999-04-15,1999.2876712328766
1999,5,365.6,366.2772,-0.3556,365.9216,-0.3216,1.8029,1999-05-15,1999.3698630136987
1999,6,366.11,366.4314,0.2974,366.7288,-0.6188,1.8774,1999-06-15,1999.454794520548
1999,7,367.07,366.5901,1.0657,367.6558,-0.5858,1.9054,1999-07-15,1999.5369863013698
1999,8,367.46,366.749,1.1143,367.8632,-0.4032,1.8763,1999-08-15,1999.6219178082192
1999,9,367.28,366.9028,0.4479,367.3507,-0.0707,1.7888,1999-09-15,1999.7068493150684
1999,10,367.71,367.0471,-0.0245,367.0226,0.6874,1.6507,1999-10-15,1999.7890410958903
1999,11,368.41,367.1779,0.0274,367.2053,1.2047,1.4771,1999-11-15,1999.8739726027397
1999,12,367.88,367.2933,-0.0207,367.2726,0.6075,1.2909,1999-12-15,1999.9561643835616
2000,1,366.85,367.3931,-0.4608,366.9323,-0.0823,1.1045,2000-01-15,2000.0409836065573
2000,2,366.37,367.4774,-0.786,366.6913,-0.3213,0.9261,2000-02-15,2000.1256830601094
2000,3,367.16,367.5474,-0.7246,366.8229,0.3371,0.7744,2000-03-15,2000.204918032787
2000,4,368.26,367.6064,-0.5804,367.026,1.234,0.6643,2000-04-15,2000.2896174863388
2000,5,367.49,367.6581,-0.3556,367.3025,0.1875,0.6041,2000-05-15,2000.3715846994535
2000,6,367.25,367.7071,0.2974,368.0045,-0.7545,0.6011,2000-06-15,2000.4562841530055
2000,7,368.16,367.7583,1.0657,368.824,-0.664,0.6564,2000-07-15,2000.5382513661202
2000,8,368.4145,367.8165,1.1143,368.9308,-0.5163,0.7652,2000-08-15,2000.622950819672
