yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1968,1,323.66,322.4007,1.6237,324.0244,-0.3644,1.674,1968-01-15,1968.0409836065573
1968,2,325.07,322.5357,2.5374,325.0731,-0.0031,1.5784,1968-02-15,1968.1256830601094
1968,3,326.05,322.6637,3.4667,326.1305,-0.0805,1.4899,1968-03-15,1968.204918032787
1968,4,326.56,322.784,3.7144,326.4984,0.0616,1.3989,1968-04-15,1968.2896174863388
1968,5,326.4,322.8969,2.6273,325.5242,0.8758,1.316,1968-05-15,1968.3715846994535
1968,6,324.06,323.0033,0.2279,323.2312,0.8288,1.2323,1968-06-15,1968.4562841530055
1968,7,320.17,323.1023,-2.61,320.4923,-0.3223,1.1437,1968-07-15,1968.5382513661202
1968,8,318.2,323.1939,-4.4962,318.6978,-0.4977,1.067,1968-08-15,1968.622950819672
1968,9,318.83,323.2801,-4.4392,318.8409,-0.0109,1.0091,1968-09-15,1968.707650273224
1968,10,321.02,323.3621,-2.7282,320.634,0.386,0.9695,1968-10-15,1968.7896174863388
1968,11,323.17,323.4417,-0.6685,322.7731,0.3969,0.9509,1968-11-15,1968.8743169398906
1968,12,324.08,323.5206,0.7446,324.2652,-0.1852,0.9505,1968-12-15,1968.9562841530055
1969,1,324.58,323.6001,1.6237,325.2238,-0.6438,0.9642,1969-01-15,1969.041095890411
1969,2,325.55,323.6813,2.5374,326.2188,-0.6688,1.001,1969-02-15,1969.1260273972603
1969,3,327.05,323.7669,3.4667,327.2337,-0.1837,1.0741,1969-03-15,1969.2027397260274
1969,4,327.93,323.8603,3.7144,327.5747,0.3553,1.1821,1969-04-15,1969.2876712328766
1969,5,327.2,323.964,2.6273,326.5912,0.6088,1.3087,1969-05-15,1969.3698630136987
1969,6,325.14,324.0784,0.2279,324.3063,0.8337,1.4262,1969-06-15,1969.454794520548
1969,7,321.29,324.2017,-2.61,321.5917,-0.3017,1.5104,1969-07-15,1969.5369863013698
1969,8,318.53,324.3302,-4.4962,319.834,-1.304,1.5575,1969-08-15,1969.6219178082192
1969,9,319.66,324.4612,-4.4392,320.022,-0.362,1.5802,1969-09-15,1969.7068493150684
1969,10,322.34,324.5935,-2.7282,321.8654,0.4746,1.5868,1969-10-15,1969.7890410958903
1969,11,323.83,324.7257,-0.6685,324.0572,-0.2272,1.5709,1969-11-15,1969.8739726027397
1969,12,325.36,324.8553,0.7446,325.5999,-0.24,1.5262,1969-12-15,1969.9561643835616
1970,1,326.61,324.9801,1.6237,326.6038,0.0062,1.4522,1970-01-15,1970.041095890411
1970,2,327.35,325.0974,2.5374,327.6348,-0.2848,1.3581,1970-02-15,1970.1260273972603
1970,3,329.18,325.2064,3.4667,328.6732,0.5068,1.2684,1970-03-15,1970.2027397260274
1970,4,330.54,325.3088,3.7144,329.0232,1.5168,1.1889,1970-04-15,1970.2876712328766
1970,5,329.26,325.4046,2.6273,328.0319,1.2281,1.0983,1970-05-15,1970.3698630136987
1970,6,325.85,325.4918,0.2279,325.7197,0.1303,0.9769,1970-06-15,1970.454794520548
1970,7,322.01,325.5674,-2.61,322.9574,-0.9474,0.8177,1970-07-15,1970.5369863013698
1970,8,319.52,325.6281,-4.4962,321.1319,-1.6119,0.6237,1970-08-15,1970.6219178082192
1970,9,320.42,325.6713,-4.4392,321.2321,-0.8121,0.4142,1970-09-15,1970.7068493150684
1970,10,324.02,325.6971,-2.7282,322.969,1.051,0.212,1970-10-15,1970.7890410958903
1970,11,326.06,325.7067,-0.6685,325.0381,1.0219,0.0287,1970-11-15,1970.8739726027397
1970,12,326.37,325.7019,0.7446,326.4465,-0.0765,-0.1324,1970-12-15,1970.9561643835616
1971,1,327.39,325.6846,1.6237,327.3083,0.0817,-0.2748,1971-01-15,1971.041095890411
1971,2,328.83,325.6561,2.5374,328.1936,0.6364,-0.3803,1971-02-15,1971.1260273972603
1971,3,329.7,325.6212,3.4667,329.088,0.6121,-0.4189,1971-03-15,1971.2027397260274
1971,4,330.18,325.5863,3.7144,329.3007,0.8793,-0.4021,1971-04-15,1971.2876712328766
1971,5,329.2,325.5542,2.6273,328.1815,1.0185,-0.3615,1971-05-15,1971.3698630136987
1971,6,324.82,325.5261,0.2279,325.754,-0.934,-0.3173,1971-06-15,1971.454794520548
1971,7,320.89,325.5013,-2.61,322.8913,-2.0013,-0.2812,1971-07-15,1971.5369863013698
1971,8,319.76,325.4792,-4.4962,320.983,-1.223,-0.2395,1971-08-15,1971.6219178082192
1971,9,320.26,325.4614,-4.4392,321.0222,-0.7622,-0.1577,1971-09-15,1971.7068493150684
1971,10,322.89,325.4529,-2.7282,322.7248,0.1653,-0.0135,1971-10-15,1971.7890410958903
1971,11,325.69,325.4591,-0.6685,324.7906,0.8994,0.1932,1971-11-15,1971.8739726027397
1971,12,326.3,325.4851,0.7446,326.2297,0.0703,0.4556,1971-12-15,1971.9561643835616
1972,1,327.36,325.5351,1.6237,327.1588,0.2012,0.7526,1972-01-15,1972.0409836065573
1972,2,328.77,325.6105,2.5374,328.148,0.622,1.0748,1972-02-15,1972.1256830601094
1972,3,329.3,325.7142,3.4667,329.1809,0.1191,1.442,1972-03-15,1972.204918032787
1972,4,330.32,325.8509,3.7144,329.5653,0.7547,1.8666,1972-04-15,1972.2896174863388
1972,5,329.0,326.0253,2.6273,328.6526,0.3474,2.326,1972-05-15,1972.3715846994535
1972,6,323.97,326.2385,0.2279,326.4664,-2.4964,2.7854,1972-06-15,1972.4562841530055
1972,7,320.72,326.4895,-2.61,323.8795,-3.1596,3.2247,1972-07-15,1972.5382513661202
1972,8,320.36,326.776,-4.4962,322.2798,-1.9198,3.622,1972-08-15,1972.622950819672
1972,9,321.94,327.0932,-4.4392,322.654,-0.714,3.9684,1972-09-15,1972.707650273224
1972,10,325.53,327.4374,-2.7282,324.7092,0.8208,4.2534,1972-10-15,1972.7896174863388
1972,11,328.67,327.8021,-0.6685,327.1335,1.5365,4.4365,1972-11-15,1972.8743169398906
1972,12,329.79,328.1768,0.7446,328.9214,0.8686,4.489,1972-12-15,1972.9562841530055
1973,1,330.75,328.5503,1.6237,330.174,0.576,4.4057,1973-01-15,1973.041095890411
1973,2,331.85,328.9111,2.5374,331.4485,0.4015,4.1992,1973-02-15,1973.1260273972603
1973,3,332.52,329.2501,3.4667,332.7169,-0.1969,3.9067,1973-03-15,1973.2027397260274
1973,4,333.2,329.5622,3.7144,333.2766,-0.0766,3.5629,1973-04-15,1973.2876712328766
1973,5,333.57,329.8439,2.6273,332.4712,1.0988,3.1934,1973-05-15,1973.3698630136987
1973,6,331.46,330.0944,0.2279,330.3223,1.1377,2.8314,1973-06-15,1973.454794520548
1973,7,327.3,330.3158,-2.61,327.7058,-0.4059,2.502,1973-07-15,1973.5369863013698
1973,8,325.43,330.5114,-4.4962,326.0152,-0.5852,2.2205,1973-08-15,1973.6219178082192
1973,9,326.46,330.6859,-4.4392,326.2467,0.2133,2.0118,1973-09-15,1973.7068493150684
1973,10,328.33,330.8467,-2.7282,328.1186,0.2114,1.8766,1973-10-15,1973.7890410958903
1973,11,330.6,330.9987,-0.6685,330.3301,0.2699,1.7791,1973-11-15,1973.8739726027397
1973,12,331.82,331.1432,0.7446,331.8878,-0.0678,1.6842,1973-12-15,1973.9561643835616
1974,1,332.52,331.2794,1.6237,332.9031,-0.3831,1.5688,1974-01-15,1974.041095890411
1974,2,333.67,331.4047,2.5374,333.9421,-0.2721,1.422,1974-02-15,1974.1260273972603
1974,3,335.05,331.5164,3.4667,334.9831,0.0669,1.2506,1974-03-15,1974.2027397260274
1974,4,335.99,331.6131,3.7144,335.3275,0.6625,1.062,1974-04-15,1974.2876712328766
1974,5,334.83,331.6934,2.6273,334.3207,0.5093,0.8588,1974-05-15,1974.3698630136987
1974,6,332.3,331.7563,0.2279,331.9842,0.3158,0.6519,1974-06-15,1974.454794520548
1974,7,329.5743,331.802,-2.61,329.192,0.3823,0.4471,1974-07-15,1974.5369863013698
1974,8,327.6646,331.8308,-4.4962,327.3346,0.33,0.2401,1974-08-15,1974.6219178082192
1974,9,327.545,331.842,-4.4392,327.4028,0.1422,0.0363,1974-09-15,1974.7068493150684
1974,10,329.0938,331.8368,-2.7282,329.1087,-0.0149,-0.1381,1974-10-15,1974.7890410958903
1974,11,331.1102,331.819,-0.6685,331.1505,-0.0403,-0.275,1974-11-15,1974.8739726027397
1974,12,332.5345,331.791,0.7446,332.5356,-0.0011,-0.3829,1974-12-15,1974.9561643835616
1975,1,333.3964,331.7552,1.6237,333.3789,0.0175,-0.4598,1975-01-15,1975.041095890411
1975,2,334.2597,331.7144,2.5374,334.2518,0.0079,-0.5101,1975-02-15,1975.1260273972603
1975,3,335.1056,331.6702,3.4667,335.1369,-0.0313,-0.5306,1975-03-15,1975.2027397260274
1975,4,335.2385,331.6259,3.7144,335.3403,-0.1018,-0.5184,1975-04-15,1975.2876712328766
1975,5,334.0863,331.5838,2.6273,334.2111,-0.1248,-0.4739,1975-05-15,1975.3698630136987
1975,6,331.7535,331.5469,0.2279,331.7748,-0.0213,-0.3962,1975-06-15,1975.454794520548
1975,7,329.0278,331.5178,-2.61,328.9078,0.12,-0.2959,1975-07-15,1975.5369863013698
1975,8,327.1182,331.4976,-4.4962,327.0014,0.1168,-0.174,1975-08-15,1975.6219178082192
1975,9,326.9986,331.4888,-4.4392,327.0495,-0.0509,-0.0262,1975-09-15,1975.7068493150684
1975,10,328.5474,331.4933,-2.7282,328.7651,-0.2177,0.1428,1975-10-15,1975.7890410958903
1975,11,330.5638,331.5126,-0.6685,330.844,-0.2802,0.3279,1975-11-15,1975.8739726027397
1975,12,331.988,331.5479,0.7446,332.2925,-0.3045,0.5257,1975-12-15,1975.9561643835616
1976,1,332.85,331.6002,1.6237,333.2239,-0.3739,0.7267,1976-01-15,1976.0409836065573
1976,2,334.18,331.669,2.5374,334.2065,-0.0265,0.9174,1976-02-15,1976.1256830601094
1976,3,334.64,331.7531,3.4667,335.2198,-0.5798,1.0955,1976-03-15,1976.204918032787
1976,4,335.06,331.8516,3.7144,335.566,-0.506,1.2621,1976-04-15,1976.2896174863388
1976,5,334.63,331.9634,2.6273,334.5907,0.0393,1.4158,1976-05-15,1976.3715846994535
1976,6,332.27,332.0876,0.2279,332.3155,-0.0455,1.5672,1976-06-15,1976.4562841530055
1976,7,330.18,332.2246,-2.61,329.6147,0.5653,1.7258,1976-07-15,1976.5382513661202
1976,8,328.1,332.3752,-4.4962,327.879,0.221,1.8869,1976-08-15,1976.622950819672
1976,9,327.81,332.5391,-4.4392,328.0999,-0.2899,2.048,1976-09-15,1976.707650273224
1976,10,330.01,332.7166,-2.7282,329.9884,0.0216,2.2092,1976-10-15,1976.7896174863388
1976,11,332.1,332.9073,-0.6685,332.2388,-0.1388,2.3661,1976-11-15,1976.8743169398906
1976,12,333.56,333.1109,0.7446,333.8555,-0.2955,2.517,1976-12-15,1976.9562841530055
1977,1,334.68,333.3268,1.6237,334.9505,-0.2705,2.6505,1977-01-15,1977.041095890411
1977,2,335.64,333.5526,2.5374,336.0901,-0.4501,2.7416,1977-02-15,1977.1260273972603
1977,3,336.51,333.7838,3.4667,337.2505,-0.7405,2.7746,1977-03-15,1977.2027397260274
1977,4,337.27,334.0151,3.7144,337.7295,-0.4595,2.7568,1977-04-15,1977.2876712328766
1977,5,337.21,334.2432,2.6273,336.8705,0.3395,2.699,1977-05-15,1977.3698630136987
1977,6,334.93,334.4649,0.2279,334.6928,0.2372,2.5999,1977-06-15,1977.454794520548
1977,7,332.7,334.6765,-2.61,332.0666,0.6334,2.4531,1977-07-15,1977.5369863013698
1977,8,331.52,334.8737,-4.4962,330.3776,1.1424,2.2593,1977-08-15,1977.6219178082192
1977,9,331.17,335.0531,-4.4392,330.6139,0.5561,2.0319,1977-09-15,1977.7068493150684
1977,10,332.48,335.2124,-2.7282,332.4843,-0.0042,1.7803,1977-10-15,1977.7890410958903
1977,11,334.95,335.3498,-0.6685,334.6813,0.2687,1.5227,1977-11-15,1977.8739726027397
1977,12,336.51,335.4662,0.7446,336.2108,0.2992,1.2836,1977-12-15,1977.9561643835616
1978,1,337.36,335.5638,1.6237,337.1875,0.1725,1.0704,1978-01-15,1978.041095890411
1978,2,338.12,335.6446,2.5374,338.182,-0.062,0.8881,1978-02-15,1978.1260273972603
1978,3,338.45,335.7118,3.4667,339.1785,-0.7285,0.7526,1978-03-15,1978.2027397260274
1978,4,338.51,335.77,3.7144,339.4844,-0.9744,0.6784,1978-04-15,1978.2876712328766
1978,5,338.68,335.8248,2.6273,338.4521,0.2279,0.6641,1978-05-15,1978.3698630136987
1978,6,337.44,335.8807,0.2279,336.1086,1.3314,0.7007,1978-06-15,1978.454794520548
1978,7,334.34,335.9416,-2.61,333.3316,1.0084,0.7755,1978-07-15,1978.5369863013698
1978,8,331.06,336.0099,-4.4962,331.5138,-0.4538,0.8679,1978-08-15,1978.6219178082192
1978,9,330.8,336.0863,-4.4392,331.647,-0.8471,0.9651,1978-09-15,1978.7068493150684
1978,10,333.41,336.1708,-2.7282,333.4427,-0.0327,1.0459,1978-10-15,1978.7890410958903
1978,11,335.14,336.2606,-0.6685,335.592,-0.452,1.088,1978-11-15,1978.8739726027397
1978,12,336.63,336.3521,0.7446,337.0967,-0.4667,1.0966,1978-12-15,1978.9561643835616
