yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2006,7,383.48,388.1541,-7.412,380.7421,2.7379,-5.4736,2006-07-15,2006.5369863013698
2006,8,376.65,387.7328,-9.9765,377.7563,-1.1063,-4.6824,2006-08-15,2006.6219178082192
2006,9,377.33,387.3737,-7.3651,380.0086,-2.6787,-3.8207,2006-09-15,2006.7068493150684
2006,10,382.3,387.096,-0.8059,386.2901,-3.9901,-2.8173,2006-10-15,2006.7890410958903
2006,11,388.4,386.9042,3.5718,390.476,-2.076,-1.7391,2006-11-15,2006.8739726027397
2006,12,393.44,386.8062,4.3573,391.1635,2.2765,-0.5599,2006-12-15,2006.9561643835616
2007,1,395.19,386.8109,5.6068,392.4177,2.7723,0.6987,2007-01-15,2007.041095890411
2007,2,394.24,386.9226,7.8838,394.8064,-0.5664,1.9748,2007-02-15,2007.1260273972603
2007,3,389.69,387.14,7.0776,394.2176,-4.5276,3.1743,2007-03-15,2007.2027397260274
2007,4,384.78,387.4517,2.6111,390.0628,-5.2828,4.1931,2007-04-15,2007.2876712328766
2007,5,383.01,387.8389,-1.479,386.3598,-3.3498,4.9495,2007-05-15,2007.3698630136987
2007,6,382.98,388.2766,-4.0698,384.2068,-1.2268,5.3793,2007-06-15,2007.454794520548
2007,7,384.48,388.7354,-7.412,381.3234,3.1566,5.4435,2007-07-15,2007.5369863013698
2007,8,381.22,389.1838,-9.9765,379.2073,2.0127,5.1116,2007-08-15,2007.6219178082192
2007,9,384.31,389.5873,-7.3651,382.2222,2.0878,4.4132,2007-09-15,2007.7068493150684
2007,10,395.73,389.9194,-0.8059,389.1135,6.6166,3.4504,2007-10-15,2007.7890410958903
2007,11,392.64,390.1624,3.5718,393.7342,-1.0942,2.3287,2007-11-15,2007.8739726027397
2007,12,388.83,390.3075,4.3573,394.6648,-5.8348,1.1451,2007-12-15,2007.9561643835616
2008,1,398.48,390.3533,5.6068,395.9601,2.5199,0.0145,2008-01-15,2008.0409836065573
2008,2,403.71,390.3099,7.8838,398.1937,5.5163,-0.9666,2008-02-15,2008.1256830601094
2008,3,401.2,390.1922,7.0776,397.2697,3.9303,-1.7629,2008-03-15,2008.204918032787
2008,4,394.41,390.0161,2.6111,392.6272,1.7828,-2.341,2008-04-15,2008.2896174863388
2008,5,386.78,389.802,-1.479,388.323,-1.543,-2.6265,2008-05-15,2008.3715846994535
2008,6,383.48,389.5783,-4.0698,385.5085,-2.0285,-2.5532,2008-06-15,2008.4562841530055
2008,7,379.5959,389.3765,-7.412,381.9644,-2.3685,-2.1379,2008-07-15,2008.5382513661202
2008,8,376.796,389.222,-9.9765,379.2455,-2.4495,-1.4568,2008-08-15,2008.622950819672
2008,9,379.0403,389.1337,-7.3651,381.7686,-2.7283,-0.6145,2008-09-15,2008.707650273224
2008,10,385.22,389.1196,-0.8059,388.3137,-3.0937,0.2531,2008-10-15,2008.7896174863388
2008,11,394.07,389.1758,3.5718,392.7476,1.3224,1.0664,2008-11-15,2008.8743169398906
2008,12,396.35,389.2973,4.3573,393.6547,2.6953,1.7979,2008-12-15,2008.9562841530055
2009,1,393.29,389.4755,5.6068,395.0823,-1.7923,2.3705,2009-01-15,2009.041095890411
2009,2,397.1,389.6924,7.8838,397.5762,-0.4762,2.7918,2009-02-15,2009.1260273972603
2009,3,398.66,389.9408,7.0776,397.0184,1.6416,3.1269,2009-03-15,2009.2027397260274
2009,4,393.51,390.2136,2.6111,392.8247,0.6853,3.2715,2009-04-15,2009.2876712328766
2009,5,387.63,390.4861,-1.479,389.007,-1.377,3.15,2009-05-15,2009.3698630136987
2009,6,384.53,390.7386,-4.0698,386.6688,-2.1387,2.8541,2009-06-15,2009.454794520548
2009,7,384.1,390.9617,-7.412,383.5497,0.5503,2.4666,2009-07-15,2009.5369863013698
2009,8,383.12,391.1497,-9.9765,381.1731,1.9469,2.0689,2009-08-15,2009.6219178082192
2009,9,386.17,391.3065,-7.3651,383.9414,2.2286,1.747,2009-09-15,2009.7068493150684
2009,10,392.64,391.4408,-0.8059,390.6349,2.0051,1.5331,2009-10-15,2009.7890410958903
2009,11,394.37,391.5621,3.5718,395.1338,-0.7638,1.4328,2009-11-15,2009.8739726027397
2009,12,394.26,391.6796,4.3573,396.037,-1.7769,1.4304,2009-12-15,2009.9561643835616
2010,1,396.73,391.8005,5.6068,397.4073,-0.6773,1.4995,2010-01-15,2010.041095890411
2010,2,400.27,391.9295,7.8838,399.8133,0.4567,1.5775,2010-02-15,2010.1260273972603
2010,3,398.86,392.0634,7.0776,399.141,-0.281,1.6229,2010-03-15,2010.2027397260274
2010,4,395.06,392.2,2.6111,394.8111,0.2489,1.695,2010-04-15,2010.2876712328766
2010,5,391.29,392.3459,-1.479,390.8669,0.4231,1.8076,2010-05-15,2010.3698630136987
2010,6,385.83,392.5013,-4.0698,388.4315,-2.6015,1.8931,2010-06-15,2010.454794520548
2010,7,383.87,392.6614,-7.412,385.2494,-1.3794,1.9246,2010-07-15,2010.5369863013698
2010,8,383.02,392.8221,-9.9765,382.8455,0.1745,1.9133,2010-08-15,2010.6219178082192
