yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1987,1,348.78,349.1885,-0.035,349.1535,-0.3735,3.2639,1987-01-15,1987.041095890411
1987,2,349.7,349.4581,0.7988,350.2569,-0.5569,3.1992,1987-02-15,1987.1260273972603
1987,3,350.83,349.7217,1.4401,351.1618,-0.3318,3.1036,1987-03-15,1987.2027397260274
1987,4,351.85,349.9753,1.7222,351.6975,0.1525,2.9575,1987-04-15,1987.2876712328766
1987,5,352.32,350.2146,1.5302,351.7448,0.5752,2.7669,1987-05-15,1987.3698630136987
1987,6,352.12,350.4365,0.8972,351.3336,0.7863,2.5446,1987-06-15,1987.454794520548
1987,7,351.38,350.6387,0.023,350.6618,0.7182,2.3102,1987-07-15,1987.5369863013698
1987,8,350.46,350.8215,-0.8351,349.9864,0.4736,2.0861,1987-08-15,1987.6219178082192
1987,9,349.78,350.9864,-1.4644,349.522,0.258,1.8948,1987-09-15,1987.7068493150684
1987,10,349.56,351.1373,-1.7102,349.4271,0.1329,1.7567,1987-10-15,1987.7890410958903
1987,11,349.81,351.2792,-1.4939,349.7853,0.0247,1.6824,1987-11-15,1987.8739726027397
1987,12,350.48,351.4177,-0.8728,350.5449,-0.0649,1.6749,1987-12-15,1987.9561643835616
1988,1,351.38,351.5583,-0.035,351.5233,-0.1433,1.7294,1988-01-15,1988.0409836065573
1988,2,352.18,351.706,0.7988,352.5048,-0.3248,1.8338,1988-02-15,1988.1256830601094
1988,3,352.88,351.864,1.4401,353.3041,-0.4241,1.9677,1988-03-15,1988.204918032787
1988,4,353.22,352.0339,1.7222,353.7561,-0.5361,2.1081,1988-04-15,1988.2896174863388
1988,5,353.18,352.2153,1.5302,353.7455,-0.5655,2.2326,1988-05-15,1988.3715846994535
1988,6,352.86,352.406,0.8972,353.3032,-0.4432,2.3181,1988-06-15,1988.4562841530055
1988,7,352.44,352.6017,0.023,352.6247,-0.1847,2.3443,1988-07-15,1988.5382513661202
1988,8,352.14,352.7967,-0.8351,351.9616,0.1784,2.3026,1988-08-15,1988.622950819672
1988,9,352.04,352.9854,-1.4644,351.521,0.519,2.1938,1988-09-15,1988.707650273224
1988,10,352.18,353.1624,-1.7102,351.4521,0.7278,2.031,1988-10-15,1988.7896174863388
1988,11,352.58,353.3239,-1.4939,351.83,0.7499,1.834,1988-11-15,1988.8743169398906
1988,12,353.21,353.468,-0.8728,352.5952,0.6148,1.6225,1988-12-15,1988.9562841530055
1989,1,353.91,353.5944,-0.035,353.5594,0.3506,1.4178,1989-01-15,1989.041095890411
1989,2,354.62,353.7043,0.7988,354.5032,0.1168,1.2352,1989-02-15,1989.1260273972603
1989,3,355.2,353.8002,1.4401,355.2404,-0.0403,1.0869,1989-03-15,1989.2027397260274
1989,4,355.4,353.8855,1.7222,355.6076,-0.2076,0.9792,1989-04-15,1989.2876712328766
1989,5,355.13,353.9634,1.5302,355.4936,-0.3636,0.9113,1989-05-15,1989.3698630136987
1989,6,354.54,354.0374,0.8972,354.9345,-0.3945,0.8809,1989-06-15,1989.454794520548
1989,7,353.91,354.1103,0.023,354.1333,-0.2233,0.8835,1989-07-15,1989.5369863013698
1989,8,353.28,354.1846,-0.8351,353.3495,-0.0695,0.9124,1989-08-15,1989.6219178082192
1989,9,352.87,354.2623,-1.4644,352.7979,0.0721,0.9608,1989-09-15,1989.7068493150684
1989,10,352.78,354.3447,-1.7102,352.6345,0.1455,1.0173,1989-10-15,1989.7890410958903
1989,11,353.06,354.4319,-1.4939,352.938,0.122,1.0715,1989-11-15,1989.8739726027397
