yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1987,3,348.46,348.1234,0.3785,348.502,-0.042,2.0826,1987-03-15,1987.2027397260274
1987,4,348.28,348.2988,0.1062,348.4049,-0.1249,2.1178,1987-04-15,1987.2876712328766
1987,5,348.24,348.4764,0.0046,348.481,-0.241,2.1409,1987-05-15,1987.3698630136987
1987,6,348.44,348.6556,0.0624,348.718,-0.278,2.1568,1987-06-15,1987.454794520548
1987,7,348.75,348.8359,0.0725,348.9084,-0.1583,2.1703,1987-07-15,1987.5369863013698
1987,8,348.93,349.0173,-0.1248,348.8925,0.0375,2.1844,1987-08-15,1987.6219178082192
1987,9,348.98,349.2,-0.4529,348.7471,0.2329,2.2048,1987-09-15,1987.7068493150684
1987,10,349.11,349.3848,-0.6398,348.745,0.365,2.2368,1987-10-15,1987.7890410958903
1987,11,349.48,349.5728,-0.4638,349.1089,0.3711,2.2844,1987-11-15,1987.8739726027397
1987,12,349.99,349.7655,0.0119,349.7774,0.2126,2.3492,1987-12-15,1987.9561643835616
1988,1,350.36,349.9643,0.4611,350.4254,-0.0655,2.4311,1988-01-15,1988.0409836065573
1988,2,350.39,350.1707,0.5841,350.7547,-0.3647,2.5261,1988-02-15,1988.1256830601094
1988,3,350.22,350.3853,0.3785,350.7638,-0.5438,2.6257,1988-03-15,1988.204918032787
1988,4,350.17,350.6083,0.1062,350.7145,-0.5445,2.7206,1988-04-15,1988.2896174863388
1988,5,350.44,350.8387,0.0046,350.8433,-0.4033,2.7944,1988-05-15,1988.3715846994535
1988,6,350.99,351.074,0.0624,351.1365,-0.1465,2.8347,1988-06-15,1988.4562841530055
1988,7,351.48,351.3112,0.0725,351.3837,0.0964,2.8317,1988-07-15,1988.5382513661202
1988,8,351.64,351.546,-0.1248,351.4212,0.2188,2.7775,1988-08-15,1988.622950819672
1988,9,351.61,351.7741,-0.4529,351.3213,0.2887,2.6713,1988-09-15,1988.707650273224
1988,10,351.68,351.9912,-0.6398,351.3514,0.3286,2.514,1988-10-15,1988.7896174863388
1988,11,352.05,352.1931,-0.4638,351.7293,0.3207,2.3128,1988-11-15,1988.8743169398906
1988,12,352.74,352.3767,0.0119,352.3886,0.3514,2.081,1988-12-15,1988.9562841530055
1989,1,353.39,352.5399,0.4611,353.0011,0.3889,1.8375,1989-01-15,1989.041095890411
1989,2,353.65,352.6829,0.5841,353.267,0.383,1.6014,1989-02-15,1989.1260273972603
1989,3,353.54,352.8069,0.3785,353.1854,0.3546,1.3925,1989-03-15,1989.2027397260274
1989,4,353.25,352.915,0.1062,353.0212,0.2288,1.2264,1989-04-15,1989.2876712328766
1989,5,353.07,353.0113,0.0046,353.0158,0.0542,1.1122,1989-05-15,1989.3698630136987
1989,6,353.02,353.1004,0.0624,353.1628,-0.1428,1.0518,1989-06-15,1989.454794520548
1989,7,353.0,353.1866,0.0725,353.259,-0.259,1.0371,1989-07-15,1989.5369863013698
1989,8,352.84,353.2732,-0.1248,353.1484,-0.3084,1.0569,1989-08-15,1989.6219178082192
1989,9,352.63,353.3627,-0.4529,352.9099,-0.2798,1.0953,1989-09-15,1989.7068493150684
1989,10,352.62,353.4558,-0.6398,352.816,-0.196,1.1382,1989-10-15,1989.7890410958903
1989,11,353.0,353.5524,-0.4638,353.0886,-0.0886,1.1726,1989-11-15,1989.8739726027397
1989,12,353.69,353.6512,0.0119,353.6631,0.0269,1.19,1989-12-15,1989.9561643835616
1990,1,354.29,353.7507,0.4611,354.2119,0.0781,1.1889,1990-01-15,1990.041095890411
1990,2,354.61,353.8494,0.5841,354.4334,0.1766,1.1689,1990-02-15,1990.1260273972603
1990,3,354.58,353.9456,0.3785,354.3241,0.2559,1.1347,1990-03-15,1990.2027397260274
1990,4,354.39,354.0385,0.1062,354.1447,0.2454,1.093,1990-04-15,1990.2876712328766
1990,5,354.3,354.1277,0.0046,354.1323,0.1677,1.0497,1990-05-15,1990.3698630136987
1990,6,354.36,354.2134,0.0624,354.2759,0.0841,1.0106,1990-06-15,1990.454794520548
1990,7,354.39,354.2961,0.0725,354.3686,0.0214,0.9791,1990-07-15,1990.5369863013698
1990,8,354.21,354.3766,-0.1248,354.2518,-0.0418,0.9589,1990-08-15,1990.6219178082192
1990,9,353.89,354.456,-0.4529,354.0031,-0.1131,0.9512,1990-09-15,1990.7068493150684
1990,10,353.73,354.5352,-0.6398,353.8954,-0.1654,0.9542,1990-10-15,1990.7890410958903
1990,11,353.94,354.615,-0.4638,354.1512,-0.2111,0.9619,1990-11-15,1990.8739726027397
1990,12,354.49,354.6955,0.0119,354.7074,-0.2174,0.9668,1990-12-15,1990.9561643835616
1991,1,355.09,354.7761,0.4611,355.2373,-0.1473,0.962,1991-01-15,1991.041095890411
1991,2,355.44,354.8558,0.5841,355.4398,0.0001,0.9419,1991-02-15,1991.1260273972603
1991,3,355.49,354.9331,0.3785,355.3116,0.1784,0.9055,1991-03-15,1991.2027397260274
1991,4,355.45,355.0067,0.1062,355.1129,0.3371,0.8558,1991-04-15,1991.2876712328766
1991,5,355.43,355.0757,0.0046,355.0803,0.3497,0.7991,1991-05-15,1991.3698630136987
1991,6,355.44,355.1399,0.0624,355.2023,0.2377,0.7423,1991-06-15,1991.454794520548
1991,7,355.36,355.1995,0.0725,355.2719,0.0881,0.6934,1991-07-15,1991.5369863013698
1991,8,355.08,355.2555,-0.1248,355.1307,-0.0507,0.6594,1991-08-15,1991.6219178082192
1991,9,354.75,355.3094,-0.4529,354.8565,-0.1065,0.644,1991-09-15,1991.7068493150684
1991,10,354.65,355.3628,-0.6398,354.723,-0.073,0.6454,1991-10-15,1991.7890410958903
1991,11,354.93,355.4169,-0.4638,354.9531,-0.0231,0.6641,1991-11-15,1991.8739726027397
1991,12,355.38,355.4735,0.0119,355.4854,-0.1054,0.6987,1991-12-15,1991.9561643835616
1992,1,355.81,355.5334,0.4611,355.9945,-0.1845,0.7441,1992-01-15,1992.0409836065573
1992,2,355.94,355.5975,0.5841,356.1815,-0.2416,0.7958,1992-02-15,1992.1256830601094
1992,3,355.84,355.666,0.3785,356.0445,-0.2045,0.8454,1992-03-15,1992.204918032787
1992,4,355.75,355.7384,0.1062,355.8446,-0.0946,0.8848,1992-04-15,1992.2896174863388
1992,5,355.88,355.8135,0.0046,355.8181,0.0619,0.9084,1992-05-15,1992.3715846994535
1992,6,356.14,355.8898,0.0624,355.9522,0.1878,0.9175,1992-06-15,1992.4562841530055
1992,7,356.31,355.9664,0.0725,356.0389,0.2711,0.9163,1992-07-15,1992.5382513661202
1992,8,356.15,356.0425,-0.1248,355.9177,0.2323,0.9122,1992-08-15,1992.622950819672
1992,9,355.78,356.1184,-0.4529,355.6656,0.1144,0.9128,1992-09-15,1992.707650273224
1992,10,355.48,356.1946,-0.6398,355.5548,-0.0748,0.9221,1992-10-15,1992.7896174863388
1992,11,355.61,356.2721,-0.4638,355.8083,-0.1983,0.9467,1992-11-15,1992.8743169398906
1992,12,356.19,356.3524,0.0119,356.3643,-0.1743,0.9908,1992-12-15,1992.9562841530055
1993,1,356.83,356.4373,0.4611,356.8984,-0.0684,1.0582,1993-01-15,1993.041095890411
1993,2,357.09,356.5288,0.5841,357.1128,-0.0228,1.1494,1993-02-15,1993.1260273972603
1993,3,356.98,356.6288,0.3785,357.0073,-0.0273,1.2592,1993-03-15,1993.2027397260274
1993,4,356.67,356.7386,0.1062,356.8448,-0.1748,1.3801,1993-04-15,1993.2876712328766
1993,5,356.54,356.8588,0.0046,356.8634,-0.3234,1.5011,1993-05-15,1993.3698630136987
1993,6,356.73,356.9888,0.0624,357.0513,-0.3212,1.6095,1993-06-15,1993.454794520548
1993,7,357.08,357.1271,0.0725,357.1996,-0.1196,1.6891,1993-07-15,1993.5369863013698
1993,8,357.24,357.2704,-0.1248,357.1456,0.0944,1.7313,1993-08-15,1993.6219178082192
1993,9,357.11,357.4156,-0.4529,356.9628,0.1472,1.7314,1993-09-15,1993.7068493150684
1993,10,356.98,357.5589,-0.6398,356.9191,0.0609,1.687,1993-10-15,1993.7890410958903
1993,11,357.16,357.6968,-0.4638,357.2329,-0.0729,1.6038,1993-11-15,1993.8739726027397
1993,12,357.79,357.8262,0.0119,357.8382,-0.0481,1.493,1993-12-15,1993.9561643835616
1994,1,358.56,357.9456,0.4611,358.4068,0.1532,1.3707,1994-01-15,1994.041095890411
1994,2,359.03,358.0547,0.5841,358.6387,0.3913,1.2559,1994-02-15,1994.1260273972603
1994,3,359.11,358.1549,0.3785,358.5334,0.5765,1.168,1994-03-15,1994.2027397260274
1994,4,358.7374,358.2494,0.1062,358.3555,0.3819,1.1226,1994-04-15,1994.2876712328766
