yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1993,4,360.385,356.3759,4.3728,360.7487,-0.3637,0.9573,1993-04-15,1993.2876712328766
1993,5,359.064,356.4563,2.8516,359.3078,-0.2438,0.9972,1993-05-15,1993.3698630136987
1993,6,356.092,356.5421,-0.4804,356.0616,0.0304,1.0626,1993-06-15,1993.454794520548
1993,7,351.631,356.6334,-4.2221,352.4113,-0.7803,1.1404,1993-07-15,1993.5369863013698
1993,8,352.734,356.7321,-6.0934,350.6387,2.0953,1.2354,1993-08-15,1993.6219178082192
1993,9,350.727,356.8393,-5.1231,351.7161,-0.9892,1.3403,1993-09-15,1993.7068493150684
1993,10,354.684,356.9555,-2.541,354.4145,0.2695,1.4454,1993-10-15,1993.7890410958903
1993,11,356.702,357.0802,-0.1794,356.9008,-0.1988,1.5511,1993-11-15,1993.8739726027397
1993,12,357.297,357.214,1.3208,358.5348,-1.2378,1.6586,1993-12-15,1993.9561643835616
1994,1,359.73,357.3566,2.3903,359.7469,-0.0169,1.7527,1994-01-15,1994.041095890411
1994,2,361.328,357.5061,3.4212,360.9273,0.4007,1.8203,1994-02-15,1994.1260273972603
1994,3,360.731,357.66,4.2827,361.9427,-1.2117,1.8636,1994-03-15,1994.2027397260274
1994,4,363.544,357.8167,4.3728,362.1896,1.3544,1.8906,1994-04-15,1994.2876712328766
1994,5,360.75,357.9751,2.8516,360.8266,-0.0766,1.9096,1994-05-15,1994.3698630136987
1994,6,357.4967,358.135,-0.4804,357.6546,-0.1579,1.9226,1994-06-15,1994.454794520548
1994,7,353.942,358.2955,-4.2221,354.0734,-0.1314,1.9352,1994-07-15,1994.5369863013698
1994,8,352.395,358.4576,-6.0934,352.3641,0.0308,1.9556,1994-08-15,1994.6219178082192
1994,9,354.436,358.6214,-5.1231,353.4983,0.9377,1.9818,1994-09-15,1994.7068493150684
1994,10,356.107,358.7878,-2.541,356.2468,-0.1398,2.0231,1994-10-15,1994.7890410958903
1994,11,358.532,358.9586,-0.1794,358.7792,-0.2472,2.0616,1994-11-15,1994.8739726027397
1994,12,359.924,359.1314,1.3208,360.4522,-0.5282,2.1088,1994-12-15,1994.9561643835616
1995,1,362.216,359.3101,2.3903,361.7004,0.5156,2.1735,1995-01-15,1995.041095890411
1995,2,362.529,359.4937,3.4212,362.9149,-0.3859,2.2326,1995-02-15,1995.1260273972603
1995,3,362.9,359.6822,4.2827,363.9649,-1.0649,2.2965,1995-03-15,1995.2027397260274
1995,4,363.732,359.8764,4.3728,364.2493,-0.5173,2.3518,1995-04-15,1995.2876712328766
1995,5,363.356,360.0742,2.8516,362.9257,0.4303,2.3868,1995-05-15,1995.3698630136987
1995,6,360.226,360.2742,-0.4804,359.7938,0.4322,2.4119,1995-06-15,1995.454794520548
1995,7,356.968,360.4761,-4.2221,356.2541,0.7139,2.4049,1995-07-15,1995.5369863013698
1995,8,354.306,360.675,-6.0934,354.5816,-0.2756,2.3665,1995-08-15,1995.6219178082192
1995,9,356.266,360.8705,-5.1231,355.7474,0.5186,2.3073,1995-09-15,1995.7068493150684
1995,10,358.417,361.0596,-2.541,358.5186,-0.1016,2.2141,1995-10-15,1995.7890410958903
1995,11,361.1,361.2396,-0.1794,361.0602,0.0398,2.0839,1995-11-15,1995.8739726027397
1995,12,362.793,361.4069,1.3208,362.7277,0.0653,1.9208,1995-12-15,1995.9561643835616
1996,1,363.662,361.5597,2.3903,363.95,-0.288,1.7534,1996-01-15,1996.0409836065573
1996,2,365.336,361.6992,3.4212,365.1204,0.2156,1.597,1996-02-15,1996.1256830601094
1996,3,365.763,361.8259,4.2827,366.1086,-0.3456,1.457,1996-03-15,1996.204918032787
1996,4,366.489,361.942,4.3728,366.3148,0.1742,1.3323,1996-04-15,1996.2896174863388
1996,5,365.548,362.0479,2.8516,364.8995,0.6485,1.225,1996-05-15,1996.3715846994535
1996,6,362.126,362.1461,-0.4804,361.6657,0.4603,1.1558,1996-06-15,1996.4562841530055
1996,7,358.811,362.2405,-4.2221,358.0185,0.7925,1.1232,1996-07-15,1996.5382513661202
1996,8,355.957,362.3333,-6.0934,356.2399,-0.2829,1.1085,1996-08-15,1996.622950819672
