yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1987,1,353.15,350.1999,3.0955,353.2954,-0.1454,2.6356,1987-01-15,1987.041095890411
1987,2,354.0,350.4216,3.9354,354.357,-0.357,2.6704,1987-02-15,1987.1260273972603
1987,3,354.8,350.645,5.0935,355.7384,-0.9384,2.6873,1987-03-15,1987.2027397260274
1987,4,356.53,350.8695,5.4783,356.3478,0.1822,2.6838,1987-04-15,1987.2876712328766
1987,5,354.7,351.0923,3.4701,354.5624,0.1376,2.6389,1987-05-15,1987.3698630136987
1987,6,349.59,351.3093,-1.2809,350.0284,-0.4384,2.5823,1987-06-15,1987.454794520548
1987,7,345.91,351.5226,-6.4324,345.0902,0.8198,2.536,1987-07-15,1987.5369863013698
1987,8,345.58,351.732,-8.4948,343.2372,2.3428,2.5047,1987-08-15,1987.6219178082192
1987,9,344.81,351.9401,-6.3159,345.6242,-0.8142,2.5085,1987-09-15,1987.7068493150684
1987,10,350.02,352.1501,-2.1414,350.0087,0.0113,2.5424,1987-10-15,1987.7890410958903
1987,11,352.78,352.3638,1.0893,353.4531,-0.6731,2.5986,1987-11-15,1987.8739726027397
1987,12,354.55,352.5832,2.5034,355.0865,-0.5366,2.6794,1987-12-15,1987.9561643835616
1988,1,355.95,352.8104,3.0955,355.9059,0.0441,2.7711,1988-01-15,1988.0409836065573
1988,2,356.9,353.045,3.9354,356.9804,-0.0804,2.8433,1988-02-15,1988.1256830601094
1988,3,357.57,353.2843,5.0935,358.3777,-0.8077,2.8927,1988-03-15,1988.204918032787
1988,4,358.54,353.5271,5.4783,359.0055,-0.4655,2.9139,1988-04-15,1988.2896174863388
1988,5,357.96,353.7699,3.4701,357.2401,0.7199,2.8949,1988-05-15,1988.3715846994535
1988,6,351.65,354.0096,-1.2809,352.7287,-1.0787,2.8369,1988-06-15,1988.4562841530055
1988,7,347.18,354.2427,-6.4324,347.8103,-0.6303,2.7389,1988-07-15,1988.5382513661202
1988,8,348.63,354.4661,-8.4948,345.9713,2.6587,2.6109,1988-08-15,1988.622950819672
1988,9,348.45,354.6779,-6.3159,348.362,0.088,2.4701,1988-09-15,1988.707650273224
1988,10,354.13,354.8778,-2.1414,352.7364,1.3936,2.3121,1988-10-15,1988.7896174863388
1988,11,356.54,355.0632,1.0893,356.1525,0.3875,2.1321,1988-11-15,1988.8743169398906
1988,12,357.14,355.2331,2.5034,357.7365,-0.5965,1.9713,1988-12-15,1988.9562841530055
1989,1,358.32,355.3918,3.0955,358.4873,-0.1673,1.8477,1989-01-15,1989.041095890411
1989,2,359.52,355.5411,3.9354,359.4765,0.0435,1.7457,1989-02-15,1989.1260273972603
1989,3,359.51,355.6827,5.0935,360.7762,-1.2662,1.6644,1989-03-15,1989.2027397260274
1989,4,360.51,355.8185,5.4783,361.2968,-0.7868,1.5806,1989-04-15,1989.2876712328766
1989,5,360.24,355.9462,3.4701,359.4163,0.8237,1.4718,1989-05-15,1989.3698630136987
1989,6,354.34,356.0638,-1.2809,354.7829,-0.4429,1.3619,1989-06-15,1989.454794520548
1989,7,350.39,356.1732,-6.4324,349.7407,0.6493,1.2676,1989-07-15,1989.5369863013698
1989,8,348.05,356.2751,-8.4948,347.7802,0.2697,1.1702,1989-08-15,1989.6219178082192
1989,9,351.34,356.3682,-6.3159,350.0523,1.2877,1.0792,1989-09-15,1989.7068493150684
1989,10,354.87,356.4549,-2.1414,354.3135,0.5565,0.9937,1989-10-15,1989.7890410958903
1989,11,357.66,356.5338,1.0893,357.6231,0.0369,0.8857,1989-11-15,1989.8739726027397
1989,12,358.47,356.6025,2.5034,359.1059,-0.6359,0.7885,1989-12-15,1989.9561643835616
1990,1,359.95,356.6652,3.0955,359.7607,0.1893,0.7256,1990-01-15,1990.041095890411
1990,2,360.63,356.7235,3.9354,360.6589,-0.0289,0.6949,1990-02-15,1990.1260273972603
1990,3,361.86,356.781,5.0935,361.8745,-0.0145,0.7196,1990-03-15,1990.2027397260274
1990,4,361.67,356.8434,5.4783,362.3217,-0.6517,0.7852,1990-04-15,1990.2876712328766
1990,5,360.01,356.9119,3.4701,360.382,-0.372,0.8666,1990-05-15,1990.3698630136987
1990,6,354.19,356.9879,-1.2809,355.7069,-1.5169,0.9824,1990-06-15,1990.454794520548
1990,7,350.62,357.0756,-6.4324,350.6432,-0.0232,1.1164,1990-07-15,1990.5369863013698
1990,8,350.53,357.1739,-8.4948,348.6791,1.8509,1.2297,1990-08-15,1990.6219178082192
1990,9,351.8,357.2806,-6.3159,350.9647,0.8353,1.3196,1990-09-15,1990.7068493150684
1990,10,355.01,357.3939,-2.1414,355.2525,-0.2425,1.3775,1990-10-15,1990.7890410958903
1990,11,358.14,357.5102,1.0893,358.5994,-0.4594,1.3975,1990-11-15,1990.8739726027397
1990,12,358.85,357.6268,2.5034,360.1302,-1.2801,1.3857,1990-12-15,1990.9561643835616
1991,1,361.02,357.7411,3.0955,360.8366,0.1834,1.3458,1991-01-15,1991.041095890411
1991,2,362.03,357.8511,3.9354,361.7865,0.2435,1.2823,1991-02-15,1991.1260273972603
1991,3,363.35,357.9548,5.0935,363.0483,0.3017,1.2292,1991-03-15,1991.2027397260274
1991,4,363.56,358.0559,5.4783,363.5343,0.0257,1.1917,1991-04-15,1991.2876712328766
1991,5,362.25,358.1534,3.4701,361.6236,0.6264,1.1125,1991-05-15,1991.3698630136987
1991,6,356.25,358.2414,-1.2809,356.9604,-0.7104,0.999,1991-06-15,1991.454794520548
1991,7,352.27,358.3199,-6.4324,351.8875,0.3825,0.8767,1991-07-15,1991.5369863013698
1991,8,351.18,358.3875,-8.4948,349.8927,1.2873,0.7427,1991-08-15,1991.6219178082192
1991,9,351.36,358.4437,-6.3159,352.1278,-0.7678,0.6075,1991-09-15,1991.7068493150684
1991,10,356.51,358.4887,-2.1414,356.3474,0.1627,0.4684,1991-10-15,1991.7890410958903
1991,11,359.02,358.5218,1.0893,359.6111,-0.5911,0.3149,1991-11-15,1991.8739726027397
1991,12,361.2,358.5412,2.5034,361.0446,0.1554,0.1701,1991-12-15,1991.9561643835616
1992,1,361.88,358.5501,3.0955,361.6456,0.2344,0.0648,1992-01-15,1992.0409836065573
1992,2,363.2,358.552,3.9354,362.4874,0.7126,0.0009,1992-02-15,1992.1256830601094
1992,3,363.34,358.5503,5.0935,363.6438,-0.3038,-0.0075,1992-03-15,1992.204918032787
1992,4,364.65,358.5508,5.4783,364.0291,0.6209,0.0423,1992-04-15,1992.2896174863388
1992,5,364.15,358.5573,3.4701,362.0275,2.1225,0.1317,1992-05-15,1992.3715846994535
1992,6,355.8,358.5727,-1.2809,357.2918,-1.4918,0.2593,1992-06-15,1992.4562841530055
1992,7,348.67,358.6006,-6.4324,352.1681,-3.4981,0.4125,1992-07-15,1992.5382513661202
1992,8,351.43,358.6415,-8.4948,350.1467,1.2833,0.577,1992-08-15,1992.622950819672
1992,9,351.75,358.6967,-6.3159,352.3808,-0.6308,0.748,1992-09-15,1992.707650273224
1992,10,357.12,358.7661,-2.1414,356.6248,0.4952,0.8963,1992-10-15,1992.7896174863388
1992,11,359.57,358.8461,1.0893,359.9354,-0.3654,1.0074,1992-11-15,1992.8743169398906
1992,12,361.76,358.9341,2.5034,361.4374,0.3226,1.0961,1992-12-15,1992.9562841530055
1993,1,361.84,359.0288,3.0955,362.1243,-0.2843,1.1505,1993-01-15,1993.041095890411
1993,2,363.19,359.1258,3.9354,363.0612,0.1288,1.1697,1993-02-15,1993.1260273972603
1993,3,364.03,359.2237,5.0935,364.3172,-0.2872,1.183,1993-03-15,1993.2027397260274
1993,4,365.0,359.323,5.4783,364.8013,0.1987,1.1816,1993-04-15,1993.2876712328766
1993,5,363.95,359.4207,3.4701,362.8908,1.0592,1.1627,1993-05-15,1993.3698630136987
1993,6,358.89,359.5168,-1.2809,358.2358,0.6542,1.1873,1993-06-15,1993.454794520548
1993,7,352.53,359.6185,-6.4324,353.1861,-0.6561,1.2766,1993-07-15,1993.5369863013698
1993,8,351.49,359.7295,-8.4948,351.2347,0.2553,1.3993,1993-08-15,1993.6219178082192
1993,9,352.32,359.8517,-6.3159,353.5358,-1.2158,1.5791,1993-09-15,1993.7068493150684
1993,10,358.25,359.9927,-2.1414,357.8513,0.3987,1.8325,1993-10-15,1993.7890410958903
1993,11,359.99,360.1572,1.0893,361.2464,-1.2565,2.0944,1993-11-15,1993.8739726027397
1993,12,362.12,360.3418,2.5034,362.8452,-0.7252,2.337,1993-12-15,1993.9561643835616
