yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1991,7,355.65,357.5465,-1.6333,355.9132,-0.2632,1.8558,1991-07-15,1991.5369863013698
1991,8,354.58,357.6937,-3.1652,354.5284,0.0516,1.6884,1991-08-15,1991.6219178082192
1991,9,353.77,357.8279,-3.4441,354.3839,-0.6138,1.5339,1991-09-15,1991.7068493150684
1991,10,355.96,357.9493,-2.7933,355.156,0.804,1.3784,1991-10-15,1991.7890410958903
1991,11,358.76,358.0576,-1.5253,356.5324,2.2276,1.2301,1991-11-15,1991.8739726027397
1991,12,359.2,358.1543,0.2712,358.4255,0.7745,1.1078,1991-12-15,1991.9561643835616
1992,1,360.25,358.2423,1.979,360.2213,0.0288,1.0256,1992-01-15,1992.0409836065573
1992,2,360.69,358.3253,2.763,361.0883,-0.3982,0.988,1992-02-15,1992.1256830601094
1992,3,359.21,358.407,2.6961,361.1031,-1.8931,0.991,1992-03-15,1992.204918032787
1992,4,359.55,358.4904,2.4476,360.938,-1.388,1.0197,1992-04-15,1992.2896174863388
1992,5,360.73,358.5769,1.9275,360.5044,0.2256,1.0558,1992-05-15,1992.3715846994535
1992,6,359.52,358.6664,0.4768,359.1431,0.3768,1.0895,1992-06-15,1992.4562841530055
1992,7,358.11,358.7585,-1.6333,357.1252,0.9848,1.1171,1992-07-15,1992.5382513661202
1992,8,356.73,358.8526,-3.1652,355.6873,1.0427,1.127,1992-08-15,1992.622950819672
1992,9,354.73,358.9463,-3.4441,355.5023,-0.7722,1.1155,1992-09-15,1992.707650273224
1992,10,355.61,359.0385,-2.7933,356.2452,-0.6352,1.0831,1992-10-15,1992.7896174863388
1992,11,357.62,359.1268,-1.5253,357.6016,0.0184,1.025,1992-11-15,1992.8743169398906
1992,12,358.98,359.2093,0.2712,359.4805,-0.5005,0.9551,1992-12-15,1992.9562841530055
1993,1,361.95,359.286,1.979,361.265,0.685,0.8809,1993-01-15,1993.041095890411
1993,2,363.0222,359.3561,2.763,362.1191,0.9031,0.8038,1993-02-15,1993.1260273972603
1993,3,362.8351,359.42,2.6961,362.1161,0.719,0.7491,1993-03-15,1993.2027397260274
1993,4,362.2115,359.481,2.4476,361.9286,0.2829,0.7311,1993-04-15,1993.2876712328766
1993,5,360.9904,359.5418,1.9275,361.4694,-0.479,0.7434,1993-05-15,1993.3698630136987
1993,6,359.0611,359.6049,0.4768,360.0816,-1.0206,0.7941,1993-06-15,1993.454794520548
1993,7,357.3365,359.6742,-1.6333,358.0409,-0.7044,0.8758,1993-07-15,1993.5369863013698
1993,8,356.5696,359.7509,-3.1652,356.5856,-0.016,0.9505,1993-08-15,1993.6219178082192
1993,9,356.4752,359.8326,-3.4441,356.3885,0.0867,0.9941,1993-09-15,1993.7068493150684
1993,10,356.9594,359.9165,-2.7933,357.1233,-0.1638,1.0012,1993-10-15,1993.7890410958903
1993,11,358.77,359.9995,-1.5253,358.4742,0.2958,0.9771,1993-11-15,1993.8739726027397
1993,12,360.06,360.0794,0.2712,360.3506,-0.2905,0.9483,1993-12-15,1993.9561643835616
1994,1,362.27,360.1575,1.979,362.1365,0.1335,0.9236,1994-01-15,1994.041095890411
1994,2,363.71,360.2333,2.763,362.9963,0.7137,0.8967,1994-02-15,1994.1260273972603
1994,3,363.666,360.307,2.6961,363.0031,0.6629,0.8811,1994-03-15,1994.2027397260274
1994,4,363.1855,360.3802,2.4476,362.8278,0.3577,0.8699,1994-04-15,1994.2876712328766
1994,5,362.1076,360.452,1.9275,362.3795,-0.2719,0.8582,1994-05-15,1994.3698630136987
1994,6,360.3215,360.5232,0.4768,360.9999,-0.6785,0.8648,1994-06-15,1994.454794520548
1994,7,358.74,360.5961,-1.6333,358.9628,-0.2228,0.9049,1994-07-15,1994.5369863013698
1994,8,357.96,360.674,-3.1652,357.5088,0.4512,0.9802,1994-08-15,1994.6219178082192
1994,9,357.15,360.7595,-3.4441,357.3154,-0.1654,1.0983,1994-09-15,1994.7068493150684
1994,10,357.1818,360.8571,-2.7933,358.0638,-0.882,1.2596,1994-10-15,1994.7890410958903
1994,11,358.54,360.9694,-1.5253,359.4441,-0.9041,1.452,1994-11-15,1994.8739726027397
1994,12,361.1933,361.0991,0.2712,361.3702,-0.1769,1.6899,1994-12-15,1994.9561643835616
1995,1,363.5,361.251,1.979,363.23,0.27,1.9821,1995-01-15,1995.041095890411
1995,2,365.0,361.4294,2.763,364.1924,0.8076,2.3124,1995-02-15,1995.1260273972603
1995,3,364.27,361.6364,2.6961,364.3326,-0.0626,2.6699,1995-03-15,1995.2027397260274
1995,4,364.57,361.8744,2.4476,364.322,0.248,3.0276,1995-04-15,1995.2876712328766
1995,5,363.4826,362.1411,1.9275,364.0686,-0.586,3.3413,1995-05-15,1995.3698630136987
1995,6,361.687,362.4313,0.4768,362.908,-1.221,3.59,1995-06-15,1995.454794520548
1995,7,360.096,362.7394,-1.6333,361.1061,-1.0101,3.759,1995-07-15,1995.5369863013698
1995,8,359.4628,363.0578,-3.1652,359.8925,-0.4297,3.8368,1995-08-15,1995.6219178082192
1995,9,359.5021,363.3788,-3.4441,359.9348,-0.4327,3.8331,1995-09-15,1995.7068493150684
1995,10,360.12,363.6966,-2.7933,360.9034,-0.7834,3.7397,1995-10-15,1995.7890410958903
1995,11,363.31,364.0021,-1.5253,362.4769,0.8331,3.5319,1995-11-15,1995.8739726027397
1995,12,365.12,364.2853,0.2712,364.5565,0.5635,3.2188,1995-12-15,1995.9561643835616
1996,1,368.06,364.5386,1.979,366.5176,1.5424,2.818,1996-01-15,1996.0409836065573
1996,2,369.84,364.7549,2.763,367.5179,2.3221,2.3458,1996-02-15,1996.1256830601094
1996,3,368.64,364.9296,2.6961,367.6257,1.0143,1.8446,1996-03-15,1996.204918032787
1996,4,368.04,365.0624,2.4476,367.51,0.53,1.3665,1996-04-15,1996.2896174863388
1996,5,367.37,365.1573,1.9275,367.0848,0.2851,0.9571,1996-05-15,1996.3715846994535
1996,6,364.45,365.2219,0.4768,365.6986,-1.2486,0.6601,1996-06-15,1996.4562841530055
1996,7,362.72,365.2673,-1.6333,363.634,-0.914,0.5041,1996-07-15,1996.5382513661202
1996,8,362.19,365.3059,-3.1652,362.1407,0.0493,0.4951,1996-08-15,1996.622950819672
1996,9,361.65,365.3499,-3.4441,361.9058,-0.2558,0.6255,1996-09-15,1996.707650273224
1996,10,363.39,365.4102,-2.7933,362.6169,0.7731,0.8535,1996-10-15,1996.7896174863388
1996,11,365.22,365.4921,-1.5253,363.9668,1.2532,1.1221,1996-11-15,1996.8743169398906
1996,12,364.95,365.5972,0.2712,365.8683,-0.9183,1.3925,1996-12-15,1996.9562841530055
1997,1,365.96,365.7242,1.979,367.7032,-1.7432,1.6315,1997-01-15,1997.041095890411
1997,2,367.22,365.8691,2.763,368.6321,-1.4121,1.795,1997-02-15,1997.1260273972603
1997,3,366.88,366.0233,2.6961,368.7195,-1.8395,1.8724,1997-03-15,1997.2027397260274
1997,4,368.35,366.1812,2.4476,368.6288,-0.2788,1.8713,1997-04-15,1997.2876712328766
1997,5,370.05,366.3352,1.9275,368.2628,1.7872,1.7913,1997-05-15,1997.3698630136987
1997,6,368.72,366.4797,0.4768,366.9565,1.7635,1.6719,1997-06-15,1997.454794520548
1997,7,366.3016,366.6139,-1.6333,364.9806,1.321,1.5494,1997-07-15,1997.5369863013698
1997,8,364.8409,366.7379,-3.1652,363.5727,1.2682,1.4357,1997-08-15,1997.6219178082192
1997,9,364.0528,366.8532,-3.4441,363.4091,0.6437,1.3557,1997-09-15,1997.7068493150684
1997,10,363.8432,366.9639,-2.7933,364.1706,-0.3274,1.324,1997-10-15,1997.7890410958903
1997,11,364.96,367.0739,-1.5253,365.5486,-0.5886,1.3321,1997-11-15,1997.8739726027397
1997,12,365.63,367.1859,0.2712,367.4571,-1.8271,1.3812,1997-12-15,1997.9561643835616
1998,1,367.97,367.304,1.979,369.283,-1.313,1.4639,1998-01-15,1998.041095890411
1998,2,369.81,367.4299,2.763,370.1929,-0.3829,1.5637,1998-02-15,1998.1260273972603
1998,3,369.51,367.5647,2.6961,370.2608,-0.7508,1.6877,1998-03-15,1998.2027397260274
1998,4,370.17,367.7112,2.4476,370.1588,0.0112,1.829,1998-04-15,1998.2876712328766
1998,5,370.92,367.8695,1.9275,369.797,1.123,1.9581,1998-05-15,1998.3698630136987
1998,6,369.01,368.0375,0.4768,368.5143,0.4957,2.0541,1998-06-15,1998.454794520548
1998,7,367.13,368.2119,-1.6333,366.5786,0.5514,2.096,1998-07-15,1998.5369863013698
1998,8,366.03,368.3869,-3.1652,365.2216,0.8084,2.0651,1998-08-15,1998.6219178082192
1998,9,364.84,368.556,-3.4441,365.112,-0.272,1.9737,1998-09-15,1998.7068493150684
1998,10,365.44,368.7158,-2.7933,365.9225,-0.4825,1.8184,1998-10-15,1998.7890410958903
