yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2002,4,379.26,377.2016,2.7966,379.9982,-0.7381,3.3684,2002-04-15,2002.2876712328766
2002,5,379.28,377.4726,3.1721,380.6447,-1.3647,3.1624,2002-05-15,2002.3698630136987
2002,6,379.98,377.7286,0.59,378.3186,1.6614,2.9637,2002-06-15,2002.454794520548
2002,7,374.82,377.9666,-4.6342,373.3324,1.4876,2.7277,2002-07-15,2002.5369863013698
2002,8,370.64,378.1833,-7.4416,370.7416,-0.1016,2.4769,2002-08-15,2002.6219178082192
2002,9,374.55,378.3794,-5.0828,373.2965,1.2534,2.2311,2002-09-15,2002.7068493150684
2002,10,377.58,378.5551,-0.9162,377.6389,-0.0589,1.981,2002-10-15,2002.7890410958903
2002,11,379.9444,378.7096,1.2562,379.9658,-0.0214,1.7463,2002-11-15,2002.8739726027397
2002,12,380.7518,378.8462,1.958,380.8042,-0.0524,1.5383,2002-12-15,2002.9561643835616
2003,1,381.6024,378.9659,2.7539,381.7198,-0.1174,1.3539,2003-01-15,2003.041095890411
2003,2,381.9836,379.0718,3.0134,382.0852,-0.1016,1.2257,2003-02-15,2003.1260273972603
2003,3,381.6927,379.1702,2.5349,381.7051,-0.0124,1.1585,2003-03-15,2003.2027397260274
2003,4,382.0915,379.2649,2.7966,382.0615,0.03,1.1228,2003-04-15,2003.2876712328766
2003,5,382.5191,379.3574,3.1721,382.5294,-0.0103,1.1127,2003-05-15,2003.3698630136987
2003,6,379.985,379.4503,0.59,380.0403,-0.0553,1.1373,2003-06-15,2003.454794520548
2003,7,374.8475,379.5469,-4.6342,374.9127,-0.0652,1.1638,2003-07-15,2003.5369863013698
2003,8,372.1383,379.6443,-7.4416,372.2027,-0.0644,1.1862,2003-08-15,2003.6219178082192
2003,9,374.62,379.7446,-5.0828,374.6617,-0.0418,1.2828,2003-09-15,2003.7068493150684
2003,10,380.03,379.8581,-0.9162,378.9419,1.0881,1.4874,2003-10-15,2003.7890410958903
