yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
2011,2,401.34,395.5934,5.8385,401.4319,-0.0919,-1.8376,2011-02-15,2011.1260273972603
2011,3,400.8,395.4415,5.0103,400.4518,0.3482,-1.7668,2011-03-15,2011.2027397260274
2011,4,400.49,395.2989,5.2168,400.5157,-0.0257,-1.628,2011-04-15,2011.2876712328766
2011,5,399.21,395.1702,4.997,400.1672,-0.9572,-1.4513,2011-05-15,2011.3698630136987
2011,6,396.66,395.057,-0.36,394.6971,1.963,-1.2486,2011-06-15,2011.454794520548
2011,7,384.32,394.9621,-9.4555,385.5066,-1.1866,-0.9979,2011-07-15,2011.5369863013698
2011,8,380.6,394.8907,-13.6614,381.2293,-0.6293,-0.6945,2011-08-15,2011.6219178082192
2011,9,384.27,394.8463,-8.9507,385.8957,-1.6257,-0.336,2011-09-15,2011.7068493150684
2011,10,391.98,394.8347,-1.3343,393.5004,-1.5204,0.08,2011-10-15,2011.7890410958903
2011,11,399.3,394.8597,2.8259,397.6855,1.6145,0.518,2011-11-15,2011.8739726027397
2011,12,400.57,394.921,4.3004,399.2214,1.3486,0.9529,2011-12-15,2011.9561643835616
2012,1,399.2,395.0185,5.573,400.5915,-1.3915,1.3841,2012-01-15,2012.0409836065573
2012,2,399.24,395.1517,5.8385,400.9902,-1.7502,1.7924,2012-02-15,2012.1256830601094
2012,3,399.63,395.3172,5.0103,400.3275,-0.6975,2.1498,2012-03-15,2012.204918032787
2012,4,401.25,395.51,5.2168,400.7268,0.5232,2.4598,2012-04-15,2012.2896174863388
2012,5,401.34,395.7272,4.997,400.7242,0.6158,2.7383,2012-05-15,2012.3715846994535
2012,6,395.13,395.9664,-0.36,395.6064,-0.4764,2.978,2012-06-15,2012.4562841530055
2012,7,384.69,396.2235,-9.4555,386.7681,-2.0781,3.1763,2012-07-15,2012.5382513661202
2012,8,382.84,396.4958,-13.6614,382.8344,0.0056,3.3483,2012-08-15,2012.622950819672
2012,9,389.21,396.7816,-8.9507,387.8309,1.3791,3.4655,2012-09-15,2012.707650273224
2012,10,396.27,397.0734,-1.3343,395.7391,0.5309,3.5338,2012-10-15,2012.7896174863388
2012,11,401.49,397.3705,2.8259,400.1964,1.2936,3.5843,2012-11-15,2012.8743169398906
2012,12,401.77,397.6707,4.3004,401.9711,-0.2011,3.6156,2012-12-15,2012.9562841530055
2013,1,401.63,397.9731,5.573,403.5461,-1.9161,3.6379,2013-01-15,2013.041095890411
2013,2,404.01,398.2771,5.8385,404.1156,-0.1056,3.629,2013-02-15,2013.1260273972603
2013,3,403.74,398.578,5.0103,403.5883,0.1517,3.5713,2013-03-15,2013.2027397260274
2013,4,403.01,398.8723,5.2168,404.0891,-1.079,3.4927,2013-04-15,2013.2876712328766
2013,5,404.03,399.1601,4.997,404.1571,-0.1271,3.4001,2013-05-15,2013.3698630136987
2013,6,400.78,399.439,-0.36,399.079,1.701,3.2628,2013-06-15,2013.454794520548
2013,7,391.39,399.7039,-9.4555,390.2484,1.1416,3.0712,2013-07-15,2013.5369863013698
2013,8,386.34,399.9508,-13.6614,386.2894,0.0506,2.8317,2013-08-15,2013.6219178082192
2013,9,391.53,400.1758,-8.9507,391.2252,0.3048,2.5433,2013-09-15,2013.7068493150684
2013,10,398.85,400.3747,-1.3343,399.0404,-0.1904,2.2169,2013-10-15,2013.7890410958903
2013,11,402.33,400.5453,2.8259,403.3712,-1.0412,1.8536,2013-11-15,2013.8739726027397
2013,12,405.17,400.6837,4.3004,404.984,0.186,1.4599,2013-12-15,2013.9561643835616
2014,1,407.52,400.7886,5.573,406.3616,1.1584,1.0898,2014-01-15,2014.041095890411
2014,2,407.73,400.8653,5.8385,406.7038,1.0262,0.7782,2014-02-15,2014.1260273972603
2014,3,407.25,400.9183,5.0103,405.9286,1.3214,0.54,2014-03-15,2014.2027397260274
2014,4,406.41,400.9553,5.2168,406.1721,0.2379,0.4131,2014-04-15,2014.2876712328766
2014,5,405.2,400.9872,4.997,405.9842,-0.7842,0.3944,2014-05-15,2014.3698630136987
2014,6,400.63,401.021,-0.36,400.6611,-0.0311,0.4534,2014-06-15,2014.454794520548
2014,7,391.27,401.0627,-9.4555,391.6073,-0.3373,0.6249,2014-07-15,2014.5369863013698
2014,8,387.04,401.1252,-13.6614,387.4638,-0.4238,0.9362,2014-08-15,2014.6219178082192
2014,9,392.58,401.2188,-8.9507,392.2681,0.3119,1.3326,2014-09-15,2014.7068493150684
2014,10,398.89,401.3473,-1.3343,400.013,-1.123,1.7787,2014-10-15,2014.7890410958903
2014,11,402.12,401.5152,2.8259,404.3411,-2.2211,2.2628,2014-11-15,2014.8739726027397
2014,12,405.13,401.7244,4.3004,406.0248,-0.8948,2.7244,2014-12-15,2014.9561643835616
2015,1,407.33,401.9693,5.573,407.5423,-0.2123,3.1249,2015-01-15,2015.041095890411
2015,2,408.72,402.2452,5.8385,408.0837,0.6363,3.4589,2015-02-15,2015.1260273972603
2015,3,408.54,402.5458,5.0103,407.5561,0.9839,3.6793,2015-03-15,2015.2027397260274
2015,4,407.51,402.8585,5.2168,408.0752,-0.5652,3.7603,2015-04-15,2015.2876712328766
2015,5,407.21,403.1725,4.997,408.1695,-0.9595,3.7273,2015-05-15,2015.3698630136987
2015,6,403.36,403.4797,-0.36,403.1197,0.2403,3.6008,2015-06-15,2015.454794520548
2015,7,393.72,403.7726,-9.4555,394.3171,-0.5971,3.4036,2015-07-15,2015.5369863013698
2015,8,390.41,404.0469,-13.6614,390.3856,0.0245,3.1613,2015-08-15,2015.6219178082192
2015,9,399.01,404.2995,-8.9507,395.3488,3.6612,2.8861,2015-09-15,2015.7068493150684
2015,10,405.27,404.528,-1.3343,403.1937,2.0763,2.6197,2015-10-15,2015.7890410958903
2015,11,406.62,404.7361,2.8259,407.562,-0.942,2.4243,2015-11-15,2015.8739726027397
2015,12,409.09,404.932,4.3004,409.2324,-0.1424,2.3209,2015-12-15,2015.9561643835616
2016,1,409.47,405.1229,5.573,410.6959,-1.2259,2.326,2016-01-15,2016.0409836065573
2016,2,409.17,405.3197,5.8385,411.1582,-1.9882,2.4547,2016-02-15,2016.1256830601094
2016,3,411.08,405.532,5.0103,410.5423,0.5377,2.6678,2016-03-15,2016.204918032787
2016,4,410.96,405.7643,5.2168,410.9811,-0.0211,2.9344,2016-04-15,2016.2896174863388
2016,5,410.12,406.0211,4.997,411.0182,-0.8981,3.2404,2016-05-15,2016.3715846994535
2016,6,406.53,406.3044,-0.36,405.9444,0.5856,3.5407,2016-06-15,2016.4562841530055
2016,7,397.69,406.6112,-9.4555,397.1558,0.5342,3.7861,2016-07-15,2016.5382513661202
2016,8,392.68,406.9354,-13.6614,393.274,-0.594,3.9329,2016-08-15,2016.622950819672
2016,9,397.07,407.2667,-8.9507,398.316,-1.246,3.9388,2016-09-15,2016.707650273224
2016,10,404.61,407.5919,-1.3343,406.2576,-1.6476,3.7921,2016-10-15,2016.7896174863388
2016,11,410.41,407.8987,2.8259,410.7246,-0.3146,3.4933,2016-11-15,2016.8743169398906
2016,12,414.51,408.1741,4.3004,412.4744,2.0356,3.0207,2016-12-15,2016.9562841530055
2017,1,416.4,408.4022,5.573,413.9752,2.4248,2.4066,2017-01-15,2017.041095890411
2017,2,415.24,408.5752,5.8385,414.4137,0.8263,1.7322,2017-02-15,2017.1260273972603
2017,3,414.88,408.6909,5.0103,413.7012,1.1788,1.0336,2017-03-15,2017.2027397260274
2017,4,414.54,408.7474,5.2168,413.9642,0.5758,0.3411,2017-04-15,2017.2876712328766
2017,5,414.04,408.7477,4.997,413.7448,0.2952,-0.2997,2017-05-15,2017.3698630136987
2017,6,410.34,408.6975,-0.36,408.3375,2.0025,-0.8807,2017-06-15,2017.454794520548
2017,7,400.22,408.601,-9.4555,399.1455,1.0745,-1.3839,2017-07-15,2017.5369863013698
2017,8,393.89,408.4668,-13.6614,394.8054,-0.9154,-1.7734,2017-08-15,2017.6219178082192
2017,9,397.62,408.3054,-8.9507,399.3547,-1.7347,-2.053,2017-09-15,2017.7068493150684
2017,10,406.06,408.1247,-1.3343,406.7904,-0.7304,-2.2348,2017-10-15,2017.7890410958903
2017,11,410.96,407.9329,2.8259,410.7588,0.2012,-2.3161,2017-11-15,2017.8739726027397
2017,12,412.72,407.7386,4.3004,412.039,0.681,-2.2597,2017-12-15,2017.9561643835616
