yy,mm,co2,trend,seasonality,co2_cal,resid,growth_rate,date,decimalyear
1994,9,357.34,356.939,0.592,357.531,-0.191,2.67,1994-09-15,1994.7068493150684
1994,10,357.34,357.1593,0.2696,357.4289,-0.0889,2.6146,1994-10-15,1994.7890410958903
1994,11,357.25,357.3748,-0.1544,357.2203,0.0297,2.5415,1994-11-15,1994.8739726027397
1994,12,357.06,357.5829,-0.643,356.9398,0.1201,2.4373,1994-12-15,1994.9561643835616
1995,1,357.08,357.781,-0.9042,356.8768,0.2032,2.3044,1995-01-15,1995.041095890411
1995,2,357.3,357.9669,-0.7536,357.2133,0.0867,2.1508,1995-02-15,1995.1260273972603
1995,3,357.8811,358.1394,-0.4185,357.721,0.1601,1.9843,1995-03-15,1995.2027397260274
1995,4,358.3131,358.2977,-0.1664,358.1313,0.1818,1.8104,1995-04-15,1995.2876712328766
1995,5,358.819,358.4412,0.0842,358.5253,0.2937,1.6333,1995-05-15,1995.3698630136987
1995,6,359.5405,358.5699,0.4695,359.0394,0.5011,1.4617,1995-06-15,1995.454794520548
1995,7,360.17,358.6848,0.8009,359.4857,0.6843,1.3046,1995-07-15,1995.5369863013698
1995,8,359.83,358.7873,0.8239,359.6112,0.2188,1.164,1995-08-15,1995.6219178082192
1995,9,359.04,358.8788,0.592,359.4708,-0.4308,1.0395,1995-09-15,1995.7068493150684
1995,10,358.75,358.9606,0.2696,359.2302,-0.4802,0.9337,1995-10-15,1995.7890410958903
1995,11,358.8,359.0344,-0.1544,358.88,-0.08,0.848,1995-11-15,1995.8739726027397
1995,12,358.46,359.1019,-0.643,358.4589,0.0011,0.7866,1995-12-15,1995.9561643835616
1996,1,358.22,359.1655,-0.9042,358.2613,-0.0413,0.7548,1996-01-15,1996.0409836065573
1996,2,358.53,359.2277,-0.7536,358.4741,0.0559,0.7544,1996-02-15,1996.1256830601094
1996,3,359.13,359.2912,-0.4185,358.8728,0.2572,0.7949,1996-03-15,1996.204918032787
1996,4,359.59,359.3602,-0.1664,359.1938,0.3962,0.8758,1996-04-15,1996.2896174863388
1996,5,359.6,359.4372,0.0842,359.5214,0.0786,0.9864,1996-05-15,1996.3715846994535
1996,6,359.79,359.5246,0.4695,359.9941,-0.2041,1.1166,1996-06-15,1996.4562841530055
1996,7,360.2,359.6233,0.8009,360.4242,-0.2242,1.2568,1996-07-15,1996.5382513661202
1996,8,360.35,359.734,0.8239,360.5579,-0.2079,1.3964,1996-08-15,1996.622950819672
1996,9,360.23,359.856,0.592,360.448,-0.218,1.5236,1996-09-15,1996.707650273224
1996,10,359.66,359.988,0.2696,360.2576,-0.5976,1.6304,1996-10-15,1996.7896174863388
1996,11,359.38,360.1277,-0.1544,359.9733,-0.5933,1.7141,1996-11-15,1996.8743169398906
1996,12,359.2555,360.2737,-0.643,359.6306,-0.3751,1.7772,1996-12-15,1996.9562841530055
1997,1,359.444,360.424,-0.9042,359.5197,-0.0757,1.821,1997-01-15,1997.041095890411
1997,2,360.1001,360.5771,-0.7536,359.8235,0.2766,1.8514,1997-02-15,1997.1260273972603
1997,3,360.8582,360.7325,-0.4185,360.3141,0.5441,1.8701,1997-03-15,1997.2027397260274
1997,4,361.4671,360.8888,-0.1664,360.7225,0.7446,1.879,1997-04-15,1997.2876712328766
1997,5,362.15,361.0457,0.0842,361.1299,1.0201,1.8884,1997-05-15,1997.3698630136987
1997,6,361.58,361.2036,0.4695,361.6731,-0.0931,1.9039,1997-06-15,1997.454794520548
1997,7,361.51,361.363,0.8009,362.1639,-0.6539,1.9294,1997-07-15,1997.5369863013698
1997,8,361.84,361.5251,0.8239,362.349,-0.509,1.9757,1997-08-15,1997.6219178082192
1997,9,361.95,361.6923,0.592,362.2843,-0.3343,2.0497,1997-09-15,1997.7068493150684
1997,10,361.71,361.8667,0.2696,362.1364,-0.4264,2.1453,1997-10-15,1997.7890410958903
1997,11,361.5686,362.0498,-0.1544,361.8954,-0.3268,2.2559,1997-11-15,1997.8739726027397
1997,12,361.3178,362.2427,-0.643,361.5997,-0.2819,2.3745,1997-12-15,1997.9561643835616
1998,1,361.3802,362.4456,-0.9042,361.5414,-0.1612,2.4915,1998-01-15,1998.041095890411
1998,2,361.91,362.658,-0.7536,361.9043,0.0057,2.5948,1998-02-15,1998.1260273972603
1998,3,363.12,362.8781,-0.4185,362.4596,0.6604,2.6689,1998-03-15,1998.2027397260274
1998,4,363.5,363.1028,-0.1664,362.9364,0.5636,2.7083,1998-04-15,1998.2876712328766
1998,5,363.12,363.3294,0.0842,363.4136,-0.2936,2.7101,1998-05-15,1998.3698630136987
1998,6,363.87,363.5545,0.4695,364.024,-0.154,2.6684,1998-06-15,1998.454794520548
1998,7,364.54,363.7742,0.8009,364.5751,-0.0351,2.5864,1998-07-15,1998.5369863013698
1998,8,364.66,363.9855,0.8239,364.8094,-0.1494,2.4712,1998-08-15,1998.6219178082192
1998,9,364.81,364.186,0.592,364.778,0.032,2.337,1998-09-15,1998.7068493150684
1998,10,364.89,364.375,0.2696,364.6447,0.2454,2.2026,1998-10-15,1998.7890410958903
1998,11,364.68,364.5531,-0.1544,364.3987,0.2813,2.0764,1998-11-15,1998.8739726027397
1998,12,364.21,364.7211,-0.643,364.0781,0.1319,1.9631,1998-12-15,1998.9561643835616
1999,1,364.2,364.8803,-0.9042,363.9761,0.2239,1.8636,1999-01-15,1999.041095890411
1999,2,364.55,365.0317,-0.7536,364.2781,0.2719,1.7772,1999-02-15,1999.1260273972603
1999,3,364.81,365.1765,-0.4185,364.7581,0.052,1.704,1999-03-15,1999.2027397260274
1999,4,365.02,365.3157,-0.1664,365.1494,-0.1294,1.6384,1999-04-15,1999.2876712328766
1999,5,365.61,365.4496,0.0842,365.5338,0.0762,1.5771,1999-05-15,1999.3698630136987
1999,6,366.36,365.5786,0.4695,366.0481,0.3119,1.5161,1999-06-15,1999.454794520548
1999,7,366.34,365.7023,0.8009,366.5032,-0.1632,1.4566,1999-07-15,1999.5369863013698
1999,8,366.27,365.8213,0.8239,366.6452,-0.3752,1.4073,1999-08-15,1999.6219178082192
1999,9,366.34,365.9368,0.592,366.5288,-0.1888,1.3658,1999-09-15,1999.7068493150684
1999,10,366.11,366.049,0.2696,366.3186,-0.2086,1.324,1999-10-15,1999.7890410958903
1999,11,365.99,366.1575,-0.1544,366.0031,-0.0131,1.2828,1999-11-15,1999.8739726027397
1999,12,366.14,366.2628,-0.643,365.6197,0.5203,1.2418,1999-12-15,1999.9561643835616
2000,1,366.15,366.3645,-0.9042,365.4603,0.6897,1.1992,2000-01-15,2000.0409836065573
2000,2,366.01,366.4626,-0.7536,365.709,0.301,1.1583,2000-02-15,2000.1256830601094
2000,3,366.04,366.5575,-0.4185,366.1391,-0.099,1.1228,2000-03-15,2000.204918032787
