date,yy,mm,co2,decimalyear,polypart,harmpart,resid,resid_smooth,resid_trend,growth_rate
2000-01-15,2000.0,1.0,370.88,2000.0409836065573,369.69225132734056,1.6061357869812556,-0.4183871143218312,-0.4176895310986879,-0.23781638839096786,2.102545633998512
2000-02-15,2000.0,2.0,372.31,2000.1256830601094,369.8483024501932,2.5028077296484543,-0.04111017984166665,0.02300724579549751,-0.21610903065322873,2.092354281535214
2000-03-15,2000.0,3.0,373.13,2000.204918032787,369.9945035721098,2.7644272159307914,0.3710692119594228,0.1595115404840044,-0.1973504348565598,2.069274051123986
2000-04-15,2000.0,4.0,372.62,2000.2896174863388,370.151020365079,3.2964833389454236,-0.8275037040244229,-0.6704950565099921,-0.1802299890747463,2.0274063381931873
2000-05-15,2000.0,5.0,372.61,2000.3715846994535,370.30271730889706,3.148777920188304,-0.8414952290853535,-0.8452400372376587,-0.16794649070436662,1.9720640029117762
2000-06-15,2000.0,6.0,371.76,2000.4562841530055,370.4597075331522,1.4447154799858586,-0.14442301313806638,-0.3603249769865897,-0.16078418977843967,1.9012033659768928
2000-07-15,2000.0,7.0,369.45,2000.5382513661202,370.61186263627883,-0.7873394001592496,-0.37452323611961447,-0.16452402325342064,-0.16029508800892245,1.8227961371036234
2000-08-15,2000.0,8.0,368.02,2000.622950819672,370.769326291819,-3.190886957204962,0.4415606653859072,0.31322366733957097,-0.16695278032659644,1.7371726499597493
2000-09-15,2000.0,9.0,366.7,2000.707650273224,370.9270305435868,-4.747913738473765,0.5208831948869488,0.6420648325087086,-0.18128256266737708,1.6481943936732009
2000-10-15,2000.0,10.0,367.2,2000.7896174863388,371.07987664108043,-4.0042137602257215,0.12433711914525247,0.16943883065709997,-0.2024351351475957,1.5668230379505383
2000-11-15,2000.0,11.0,368.74,2000.8743169398906,371.2380543241333,-1.8869767188903976,-0.6110776052428832,-0.28090117014119187,-0.2311503828110517,1.4912438255605713
2000-12-15,2000.0,12.0,371.63,2000.9562841530055,371.39135858093596,-0.03544571204784534,0.27408713111185534,-0.1255199070906201,-0.2648524246335455,1.4299520445101064
2001-01-15,2001.0,1.0,372.67,2001.041095890411,371.550220174601,1.6079854730991947,-0.4882056477001697,-0.3963199687180463,-0.3045188324513788,1.3835287613841392
2001-02-15,2001.0,2.0,373.57,2001.1260273972603,371.70954785523423,2.5044481317129437,-0.643995986947175,-0.5619194481396335,-0.3476780879969965,1.3555558525936733
2001-03-15,2001.0,3.0,374.55,2001.2027397260274,371.8536646603437,2.7552603961601467,-0.058925056503881024,-0.3854432234022056,-0.38818596713110765,1.3486208066645302
2001-04-15,2001.0,4.0,374.44,2001.2876712328766,372.01345276245246,3.285170980541991,-0.858623742994439,-0.6995102326971505,-0.433040384758101,1.361462715185323
2001-05-15,2001.0,5.0,374.48,2001.3698630136987,372.16831674625973,3.16822243492305,-0.8565391811827681,-0.9451276321831301,-0.4748164531692396,1.3933719673144604
2001-06-15,2001.0,6.0,373.42,2001.454794520548,372.32858087735167,1.48318811627853,-0.391768993630194,-0.8720474520832227,-0.5146542243020917,1.4458448810389726
2001-07-15,2001.0,7.0,370.25,2001.5369863013698,372.4839055343681,-0.7518889522133428,-1.4820165821547562,-0.9952714552306929,-0.5484630563193491,1.5133553491743323
2001-08-15,2001.0,8.0,368.85,2001.6219178082192,372.6446456944436,-3.162864203913956,-0.6317814905296473,-0.6242120993669005,-0.5771998356934205,1.5975204627631068
2001-09-15,2001.0,9.0,368.03,2001.7068493150684,372.80562777088727,-4.743320836283857,-0.03230693460341172,0.09206533714302623,-0.5984531394278179,1.6948437025031644
2001-10-15,2001.0,10.0,368.84,2001.7890410958903,372.9616472137278,-4.0164276855804015,-0.10521952814741553,0.005050685218691342,-0.6109799572271868,1.7978317716226901
2001-11-15,2001.0,11.0,370.68,2001.8739726027397,373.12310531915506,-1.8955625042616078,-0.5475428148934611,-0.379143189044612,-0.6149815299406782,1.9113135521688536
2001-12-15,2001.0,12.0,373.06,2001.9561643835616,373.2795854352052,-0.03795092266943795,-0.18163451253576568,-0.3814133337437511,-0.6096692265051047,2.0260015606890356
2002-01-15,2002.0,1.0,374.56,2002.041095890411,373.4415195696156,1.607985473099194,-0.489505042714768,-0.5881352549499184,-0.5944096285705882,2.1471136381226983
2002-02-15,2002.0,2.0,375.34,2002.1260273972603,373.6036956203941,2.5044481317129432,-0.7681437521070507,-0.814395334033577,-0.5690211275093588,2.2697477959213286
2002-03-15,2002.0,3.0,375.59,2002.2027397260274,373.7503851469251,2.7552603961601467,-0.9156455430853043,-0.6970293494858311,-0.5373516014248025,2.3802087715612146
2002-04-15,2002.0,4.0,376.8,2002.2876712328766,373.9130216191791,3.2851709805419906,-0.3981925997210851,-0.7433766486450963,-0.49270789507897916,2.500302422874454
2002-05-15,2002.0,5.0,376.36,2002.3698630136987,374.07064209022377,3.1682224349230506,-0.8788645251468097,-0.8365817708672125,-0.4401635456272288,2.6131761418062025
